ticker,date,open,high,low,close,volume
SRPT,2002-04-04,46.2,47.1,45.3,45.3,39250
SRPT,2002-04-05,45.54,45.6,41.1,41.88,35850
SRPT,2002-04-08,40.8,43.2,40.2,42.9,23100
SRPT,2002-04-09,43.8,44.94,42.6,42.6,25600
SRPT,2002-04-10,42.42,43.8,42.3,43.8,10666
SRPT,2002-04-11,43.8,47.64,43.56,46.38,33950
SRPT,2002-04-12,47.4,47.4,45.24,46.74,22683
SRPT,2002-04-15,45.9,47.1,45.6,46.5,7850
SRPT,2002-04-16,46.8,47.58,45.66,47.4,20733
SRPT,2002-04-17,47.1,47.64,45.9,46.02,20900
SRPT,2002-04-18,45.9,46.26,43.32,44.04,34966
SRPT,2002-04-19,43.32,44.34,43.32,44.22,12416
SRPT,2002-04-22,44.04,44.4,42.06,43.14,20550
SRPT,2002-04-23,43.56,44.34,42.66,42.9,23166
SRPT,2002-04-24,42.9,43.92,42.72,43.2,27366
SRPT,2002-04-25,43.2,44.4,42.18,44.28,17116
SRPT,2002-04-26,44.1,44.52,42.18,42.3,15333
SRPT,2002-04-29,42.36,43.86,40.2,40.74,21833
SRPT,2002-04-30,39.9,44.1,39,43.2,38516
SRPT,2002-05-01,44.16,45.54,42.6,45.24,90050
SRPT,2002-05-02,45.48,46.08,42.3,44.64,15833
SRPT,2002-05-03,44.4,45,42,44.7,20016
SRPT,2002-05-06,45,45.48,42.06,43.26,16216
SRPT,2002-05-07,42.42,43.5,38.28,39.6,35783
SRPT,2002-05-08,40.8,40.8,36.66,37.5,38500
SRPT,2002-05-09,36.9,37.8,34.32,34.92,42133
SRPT,2002-05-10,33.72,35.88,32.46,35.16,78466
SRPT,2002-05-13,35.7,37.5,35.16,35.94,35266
SRPT,2002-05-14,37.68,39.3,36.9,39.18,60833
SRPT,2002-05-15,39,40.02,38.16,39.9,44883
SRPT,2002-05-16,40.02,40.02,37.92,38.34,26650
SRPT,2002-05-17,38.76,39.48,38.16,39.36,21866
SRPT,2002-05-20,39.84,40.2,38.46,39.48,9566
SRPT,2002-05-21,39.3,39.3,37.02,37.08,21033
SRPT,2002-05-22,37.02,38.4,35.52,35.76,12950
SRPT,2002-05-23,36.6,36.9,33,35.88,41533
SRPT,2002-05-24,35.76,35.76,33.6,35.4,16183
SRPT,2002-05-28,35.52,35.52,27.06,30.54,42133
SRPT,2002-05-29,30.06,30.9,27.6,27.66,50633
SRPT,2002-05-30,27.96,28.44,25.8,27,41800
SRPT,2002-05-31,27.9,29.4,26.46,29.1,27916
SRPT,2002-06-03,28.32,29.1,25.5,25.8,27316
SRPT,2002-06-04,26.88,26.94,21.96,24.3,59150
SRPT,2002-06-05,25.14,26.28,22.92,23.64,29750
SRPT,2002-06-06,23.4,23.7,21.9,21.96,43216
SRPT,2002-06-07,19.2,21.78,18.72,21.72,53333
SRPT,2002-06-10,22.56,22.56,19.98,19.98,19566
SRPT,2002-06-11,20.04,20.64,17.34,18.18,40066
SRPT,2002-06-12,17.7,18.06,15.9,16.5,50900
SRPT,2002-06-13,16.14,17.28,15.48,16.2,61400
SRPT,2002-06-14,16.5,18.96,15.42,18.18,69400
SRPT,2002-06-17,18.48,21.6,18.42,21,52816
SRPT,2002-06-18,21.6,24,21.18,23.88,44866
SRPT,2002-06-19,23.82,26.64,21,22.26,64316
SRPT,2002-06-20,23.52,25.5,21.72,22.5,43566
SRPT,2002-06-21,23.34,23.46,21.12,22.08,19000
SRPT,2002-06-24,21.78,22.44,19.5,21.12,22916
SRPT,2002-06-25,20.7,23.7,18.3,18.6,35516
SRPT,2002-06-26,18.66,19.2,17.1,18.72,15433
SRPT,2002-06-27,19.38,19.98,18.9,19.5,17800
SRPT,2002-06-28,19.98,20.52,16.5,17.64,189883
