ticker,date,open,high,low,close,volume
STAA,2002-04-04,4.55,4.61,4.5,4.55,12400
STAA,2002-04-05,4.41,4.41,4.3,4.3,13200
STAA,2002-04-08,4.32,4.5,4.3,4.4,10100
STAA,2002-04-09,4.4,4.4,4.31,4.32,5200
STAA,2002-04-10,4.45,4.59,4.42,4.53,17100
STAA,2002-04-11,4.47,4.62,4.47,4.6,9300
STAA,2002-04-12,4.5,4.69,4.45,4.65,45300
STAA,2002-04-15,4.65,4.7,4.51,4.65,23400
STAA,2002-04-16,4.6,4.77,4.62,4.75,149400
STAA,2002-04-17,4.69,4.75,4.69,4.72,8300
STAA,2002-04-18,4.75,4.98,4.71,4.88,24600
STAA,2002-04-19,4.72,5.14,4.72,5.03,35500
STAA,2002-04-22,5.1,5.2,4.85,4.85,51800
STAA,2002-04-23,4.85,4.93,4.67,4.71,60000
STAA,2002-04-24,4.75,4.99,4.65,4.71,17000
STAA,2002-04-25,4.75,4.75,4.7,4.7,5400
STAA,2002-04-26,4.7,4.9,4.68,4.85,600
STAA,2002-04-29,4.8,5,4.67,5,23000
STAA,2002-04-30,5.02,5.2,4.9,4.91,85900
STAA,2002-05-01,4.95,5,4.9,5,4900
STAA,2002-05-02,5.25,5.59,5.05,5.45,145600
STAA,2002-05-03,5.58,6.02,5.39,5.75,141200
STAA,2002-05-06,5.77,5.85,5.62,5.62,18600
STAA,2002-05-07,5.44,5.8,5.4,5.55,36900
STAA,2002-05-08,5.55,5.7,5.55,5.55,14600
STAA,2002-05-09,5.55,5.6,5.2,5.2,7400
STAA,2002-05-10,5.2,5.26,5.2,5.26,10800
STAA,2002-05-13,5.5,5.6,5.26,5.45,6000
STAA,2002-05-14,5.43,5.6,5.37,5.48,8200
STAA,2002-05-15,5.48,5.69,5.35,5.37,20800
STAA,2002-05-16,5.4,5.5,5.35,5.4,12000
STAA,2002-05-17,5.35,5.36,5,5.23,26300
STAA,2002-05-20,5.1,5.1,4.48,4.9,121900
STAA,2002-05-21,4.75,4.95,4.7,4.8,23600
STAA,2002-05-22,4.79,4.84,4.31,4.69,72100
STAA,2002-05-23,4.4,4.65,4.4,4.55,29900
STAA,2002-05-24,4.45,4.69,4.26,4.69,34500
STAA,2002-05-28,4.66,4.67,4.45,4.5,6700
STAA,2002-05-29,4.45,4.69,4.45,4.69,25600
STAA,2002-05-30,4.69,5.19,4.69,5.19,30800
STAA,2002-05-31,5.19,5.2,4.76,5.06,19200
STAA,2002-06-03,5.1,5.1,4.68,4.68,28200
STAA,2002-06-04,4.75,4.8,4.68,4.72,2100
STAA,2002-06-05,4.73,4.9,4.72,4.76,37200
STAA,2002-06-06,4.93,4.93,4.35,4.55,80800
STAA,2002-06-07,4.56,4.6,4.55,4.55,6200
STAA,2002-06-10,4.51,4.69,4.4,4.63,80800
STAA,2002-06-11,4.58,4.58,4.4,4.5,4700
STAA,2002-06-12,4.46,4.5,4.4,4.4,20900
STAA,2002-06-13,4.35,4.35,3.95,4.19,19900
STAA,2002-06-14,4.01,4.2,3.8,3.8,40400
STAA,2002-06-17,3.8,4.27,3.75,4.27,287100
STAA,2002-06-18,4.28,4.38,4.12,4.22,50000
STAA,2002-06-19,4.2,4.21,3.95,3.95,17500
