ticker,date,open,high,low,close,volume
TFFP,2019-10-25,5.19,5.24,4.9,5.07,467300
TFFP,2019-10-28,5.01,5.0586,5.01,5.04,111700
TFFP,2019-10-29,5.02,5.04,5,5.01,63100
TFFP,2019-10-30,5.03,5.04,5.01,5.01,28200
TFFP,2019-10-31,5.03,5.1,5,5.09,73100
TFFP,2019-11-01,5.19,5.25,5.05,5.25,15800
TFFP,2019-11-04,5.25,5.25,5.01,5.1405,41000
TFFP,2019-11-05,5.22,5.3,5.17,5.24,18500
TFFP,2019-11-06,5.28,5.34,5.15,5.25,20100
TFFP,2019-11-07,5.21,5.29,5.21,5.27,11500
TFFP,2019-11-08,5.22,5.55,5.22,5.4,104200
TFFP,2019-11-11,5.44,5.44,5.03,5.1,39200
TFFP,2019-11-12,5.23,5.34,5.15,5.24,10400
TFFP,2019-11-13,5.28,5.31,5.05,5.07,33200
TFFP,2019-11-14,5.05,5.16,5.05,5.1,12800
TFFP,2019-11-15,5.19,5.19,5.03,5.06,25800
TFFP,2019-11-18,5.13,5.14,5.01,5.01,25300
TFFP,2019-11-19,5.1,5.14,5.01,5.01,15800
TFFP,2019-11-20,5.09,5.1,5.05,5.1,600
TFFP,2019-11-21,5.08,5.14,5.07,5.14,13800
TFFP,2019-11-22,5.14,5.14,5.0903,5.14,3800
TFFP,2019-11-25,5.14,5.14,5.05,5.08,4400
TFFP,2019-11-26,5.1,5.14,5.08,5.1,45700
TFFP,2019-11-27,5.11,5.16,5.09,5.14,69900
TFFP,2019-11-29,5.08,5.26,5.08,5.26,67100
TFFP,2019-12-02,5.26,5.26,5.1497,5.26,17500
TFFP,2019-12-03,5.18,5.27,5.1214,5.15,40500
TFFP,2019-12-04,5.18,5.25,5.08,5.13,95700
TFFP,2019-12-05,5.0953,5.27,5.0953,5.25,74000
TFFP,2019-12-06,5.25,5.25,5.1,5.17,14400
TFFP,2019-12-09,5.2,5.2,5.0802,5.15,14700
TFFP,2019-12-10,5.18,5.18,5.03,5.13,36400
TFFP,2019-12-11,5.17,5.17,5.05,5.08,10000
TFFP,2019-12-12,5.13,5.19,5.05,5.08,27400
TFFP,2019-12-13,5.0718,5.19,5.0718,5.14,31000
TFFP,2019-12-16,5.19,5.35,5.1,5.11,133800
TFFP,2019-12-17,5.19,5.3,5.12,5.12,71100
TFFP,2019-12-18,5.14,5.24,5.07,5.07,64800
TFFP,2019-12-19,5.16,5.24,5.12,5.13,71200
TFFP,2019-12-20,5.23,5.2815,4.52,4.71,207500
TFFP,2019-12-23,5,5.12,5,5.11,58800
