ticker,date,open,high,low,close,volume
TORC,2018-01-26,130.34,143.5,113.47,118.16,339557
TORC,2018-01-29,120.47,120.47,110.81,113.61,41342
TORC,2018-01-30,113.96,115.78,106.96,110.18,21785
TORC,2018-01-31,109.97,115.92,109.06,113.54,25785
TORC,2018-02-01,113.54,121.8,112.14,117.25,11814
TORC,2018-02-02,116.2,120.75,112.35,119.28,21042
TORC,2018-02-05,118.65,120.75,110.46,118.58,28571
TORC,2018-02-06,117.04,119,108.5,112.56,15071
TORC,2018-02-07,112.14,117.32,112,113.54,6557
TORC,2018-02-08,115.43,118.16,106.225,115.5,8214
TORC,2018-02-09,115.15,119,108.78,119,4085
TORC,2018-02-12,119,128.52,117.6,126.7,28628
TORC,2018-02-13,127.19,132.02,121.485,127.75,11485
TORC,2018-02-14,126,129.5,122.29,126.63,2514
TORC,2018-02-15,125.65,127.75,115.43,127.54,4328
TORC,2018-02-16,127.68,131.32,124.67,131.32,14214
TORC,2018-02-20,132.79,140,132.3,136.5,28514
TORC,2018-02-21,135.24,139.58,134.61,137.83,11228
TORC,2018-02-22,138.32,145.18,135.45,137.55,11228
TORC,2018-02-23,139.16,146.86,138.6,145.95,15914
TORC,2018-02-26,147,147.7,141.33,144.2,7557
TORC,2018-02-27,143.85,144.48,135.1,138.25,21257
TORC,2018-02-28,137.41,139.3,134.89,136.5,10671
TORC,2018-03-01,135.8,136.85,128.59,128.59,8228
TORC,2018-03-02,127.47,132.16,123.97,124.11,15885
TORC,2018-03-05,124.88,132.23,121.8,123.41,6800
TORC,2018-03-06,123.97,129.5,115.5,120.4,23314
TORC,2018-03-07,119.49,123.2,117.53,119.07,15128
TORC,2018-03-08,119,124.04,112.56,113.26,13100
TORC,2018-03-09,114.1,120.68,108.92,111.3,14757
TORC,2018-03-12,111.3,115.57,108.57,111.3,25157
TORC,2018-03-13,112.14,115.36,106.61,108.15,17942
TORC,2018-03-14,114.8,114.8,101.92,105.56,35400
TORC,2018-03-15,106.19,111.58,103.18,104.44,18171
TORC,2018-03-16,103.74,107.45,98.805,104.65,110485
TORC,2018-03-19,104.23,114.31,99.4,105.49,23457
TORC,2018-03-20,105.77,110.53,102.76,104.16,21342
TORC,2018-03-21,104.09,107.38,101.5,102.9,17342
TORC,2018-03-22,101.99,105,91.28,92.26,30128
TORC,2018-03-23,92.54,96.81,82.04,82.46,19214
TORC,2018-03-26,83.93,85.96,75.32,76.65,14342
TORC,2018-03-27,76.79,81.9,73.955,78.68,14371
TORC,2018-03-28,78.54,78.54,71.12,73.92,12685
TORC,2018-03-29,74.2,77.28,65.45,67.06,14914
TORC,2018-04-02,66.85,69.93,59.92,59.99,13871
TORC,2018-04-03,60.48,65.1,59.08,61.95,30371
TORC,2018-04-04,60.13,62.3,58.94,61.53,7957
TORC,2018-04-05,61.95,72.66,61.95,66.99,39985
TORC,2018-04-06,66.43,67.69,57.82,59.43,31600
TORC,2018-04-09,60.2,65.94,54.74,56.21,20500
TORC,2018-04-10,56.84,65.94,52.85,65.66,20157
TORC,2018-04-11,65.52,69.93,61.32,66.5,18500
TORC,2018-04-12,67.27,71.82,63.49,64.26,16414
TORC,2018-04-13,64.68,66.43,61.6,62.79,19500
TORC,2018-04-16,63.21,64.05,59.99,60.06,17014
TORC,2018-04-17,60.76,63,57.4,58.87,17685
TORC,2018-04-18,59.15,64.4,58.905,63.63,14642
