ticker,date,open,high,low,close,volume
TRHC,2016-09-29,14.7,16.17,14,14.88,3553500
TRHC,2016-09-30,15.08,15.08,14.16,14.32,457500
TRHC,2016-10-03,14.05,14.93,14,14.93,240700
TRHC,2016-10-04,15.23,15.23,14.13,14.5,209500
TRHC,2016-10-05,14.47,14.47,13.16,13.45,408800
TRHC,2016-10-06,13.26,13.28,12.63,13.08,344900
TRHC,2016-10-07,13,13.46,12.25,12.48,312700
TRHC,2016-10-10,12.6,12.6,11.79,12.36,315800
TRHC,2016-10-11,12.4,12.83,12.3,12.66,138300
TRHC,2016-10-12,12.59,13.01,12.15,12.96,160600
TRHC,2016-10-13,12.87,13.07,12.26,12.6,54700
TRHC,2016-10-14,12.6,12.86,12.35,12.81,89000
TRHC,2016-10-17,12.82,14.01,12.49,13.91,150400
TRHC,2016-10-18,14.11,14.11,13.6,13.93,57600
TRHC,2016-10-19,14.21,14.21,13.7,13.77,21000
TRHC,2016-10-20,13.69,13.83,13.26,13.83,60800
TRHC,2016-10-21,13.72,14.38,13.72,14.23,103600
TRHC,2016-10-24,14.1,14.45,13.4,13.4,163800
TRHC,2016-10-25,13.05,13.6,13.05,13.41,42400
TRHC,2016-10-26,13.31,13.48,13.19,13.24,25300
TRHC,2016-10-27,13.19,13.92,12.16,12.6,77100
TRHC,2016-10-28,12.68,13.03,11.55,11.77,84600
TRHC,2016-10-31,11.67,11.88,11.52,11.65,37900
TRHC,2016-11-01,11.8,11.8,11.24,11.59,28200
TRHC,2016-11-02,11.68,11.75,11.11,11.27,37900
TRHC,2016-11-03,11.19,11.37,10.48,10.74,76500
TRHC,2016-11-04,10.65,11.09,10.59,10.95,78900
TRHC,2016-11-07,11.11,11.38,10.39,10.8,71000
TRHC,2016-11-08,11.03,11.35,10.52,10.99,54900
TRHC,2016-11-09,10.98,11.4,10.5,11.37,101100
TRHC,2016-11-10,11.8,12.49,11.4,11.84,505600
TRHC,2016-11-11,11.79,12.29,11.53,12,141000
TRHC,2016-11-14,12.29,12.37,11.57,11.81,50200
TRHC,2016-11-15,11.81,12,11.12,11.5,34600
TRHC,2016-11-16,11.48,11.5,10.51,10.85,128200
TRHC,2016-11-17,10.85,11.05,10.7,10.79,78100
TRHC,2016-11-18,10.7,11.55,10.55,11.04,123600
TRHC,2016-11-21,11.17,12.35,10.95,11.91,83800
TRHC,2016-11-22,11.75,12.88,11.75,12.54,124200
TRHC,2016-11-23,12.58,12.72,12.02,12.6,15700
TRHC,2016-11-25,12.7,12.74,12.22,12.59,20900
TRHC,2016-11-28,12.75,13.46,12.3,13.25,133100
TRHC,2016-11-29,13.15,13.95,13.04,13.86,90600
TRHC,2016-11-30,13.87,13.95,13.08,13.88,46700
TRHC,2016-12-01,13.86,14,12.75,13,63100
TRHC,2016-12-02,12.91,13.22,11.58,11.85,88300
TRHC,2016-12-05,11.86,12.55,11.38,11.77,72400
TRHC,2016-12-06,11.75,12,11.35,11.65,77700
TRHC,2016-12-07,11.62,12.54,11.42,12.24,54500
TRHC,2016-12-08,12.2,12.54,11.95,12.38,72200
TRHC,2016-12-09,12.4,13.07,12.17,13.01,77700
TRHC,2016-12-12,12.91,13.88,12.72,13.3,92600
TRHC,2016-12-13,13.32,13.74,12.7,13.29,69700
TRHC,2016-12-14,13.32,13.63,12.8,13.63,68300
TRHC,2016-12-15,13.52,13.75,12.91,13.74,59800
TRHC,2016-12-16,13.62,14.15,13.55,13.9,619400
TRHC,2016-12-19,13.8,14.23,13.66,13.99,53500
TRHC,2016-12-20,14.05,14.05,13.81,13.96,39200
TRHC,2016-12-21,13.89,14.05,13.56,13.77,41900
TRHC,2016-12-22,14,14,13.51,13.75,19000
TRHC,2016-12-23,13.95,13.95,13.66,13.75,19200
