ticker,date,open,high,low,close,volume
TRIL,2005-03-23,84.9,84.9,84.9,84.9,3
TRIL,2005-03-24,94.2,99,94.2,94.2,18
TRIL,2005-03-31,93,93,90,93,20
TRIL,2005-04-01,96,96,96,96,10
TRIL,2005-04-18,78,78,78,78,1
TRIL,2005-04-27,73.5,73.5,70.5,73.5,10
TRIL,2005-05-06,75,75,72,75,23
TRIL,2005-05-25,61.5,61.5,61.5,61.5,11
TRIL,2005-05-31,60,60,60,60,16
TRIL,2005-06-02,72,72,72,72,8
TRIL,2005-07-11,50.1,50.1,50.1,50.1,0
TRIL,2005-07-12,61.5,61.5,45,61.5,2
TRIL,2005-07-15,67.5,67.5,67.5,67.5,1
TRIL,2005-07-20,61.5,61.5,61.5,61.5,6
TRIL,2005-07-21,64.5,64.5,64.5,64.5,0
TRIL,2005-07-26,46.11,46.11,46.11,46.11,0
TRIL,2005-07-29,57.9,57.9,57.9,57.9,6
TRIL,2005-08-02,60,60,59.1,60,18
TRIL,2005-08-03,60,60,60,60,6
TRIL,2005-08-05,64.5,64.5,64.5,64.5,0
TRIL,2005-08-24,55.53,55.53,55.53,55.53,1
TRIL,2005-08-31,70.2,70.2,70.2,70.2,8
TRIL,2005-09-12,61.8,61.8,61.8,61.8,3
TRIL,2005-09-13,73.8,73.8,73.8,73.8,13
TRIL,2005-09-14,72.9,75,72.9,72.9,47
TRIL,2005-09-15,79.5,79.5,79.5,79.5,10
TRIL,2005-09-16,81,81,81,81,6
TRIL,2005-10-04,88.5,91.5,88.5,88.5,36
TRIL,2005-10-11,89.4,89.4,89.4,89.4,11
TRIL,2005-11-02,77.7,77.7,77.7,77.7,13
TRIL,2005-11-08,75.81,75.81,75.81,75.81,3
TRIL,2005-11-09,75,77.25,75,75,66
TRIL,2005-11-17,66.6,66.6,66.6,66.6,6
TRIL,2005-11-18,66,66,66,66,13
TRIL,2005-11-21,63,63,63,63,33
TRIL,2005-11-22,61.5,61.5,61.5,61.5,26
TRIL,2005-11-28,66,66,66,66,6
TRIL,2005-11-30,65.73,65.73,65.73,65.73,20
TRIL,2005-12-05,75,75,75,75,16
TRIL,2005-12-12,59.73,59.73,59.73,59.73,6
