ticker,date,open,high,low,close,volume
TRVN,2014-01-31,7.11,7.25,6.35,6.5,3135600
TRVN,2014-02-03,6.5,6.72,6.46,6.59,61100
TRVN,2014-02-04,6.66,7,6.5,6.58,48500
TRVN,2014-02-05,6.87,7.2,6.49,6.7,195300
TRVN,2014-02-06,6.83,6.94,6.5,6.89,68400
TRVN,2014-02-07,7.1,7.11,6.73,7.02,68900
TRVN,2014-02-10,7.05,7.21,6.85,7.21,21700
TRVN,2014-02-11,7.15,7.55,7.15,7.55,35600
TRVN,2014-02-12,7.6,7.6,6.85,7.15,45500
TRVN,2014-02-13,7.24,7.27,7.03,7.17,33700
TRVN,2014-02-14,7.24,7.24,6.51,6.89,95300
TRVN,2014-02-18,6.8,7.11,6.75,6.95,30100
TRVN,2014-02-19,7.09,7.13,7,7.1,7900
TRVN,2014-02-20,7.38,7.54,7.21,7.4,101900
TRVN,2014-02-21,7.46,8.19,7.17,7.4,86600
TRVN,2014-02-24,8.86,8.98,7.41,8.23,372400
TRVN,2014-02-25,8,8,7.57,7.77,187400
TRVN,2014-02-26,8.13,8.43,7.61,7.97,415900
TRVN,2014-02-27,8.05,8.09,7.92,8,215200
TRVN,2014-02-28,8,8.08,7.75,7.98,81300
TRVN,2014-03-03,7.78,8.48,7.75,8.18,84200
TRVN,2014-03-04,8.49,9.57,8.24,9.27,148400
TRVN,2014-03-05,9.45,9.95,9,9.64,106000
TRVN,2014-03-06,9.76,9.94,9.06,9.25,58500
TRVN,2014-03-07,9.43,9.52,8.53,9.14,107900
TRVN,2014-03-10,9.01,9.48,8.82,9.16,114200
TRVN,2014-03-11,9.3,9.64,8.8,9.29,210500
TRVN,2014-03-12,9.31,9.48,8.98,9.29,81800
TRVN,2014-03-13,9.41,9.62,9.09,9.28,74200
TRVN,2014-03-14,9.25,9.46,8.96,9.07,120600
TRVN,2014-03-17,9.14,9.21,8.33,8.45,125400
TRVN,2014-03-18,8.56,8.81,8.3,8.71,142000
TRVN,2014-03-19,8.87,8.97,8.15,8.42,232800
TRVN,2014-03-20,8.54,8.64,8.08,8.38,75500
TRVN,2014-03-21,8.45,8.45,7.82,7.83,315400
TRVN,2014-03-24,7.87,7.89,7.22,7.25,123100
TRVN,2014-03-25,7.09,7.48,6.82,6.98,135100
TRVN,2014-03-26,7.04,7.39,6.69,7.12,85800
TRVN,2014-03-27,7.11,7.33,6.08,6.69,198700
TRVN,2014-03-28,6.68,7.72,6.21,7.45,142400
TRVN,2014-03-31,7.49,7.94,7.32,7.86,923800
TRVN,2014-04-01,7.65,7.75,6.81,7.57,94000
TRVN,2014-04-02,7.55,7.82,7.49,7.63,138700
TRVN,2014-04-03,7.63,7.64,7.21,7.25,57500
TRVN,2014-04-04,7.26,7.35,6.92,6.94,102900
TRVN,2014-04-07,6.89,6.92,6.25,6.41,147100
TRVN,2014-04-08,6.42,6.42,5.76,6.18,141100
TRVN,2014-04-09,6,6.18,6,6.04,80900
TRVN,2014-04-10,6,6.01,5.57,5.8,96600
TRVN,2014-04-11,5.74,6.02,5.58,5.71,148000
TRVN,2014-04-14,5.87,5.89,5.29,5.36,86200
TRVN,2014-04-15,5.38,5.45,4.81,4.97,84900
TRVN,2014-04-16,5.05,5.14,4.74,5.1,49100
TRVN,2014-04-17,5.1,5.51,5.1,5.39,53300
TRVN,2014-04-21,5.22,6.22,5.21,5.76,73700
TRVN,2014-04-22,5.61,6,5.61,5.85,80100
TRVN,2014-04-23,5.86,5.86,5.5,5.56,63100
TRVN,2014-04-24,5.62,5.75,5.42,5.49,103300
TRVN,2014-04-25,5.48,5.75,5.1,5.16,81100
TRVN,2014-04-28,5.2,5.2,4.79,4.94,51500
TRVN,2014-04-29,4.99,5.11,4.85,4.94,52200
TRVN,2014-04-30,4.92,5.78,4.92,5.01,80300
TRVN,2014-05-01,5.03,5.03,4.82,4.92,27800
TRVN,2014-05-02,4.95,5,4.76,4.94,40300
TRVN,2014-05-05,4.81,5.07,4.78,4.94,37200
TRVN,2014-05-06,4.94,5,4.86,4.96,118600
TRVN,2014-05-07,4.81,5,4.81,4.88,15500
TRVN,2014-05-08,4.75,4.93,4.75,4.75,27300
TRVN,2014-05-09,4.62,4.82,4.5,4.72,92900
TRVN,2014-05-12,4.77,4.82,4.58,4.67,24200
TRVN,2014-05-13,4.61,4.92,4.6,4.79,74500
TRVN,2014-05-14,4.75,4.9,4.66,4.78,97800
TRVN,2014-05-15,4.78,5.07,4.64,4.8,33100
TRVN,2014-05-16,4.78,4.78,4.41,4.46,39900
TRVN,2014-05-19,4.7,4.7,4.26,4.36,27400
TRVN,2014-05-20,4.27,4.45,4.25,4.41,61600
TRVN,2014-05-21,4.57,4.57,4.27,4.37,53900
TRVN,2014-05-22,4.29,4.57,4.27,4.46,31800
TRVN,2014-05-23,4.48,4.52,4.4,4.46,21100
TRVN,2014-05-27,4.42,4.58,4.42,4.58,19600
TRVN,2014-05-28,4.61,4.61,4.5,4.55,28500
TRVN,2014-05-29,4.5,4.53,4.49,4.53,25100
TRVN,2014-05-30,4.53,4.53,4.31,4.39,40700
TRVN,2014-06-02,4.31,4.5,4.25,4.34,22800
TRVN,2014-06-03,4.52,4.53,4.25,4.48,272500
TRVN,2014-06-04,4.45,4.48,4.31,4.4,42200
TRVN,2014-06-05,4.43,4.51,4.35,4.39,33200
TRVN,2014-06-06,4.33,4.44,4.28,4.44,40400
