ticker,date,open,high,low,close,volume
UTRS,2021-10-22,9.66,9.91,7.6,9,3596500
UTRS,2021-10-25,8.2,9.66,8.02,9.35,509800
UTRS,2021-10-26,9.17,10.37,8.825,9.14,348400
UTRS,2021-10-27,8.84,9.42,8.84,9,92300
UTRS,2021-10-28,9.11,9.45,8.89,8.93,333800
UTRS,2021-10-29,9,9.698,9,9.36,125100
UTRS,2021-11-01,9.21,9.54,8.96,9.27,155500
UTRS,2021-11-02,9.37,9.4368,9.021,9.24,157601
UTRS,2021-11-03,9.24,9.54,9.06,9.1,204700
UTRS,2021-11-04,9.1,9.73,8.94,9.13,304800
UTRS,2021-11-05,9.08,9.3,8.92,9.08,157200
UTRS,2021-11-08,9.03,9.2,8.545,9.09,153600
UTRS,2021-11-09,9.03,9.93,8.95,9.68,143600
UTRS,2021-11-10,9.59,10.14,9.41,9.78,150700
UTRS,2021-11-11,9.58,10.02,9.47,9.67,109900
UTRS,2021-11-12,9.56,9.92,8.9875,9.68,79200
UTRS,2021-11-15,9.83,9.83,9.2612,9.62,146600
UTRS,2021-11-16,9.62,9.99,9.3507,9.5,135700
UTRS,2021-11-17,9.49,9.99,9.27,9.49,96000
UTRS,2021-11-18,9.31,9.6,8.515,8.71,164500
UTRS,2021-11-19,8.45,8.9,8.1,8.25,216100
UTRS,2021-11-22,8.39,8.5,7.26,7.55,133300
UTRS,2021-11-23,7.5,7.5892,6.13,7.03,238300
UTRS,2021-11-24,7.11,7.2,6.37,6.89,118700
UTRS,2021-11-26,6.89,6.98,6.4,6.61,83400
UTRS,2021-11-29,6.69,6.97,6.1,6.4,122200
UTRS,2021-11-30,6.34,6.65,6.17,6.39,60700
UTRS,2021-12-01,6.52,6.67,5.91,6,180400
UTRS,2021-12-02,6,6,5.271,5.8,108800
UTRS,2021-12-03,5.9,6.3197,4.682,5.86,178000
UTRS,2021-12-06,5.87,5.9824,5.41,5.51,106700
UTRS,2021-12-07,5.62,5.875,5.45,5.59,258500
UTRS,2021-12-08,5.59,5.75,5.1,5.59,184700
UTRS,2021-12-09,5.54,5.54,5.1,5.4,24700
UTRS,2021-12-10,5.5,5.71,5.11,5.12,69100
UTRS,2021-12-13,5.17,5.7399,4.7,4.96,185100
UTRS,2021-12-14,4.89,4.96,4.28,4.71,123600
UTRS,2021-12-15,4.66,5.26,4.29,5.17,161301
UTRS,2021-12-16,5.39,5.47,4.9,5.23,110900
UTRS,2021-12-17,5.06,5.1,4.67,4.8,382400
UTRS,2021-12-20,4.66,4.8,4.47,4.55,187700
UTRS,2021-12-21,4.51,5.17,4.51,4.58,129000
UTRS,2021-12-22,4.55,4.78,4.49,4.53,193200
UTRS,2021-12-23,4.55,4.8303,4.5,4.8,621900
UTRS,2021-12-27,4.81,5.43,4.64,5.05,79300
UTRS,2021-12-28,5.06,5.18,4.745,4.87,43800
UTRS,2021-12-29,4.8,5.03,4.57,4.92,48000
UTRS,2021-12-30,4.9,5.39,4.68,5.25,125500
UTRS,2021-12-31,5.2,5.24,4.93,5.14,86200
UTRS,2022-01-03,4.99,5.176,4.87,5.01,53000
UTRS,2022-01-04,5,5.05,4.78,4.95,60000
UTRS,2022-01-05,4.74,5.11,4.74,5.09,47100
UTRS,2022-01-06,4.99,5.325,4.99,5.26,196500
UTRS,2022-01-07,5.18,5.4,5.18,5.37,305200
UTRS,2022-01-10,5.43,5.48,5.3,5.43,41400
UTRS,2022-01-11,5.3997,5.6299,5.3101,5.62,15300
UTRS,2022-01-12,5.53,5.73,5.51,5.73,34000
UTRS,2022-01-13,5.75,5.89,5.5913,5.67,25000
UTRS,2022-01-14,5.4,5.82,5.26,5.82,61300
UTRS,2022-01-18,5.82,6.2,5.23,5.54,64100
UTRS,2022-01-19,5.56,5.9,5.28,5.58,356300
UTRS,2022-01-20,5.58,5.71,5.35,5.35,80100
UTRS,2022-01-21,5.29,5.47,5.14,5.16,76100
UTRS,2022-01-24,5.03,5.14,4.51,4.805,75500
UTRS,2022-01-25,4.76,4.82,4.47,4.76,36100
UTRS,2022-01-26,4.85,4.88,4.54,4.66,62400
UTRS,2022-01-27,4.74,5,4.41,4.42,62600
UTRS,2022-01-28,4.38,4.465,4.155,4.26,60400
UTRS,2022-01-31,4.3,4.9899,4.3,4.67,17800
UTRS,2022-02-01,4.73,4.775,4.4,4.51,32000
UTRS,2022-02-02,4.58,4.66,4.3301,4.65,27900
UTRS,2022-02-03,4.61,5.03,4.495,4.94,31400
UTRS,2022-02-04,5.2,5.38,4.8778,5.19,21400
UTRS,2022-02-07,5.16,5.55,5.12,5.43,33600
UTRS,2022-02-08,5.34,5.39,5.12,5.17,4500
UTRS,2022-02-09,5.32,5.38,4.95,5.24,31400
UTRS,2022-02-10,5.5,5.55,5.27,5.5,42000
,,,,,,
