ticker,date,open,high,low,close,volume
VCEL,2002-03-05,137.6,137.6,128,129.6,1686
VCEL,2002-03-06,132.8,136,129.6,131.2,1582
VCEL,2002-03-07,132.8,134.4,128,128,3231
VCEL,2002-03-08,132.8,132.8,129.6,132.8,2543
VCEL,2002-03-11,132.8,134.4,128,129.6,2706
VCEL,2002-03-12,129.6,132.8,124.8,126.4,2370
VCEL,2002-03-13,126.4,128,120,126.4,4926
VCEL,2002-03-14,124.8,128,121.6,123.2,3040
VCEL,2002-03-15,124.8,124.8,121.6,124.8,2925
VCEL,2002-03-18,123.2,126.4,112,118.4,2720
VCEL,2002-03-19,115.2,121.6,113.6,120,1508
VCEL,2002-03-20,118.4,120,113.6,115.2,884
VCEL,2002-03-21,118.4,121.6,115.2,118.4,1160
VCEL,2002-03-22,120,128,97.6,120,2896
VCEL,2002-03-25,118.4,123.2,116.8,120,630
VCEL,2002-03-26,118.4,120,116.8,116.8,603
VCEL,2002-03-27,118.4,120,115.2,118.4,529
VCEL,2002-03-28,118.4,118.4,115.2,116.8,1061
VCEL,2002-04-01,118.4,120,113.6,113.6,488
VCEL,2002-04-02,115.2,116.8,110.4,112,2371
VCEL,2002-04-03,112,115.2,105.6,107.2,915
VCEL,2002-04-04,104,105.6,97.6,97.6,2374
VCEL,2002-04-05,100.8,107.2,99.2,107.2,911
VCEL,2002-04-08,104,108.8,100.8,102.4,560
VCEL,2002-04-09,107.2,112,102.4,102.4,1335
VCEL,2002-04-10,102.4,107.2,100.8,102.4,535
VCEL,2002-04-11,104,104,99.2,102.4,340
VCEL,2002-04-12,100.8,107.2,100.8,105.6,291
VCEL,2002-04-15,104,105.6,100.8,100.8,408
VCEL,2002-04-16,99.2,105.6,99.2,100.8,456
VCEL,2002-04-17,100.8,107.2,100.8,107.2,751
VCEL,2002-04-18,107.2,108.8,102.4,102.4,676
VCEL,2002-04-19,104,108.8,104,107.2,458
VCEL,2002-04-22,107.2,112,104,108.8,846
VCEL,2002-04-23,108.8,118.4,105.6,110.4,1658
VCEL,2002-04-24,113.6,115.2,105.6,105.6,565
VCEL,2002-04-25,107.2,108.8,104,104,473
VCEL,2002-04-26,107.2,107.2,99.2,100.8,560
VCEL,2002-04-29,105.6,107.2,99.2,107.2,1473
VCEL,2002-04-30,104,115.2,104,112,1444
VCEL,2002-05-01,113.6,113.6,105.6,105.6,664
VCEL,2002-05-02,105.6,108.8,102.4,104,326
VCEL,2002-05-03,102.4,113.6,102.4,113.6,928
VCEL,2002-05-06,110.4,112,102.4,104,479
VCEL,2002-05-07,104,108.8,100.8,102.4,584
VCEL,2002-05-08,102.4,107.2,102.4,104,420
VCEL,2002-05-09,102.4,107.2,99.2,100.8,671
VCEL,2002-05-10,100.8,108.8,96,97.6,774
VCEL,2002-05-13,99.2,100.8,96,96,720
VCEL,2002-05-14,97.6,99.2,89.6,92.8,1084
VCEL,2002-05-15,92.8,94.4,72,73.6,2225
VCEL,2002-05-16,76.8,86.4,72,86.4,2013
VCEL,2002-05-17,86.4,91.2,80,86.4,738
VCEL,2002-05-20,86.4,88,81.6,81.6,759
VCEL,2002-05-21,81.6,84.8,75.2,75.2,1178
VCEL,2002-05-22,89.6,96,81.6,86.4,4806
VCEL,2002-05-23,86.4,89.6,80,84.8,928
VCEL,2002-05-24,83.2,86.4,80,83.2,653
VCEL,2002-05-28,80,86.4,78.4,84.8,442
VCEL,2002-05-29,84.8,86.4,80,81.6,290
