ticker,date,open,high,low,close,volume
VIVE,2016-06-14,5000,5140,4740,4950,345
VIVE,2016-06-15,4800,5050,4750,4900,49
VIVE,2016-06-16,4950,5000,4910,4990,23
VIVE,2016-06-17,4510,5000,4510,4980,32
VIVE,2016-06-20,5000,5000,4850,4940,3
VIVE,2016-06-21,4900,4950,4630,4660,18
VIVE,2016-06-22,4730,4840,4470,4470,6
VIVE,2016-06-23,4600,4600,4020,4500,25
VIVE,2016-06-24,4500,4800,4370,4740,15
VIVE,2016-06-27,4550,4780,4500,4760,40
VIVE,2016-06-28,4820,4820,4100,4250,36
VIVE,2016-06-29,4280,4400,4110,4310,10
VIVE,2016-06-30,4300,4400,4100,4100,7
VIVE,2016-07-01,4110,4290,4110,4270,5
VIVE,2016-07-05,4380,4410,4130,4130,22
VIVE,2016-07-06,4200,4200,4100,4100,35
VIVE,2016-07-07,4170,4710,4170,4520,24
VIVE,2016-07-08,4550,4660,4550,4550,3
VIVE,2016-07-11,4420,4420,4130,4350,23
VIVE,2016-07-12,4250,4460,4250,4390,5
VIVE,2016-07-13,4310,4420,4270,4360,30
VIVE,2016-07-14,4360,4580,4340,4470,53
VIVE,2016-07-15,4700,4700,4480,4690,19
VIVE,2016-07-18,4700,4980,4650,4940,56
VIVE,2016-07-19,5000,5000,4790,4880,11
VIVE,2016-07-20,4880,4980,4830,4950,40
VIVE,2016-07-21,4930,4960,4660,4900,43
VIVE,2016-07-22,5000,5190,4910,5010,67
VIVE,2016-07-25,5000,5050,4610,5020,29
VIVE,2016-07-26,5040,5100,5040,5080,22
VIVE,2016-07-27,5080,5290,4910,5290,29
VIVE,2016-07-28,5040,6350,5040,5480,44
VIVE,2016-07-29,5470,6370,5350,5910,57
VIVE,2016-08-01,5970,6190,5690,6000,26
VIVE,2016-08-02,6020,6100,5860,6000,5
VIVE,2016-08-03,6100,6100,5730,6000,24
VIVE,2016-08-04,6000,6600,6000,6250,22
VIVE,2016-08-05,6250,7040,6250,6720,25
VIVE,2016-08-08,6720,6880,6390,6850,37
VIVE,2016-08-09,6920,8000,6710,7850,34
VIVE,2016-08-10,7850,9000,7280,7570,39
VIVE,2016-08-11,7500,7760,6910,7110,33
VIVE,2016-08-12,7180,7740,7030,7480,40
VIVE,2016-08-15,7260,7900,7250,7650,38
VIVE,2016-08-16,7690,7740,7050,7320,45
VIVE,2016-08-17,7470,7730,7110,7410,17
VIVE,2016-08-18,7460,7750,7450,7750,17
VIVE,2016-08-19,7750,7900,7500,7820,15
VIVE,2016-08-22,7760,7900,7620,7890,11
VIVE,2016-08-23,7800,7820,7600,7790,15
VIVE,2016-08-24,7670,8300,7650,8170,24
VIVE,2016-08-25,8390,9200,8029.999,8950,100
VIVE,2016-08-26,9210,9450,8910,9380,89
VIVE,2016-08-29,9380,10000,8810,9190,151
VIVE,2016-08-30,9100,9100,8500,8700,34
VIVE,2016-08-31,8690,9000,8500,9000,25
VIVE,2016-09-01,8950,9380,8800,8970,47
VIVE,2016-09-02,8970,9090,8530,8700,33
VIVE,2016-09-06,8620,8890,7400,7580,71
VIVE,2016-09-07,7620,8230,7610,8090,32
VIVE,2016-09-08,8090,8480,7770,7990,30
VIVE,2016-09-09,7950,8490,7250,7580,89
VIVE,2016-09-12,7540,7630,7200,7270,44
VIVE,2016-09-13,7360,7360,7000,7170,24
VIVE,2016-09-14,6810,7160,6250,6370,105
VIVE,2016-09-15,6720,7290,6680,7010,53
VIVE,2016-09-16,7010,7350,6710,6710,103
VIVE,2016-09-19,6700,7000,6550,7000,32
VIVE,2016-09-20,7350,7600,7010,7210,78
VIVE,2016-09-21,7390,7600,7250,7570,26
VIVE,2016-09-22,7600,7640,6950,7000,73
VIVE,2016-09-23,7140,7300,7000,7070,23
VIVE,2016-09-26,7010,7350,7010,7140,31
VIVE,2016-09-27,7320,7350,6930,7250,56
VIVE,2016-09-28,7140,7330,6580,6930,124
VIVE,2016-09-29,6880,7260,6660,7090,31
VIVE,2016-09-30,7010,7360,7000,7220,39
VIVE,2016-10-03,7200,7340,6270,7020,109
VIVE,2016-10-04,7140,7160,6890,6900,55
VIVE,2016-10-05,6840,7190,6280,7010,5
VIVE,2016-10-06,7000,7000,6700,6700,6
VIVE,2016-10-07,7180,7990,7020,7030,116
VIVE,2016-10-10,7230,7360,7070,7130,11
VIVE,2016-10-11,7330,7330,6550,7050,15
VIVE,2016-10-12,6600,7140,6600,6760,19
VIVE,2016-10-13,6860,7040,6660,6700,17
VIVE,2016-10-14,6930,7000,6610,6700,17
VIVE,2016-10-17,6620,6840,6390,6500,38
VIVE,2016-10-18,6430,6780,6430,6660,26
VIVE,2016-10-19,6960,6990,6560,6560,60
VIVE,2016-10-20,6750,6830,6680,6710,9
VIVE,2016-10-21,6660,6810,6520,6680,9
VIVE,2016-10-24,6580,6650,6000,6060,67
VIVE,2016-10-25,6100,6200,5600,5700,24
VIVE,2016-10-26,5920,5920,5210,5430,25
VIVE,2016-10-27,5530,6480,5400,5410,21
VIVE,2016-10-28,5470,5570,5300,5360,13
VIVE,2016-10-31,5410,5950,5200,5200,11
VIVE,2016-11-01,5210,5360,4570,4900,17
VIVE,2016-11-02,4780,5160,4380,4450,31
VIVE,2016-11-03,4520,5310,4520,4900,28
VIVE,2016-11-04,4860,5480,4690,5040,90
VIVE,2016-11-07,5470,6070,5220,5220,40
VIVE,2016-11-08,5260,6000,4900,5640,156
VIVE,2016-11-09,5840,5920,4910,5910,36
VIVE,2016-11-10,6210,6210,5330,5760,19
VIVE,2016-11-11,6490,6960,5510,5560,23
VIVE,2016-11-14,5620,6180,5600,5600,5
VIVE,2016-11-15,5670,5900,5670,5760,5
VIVE,2016-11-16,5690,5700,5300,5600,11
VIVE,2016-11-17,5250,6600,5250,6340,37
VIVE,2016-11-18,6550,7000,5510,6640,30
VIVE,2016-11-21,6750,6930,6310,6770,37
VIVE,2016-11-22,6650,6680,6190,6460,10
VIVE,2016-11-23,6400,6560,6350,6440,2
VIVE,2016-11-25,6350,7000,6350,6960,2
VIVE,2016-11-28,7010,7010,6310,6600,13
VIVE,2016-11-29,6640,6670,6140,6140,34
VIVE,2016-11-30,6310,6480,6050,6430,35
VIVE,2016-12-01,6450,6630,5630,5680,26
VIVE,2016-12-02,5810,6070,5610,5900,36
VIVE,2016-12-05,6000,6200,6000,6200,11
VIVE,2016-12-06,6380,6570,6180,6200,9
VIVE,2016-12-07,6300,6700,6070,6270,7
VIVE,2016-12-08,6010,6150,6000,6070,11
VIVE,2016-12-09,6390,6390,6060,6110,2
VIVE,2016-12-12,6230,6230,5500,5790,13
VIVE,2016-12-13,5510,6060,5510,5700,15
VIVE,2016-12-14,5670,5740,5510,5640,19
VIVE,2016-12-15,5530,5530,5200,5210,89
VIVE,2016-12-16,4920,5640,4910,5110,152
VIVE,2016-12-19,5210,5580,4950,5430,36
VIVE,2016-12-20,5330,5390,5000,5280,48
VIVE,2016-12-21,5200,5260,5100,5170,39
VIVE,2016-12-22,5250,5840,5150,5220,39
VIVE,2016-12-23,5220,5320,5170,5220,31
VIVE,2016-12-27,5340,5560,5160,5200,16
VIVE,2016-12-28,5040,5670,4900,4920,44
VIVE,2016-12-29,5100,5200,4600,5070,21
VIVE,2016-12-30,5010,5150,4650,5150,34
VIVE,2017-01-03,5130,5260,5030,5180,37
VIVE,2017-01-04,5170,5170,4880,4970,32
VIVE,2017-01-05,5030,5200,4930,5110,19
VIVE,2017-01-06,5050,5120,4950,5090,22
VIVE,2017-01-09,5050,5140,4910,5100,40
VIVE,2017-01-10,4930,5090,4920,5050,19
VIVE,2017-01-11,4810,5040,4810,4910,16
VIVE,2017-01-12,4990,4990,4800,4900,24
VIVE,2017-01-13,4800,5090,4800,4960,12
VIVE,2017-01-17,5040,5040,4750,4810,24
VIVE,2017-01-18,4940,4980,4750,4810,37
VIVE,2017-01-19,4880,4900,4770,4900,7
VIVE,2017-01-20,4870,4870,4760,4790,16
VIVE,2017-01-23,4850,4920,4800,4920,9
VIVE,2017-01-24,4910,5220,4860,5190,33
VIVE,2017-01-25,5150,5350,5050,5270,14
VIVE,2017-01-26,5340,5350,5100,5250,14
VIVE,2017-01-27,5230,5300,5110,5270,31
VIVE,2017-01-30,5250,5260,4940,4950,52
VIVE,2017-01-31,5040,5110,4900,4980,17
VIVE,2017-02-01,5000,5000,4910,4940,7
VIVE,2017-02-02,5010,5050,4910,5000,5
VIVE,2017-02-03,5050,5050,4950,4960,9
VIVE,2017-02-06,5010,5010,4830,4850,10
VIVE,2017-02-07,5090,5090,4830,4910,5
VIVE,2017-02-08,4930,4960,4850,4930,4
VIVE,2017-02-09,5000,5080,4880,4980,7
VIVE,2017-02-10,5070,5070,4950,5000,32
VIVE,2017-02-13,5030,5030,4950,4960,10
VIVE,2017-02-14,5050,5050,4990,5000,111
VIVE,2017-02-15,5000,5010,4970,4970,50
VIVE,2017-02-16,5000,5030,4910,4920,70
VIVE,2017-02-17,5260,5400,4700,4730,223
VIVE,2017-02-21,4930,5150,4920,5100,182
VIVE,2017-02-22,5180,5240,4990,5010,113
VIVE,2017-02-23,4850,4910,4250,4340,226
VIVE,2017-02-24,4300,4550,4260,4400,148
VIVE,2017-02-27,4400,4490,4160,4390,83
VIVE,2017-02-28,4310,4450,4210,4410,66
VIVE,2017-03-01,4430,4660,4260,4380,40
VIVE,2017-03-02,4290,4390,4250,4300,17
VIVE,2017-03-03,4430,4680,4280,4460,38
VIVE,2017-03-06,4470,4530,4050.0005,4110,54
