ticker,date,open,high,low,close,volume
VRAY,2015-08-10,5,5,5,5,5000
VRAY,2015-08-14,7.5,7.5,6.25,6.25,1400
VRAY,2015-08-18,6.25,6.25,6.25,6.25,100
VRAY,2015-08-26,6.45,6.75,6.45,6.75,4800
VRAY,2015-08-27,6.8,6.8,6.8,6.8,200
VRAY,2015-08-28,6.85,6.85,6.85,6.85,600
VRAY,2015-08-31,6.85,6.85,6.8,6.8,1700
VRAY,2015-09-01,6.8,6.8,6.8,6.8,100
VRAY,2015-09-02,6.8,6.85,6.8,6.85,400
VRAY,2015-09-03,6.65,6.8,6.65,6.8,1200
VRAY,2015-09-11,6.75,6.8,6.75,6.8,1000
VRAY,2015-09-16,6.8,6.8,6.8,6.8,100
VRAY,2015-09-21,6.6,6.6,6.6,6.6,800
VRAY,2015-09-24,6.25,6.25,6.25,6.25,100
VRAY,2015-09-28,6,6,5.85,5.85,400
VRAY,2015-09-30,5.5,5.5,5,5.18,2200
VRAY,2015-10-02,4.95,4.95,3.25,4.25,7600
VRAY,2015-10-05,5.05,5.05,5.05,5.05,100
VRAY,2015-10-06,5.5,5.5,4.5,4.5,400
VRAY,2015-10-07,5.5,5.5,5.5,5.5,700
VRAY,2015-10-08,5.5,5.5,5.5,5.5,100
VRAY,2015-10-12,5.05,5.05,4.5,4.5,3400
VRAY,2015-10-15,5.2,5.2,5.2,5.2,100
VRAY,2015-10-16,4.5,4.5,4.5,4.5,200
VRAY,2015-10-22,4.5,4.5,4.5,4.5,100
VRAY,2015-10-26,4.5,4.5,4.5,4.5,200
VRAY,2015-10-29,4.5,4.5,4.5,4.5,500
VRAY,2015-10-30,4.5,4.5,4.5,4.5,100
VRAY,2015-11-05,4.75,4.75,4.75,4.75,100
VRAY,2015-11-06,4.75,4.75,4.75,4.75,100
VRAY,2015-11-10,4.75,4.75,4.75,4.75,100
VRAY,2015-11-11,4.5,4.5,4.5,4.5,500
VRAY,2015-11-12,4.5,4.5,4.5,4.5,600
VRAY,2015-11-24,4.5,4.5,4.5,4.5,400
