ticker,date,open,high,low,close,volume
VRTX,2002-04-03,28.65,28.65,26.09,26.83,1111000
VRTX,2002-04-04,26.6,27.39,26.15,26.6,632800
VRTX,2002-04-05,26.78,27.25,25.53,26.19,612300
VRTX,2002-04-08,26.1,27,25.7,26.85,740700
VRTX,2002-04-09,26.98,27.05,25.8,25.9,964900
VRTX,2002-04-10,26.06,27.85,26.05,27.25,770500
VRTX,2002-04-11,27.32,28.19,26.66,26.7,814400
VRTX,2002-04-12,27,28.5,26.82,28.15,846000
VRTX,2002-04-15,28.14,30.93,28.02,30.82,1389400
VRTX,2002-04-16,30.94,31.94,29.82,30.43,1404200
VRTX,2002-04-17,30.44,30.95,30.12,30.4,820600
VRTX,2002-04-18,30.41,30.98,30.23,30.94,1261600
VRTX,2002-04-19,32.4,32.45,30.97,31.61,1634500
VRTX,2002-04-22,31.5,31.6,29.5,30.01,989100
VRTX,2002-04-23,30.29,30.95,28.59,28.76,921000
VRTX,2002-04-24,28.2,28.2,22.95,23.41,5608300
VRTX,2002-04-25,22.29,22.3,19.7,20.5,3608500
VRTX,2002-04-26,21.4,21.47,19.85,20.22,1194900
VRTX,2002-04-29,19.25,20.72,19.24,20.1,893100
VRTX,2002-04-30,19.8,21.39,19.52,21.27,986200
VRTX,2002-05-01,21.08,21.25,19.78,20.75,775400
VRTX,2002-05-02,20.7,20.71,19.01,19.22,989800
VRTX,2002-05-03,19.15,19.15,17.85,18.19,1558100
VRTX,2002-05-06,17.8,18.35,16.75,17,1070000
VRTX,2002-05-07,17.1,17.29,16,16.89,1103200
VRTX,2002-05-08,17.42,18.9,17.15,18.89,1249800
VRTX,2002-05-09,18.55,19.18,17.23,17.23,792400
VRTX,2002-05-10,17.6,17.75,16.8,17.14,792100
VRTX,2002-05-13,17.29,18.38,17.16,18.38,1059400
VRTX,2002-05-14,18.71,19.71,18.71,19.57,902800
VRTX,2002-05-15,19.4,20.09,18.79,19.48,729400
VRTX,2002-05-16,19.51,19.7,18.53,18.53,672600
VRTX,2002-05-17,18.4,19.75,18.14,19.51,838900
VRTX,2002-05-20,19.3,19.39,18.45,18.55,454400
VRTX,2002-05-21,18.82,19.3,18.11,18.4,1010500
VRTX,2002-05-22,17.95,19.16,17.92,18.93,579500
VRTX,2002-05-23,19.2,21.79,18.75,21.45,1044500
VRTX,2002-05-24,21.4,21.43,19.48,19.53,912900
VRTX,2002-05-28,19.75,20.79,19.22,20.64,680800
VRTX,2002-05-29,20.64,20.89,20.05,20.08,455100
VRTX,2002-05-30,19.54,20.08,19.4,20.03,639500
VRTX,2002-05-31,20.08,20.25,19.44,19.73,581500
VRTX,2002-06-03,19.73,19.73,18.21,18.33,545600
VRTX,2002-06-04,18.06,18.33,17.5,18.22,744000
VRTX,2002-06-05,18.12,18.94,17.9,18.5,397500
VRTX,2002-06-06,18.61,18.65,17.16,17.25,792300
VRTX,2002-06-07,16.89,17.95,16.33,17.42,695600
VRTX,2002-06-10,17.4,18.59,17.4,17.68,392400
VRTX,2002-06-11,17.74,18.14,16,16.1,765700
VRTX,2002-06-12,16.09,16.8,15.52,16.22,1348800
VRTX,2002-06-13,15.97,17.34,15.8,16.61,1034200
VRTX,2002-06-14,16.48,18.24,16.14,17.83,776100
VRTX,2002-06-17,17.87,19.19,17.75,18.54,703200
VRTX,2002-06-18,18.8,19.57,18.15,18.77,748700
VRTX,2002-06-19,18.68,19.11,18.03,18.09,634800
VRTX,2002-06-20,18.19,18.22,16.75,16.8,790100
VRTX,2002-06-21,16.88,17.4,16.11,16.36,852200
VRTX,2002-06-24,16.31,17.26,15.71,16.42,872000
VRTX,2002-06-25,16.8,17.1,15.65,16,901700
VRTX,2002-06-26,15.75,16.15,15.02,15.9,738000
VRTX,2002-06-27,15.92,16.72,15.68,16.1,783100
VRTX,2002-06-28,16.11,18,15.8,16.28,2008000
VRTX,2002-07-01,16.5,16.91,15.11,15.37,734400
VRTX,2002-07-02,15.21,15.77,14.1,14.73,867200
VRTX,2002-07-03,14.45,15.5,14.01,15.11,859900
VRTX,2002-07-05,15.18,16.16,15.16,15.78,210100
VRTX,2002-07-08,15.7,15.98,15.06,15.07,453700
VRTX,2002-07-09,14.99,15.34,14.38,14.89,721500
VRTX,2002-07-10,14.85,15.08,12.67,12.95,1270300
VRTX,2002-07-11,13.58,14.34,12.7,14.3,1048700
VRTX,2002-07-12,14.25,15.24,14,14.48,600000
VRTX,2002-07-15,14.52,15.01,14.11,14.84,571300
VRTX,2002-07-16,14.95,17.12,14.7,15.6,1240800
VRTX,2002-07-17,16.05,17.21,15.66,16.47,912700
VRTX,2002-07-18,16.51,16.69,15.28,15.7,620000
VRTX,2002-07-19,15.94,15.94,14.85,15.75,1212100
VRTX,2002-07-22,15.46,16.55,15.2,15.83,1074000
VRTX,2002-07-23,16.01,16.74,15.11,15.6,953400
VRTX,2002-07-24,15.38,16.84,14.6,16.65,1635300
VRTX,2002-07-25,16.76,18.27,16.32,16.95,1214300
VRTX,2002-07-26,16.95,18.35,16.45,17.48,980800
VRTX,2002-07-29,17.52,18.87,17.3,18.5,911900
VRTX,2002-07-30,18.47,19.93,17.67,19.75,1055800
VRTX,2002-07-31,19.67,20.83,19.41,19.74,1199800
VRTX,2002-08-01,19.6,19.91,18.57,18.57,595800
VRTX,2002-08-02,18.51,19.35,17.6,18.43,680800
VRTX,2002-08-05,18.39,18.8,17.1,17.12,654700
VRTX,2002-08-06,17.31,18.31,17.3,18.25,841700
VRTX,2002-08-07,18.57,19.05,17.39,18.38,1117600
VRTX,2002-08-08,18.7,19.56,18.13,19.53,1015600
VRTX,2002-08-09,18.99,19.96,18.8,19.3,965900
VRTX,2002-08-12,19.2,20.62,18.89,20.25,457400
VRTX,2002-08-13,20.05,20.55,19.22,19.51,875800
VRTX,2002-08-14,19.41,20.9,18.76,20.9,785100
VRTX,2002-08-15,20.89,22.83,20.89,22.36,1639800
VRTX,2002-08-16,22.36,22.37,21.16,21.71,823400
VRTX,2002-08-19,21.54,22.1,20.67,21.28,663300
VRTX,2002-08-20,21.22,22.57,20.99,22.02,687600
VRTX,2002-08-21,22.07,23.96,21.93,23.68,1226000
VRTX,2002-08-22,23.65,23.8,22.33,23,1582500
VRTX,2002-08-23,22.9,23.22,22.18,22.41,588500
VRTX,2002-08-26,22.54,22.57,20.86,22.38,628700
