ticker,date,open,high,low,close,volume
WVE,2015-11-11,17.05,17.9,16,16,1364100
WVE,2015-11-12,15.8,16.33,15.79,16,90600
WVE,2015-11-13,16,16.03,15.1,15.9,62000
WVE,2015-11-16,16,16.08,15.89,15.89,7800
WVE,2015-11-17,16,16.14,15.9,15.9,49700
WVE,2015-11-18,16,16,15.8,15.89,26100
WVE,2015-11-19,15.89,15.98,15.51,15.79,48600
WVE,2015-11-20,15.52,16,15.45,16,24900
WVE,2015-11-23,16,16.5,15.65,16,49000
WVE,2015-11-24,15.98,16,15.9,16,11600
WVE,2015-11-25,16,17,15.6,16.08,26100
WVE,2015-11-27,15.94,16.13,15.88,16.09,18000
WVE,2015-11-30,16.08,16.47,15.81,16.25,94500
WVE,2015-12-01,16.35,16.5,16.13,16.49,32700
WVE,2015-12-02,17,17.21,16.6,16.87,14500
WVE,2015-12-03,16.6,17.15,16.12,16.75,108700
WVE,2015-12-04,16.1,17.16,16.1,16.4,120900
WVE,2015-12-07,13.16,16,11.52,14.14,104800
WVE,2015-12-08,14.2,15.4,14,14.22,124300
WVE,2015-12-09,14.22,14.85,12.8,14.16,108800
WVE,2015-12-10,14.16,14.59,13.25,14.28,45800
WVE,2015-12-11,13.75,14.52,13.02,13.78,65800
WVE,2015-12-14,13.71,14.95,12.45,13.08,115000
WVE,2015-12-15,12.88,14.44,12.64,13.51,36700
WVE,2015-12-16,13.94,14.26,12.77,13.79,44700
WVE,2015-12-17,13.7,16.42,13.7,16.05,45800
WVE,2015-12-18,15.98,16.8,14.6,15.32,193800
WVE,2015-12-21,15.61,17.85,15.49,17.31,67100
WVE,2015-12-22,17.61,21,17.01,19.58,93600
WVE,2015-12-23,19.47,19.5,17.04,17.69,76200
WVE,2015-12-24,17.5,17.5,15.32,16.39,38700
WVE,2015-12-28,16.28,17.5,15.53,15.59,95100
WVE,2015-12-29,15.59,16.42,14.31,14.65,49900
WVE,2015-12-30,14.8,15.7,14.57,15.02,16800
WVE,2015-12-31,14.91,16.75,14.87,15.95,58100
WVE,2016-01-04,15.8,15.95,14.69,15.07,39600
WVE,2016-01-05,15.1,15.14,14,14.58,24000
WVE,2016-01-06,14.58,15.39,14,14.17,21800
WVE,2016-01-07,14.21,14.51,14.06,14.06,14900
WVE,2016-01-08,14.05,14.91,12.88,13.2,50800
WVE,2016-01-11,13.56,14.84,13.19,13.36,24800
WVE,2016-01-12,13.56,13.9,12.31,13.23,30100
WVE,2016-01-13,13.24,14.31,13.04,13.25,27000
WVE,2016-01-14,14.48,14.48,12.9,13.1,29900
WVE,2016-01-15,12.98,14.35,12.67,13.98,38000
