ticker,date,open,high,low,close,volume
XNCR,2013-12-03,5.95,8.47,5.75,8.34,1879400
XNCR,2013-12-04,8.27,9.2,7.7,7.85,221300
XNCR,2013-12-05,8,8.16,7.28,7.55,82200
XNCR,2013-12-06,7.35,8.42,7.3,7.76,54100
XNCR,2013-12-09,7.89,8.46,7.81,8.2,45500
XNCR,2013-12-10,8.33,9.13,8.3,8.99,167600
XNCR,2013-12-11,9.01,10.9,8.5,8.76,254000
XNCR,2013-12-12,8.6,8.95,8.29,8.49,69200
XNCR,2013-12-13,8.65,8.65,8.32,8.54,145300
XNCR,2013-12-16,8.32,8.94,8.32,8.74,170200
XNCR,2013-12-17,8.88,8.88,8.35,8.5,122200
XNCR,2013-12-18,8.43,8.79,8.43,8.6,85600
XNCR,2013-12-19,8.37,8.76,8.37,8.59,56500
XNCR,2013-12-20,8.46,8.72,8.33,8.68,93400
XNCR,2013-12-23,8.8,9.3,8.56,8.76,29100
XNCR,2013-12-24,9,9,8.66,8.95,10200
XNCR,2013-12-26,9.11,9.5,9,9.27,85700
XNCR,2013-12-27,9.88,9.99,9.01,9.2,46000
XNCR,2013-12-30,9,9.04,8.35,8.62,97200
XNCR,2013-12-31,8.61,9.47,8.5,9.14,169200
XNCR,2014-01-02,9.39,9.39,8.75,8.88,66000
XNCR,2014-01-03,9.5,9.5,8.97,9.15,126100
XNCR,2014-01-06,9.92,9.92,9.05,9.06,121200
XNCR,2014-01-07,9.29,9.47,8.93,9.23,76500
XNCR,2014-01-08,9.49,9.7,9.31,9.62,66600
XNCR,2014-01-09,9.89,9.9,9.39,9.75,93900
XNCR,2014-01-10,9.75,9.82,9.49,9.61,116400
XNCR,2014-01-13,9.33,9.73,9.25,9.25,61900
XNCR,2014-01-14,9.26,9.49,8.75,8.95,49600
XNCR,2014-01-15,9.3,9.97,9.1,9.79,79700
XNCR,2014-01-16,9.87,9.88,9.4,9.63,52400
XNCR,2014-01-17,9.9,9.9,9.5,9.71,34300
XNCR,2014-01-21,10,10.2,8.2,8.95,155600
XNCR,2014-01-22,9.37,9.37,7.77,8.71,205900
XNCR,2014-01-23,8.91,8.91,8.34,8.51,17700
XNCR,2014-01-24,8.47,8.75,8.15,8.49,145000
XNCR,2014-01-27,8.85,8.85,8.3,8.59,35000
XNCR,2014-01-28,9.72,9.74,8.66,9.04,112200
XNCR,2014-01-29,8.9,9.48,8.4,9.02,65300
XNCR,2014-01-30,9.39,9.39,8.71,8.97,28200
XNCR,2014-01-31,8.86,9.25,8.59,8.79,28200
XNCR,2014-02-03,9,9.22,8.58,9,75100
XNCR,2014-02-04,9.16,9.19,8.76,8.96,15700
XNCR,2014-02-05,9.02,9.56,8.61,9.49,71300
XNCR,2014-02-06,9.45,9.58,9.15,9.17,65200
XNCR,2014-02-07,9.35,9.35,9.01,9.15,46900
XNCR,2014-02-10,9.16,9.39,8.87,9.29,23600
XNCR,2014-02-11,9,9.2,9,9.09,21900
XNCR,2014-02-12,9.14,9.22,9.03,9.14,16300
XNCR,2014-02-13,9.34,9.46,9.02,9.08,34100
XNCR,2014-02-14,9.19,9.19,8.87,8.89,19000
XNCR,2014-02-18,9.25,9.94,9,9.5,261700
XNCR,2014-02-19,9.55,10.45,9.55,10.05,160700
XNCR,2014-02-20,10,10.47,10,10.19,92000
XNCR,2014-02-21,10.2,11.87,10.15,11.05,466500
XNCR,2014-02-24,11.85,11.85,11.11,11.14,112500
XNCR,2014-02-25,11.34,11.6,10.38,11.15,143200
XNCR,2014-02-26,11.29,11.8,11.2,11.43,120400
XNCR,2014-02-27,11.33,11.7,10.89,11.33,108100
XNCR,2014-02-28,11.25,11.3,10.92,11.24,75600
XNCR,2014-03-03,11.32,11.55,11.05,11.3,72300
XNCR,2014-03-04,11.37,12.52,11.16,11.44,202500
XNCR,2014-03-05,11.43,12.05,11.43,11.91,53600
XNCR,2014-03-06,12.07,12.88,11.91,12,172800
XNCR,2014-03-07,12.11,12.59,12,12.5,199900
XNCR,2014-03-10,12.8,13.23,12.6,13.05,188800
XNCR,2014-03-11,13.19,14.34,13.19,13.66,264000
XNCR,2014-03-12,13.65,14.31,13.41,13.9,140600
XNCR,2014-03-13,14,14,13.5,13.68,99900
XNCR,2014-03-14,13.5,14.41,12.75,13.9,111000
XNCR,2014-03-17,13.89,14.08,13.02,13.61,139600
XNCR,2014-03-18,13.68,13.94,12.91,13.4,158300
XNCR,2014-03-19,13.33,13.7,12.96,13.13,131000
XNCR,2014-03-20,13.7,13.7,12.9,13.06,364600
XNCR,2014-03-21,12.99,13.16,12.47,12.47,316100
XNCR,2014-03-24,12.33,12.4,10.57,11.15,274000
XNCR,2014-03-25,11.48,12.47,10.73,12.01,188900
XNCR,2014-03-26,11.98,12.01,10.9,11.12,104800
XNCR,2014-03-27,11.08,11.43,10.31,11.23,193900
XNCR,2014-03-28,11.2,11.83,10.45,10.55,334200
XNCR,2014-03-31,10.53,12,10.53,11.73,1861800
XNCR,2014-04-01,11.6,11.97,11.05,11.95,190000
XNCR,2014-04-02,11.93,12.01,11.39,11.48,110500
XNCR,2014-04-03,11.61,11.72,10.92,11.59,185700
XNCR,2014-04-04,11.56,11.6,10.83,10.9,235800
XNCR,2014-04-07,10.81,11.01,10.19,10.26,126000
XNCR,2014-04-08,10.26,10.37,9.82,10.25,274900
XNCR,2014-04-09,10.25,10.5,10.1,10.29,94200
XNCR,2014-04-10,10.33,10.35,9.57,9.81,91100
XNCR,2014-04-11,9.75,10.02,9.58,9.59,229100
XNCR,2014-04-14,9.68,10.35,9.6,9.74,81200
XNCR,2014-04-15,9.81,10.11,9.41,9.52,103300
XNCR,2014-04-16,9.58,10.62,9.37,10.2,131500
XNCR,2014-04-17,10.88,10.88,10.16,10.34,171000
XNCR,2014-04-21,10.25,10.28,9.91,10.14,311700
XNCR,2014-04-22,10.2,10.39,9.77,10.28,146000
XNCR,2014-04-23,10.3,10.76,10.18,10.22,50900
XNCR,2014-04-24,10.25,11.16,10.08,10.26,39200
XNCR,2014-04-25,10.21,10.77,10.21,10.3,68900
XNCR,2014-04-28,10.29,10.37,9.85,9.89,147600
XNCR,2014-04-29,10.07,10.32,9.84,9.88,21100
XNCR,2014-04-30,9.89,10.16,9.8,9.9,90000
