ticker,date,open,high,low,close,volume
ZGNX,2010-11-23,40,42.8,30.64,31.84,301500
ZGNX,2010-11-24,32,32.8,30.8,31.76,31087
ZGNX,2010-11-26,32,32.48,31.52,32,29200
ZGNX,2010-11-29,32.8,32.8,30.8,31.2,37087
ZGNX,2010-11-30,31.68,31.68,30.4,30.64,16550
ZGNX,2010-12-01,30.8,32.4,30.4,32,19400
ZGNX,2010-12-02,32.8,37.92,32.32,37.12,38987
ZGNX,2010-12-03,37.52,43.52,36.16,42.08,25650
ZGNX,2010-12-06,43.84,50.4,42.8,46.32,36000
ZGNX,2010-12-07,50.56,52,44.8,45.84,18225
ZGNX,2010-12-08,44.4,49.68,44.4,47.44,25350
ZGNX,2010-12-09,49.92,49.92,45.2,47.84,10550
ZGNX,2010-12-10,46.16,48.4,44.16,47.6,11875
ZGNX,2010-12-13,48,48,46,47.36,58837
ZGNX,2010-12-14,45.84,47.76,42.48,46.4,7362
ZGNX,2010-12-15,43.68,47.28,43.6,46.24,5500
ZGNX,2010-12-16,46.4,47.84,45.44,46.48,11750
ZGNX,2010-12-17,47.2,49.6,45.28,47.2,99375
ZGNX,2010-12-20,47.68,49.04,46.4,47.44,8000
ZGNX,2010-12-21,48,48.56,42,44.4,14700
ZGNX,2010-12-22,44.48,48.24,44.48,47.44,19087
ZGNX,2010-12-23,47.68,48.24,46.16,46.48,5600
ZGNX,2010-12-27,47.44,48,46.48,47.76,5925
ZGNX,2010-12-28,46.24,47.2,44.24,45.12,12562
ZGNX,2010-12-29,45.44,45.84,43.44,44.48,2612
ZGNX,2010-12-30,46,46.4,45.12,46.4,5800
ZGNX,2010-12-31,46.4,46.48,45.04,45.36,4025
ZGNX,2011-01-03,47.84,55.2,47.2,50.56,94862
ZGNX,2011-01-04,51.44,53.12,44,46.4,44900
ZGNX,2011-01-05,50.32,50.32,46.56,49.28,15887
ZGNX,2011-01-06,52,52,47.84,49.6,34550
ZGNX,2011-01-07,50,50,47.28,47.6,16300
ZGNX,2011-01-10,47.92,49.6,47.52,47.52,6487
ZGNX,2011-01-11,46.88,48,45.76,46.72,15787
ZGNX,2011-01-12,46.48,46.48,45.6,46.16,8675
ZGNX,2011-01-13,46.16,47.04,45.84,45.84,8912
ZGNX,2011-01-14,47.92,48,45.2,45.6,19975
ZGNX,2011-01-18,45.36,46.72,42,43.12,11537
ZGNX,2011-01-19,42.72,44.24,41.6,41.84,12887
ZGNX,2011-01-20,41.52,42.24,36.8,41.36,14675
ZGNX,2011-01-21,41.76,42.32,40.4,42,5537
ZGNX,2011-01-24,40.96,42,39.84,40.48,12475
ZGNX,2011-01-25,40.48,40.64,39.12,39.84,18412
ZGNX,2011-01-26,40.4,40.48,39.44,40,9687
ZGNX,2011-01-27,42.08,42.08,39.92,40.08,4262
ZGNX,2011-01-28,39.68,39.68,38.08,38.4,6187
ZGNX,2011-01-31,40.72,41.12,38,40.32,7962
ZGNX,2011-02-01,39.76,40.8,39.04,39.28,6262
ZGNX,2011-02-02,39.2,41.04,37.6,37.6,7950
ZGNX,2011-02-03,38,39.2,38,38.72,14637
ZGNX,2011-02-04,38.88,38.88,37.36,37.68,4000
ZGNX,2011-02-07,37.6,37.6,36,36,9062
ZGNX,2011-02-08,36.4,36.56,34.8,34.88,7700
ZGNX,2011-02-09,34.8,36,33.92,33.92,15250
ZGNX,2011-02-10,34,34.4,32.16,32.32,17262
ZGNX,2011-02-11,34.16,34.16,32,32.16,11712
ZGNX,2011-02-14,31.68,32.88,31.6,31.68,10375
ZGNX,2011-02-15,31.6,31.6,30.88,30.96,7150
ZGNX,2011-02-16,30.4,30.64,28.8,29.04,23925
ZGNX,2011-02-17,29.28,31.68,29.12,30.4,28350
ZGNX,2011-02-18,30.4,33.2,30,30.64,16962
ZGNX,2011-02-22,30.56,30.72,29.36,29.76,9225
ZGNX,2011-02-23,30,30.32,28.88,29.04,9937
ZGNX,2011-02-24,29.12,30.8,28,29.04,12275
ZGNX,2011-02-25,28.4,33.44,28.4,32.8,27675
ZGNX,2011-02-28,33.44,34,32.32,32.64,12512
ZGNX,2011-03-01,34,34,32.88,33.92,5400
ZGNX,2011-03-02,35.12,35.12,33.2,33.68,8162
ZGNX,2011-03-03,34.32,34.32,32.96,33.28,8437
ZGNX,2011-03-04,33.6,37.92,33.6,37.92,20925
ZGNX,2011-03-07,38.16,38.4,36.4,36.96,14012
ZGNX,2011-03-08,37.2,40.24,36.88,39.76,13775
ZGNX,2011-03-09,39.68,43.44,39.68,41.2,20850
ZGNX,2011-03-10,40.16,52.88,39.52,45.2,32287
ZGNX,2011-03-11,42,44.48,42,44.24,7387
ZGNX,2011-03-14,42.16,42.96,38.8,40.88,15475
ZGNX,2011-03-15,37.28,39.52,34,37.28,16237
ZGNX,2011-03-16,37.2,38.88,36.56,37.52,7312
ZGNX,2011-03-17,38.16,39.12,37.12,37.44,5975
ZGNX,2011-03-18,37.68,40.32,37.68,38.8,10862
ZGNX,2011-03-21,42.72,43.2,39.28,40.08,12062
ZGNX,2011-03-22,40.08,40.64,39.2,40.24,4787
ZGNX,2011-03-23,39.44,39.68,37.6,39.44,3400
ZGNX,2011-03-24,39.28,39.36,36.64,37.36,5525
ZGNX,2011-03-25,38.4,39.36,36.8,39.2,4775
ZGNX,2011-03-28,37.2,38.24,36.88,37.84,9062
ZGNX,2011-03-29,38,39.2,37.28,39.2,5175
ZGNX,2011-03-30,39.68,39.84,38.56,39.2,2100
ZGNX,2011-03-31,39.12,40,38.56,40,4675
ZGNX,2011-04-01,40.08,41.12,40,40.32,4412
ZGNX,2011-04-04,40.32,40.72,38.96,40.08,3312
ZGNX,2011-04-05,40,41.12,40,40.96,2312
ZGNX,2011-04-06,40.96,40.96,39.68,40.08,4362
ZGNX,2011-04-07,40.08,40.72,39.12,39.12,9812
ZGNX,2011-04-08,39.04,39.52,38.64,38.64,2500
ZGNX,2011-04-11,38.32,39.04,38.24,38.48,3062
ZGNX,2011-04-12,38.32,38.96,36,36.8,4187
ZGNX,2011-04-13,37.2,38.64,37.2,38.32,4062
ZGNX,2011-04-14,38.72,40.8,38,39.68,9450
ZGNX,2011-04-15,40.56,40.72,39.36,40.64,6387
ZGNX,2011-04-18,40,40,37.36,37.52,3462
ZGNX,2011-04-19,37.6,38.8,35.6,37.04,6450
ZGNX,2011-04-20,37.76,38.08,36.56,37.44,2387
ZGNX,2011-04-21,37.92,39.44,36.08,37.6,5600
ZGNX,2011-04-25,36.56,38,36.56,37.36,4162
ZGNX,2011-04-26,37.36,38.4,36.88,38.24,4187
ZGNX,2011-04-27,38.16,38.4,36.8,37.52,3237
ZGNX,2011-04-28,36.72,37.52,36,37.52,9300
ZGNX,2011-04-29,37.68,40.64,36,39.76,9662
ZGNX,2011-05-02,39.36,40.48,37.6,37.6,3537
ZGNX,2011-05-03,37.68,38.72,36.64,38.16,4600
ZGNX,2011-05-04,38.48,38.8,37.44,37.76,3437
ZGNX,2011-05-05,37.84,38.16,37.36,37.36,1687
ZGNX,2011-05-06,38.08,38.08,36.8,36.96,2850
ZGNX,2011-05-09,37.04,37.52,36.8,37.12,2087
ZGNX,2011-05-10,36.96,37.44,36.56,36.72,5475
ZGNX,2011-05-11,36.32,37.12,35.04,35.04,10162
ZGNX,2011-05-12,34.8,36.32,34.8,35.76,5537
ZGNX,2011-05-13,36.48,36.64,35.36,35.68,9900
ZGNX,2011-05-16,36,38.16,34.8,34.8,12700
ZGNX,2011-05-17,35.04,35.04,32.08,32.24,15162
ZGNX,2011-05-18,32.24,32.88,30.88,31.6,10587
ZGNX,2011-05-19,31.76,31.76,29.44,29.52,15187
