ticker,date,close,volume,open,high,low
ABEO,02/10/2022,$0.2664,"1,974,705",$0.263,$0.28,$0.2551
ABEO,02/09/2022,$0.2659,"1,377,154",$0.2684,$0.2728,$0.2522
ABEO,02/08/2022,$0.252,"1,384,665",$0.2626,$0.2626,$0.2468
ABEO,02/07/2022,$0.2626,"939,575",$0.2574,$0.27,$0.2513
ABEO,02/04/2022,$0.2547,"1,187,537",$0.24,$0.2585,$0.24
ABEO,02/03/2022,$0.245,"1,896,649",$0.25,$0.2604,$0.2402
ABEO,02/02/2022,$0.2555,"3,748,508",$0.2995,$0.3,$0.2525
ABEO,02/01/2022,$0.28,"3,451,336",$0.26,$0.284,$0.2571
ABEO,01/31/2022,$0.2552,"2,834,952",$0.2478,$0.2625,$0.2341
ABEO,01/28/2022,$0.2341,"2,271,165",$0.2273,$0.2355,$0.2195
ABEO,01/27/2022,$0.2234,"2,186,649",$0.2582,$0.2582,$0.2199
ABEO,01/26/2022,$0.2399,"2,817,383",$0.2687,$0.2687,$0.2303
ABEO,01/25/2022,$0.2443,"3,408,394",$0.225,$0.2567,$0.2249
ABEO,01/24/2022,$0.2271,"3,745,412",$0.23,$0.23,$0.2058
ABEO,01/21/2022,$0.2301,"3,340,299",$0.255,$0.2581,$0.229
ABEO,01/20/2022,$0.2513,"2,999,825",$0.26,$0.2679,$0.2502
ABEO,01/19/2022,$0.2566,"2,440,272",$0.258,$0.2692,$0.2508
ABEO,01/18/2022,$0.2601,"3,089,187",$0.256,$0.27,$0.256
ABEO,01/14/2022,$0.273,"7,436,724",$0.3,$0.3,$0.255
ABEO,01/13/2022,$0.2705,"4,326,440",$0.3,$0.3,$0.27
ABEO,01/12/2022,$0.2915,"3,867,091",$0.3199,$0.32,$0.29
ABEO,01/11/2022,$0.3073,"2,222,537",$0.3014,$0.32,$0.3
ABEO,01/10/2022,$0.3013,"1,994,285",$0.3108,$0.328,$0.295
ABEO,01/07/2022,$0.3108,"2,591,745",$0.3179,$0.3298,$0.305
ABEO,01/06/2022,$0.3151,"1,965,248",$0.3245,$0.3398,$0.3018
ABEO,01/05/2022,$0.3203,"2,362,320",$0.35,$0.3585,$0.32
ABEO,01/04/2022,$0.3483,"2,653,812",$0.367,$0.385,$0.33
ABEO,01/03/2022,$0.37,"6,276,152",$0.3475,$0.3759,$0.34
ABEO,12/31/2021,$0.337,"3,835,293",$0.3189,$0.3538,$0.316
ABEO,12/30/2021,$0.3194,"6,625,493",$0.3009,$0.329,$0.2995
ABEO,12/29/2021,$0.2867,"4,154,544",$0.2972,$0.3029,$0.286
ABEO,12/28/2021,$0.303,"4,112,159",$0.3201,$0.33,$0.295
ABEO,12/27/2021,$0.3199,"6,088,185",$0.3644,$0.374,$0.315
ABEO,12/23/2021,$0.3614,"5,109,308",$0.339,$0.37,$0.335
ABEO,12/22/2021,$0.3255,"4,510,294",$0.3176,$0.334,$0.3134
ABEO,12/21/2021,$0.3293,"8,976,023",$0.309,$0.3355,$0.298
