ticker,date,close,volume,open,high,low
ALBO,02/10/2022,$31.84,"256,081",$31.75,$33.139,$31.23
ALBO,02/09/2022,$32.11,"223,284",$30.25,$32.25,$30.25
ALBO,02/08/2022,$30.15,"199,195",$30.75,$31.085,$29.64
ALBO,02/07/2022,$31,"226,240",$30.73,$31.52,$29.725
ALBO,02/04/2022,$30.85,"392,614",$28.71,$31.15,$28.17
ALBO,02/03/2022,$28.81,"249,202",$29.6,$29.81,$28.71
ALBO,02/02/2022,$30.12,"355,211",$29.9,$31.27,$29.22
ALBO,02/01/2022,$29.78,"292,443",$28.44,$29.83,$27.91
ALBO,01/31/2022,$28.49,"282,334",$27.1,$28.85,$26.72
ALBO,01/28/2022,$27.3,"252,776",$25.73,$27.39,$24.94
ALBO,01/27/2022,$25.68,"353,882",$26.96,$27.88,$25.39
ALBO,01/26/2022,$26.65,"305,446",$26.08,$28.19,$25.75
ALBO,01/25/2022,$26.03,"137,922",$25.55,$26.5,$24.9519
ALBO,01/24/2022,$26.17,"254,306",$24.85,$26.26,$24.45
ALBO,01/21/2022,$25.46,"167,056",$25.53,$26.27,$25.28
ALBO,01/20/2022,$25.8,"176,142",$27.19,$27.63,$25.68
ALBO,01/19/2022,$26.88,"152,786",$26.65,$27.67,$26.06
ALBO,01/18/2022,$26.75,"206,585",$26.66,$27.32,$26.43
ALBO,01/14/2022,$27.14,"164,247",$25.33,$27.14,$25.21
ALBO,01/13/2022,$25.73,"188,463",$25.8,$26.52,$25.1
ALBO,01/12/2022,$25.82,"202,621",$26.64,$27.07,$25.82
ALBO,01/11/2022,$26.7,"153,623",$25.81,$26.71,$25.56
ALBO,01/10/2022,$25.85,"308,607",$25.83,$26.4098,$25.31
ALBO,01/07/2022,$26.14,"287,353",$25.83,$26.74,$25.715
ALBO,01/06/2022,$25.86,"278,598",$24.91,$25.91,$24.1
ALBO,01/05/2022,$24.31,"584,950",$25.13,$25.69,$24.065
ALBO,01/04/2022,$23.94,"195,797",$24.26,$24.635,$23.7501
ALBO,01/03/2022,$24.31,"168,882",$24.1,$24.33,$23.17
ALBO,12/31/2021,$23.29,"122,817",$23.54,$23.9849,$23.1101
ALBO,12/30/2021,$23.63,"87,747",$23.5,$24.41,$23.48
ALBO,12/29/2021,$23.56,"121,643",$23.93,$24,$23.2106
ALBO,12/28/2021,$23.8,"103,469",$23.82,$24.45,$23.74
ALBO,12/27/2021,$23.93,"117,460",$24.55,$24.61,$23.7
ALBO,12/23/2021,$24.62,"105,119",$24,$24.975,$23.82
ALBO,12/22/2021,$23.83,"116,877",$23.73,$24.163,$23.27
ALBO,12/21/2021,$23.75,"155,961",$23.99,$24.11,$23.39
ALBO,12/20/2021,$23.95,"280,301",$22.12,$24.195,$21.73
ALBO,12/17/2021,$22.53,"733,436",$21.75,$23.79,$21.4748
ALBO,12/16/2021,$21.81,"168,122",$22.57,$22.8,$21.6001
ALBO,12/15/2021,$21.9,"316,134",$21.25,$21.95,$20.3
ALBO,12/14/2021,$21.19,"202,257",$21.39,$21.67,$20.8
ALBO,12/13/2021,$21.6,"148,379",$21.24,$21.82,$20.77
ALBO,12/10/2021,$21.53,"145,280",$21.945,$22.5,$21.44
ALBO,12/09/2021,$22.14,"142,427",$22.89,$23.38,$22.1
ALBO,12/08/2021,$23.16,"125,212",$23.62,$23.82,$22.905
ALBO,12/07/2021,$23.38,"173,817",$23.06,$23.945,$22.97
ALBO,12/06/2021,$22.62,"94,778",$22.16,$22.82,$21.51
ALBO,12/03/2021,$22.04,"191,187",$23.3,$23.585,$21.88
ALBO,12/02/2021,$23.55,"169,613",$23.13,$23.77,$22.59
ALBO,12/01/2021,$22.98,"166,677",$24.48,$24.8999,$22.94
ALBO,11/30/2021,$23.99,"254,616",$22.6,$24.1,$22.6
ALBO,11/29/2021,$22.81,"197,834",$24.15,$24.17,$22.69
ALBO,11/26/2021,$23.78,"136,358",$24.71,$25.15,$23.62
ALBO,11/24/2021,$25.19,"137,176",$24.72,$25.35,$24.14
ALBO,11/23/2021,$25.06,"271,234",$24.22,$25.23,$23.5119
ALBO,11/22/2021,$24.4,"165,348",$25.01,$25.08,$23.68
ALBO,11/19/2021,$24.76,"121,860",$24.99,$25.395,$24.38
ALBO,11/18/2021,$24.98,"209,048",$25.89,$26.183,$24.73
ALBO,11/17/2021,$25.84,"165,063",$26.63,$26.66,$25.63
ALBO,11/16/2021,$26.43,"223,433",$27.79,$28.495,$26.2
ALBO,11/15/2021,$27.75,"207,410",$29.15,$29.18,$27.42
ALBO,11/12/2021,$28.95,"143,267",$28.25,$29.03,$27.95
ALBO,11/11/2021,$28.2,"103,969",$28.32,$28.665,$27.8351
ALBO,11/10/2021,$28.35,"205,749",$29.2,$29.86,$28.28
ALBO,11/09/2021,$29.21,"81,666",$29.57,$29.57,$28.725
ALBO,11/08/2021,$29.71,"104,550",$30.51,$31.4,$29.6
ALBO,11/05/2021,$30.39,"164,221",$29.57,$30.475,$29.4751
ALBO,11/04/2021,$29.51,"252,661",$28.37,$29.98,$28.2
ALBO,11/03/2021,$31.29,"214,388",$29.77,$31.3,$29.77
ALBO,11/02/2021,$30.22,"129,751",$30.42,$30.68,$29.89
ALBO,11/01/2021,$30.47,"159,361",$29.38,$30.55,$29.38
ALBO,10/29/2021,$29.22,"63,498",$29.15,$29.72,$29.15
ALBO,10/28/2021,$29.09,"132,892",$28.71,$29.13,$28.59
ALBO,10/27/2021,$28.27,"95,880",$28.69,$28.8799,$28.18
ALBO,10/26/2021,$28.69,"78,296",$29.04,$29.5,$28.67
ALBO,10/25/2021,$29.01,"84,593",$29.21,$29.503,$28.69
ALBO,10/22/2021,$29.22,"103,726",$29.45,$29.5,$28.8
ALBO,10/21/2021,$29.49,"86,640",$29.64,$29.9,$29.17
ALBO,10/20/2021,$29.53,"96,810",$29.65,$30.0281,$29.49
ALBO,10/19/2021,$29.8,"74,973",$29.55,$30.27,$29.45
ALBO,10/18/2021,$29.58,"167,356",$31.14,$31.39,$29.34
ALBO,10/15/2021,$31.24,"132,289",$31.42,$31.65,$30.8
ALBO,10/14/2021,$31.07,"142,011",$30.56,$31.155,$30.56
ALBO,10/13/2021,$30.21,"69,128",$30.41,$31.1299,$29.915
