ticker,date,close,volume,open,high,low
ANNX,02/10/2022,$7.41,"288,145",$7.79,$8.03,$7.32
ANNX,02/09/2022,$8.09,"193,326",$7.9,$8.2,$7.86
ANNX,02/08/2022,$7.77,"171,610",$7.74,$7.85,$7.52
ANNX,02/07/2022,$7.74,"192,409",$7.62,$7.93,$7.2325
ANNX,02/04/2022,$7.6,"246,809",$7.58,$7.72,$7.13
ANNX,02/03/2022,$7.27,"172,919",$7.67,$7.97,$7.26
ANNX,02/02/2022,$7.8,"231,881",$8.24,$8.24,$7.64
ANNX,02/01/2022,$8.3,"456,729",$7.62,$8.43,$7.57
ANNX,01/31/2022,$7.5,"629,689",$7.355,$7.89,$7.355
ANNX,01/28/2022,$7.53,"245,296",$7.13,$7.54,$6.9
ANNX,01/27/2022,$7,"193,658",$7.64,$7.81,$6.91
ANNX,01/26/2022,$7.57,"279,673",$7.89,$8.37,$7.48
ANNX,01/25/2022,$7.76,"249,907",$7.82,$8.03,$7.44
ANNX,01/24/2022,$7.93,"378,643",$7.34,$8,$7.06
ANNX,01/21/2022,$7.5,"351,419",$7.69,$7.975,$7.24
ANNX,01/20/2022,$7.88,"466,189",$8.08,$8.49,$7.67
ANNX,01/19/2022,$8.08,"560,986",$7.88,$8.41,$7.5
ANNX,01/18/2022,$7.69,"1,912,455",$8.2,$8.41,$7.66
ANNX,01/14/2022,$8.58,"400,346",$8.25,$8.62,$8.1005
ANNX,01/13/2022,$8.28,"507,225",$8.25,$8.69,$8.15
ANNX,01/12/2022,$8.25,"359,178",$8.66,$8.78,$8.23
ANNX,01/11/2022,$8.66,"522,692",$8.69,$9.44,$8.38
ANNX,01/10/2022,$8.76,"570,446",$8.25,$9.055,$7.86
ANNX,01/07/2022,$8.31,"745,810",$8,$8.97,$7.8077
ANNX,01/06/2022,$8.03,"1,018,530",$7.2385,$8.0899,$7.1094
ANNX,01/05/2022,$7.26,"3,242,776",$7.87,$8,$6.84
ANNX,01/04/2022,$11.01,"330,827",$11.81,$11.81,$10.88
ANNX,01/03/2022,$11.94,"413,922",$11.56,$11.95,$11.05
ANNX,12/31/2021,$11.49,"219,410",$11.74,$12.13,$11.34
ANNX,12/30/2021,$11.61,"207,332",$11.81,$12.1895,$11.58
ANNX,12/29/2021,$11.79,"257,344",$12.19,$12.325,$11.36
ANNX,12/28/2021,$12.04,"211,093",$11.86,$12.74,$11.56
ANNX,12/27/2021,$12.01,"226,750",$12.68,$12.91,$11.54
ANNX,12/23/2021,$12.84,"229,793",$12.66,$12.91,$12.25
ANNX,12/22/2021,$12.48,"268,113",$12.28,$12.58,$11.8
ANNX,12/21/2021,$12.38,"226,423",$13.67,$13.67,$12.22
ANNX,12/20/2021,$13.25,"682,491",$13.03,$13.58,$12.36
ANNX,12/17/2021,$13.03,"2,320,000",$12.75,$13.31,$12.225
ANNX,12/16/2021,$12.85,"422,165",$13.28,$14.27,$12.8
ANNX,12/15/2021,$13.07,"543,580",$13.6,$13.86,$12.76
ANNX,12/14/2021,$13.6,"379,781",$14.38,$14.9548,$13.42
ANNX,12/13/2021,$14.8,"327,807",$15.72,$17,$14.73
ANNX,12/10/2021,$15.77,"352,827",$15.79,$16.65,$15.5
ANNX,12/09/2021,$15.86,"210,749",$16.64,$17.285,$15.81
ANNX,12/08/2021,$16.86,"230,722",$16.22,$17.13,$16.1
ANNX,12/07/2021,$16.31,"172,797",$15.84,$16.64,$15.71
ANNX,12/06/2021,$15.64,"225,056",$15.77,$16.055,$15.22
