ticker,date,close,volume,open,high,low
AUTL,02/10/2022,$4.59,"588,427",$4.48,$5.04,$4.41
AUTL,02/09/2022,$4.54,"311,412",$4.29,$4.615,$4.254
AUTL,02/08/2022,$4.22,"650,068",$4.35,$4.39,$4.1227
AUTL,02/07/2022,$4.39,"274,343",$4.29,$4.4599,$4.29
AUTL,02/04/2022,$4.3,"833,842",$4.11,$4.37,$4.1
AUTL,02/03/2022,$4.12,"670,292",$3.99,$4.1867,$3.93
AUTL,02/02/2022,$4.04,"204,739",$4.19,$4.27,$4.03
AUTL,02/01/2022,$4.28,"632,687",$4.01,$4.345,$3.98
AUTL,01/31/2022,$3.99,"227,993",$3.72,$4.02,$3.72
AUTL,01/28/2022,$3.73,"382,595",$3.81,$3.99,$3.65
AUTL,01/27/2022,$3.74,"695,182",$3.88,$3.976,$3.7
AUTL,01/26/2022,$3.76,"284,599",$3.96,$4.05,$3.74
AUTL,01/25/2022,$3.89,"241,688",$3.77,$3.94,$3.767
AUTL,01/24/2022,$3.83,"885,394",$3.87,$3.875,$3.545
AUTL,01/21/2022,$3.96,"458,597",$4.06,$4.17,$3.92
AUTL,01/20/2022,$4.14,"474,193",$4.18,$4.31,$4.12
AUTL,01/19/2022,$4.14,"554,112",$4.27,$4.3,$4.11
AUTL,01/18/2022,$4.22,"491,283",$4.36,$4.39,$4.22
AUTL,01/14/2022,$4.41,"379,340",$4.43,$4.455,$4.21
AUTL,01/13/2022,$4.38,"369,219",$4.56,$4.69,$4.375
AUTL,01/12/2022,$4.55,"282,473",$4.8,$4.8,$4.54
AUTL,01/11/2022,$4.78,"260,559",$4.7,$4.88,$4.7
AUTL,01/10/2022,$4.69,"304,171",$4.6,$4.74,$4.44
AUTL,01/07/2022,$4.65,"904,701",$4.83,$4.95,$4.6
AUTL,01/06/2022,$4.84,"403,975",$4.89,$4.94,$4.63
AUTL,01/05/2022,$4.9,"758,809",$5.21,$5.34,$4.83
AUTL,01/04/2022,$5.17,"210,508",$5.43,$5.4366,$5.16
AUTL,01/03/2022,$5.46,"430,047",$5.22,$5.59,$5.15
AUTL,12/31/2021,$5.19,"463,424",$5.3,$5.4099,$5.12
AUTL,12/30/2021,$5.29,"612,430",$5.1,$5.54,$5.1
AUTL,12/29/2021,$5.1,"707,600",$5.25,$5.35,$4.95
AUTL,12/28/2021,$5.18,"386,113",$5.43,$5.55,$5.18
AUTL,12/27/2021,$5.43,"762,272",$5.5,$5.654,$5.37
AUTL,12/23/2021,$5.46,"874,157",$5.27,$5.485,$5.1139
AUTL,12/22/2021,$5.21,"679,578",$5.41,$5.46,$5.18
AUTL,12/21/2021,$5.42,"472,919",$5.39,$5.4709,$5.23
AUTL,12/20/2021,$5.32,"751,720",$5.3,$5.41,$5.18
AUTL,12/17/2021,$5.44,"1,383,824",$5.41,$5.55,$5.18
AUTL,12/16/2021,$5.45,"563,183",$5.73,$5.79,$5.375
AUTL,12/15/2021,$5.64,"901,539",$5.6,$5.77,$5.25
AUTL,12/14/2021,$5.63,"634,182",$5.87,$5.92,$5.62
AUTL,12/13/2021,$5.98,"1,608,736",$6.7,$6.75,$5.695
AUTL,12/10/2021,$6.87,"565,043",$6.69,$6.92,$6.63
AUTL,12/09/2021,$6.62,"664,659",$6.7,$6.94,$6.59
AUTL,12/08/2021,$6.75,"489,941",$6.36,$6.795,$6.2115
AUTL,12/07/2021,$6.34,"594,253",$6.04,$6.47,$6.04
AUTL,12/06/2021,$5.94,"666,119",$5.69,$6.05,$5.66
AUTL,12/03/2021,$5.76,"642,087",$6.24,$6.24,$5.69
AUTL,12/02/2021,$6.21,"414,917",$6.07,$6.24,$5.96
AUTL,12/01/2021,$6.11,"361,044",$6.48,$6.57,$6.09
AUTL,11/30/2021,$6.43,"535,448",$6.07,$6.5499,$5.97
AUTL,11/29/2021,$6.11,"264,156",$6.25,$6.335,$6.07
AUTL,11/26/2021,$6.26,"290,158",$6.285,$6.39,$6.1
AUTL,11/24/2021,$6.41,"281,860",$6.21,$6.47,$6.11
AUTL,11/23/2021,$6.25,"471,679",$6.18,$6.3457,$5.94
AUTL,11/22/2021,$6.18,"537,872",$6.24,$6.34,$6.09
AUTL,11/19/2021,$6.22,"393,324",$6.3,$6.45,$6.18
AUTL,11/18/2021,$6.29,"951,903",$6.77,$6.86,$6.06
AUTL,11/17/2021,$6.74,"843,350",$6.98,$7.11,$6.73
AUTL,11/16/2021,$7,"900,328",$6.84,$7.07,$6.61
AUTL,11/15/2021,$6.79,"760,719",$6.99,$7.17,$6.7
AUTL,11/12/2021,$6.9,"797,572",$6.76,$6.92,$6.5303
AUTL,11/11/2021,$6.75,"553,964",$6.79,$6.8,$6.48
AUTL,11/10/2021,$6.57,"1,221,811",$6.5171,$7.04,$6.5171
AUTL,11/09/2021,$6.81,"2,441,308",$6.82,$6.9265,$6.38
AUTL,11/08/2021,$6.97,"41,744,060",$7.23,$7.9,$6.76
AUTL,11/05/2021,$5.56,"435,193",$5.7,$5.74,$5.42
AUTL,11/04/2021,$5.65,"350,751",$5.97,$6.05,$5.64
AUTL,11/03/2021,$5.95,"757,431",$5.54,$6.04,$5.51
AUTL,11/02/2021,$5.54,"310,511",$5.75,$5.75,$5.47
AUTL,11/01/2021,$5.75,"156,341",$5.62,$5.79,$5.55
AUTL,10/29/2021,$5.58,"140,830",$5.55,$5.7093,$5.51
AUTL,10/28/2021,$5.61,"116,622",$5.6,$5.6699,$5.53
AUTL,10/27/2021,$5.6,"172,331",$5.58,$5.66,$5.5
AUTL,10/26/2021,$5.61,"129,638",$5.79,$5.79,$5.585
AUTL,10/25/2021,$5.61,"203,179",$5.63,$5.73,$5.57
AUTL,10/22/2021,$5.58,"335,764",$5.73,$5.79,$5.38
AUTL,10/21/2021,$5.79,"276,399",$5.96,$6.14,$5.7
AUTL,10/20/2021,$5.9,"176,802",$5.95,$6.02,$5.85
AUTL,10/19/2021,$5.97,"179,292",$5.88,$6.02,$5.88
AUTL,10/18/2021,$5.92,"186,455",$6.13,$6.22,$5.862
AUTL,10/15/2021,$6.14,"147,736",$6.2,$6.2,$6.01
AUTL,10/14/2021,$6.2,"133,781",$6.22,$6.33,$6.15
