ticker,date,close,volume,open,high,low
BBLG,02/10/2022,$2.27,"868,065",$2.45,$2.79,$2.12
BBLG,02/09/2022,$2.5592,"1,037,324",$2.14,$2.6,$2.08
BBLG,02/08/2022,$2.14,"194,090",$2.04,$2.2,$2
BBLG,02/07/2022,$2.1,"109,190",$2.05,$2.13,$2.005
BBLG,02/04/2022,$2.05,"47,109",$2.13,$2.14,$2
BBLG,02/03/2022,$2.07,"26,788",$2.13,$2.15,$2.01
BBLG,02/02/2022,$2.1,"51,242",$2.2,$2.2,$2.09
BBLG,02/01/2022,$2.13,"48,237",$2.1,$2.18,$2.022
BBLG,01/31/2022,$2.14,"86,040",$2.08,$2.22,$2.04
BBLG,01/28/2022,$2.0623,"286,190",$2.25,$2.39,$1.95
BBLG,01/27/2022,$2.32,"272,840",$2.29,$2.57,$2.232
BBLG,01/26/2022,$2.26,"212,723",$2.47,$2.48,$2.2295
BBLG,01/25/2022,$2.59,"334,092",$2.51,$2.69,$2.33
BBLG,01/24/2022,$2.4,"225,789",$2.7,$2.79,$2.161
BBLG,01/21/2022,$2.83,"164,683",$2.82,$3.14,$2.75
BBLG,01/20/2022,$2.98,"207,459",$3.12,$3.2,$2.92
BBLG,01/19/2022,$3.11,"138,426",$3.17,$3.31,$3.08
BBLG,01/18/2022,$3.16,"313,363",$3.5,$3.5,$3.11
BBLG,01/14/2022,$3.5001,"755,660",$3.3,$3.8,$3.25
BBLG,01/13/2022,$3.36,"536,770",$3.7,$3.71,$3.29
BBLG,01/12/2022,$3.705,"1,127,749",$4.17,$4.3799,$3.62
BBLG,01/11/2022,$4.31,"3,285,958",$4.7,$4.87,$4.04
BBLG,01/10/2022,$5.39,"67,073,740",$3.85,$6.7799,$3.76
BBLG,01/07/2022,$3.43,"26,815",$3.46,$3.5399,$3.38
BBLG,01/06/2022,$3.52,"93,212",$3.5,$3.75,$3.4
BBLG,01/05/2022,$3.53,"36,249",$3.51,$3.56,$3.4401
BBLG,01/04/2022,$3.42,"62,358",$3.6,$3.66,$3.37
BBLG,01/03/2022,$3.6,"62,807",$3.51,$3.69,$3.4
BBLG,12/31/2021,$3.52,"487,795",$3.31,$3.84,$3.23
BBLG,12/30/2021,$3.32,"91,045",$3.49,$3.6484,$3.25
BBLG,12/29/2021,$3.36,"57,828",$3.47,$3.6299,$3.36
BBLG,12/28/2021,$3.49,"196,321",$3.7,$3.88,$3.42
BBLG,12/27/2021,$3.77,"89,413",$3.82,$4,$3.77
BBLG,12/23/2021,$3.97,"769,308",$3.73,$4.2,$3.65
BBLG,12/22/2021,$3.74,"206,021",$3.6,$3.79,$3.51
BBLG,12/21/2021,$3.6,"107,437",$3.625,$3.7999,$3.565
BBLG,12/20/2021,$3.49,"48,476",$3.53,$3.65,$3.49
BBLG,12/17/2021,$3.57,"29,118",$3.56,$3.7,$3.542
BBLG,12/16/2021,$3.63,"40,874",$3.63,$3.7498,$3.57
BBLG,12/15/2021,$3.63,"69,803",$3.75,$3.85,$3.54
BBLG,12/14/2021,$3.76,"41,892",$3.805,$3.98,$3.72
BBLG,12/13/2021,$3.89,"46,061",$3.97,$3.99,$3.77
BBLG,12/10/2021,$3.97,"95,369",$3.9,$4.07,$3.89
BBLG,12/09/2021,$3.91,"220,207",$3.83,$4.09,$3.7501
BBLG,12/08/2021,$3.78,"136,278",$3.59,$3.9898,$3.55
BBLG,12/07/2021,$3.62,"96,679",$3.545,$3.77,$3.542
BBLG,12/06/2021,$3.53,"98,609",$3.62,$3.6777,$3.4
BBLG,12/03/2021,$3.62,"100,312",$3.71,$3.8,$3.5
BBLG,12/02/2021,$3.79,"970,637",$3.88,$4.41,$3.4199
BBLG,12/01/2021,$3.83,"1,065,270",$3.65,$4.21,$3.61
BBLG,11/30/2021,$3.63,"212,444",$4,$4.11,$3.59
BBLG,11/29/2021,$4.11,"130,316",$4.05,$4.1914,$4
BBLG,11/26/2021,$4.05,"160,877",$4,$4.2216,$3.83
BBLG,11/24/2021,$4.09,"390,869",$4,$4.33,$3.8601
BBLG,11/23/2021,$3.93,"942,051",$4.0963,$4.87,$3.7501
BBLG,11/22/2021,$4.16,"2,061,228",$3.54,$4.75,$3.53
BBLG,11/19/2021,$3.7,"202,612",$3.53,$3.81,$3.53
BBLG,11/18/2021,$3.49,"1,176,821",$3.65,$4.44,$3.32
BBLG,11/17/2021,$3.69,"325,281",$3.94,$3.95,$3.6
BBLG,11/16/2021,$3.87,"3,917,255",$3.58,$5.37,$3.355
BBLG,11/15/2021,$3.81,"8,607,656",$3.7,$6.47,$3.5601
BBLG,11/12/2021,$3.56,"76,048",$3.87,$4,$3.55
BBLG,11/11/2021,$3.88,"113,902",$4.09,$4.22,$3.87
BBLG,11/10/2021,$4.16,"113,518",$4.15,$4.3799,$4.06
BBLG,11/09/2021,$4.21,"66,145",$4.15,$4.2689,$4.09
BBLG,11/08/2021,$4.14,"78,753",$4.12,$4.25,$4.09
BBLG,11/05/2021,$4.245,"143,209",$4.1,$4.5,$4.0668
BBLG,11/04/2021,$4.2252,"247,034",$4.36,$4.5,$4.16
BBLG,11/03/2021,$4.5,"444,810",$4.94,$4.9999,$4.44
BBLG,11/02/2021,$5.39,"6,074,866",$7.05,$7.1219,$5.18
BBLG,11/01/2021,$5.48,"1,766,019",$5.2013,$5.6796,$5.09
BBLG,10/29/2021,$5,"262,175",$4.78,$5.1,$4.64
BBLG,10/28/2021,$4.66,"11,431",$4.7124,$4.7587,$4.63
BBLG,10/27/2021,$4.65,"137,315",$4.4001,$5.0923,$4.4
