ticker,date,close,volume,open,high,low
BCRX,02/10/2022,$17.89,"5,777,426",$17.3,$18.71,$17.22
BCRX,02/09/2022,$17.66,"3,958,345",$17.24,$17.66,$17.2001
BCRX,02/08/2022,$17.2,"4,079,650",$16.39,$17.22,$16.11
BCRX,02/07/2022,$16.38,"3,119,998",$15.18,$16.47,$15.135
BCRX,02/04/2022,$15.21,"1,998,455",$14.89,$15.39,$14.68
BCRX,02/03/2022,$14.95,"1,885,193",$14.84,$15.12,$14.62
BCRX,02/02/2022,$15.06,"1,925,903",$15.25,$15.38,$14.75
BCRX,02/01/2022,$15.33,"2,330,119",$15.49,$15.785,$15.02
BCRX,01/31/2022,$15.45,"2,341,721",$14.87,$15.49,$14.83
BCRX,01/28/2022,$14.87,"2,288,925",$14.11,$14.88,$13.9
BCRX,01/27/2022,$14.12,"2,657,087",$14.954,$15.45,$14.1
BCRX,01/26/2022,$14.99,"5,297,560",$14.98,$16.13,$14.8
BCRX,01/25/2022,$14.65,"3,023,703",$14.09,$14.855,$13.81
BCRX,01/24/2022,$14.26,"5,202,260",$13.32,$14.39,$12.86
BCRX,01/21/2022,$13.78,"4,475,834",$13.63,$14.01,$13.355
BCRX,01/20/2022,$13.98,"3,125,888",$14.68,$14.6986,$13.9
BCRX,01/19/2022,$14.54,"4,929,621",$14.69,$15.39,$14.495
BCRX,01/18/2022,$14.57,"3,902,565",$15.22,$15.6,$14.49
BCRX,01/14/2022,$15.48,"5,839,303",$15.63,$15.76,$14.72
BCRX,01/13/2022,$16.15,"6,137,447",$16.79,$17.2,$16.07
BCRX,01/12/2022,$16.69,"10,084,910",$16.755,$17.26,$16.155
BCRX,01/11/2022,$16.43,"20,951,940",$14.4,$17.35,$14.16
BCRX,01/10/2022,$14.78,"15,085,400",$12.3,$14.825,$12.25
BCRX,01/07/2022,$11.56,"3,425,754",$12.38,$12.57,$11.555
BCRX,01/06/2022,$12.42,"2,380,183",$12.75,$12.89,$12.2
