ticker,date,close,volume,open,high,low
BIVI,02/10/2022,$3.28,"33,576",$3.25,$3.5363,$3.25
BIVI,02/09/2022,$3.3,"63,111",$3.07,$3.345,$2.8
BIVI,02/08/2022,$2.8,"47,687",$2.69,$2.83,$2.52
BIVI,02/07/2022,$2.74,"155,573",$2.7,$3.15,$2.52
BIVI,02/04/2022,$2.75,"163,158",$3.005,$3.005,$2.6
BIVI,02/03/2022,$2.945,"43,183",$3.11,$3.11,$2.87
BIVI,02/02/2022,$3.11,"85,675",$3.2,$3.2934,$2.86
BIVI,02/01/2022,$3.2,"69,630",$3.22,$3.38,$2.99
BIVI,01/31/2022,$3.17,"78,621",$3.184,$3.58,$3.055
BIVI,01/28/2022,$2.88,"49,311",$3.09,$3.1999,$2.8
BIVI,01/27/2022,$3.12,"133,078",$3.46,$3.57,$2.94
BIVI,01/26/2022,$3.47,"40,094",$3.95,$4,$3.41
BIVI,01/25/2022,$3.66,"89,405",$3.81,$3.85,$3.33
BIVI,01/24/2022,$3.795,"43,016",$3.95,$4.0589,$3.66
BIVI,01/21/2022,$3.99,"166,198",$4.65,$4.785,$3.93
BIVI,01/20/2022,$4.59,"12,385",$4.57,$4.6877,$4.55
BIVI,01/19/2022,$4.63,"46,754",$4.62,$4.7627,$4.44
BIVI,01/18/2022,$4.56,"12,143",$4.47,$4.63,$4.3
BIVI,01/14/2022,$4.47,"13,630",$4.43,$4.47,$4.35
BIVI,01/13/2022,$4.44,"14,370",$4.75,$4.75,$4.3501
BIVI,01/12/2022,$4.59,"55,431",$4.88,$4.88,$4.38
BIVI,01/11/2022,$4.82,"13,821",$4.64,$4.86,$4.545
BIVI,01/10/2022,$4.59,"19,081",$4.74,$4.74,$4.5
BIVI,01/07/2022,$4.88,"66,846",$5.27,$5.3555,$4.7
BIVI,01/06/2022,$5.24,"41,311",$5.62,$5.73,$5.16
BIVI,01/05/2022,$5.65,"68,674",$5.04,$5.65,$4.945
BIVI,01/04/2022,$4.9,"12,747",$5.14,$5.1486,$4.8101
BIVI,01/03/2022,$5.04,"36,425",$4.69,$5.0497,$4.6
BIVI,12/31/2021,$4.5,"58,611",$4.51,$4.75,$4.4
BIVI,12/30/2021,$4.59,"48,084",$4.39,$4.7,$4.36
BIVI,12/29/2021,$4.41,"25,506",$4.51,$4.59,$4.4
BIVI,12/28/2021,$4.5,"40,082",$4.58,$4.8526,$4.4
BIVI,12/27/2021,$4.71,"54,213",$5.05,$5.05,$4.58
BIVI,12/23/2021,$5.01,"20,917",$5.3,$5.3,$4.9507
BIVI,12/22/2021,$5.2,"16,997",$5.5,$5.55,$5.13
BIVI,12/21/2021,$5.6,"114,776",$5.02,$5.62,$4.68
BIVI,12/20/2021,$4.74,"25,107",$4.92,$4.93,$4.7
BIVI,12/17/2021,$4.92,"46,717",$4.85,$5.005,$4.58
BIVI,12/16/2021,$4.88,"71,777",$5.1,$5.1551,$4.81
BIVI,12/15/2021,$5.07,"32,266",$4.97,$5.3,$4.95
BIVI,12/14/2021,$4.97,"43,186",$5.44,$5.44,$4.9
BIVI,12/13/2021,$5.51,"61,141",$5.33,$5.9,$5.25
BIVI,12/10/2021,$5.28,"20,165",$5.33,$5.35,$5.155
BIVI,12/09/2021,$5.3,"16,918",$5.4,$5.439,$5.26
BIVI,12/08/2021,$5.53,"11,904",$5.2,$5.595,$5.11
BIVI,12/07/2021,$5.13,"64,166",$5.2,$5.72,$5.11
BIVI,12/06/2021,$5.22,"37,138",$5.33,$5.44,$5.11
BIVI,12/03/2021,$5.34,"114,722",$5.79,$5.8788,$5.1416
BIVI,12/02/2021,$5.78,"52,438",$6.13,$6.13,$5.56
BIVI,12/01/2021,$5.91,"47,555",$6.5,$6.6266,$5.86
BIVI,11/30/2021,$6.44,"101,890",$6.58,$6.6833,$5.94
BIVI,11/29/2021,$6.6,"119,223",$6.49,$6.7,$6.0601
BIVI,11/26/2021,$6.14,"40,747",$6.14,$6.14,$5.8154
BIVI,11/24/2021,$6.05,"27,857",$5.75,$6.05,$5.65
BIVI,11/23/2021,$5.7,"25,386",$5.989,$5.989,$5.6052
BIVI,11/22/2021,$5.96,"62,269",$5.91,$5.99,$5.58
BIVI,11/19/2021,$5.91,"37,984",$5.9,$5.98,$5.81
BIVI,11/18/2021,$5.98,"69,791",$6.15,$6.15,$5.69
BIVI,11/17/2021,$6.1,"35,716",$6.22,$6.22,$5.8901
BIVI,11/16/2021,$6.16,"91,282",$5.86,$6.255,$5.71
BIVI,11/15/2021,$5.89,"72,571",$6.3,$6.3,$5.79
BIVI,11/12/2021,$6.22,"67,699",$6.39,$6.39,$6.08
BIVI,11/11/2021,$6.32,"40,403",$6.41,$6.44,$6.06
BIVI,11/10/2021,$6.45,"55,032",$6.33,$6.53,$6.07
BIVI,11/09/2021,$6.49,"63,277",$6.75,$6.93,$6.32
BIVI,11/08/2021,$6.73,"23,870",$6.74,$6.74,$6.53
BIVI,11/05/2021,$6.58,"59,710",$6.8,$6.9499,$6.51
BIVI,11/04/2021,$6.75,"246,341",$7,$7.6,$6.59
BIVI,11/03/2021,$6.88,"566,040",$6.31,$7.2,$6.26
BIVI,11/02/2021,$6.41,"83,067",$6.6,$6.85,$6.27
BIVI,11/01/2021,$6.6,"78,374",$6.21,$6.76,$6.012
BIVI,10/29/2021,$6.12,"77,193",$6.19,$6.25,$5.78
BIVI,10/28/2021,$6.23,"55,528",$6.08,$6.25,$5.91
BIVI,10/27/2021,$5.97,"238,279",$6.47,$6.74,$5.96
BIVI,10/26/2021,$6.64,"1,771,443",$5.77,$7.25,$5.62
BIVI,10/25/2021,$5.46,"43,570",$5.61,$5.61,$5.35
BIVI,10/22/2021,$5.6,"86,566",$5.74,$5.74,$5.34
BIVI,10/21/2021,$5.69,"37,056",$5.85,$5.99,$5.67
BIVI,10/20/2021,$5.96,"92,708",$5.99,$6.25,$5.8401
BIVI,10/19/2021,$5.98,"42,624",$5.78,$6.1,$5.71
BIVI,10/18/2021,$5.78,"35,067",$5.896,$6.03,$5.66
BIVI,10/15/2021,$5.9,"34,973",$6.11,$6.18,$5.83
BIVI,10/14/2021,$6.08,"61,191",$5.78,$6.22,$5.6608
BIVI,10/13/2021,$5.66,"43,511",$5.63,$5.77,$5.5
BIVI,10/12/2021,$5.63,"27,937",$5.53,$5.79,$5.47
BIVI,10/11/2021,$5.53,"38,518",$5.74,$5.81,$5.5
BIVI,10/08/2021,$5.74,"54,309",$5.98,$6.14,$5.65
BIVI,10/07/2021,$5.88,"68,823",$5.7,$6.19,$5.61
BIVI,10/06/2021,$5.65,"158,997",$6.2,$6.2,$5.61
BIVI,10/05/2021,$6.3,"140,162",$6.53,$6.53,$6
BIVI,10/04/2021,$6.495,"44,458",$6.75,$6.77,$6.46
BIVI,10/01/2021,$6.99,"37,674",$6.69,$7.1749,$6.51
BIVI,09/30/2021,$6.69,"45,463",$6.76,$6.88,$6.49
BIVI,09/29/2021,$6.73,"45,348",$6.78,$6.99,$6.56
BIVI,09/28/2021,$6.7,"70,873",$7.09,$7.09,$6.65
BIVI,09/27/2021,$7.07,"83,163",$7.29,$7.29,$6.82
BIVI,09/24/2021,$7.18,"51,093",$7.398,$7.5,$7.15
BIVI,09/23/2021,$7.56,"39,160",$7.85,$7.85,$7.36
BIVI,09/22/2021,$7.73,"96,264",$7.7,$7.97,$7.3
BIVI,09/21/2021,$7.69,"59,872",$7.57,$7.78,$7.55
BIVI,09/20/2021,$7.6,"77,086",$7.41,$7.6799,$7.14
BIVI,09/17/2021,$7.52,"105,605",$7.66,$7.84,$7.5
BIVI,09/16/2021,$7.74,"52,274",$7.8,$7.89,$7.46
BIVI,09/15/2021,$7.76,"58,417",$7.73,$7.76,$7.42
BIVI,09/14/2021,$7.66,"54,213",$7.71,$7.78,$7.27
BIVI,09/13/2021,$7.61,"84,760",$7.32,$7.8,$7.32
BIVI,09/10/2021,$7.34,"81,643",$7.59,$7.59,$7.15
BIVI,09/09/2021,$7.57,"128,137",$7.39,$7.64,$7.11
BIVI,09/08/2021,$7.38,"126,387",$7.93,$7.93,$7.3
BIVI,09/07/2021,$7.96,"53,466",$7.72,$8.02,$7.72
BIVI,09/03/2021,$7.77,"45,828",$7.85,$7.9699,$7.6
BIVI,09/02/2021,$7.79,"56,795",$8,$8.14,$7.7
BIVI,09/01/2021,$7.99,"51,527",$7.98,$8.27,$7.9
BIVI,08/31/2021,$7.98,"67,292",$8.33,$8.33,$7.9
BIVI,08/30/2021,$8.19,"94,961",$7.86,$8.2,$7.7
BIVI,08/27/2021,$7.9,"53,956",$7.88,$8.0999,$7.77
BIVI,08/26/2021,$7.82,"72,259",$8.1,$8.13,$7.62
BIVI,08/25/2021,$8.04,"95,471",$7.9,$8.1899,$7.785
BIVI,08/24/2021,$7.98,"38,212",$7.77,$7.98,$7.7
BIVI,08/23/2021,$7.89,"35,148",$7.96,$8,$7.75
BIVI,08/20/2021,$7.74,"47,448",$7.6,$8.0799,$7.53
BIVI,08/19/2021,$7.68,"86,380",$7.85,$8.1,$7.55
BIVI,08/18/2021,$7.89,"54,478",$7.8,$8.16,$7.65
BIVI,08/17/2021,$7.86,"90,890",$7.77,$7.99,$7.56
BIVI,08/16/2021,$7.76,"89,275",$8.05,$8.19,$7.65
BIVI,08/13/2021,$8.13,"47,970",$8.21,$8.2128,$8
BIVI,08/12/2021,$8.11,"114,526",$8.06,$8.33,$7.8
BIVI,08/11/2021,$8.19,"168,269",$8.45,$8.75,$7.85
BIVI,08/10/2021,$8.48,"203,198",$8.9,$8.99,$8.2
BIVI,08/09/2021,$9,"893,607",$8.35,$9,$8.05
BIVI,08/06/2021,$12.85,"34,363",$13.97,$14.2699,$12.58
BIVI,08/05/2021,$13.675,"18,018",$13.9583,$13.9583,$12.9801
BIVI,08/04/2021,$13.16,"22,384",$13.89,$14.43,$12.5
BIVI,08/03/2021,$14.1,"6,399",$14.134,$14.4735,$13.945
BIVI,08/02/2021,$14.48,"30,542",$14.075,$14.82,$13.8
BIVI,07/30/2021,$14.14,"25,671",$15.185,$15.4032,$13.9
BIVI,07/29/2021,$15.05,"13,517",$15.94,$15.94,$14.9
BIVI,07/28/2021,$15.59,"7,829",$15.037,$15.89,$15.037
BIVI,07/27/2021,$15.03,"28,364",$15.27,$15.7099,$14.9
BIVI,07/26/2021,$15.07,"7,293",$15.52,$15.955,$15.01
BIVI,07/23/2021,$15.7,"20,500",$15.73,$15.95,$15.0447
BIVI,07/22/2021,$15.52,"26,484",$15.03,$16.9799,$14.9
BIVI,07/21/2021,$15.65,"10,669",$15.88,$15.9999,$14.29
BIVI,07/20/2021,$15.51,"32,563",$15.05,$15.51,$14.24
BIVI,07/19/2021,$15,"54,919",$14.5,$15.37,$13.88
BIVI,07/16/2021,$14.55,"9,630",$14.97,$15.1892,$14.27
BIVI,07/15/2021,$14.48,"8,462",$15.2,$15.48,$14.26
BIVI,07/14/2021,$15.22,"8,180",$16.01,$16.01,$14.9
BIVI,07/13/2021,$15.84,"41,132",$15.42,$16.0099,$14.68
BIVI,07/12/2021,$15.47,"9,832",$15.41,$15.64,$14.7301
BIVI,07/09/2021,$15.17,"14,037",$15.33,$15.4,$14.65
BIVI,07/08/2021,$14.99,"15,738",$15.2,$15.928,$14.77
BIVI,07/07/2021,$15.89,"16,621",$17,$17,$15.61
BIVI,07/06/2021,$16.93,"11,759",$16.67,$17,$16.43
BIVI,07/02/2021,$16.61,"7,159",$16.725,$16.99,$16.54
BIVI,07/01/2021,$16.45,"8,979",$16.94,$16.94,$16.3101
BIVI,06/30/2021,$16.95,"17,154",$16.87,$17.2,$16.5
BIVI,06/29/2021,$16.81,"18,296",$17.46,$17.71,$16.5
BIVI,06/28/2021,$17,"36,266",$17.76,$17.9006,$16.75
BIVI,06/25/2021,$17.34,"38,296",$17.25,$17.48,$16.75
BIVI,06/24/2021,$16.98,"21,924",$17,$17,$16.01
BIVI,06/23/2021,$16.9,"17,240",$17.05,$17.3999,$16.6
BIVI,06/22/2021,$16.94,"31,090",$17,$17,$16.41
BIVI,06/21/2021,$16.99,"36,207",$16.65,$17.6239,$16.01
BIVI,06/18/2021,$16.52,"54,277",$17.24,$17.41,$16.04
BIVI,06/17/2021,$17.24,"38,042",$16.71,$17.339,$16.6
BIVI,06/16/2021,$17.09,"41,606",$16.56,$17.589,$16.56
BIVI,06/15/2021,$16.5,"97,893",$18,$18.06,$16.1733
BIVI,06/14/2021,$18,"81,944",$19.1,$19.1,$17.185
BIVI,06/11/2021,$18.09,"141,791",$15,$18.27,$15
BIVI,06/10/2021,$14.87,"9,040",$14.84,$15.83,$13.9233
BIVI,06/09/2021,$14.91,"28,090",$15.63,$16.4104,$14.49
BIVI,06/08/2021,$15.51,"65,590",$16.35,$16.7,$15.38
BIVI,06/07/2021,$16.2,"61,918",$15.11,$16.419,$14.67
BIVI,06/04/2021,$15,"44,585",$14.57,$15.29,$14.15
BIVI,06/03/2021,$14.34,"31,962",$14.07,$14.49,$13.915
BIVI,06/02/2021,$14.31,"24,752",$14.3,$14.9391,$13.5601
BIVI,06/01/2021,$13.94,"22,952",$13.95,$14.3096,$13.38
BIVI,05/28/2021,$13.75,"27,044",$14.72,$14.99,$13.57
BIVI,05/27/2021,$14.57,"33,588",$14.53,$14.9,$13.991
BIVI,05/26/2021,$14.39,"32,857",$13.3,$14.935,$13.3
BIVI,05/25/2021,$13.31,"43,502",$14.82,$14.82,$13.1536
BIVI,05/24/2021,$13.85,"22,438",$14.99,$14.99,$13.85
BIVI,05/21/2021,$14.94,"48,055",$14.26,$14.98,$14.1301
BIVI,05/20/2021,$13.99,"52,996",$13.88,$14.655,$13.65
BIVI,05/19/2021,$13.66,"50,582",$13.44,$14.2999,$13.35
BIVI,05/18/2021,$13.84,"30,524",$13.92,$14.31,$13.45
BIVI,05/17/2021,$13.77,"38,464",$12.74,$13.9,$12.74
BIVI,05/14/2021,$13.15,"74,649",$12.17,$13.5,$12.02
BIVI,05/13/2021,$12.15,"103,745",$13.8,$14.3399,$11.6201
BIVI,05/12/2021,$13.7,"65,317",$14.75,$15,$13.6
BIVI,05/11/2021,$14.85,"101,727",$14.01,$15.36,$13
BIVI,05/10/2021,$15,"138,137",$16.32,$17.27,$13.9901
BIVI,05/07/2021,$15.35,"94,630",$13.48,$15.73,$13.48
BIVI,05/06/2021,$13.2,"66,315",$13.352,$14.24,$13.01
BIVI,05/05/2021,$14.13,"92,153",$15.77,$16,$13.83
BIVI,05/04/2021,$15.43,"96,034",$16.86,$17.155,$15.18
BIVI,05/03/2021,$17.28,"99,539",$17.67,$18.32,$16.96
BIVI,04/30/2021,$17.51,"122,313",$16,$18.455,$15.92
BIVI,04/29/2021,$16.21,"174,952",$18.82,$19.79,$15.83
BIVI,04/28/2021,$18.88,"261,702",$18.29,$19.479,$16.1601
BIVI,04/27/2021,$21.5,"338,206",$22,$23.86,$20.5
BIVI,04/26/2021,$21.61,"243,799",$18.75,$21.61,$18.1
BIVI,04/23/2021,$17.77,"279,100",$13.34,$18.3476,$13.34
BIVI,04/22/2021,$13.35,"83,587",$13.54,$13.6599,$12.11
BIVI,04/21/2021,$13.34,"270,122",$10.05,$14.49,$9.86
BIVI,04/20/2021,$10.57,"122,437",$11.91,$12.5,$10.47
BIVI,04/19/2021,$12.1,"97,045",$13.05,$13.38,$11.41
BIVI,04/16/2021,$13.19,"120,616",$13.38,$14,$12.699
BIVI,04/15/2021,$13.43,"44,584",$14.3,$15.2,$13.35
BIVI,04/14/2021,$14.2,"125,491",$13.94,$15.34,$13.915
BIVI,04/13/2021,$13.9,"100,513",$15.67,$16,$13.6875
BIVI,04/12/2021,$15.78,"43,611",$16.48,$17.19,$15.4027
BIVI,04/09/2021,$16.5,"32,498",$16.74,$17.405,$15.91
BIVI,04/08/2021,$16.82,"27,051",$16.67,$17.9499,$16.06
BIVI,04/07/2021,$16.27,"36,223",$17,$17.73,$16.1655
BIVI,04/06/2021,$17.45,"68,131",$18.72,$18.8015,$16.9
BIVI,04/05/2021,$18.85,"82,914",$18.82,$19.375,$17.52
