ticker,date,close,volume,open,high,low
BMRN,02/10/2022,$91.61,"1,630,839",$91.15,$94.2,$90.51
BMRN,02/09/2022,$92.52,"1,767,375",$89.37,$92.57,$87.7
BMRN,02/08/2022,$88.51,"1,716,498",$89.22,$89.22,$87.55
BMRN,02/07/2022,$89.37,"1,635,206",$88.66,$90.74,$88.66
BMRN,02/04/2022,$88.63,"1,372,085",$87.66,$89.56,$87.46
BMRN,02/03/2022,$87.77,"800,157",$87.12,$88.12,$86.98
BMRN,02/02/2022,$88.44,"572,022",$89.94,$89.94,$87.65
BMRN,02/01/2022,$89.44,"701,154",$88.64,$89.48,$87.85
BMRN,01/31/2022,$88.63,"973,447",$85.81,$88.8,$85.49
BMRN,01/28/2022,$86.16,"764,487",$82.85,$86.17,$82.09
BMRN,01/27/2022,$83.05,"756,213",$84.01,$85.38,$82.82
BMRN,01/26/2022,$83.7,"1,012,275",$85.445,$87.3,$83.13
BMRN,01/25/2022,$84.86,"1,014,557",$84.72,$86.21,$83.7
BMRN,01/24/2022,$86.22,"2,126,169",$83.35,$86.47,$81.11
BMRN,01/21/2022,$84.65,"1,450,918",$84.1,$85.06,$83.57
BMRN,01/20/2022,$84.45,"863,840",$86.18,$87.49,$84.26
BMRN,01/19/2022,$86,"985,834",$86.83,$87.85,$85.72
BMRN,01/18/2022,$86.71,"1,307,969",$90.1677,$90.1677,$86.54
BMRN,01/14/2022,$90.22,"1,349,566",$87.61,$90.32,$86.4
BMRN,01/13/2022,$88.16,"1,110,271",$87.86,$89.7,$87.63
BMRN,01/12/2022,$88.1,"2,041,465",$89.145,$91,$87.595
BMRN,01/11/2022,$88.99,"1,810,954",$84.37,$89.07,$84.3
BMRN,01/10/2022,$84.39,"4,496,756",$87.1,$88.04,$82
BMRN,01/07/2022,$84.25,"1,613,115",$86.4,$88.27,$84.17
BMRN,01/06/2022,$85.19,"1,018,504",$84.33,$85.95,$83.23
BMRN,01/05/2022,$84.33,"1,696,083",$87.22,$87.62,$83.99
BMRN,01/04/2022,$87.22,"1,328,612",$88.98,$89.2895,$85.53
BMRN,01/03/2022,$89.36,"715,657",$88.1,$89.43,$87.1
BMRN,12/31/2021,$88.35,"429,545",$88.96,$90.07,$88.22
BMRN,12/30/2021,$89.08,"433,347",$89.81,$90.79,$88.9757
BMRN,12/29/2021,$89.65,"487,948",$89.55,$89.8,$88.41
BMRN,12/28/2021,$89.43,"413,753",$90.5,$90.88,$89.2201
BMRN,12/27/2021,$90.69,"532,109",$90.74,$91.18,$90.12
BMRN,12/23/2021,$91.16,"664,558",$90.02,$91.74,$89.507
BMRN,12/22/2021,$89.95,"735,485",$89.79,$90.36,$88.55
BMRN,12/21/2021,$89.65,"1,415,378",$87.11,$89.89,$87
BMRN,12/20/2021,$86.89,"1,253,761",$85.55,$87.43,$85.0501
BMRN,12/17/2021,$86.48,"2,222,161",$83.33,$87.97,$82.65
BMRN,12/16/2021,$83.59,"1,263,862",$85,$85.605,$82.67
BMRN,12/15/2021,$84.18,"1,755,541",$82.71,$84.68,$81.94
BMRN,12/14/2021,$82.92,"1,468,700",$83.06,$84.02,$82.08
BMRN,12/13/2021,$83.79,"1,363,728",$84.6,$85.33,$83.34
BMRN,12/10/2021,$84.89,"1,111,266",$85.46,$85.88,$84.04
BMRN,12/09/2021,$85.62,"1,352,125",$88.07,$88.91,$85.49
BMRN,12/08/2021,$88.38,"1,030,681",$86.79,$89.05,$85.85
BMRN,12/07/2021,$86.12,"1,227,083",$85.31,$86.62,$84.71
BMRN,12/06/2021,$84.24,"989,094",$81.9,$84.97,$81.155
BMRN,12/03/2021,$82.95,"1,300,152",$84.24,$84.97,$82.345
BMRN,12/02/2021,$84.68,"990,143",$84.925,$85.89,$84.1529
BMRN,12/01/2021,$84.5,"1,210,646",$86.27,$88.31,$84.01
BMRN,11/30/2021,$86.29,"3,480,576",$85.88,$88.166,$85.5
BMRN,11/29/2021,$87.4,"1,147,159",$88.16,$89.02,$87.19
BMRN,11/26/2021,$87.58,"1,036,420",$89.55,$89.74,$86.26
BMRN,11/24/2021,$89.57,"944,441",$89.47,$90.12,$88.8
BMRN,11/23/2021,$89.79,"1,887,553",$89.44,$90.7,$88.11
BMRN,11/22/2021,$90.3,"1,894,118",$91.8,$92.17,$90.12
BMRN,11/19/2021,$91.47,"6,221,878",$83.54,$91.72,$82.24
BMRN,11/18/2021,$82.92,"1,934,016",$81.07,$83.13,$80.55
BMRN,11/17/2021,$80.74,"1,223,990",$80.87,$82.09,$80.39
BMRN,11/16/2021,$81.3,"1,076,530",$82.55,$83.14,$81.17
BMRN,11/15/2021,$82.07,"1,117,463",$82.46,$82.98,$81.9
BMRN,11/12/2021,$81.73,"867,797",$81.6,$81.97,$81.3
BMRN,11/11/2021,$81.44,"1,409,656",$81.51,$82.16,$81.01
BMRN,11/10/2021,$81.54,"1,072,025",$82.09,$83.8,$81.19
BMRN,11/09/2021,$82.76,"1,349,354",$83.11,$83.57,$81.95
BMRN,11/08/2021,$83.43,"1,435,244",$83.92,$84.67,$83.26
BMRN,11/05/2021,$83.92,"1,467,553",$82.68,$84.84,$82.23
BMRN,11/04/2021,$83.37,"1,438,973",$82.09,$83.8,$82.09
BMRN,11/03/2021,$83.48,"1,391,380",$83.32,$84.24,$82.86
BMRN,11/02/2021,$83.09,"1,653,564",$82.24,$83.1,$81.04
BMRN,11/01/2021,$82.05,"1,866,761",$79.16,$82.08,$79.0655
BMRN,10/29/2021,$79.23,"2,090,430",$77.81,$79.99,$77.52
BMRN,10/28/2021,$78.2,"4,825,732",$73.5,$78.52,$72.61
BMRN,10/27/2021,$71.72,"1,573,284",$73.35,$73.405,$71.59
BMRN,10/26/2021,$73.42,"1,680,769",$73.6,$74.05,$73.045
BMRN,10/25/2021,$73.51,"1,517,319",$73.8,$74.1517,$73.35
BMRN,10/22/2021,$73.74,"1,026,153",$74.8,$74.8,$73.275
BMRN,10/21/2021,$75.08,"703,226",$75.27,$75.86,$74.97
BMRN,10/20/2021,$75.15,"1,061,723",$74.6,$75.89,$74.415
BMRN,10/19/2021,$74.14,"1,505,845",$74.4,$75.5,$73.92
BMRN,10/18/2021,$73.92,"1,688,695",$75.75,$75.81,$73.1
BMRN,10/15/2021,$75.89,"1,520,399",$77.52,$77.99,$75.87
BMRN,10/14/2021,$77.52,"1,672,113",$76.87,$78.37,$76.0601
BMRN,10/13/2021,$76.82,"1,353,619",$78.77,$79.42,$76.68
BMRN,10/12/2021,$78.63,"1,429,869",$78.04,$79.37,$77.96
BMRN,10/11/2021,$77.9,"816,182",$77.71,$79.32,$77.555
BMRN,10/08/2021,$77.83,"1,156,373",$77.49,$78.48,$76.88
BMRN,10/07/2021,$77.14,"903,723",$78.77,$79.49,$76.97
BMRN,10/06/2021,$77.87,"1,011,539",$76.46,$78.71,$76.46
BMRN,10/05/2021,$76.73,"668,093",$75.98,$76.94,$75.96
BMRN,10/04/2021,$75.88,"964,075",$76,$77.03,$75.19
BMRN,10/01/2021,$77.16,"1,031,748",$77.175,$77.7411,$76.13
