ticker,date,close,volume,open,high,low
BPMC,02/10/2022,$83.18,"568,504",$81.03,$85.67,$81.03
BPMC,02/09/2022,$84,"510,640",$81.92,$84.09,$81.51
BPMC,02/08/2022,$80.51,"475,661",$80,$81.23,$77.98
BPMC,02/07/2022,$80.56,"374,937",$78.39,$81.32,$77.48
BPMC,02/04/2022,$78.4,"563,186",$76.24,$79.24,$75.46
BPMC,02/03/2022,$76.26,"404,629",$75.9,$77.86,$75.85
BPMC,02/02/2022,$77.97,"588,535",$78.97,$79.055,$76.08
BPMC,02/01/2022,$79.16,"601,657",$77.1,$79.61,$76.3
BPMC,01/31/2022,$77.1,"695,451",$71.19,$77.26,$71.19
BPMC,01/28/2022,$71.64,"519,745",$70.64,$71.71,$67.63
BPMC,01/27/2022,$70.11,"458,676",$73.25,$76.3074,$69.715
BPMC,01/26/2022,$72.61,"459,224",$74.17,$77.11,$71.65
BPMC,01/25/2022,$73.62,"733,497",$73.53,$75.72,$71
BPMC,01/24/2022,$72.28,"1,162,350",$68.16,$73.17,$66.29
BPMC,01/21/2022,$68.91,"861,847",$73.17,$73.86,$68.8
BPMC,01/20/2022,$72.7,"449,683",$73.06,$76.135,$72.51
BPMC,01/19/2022,$72.51,"368,263",$74.31,$75.52,$72.41
BPMC,01/18/2022,$73.15,"659,580",$76.75,$77.51,$72.94
BPMC,01/14/2022,$78,"911,906",$75.52,$78.31,$74.75
BPMC,01/13/2022,$75.89,"955,183",$80.95,$81.65,$75.75
BPMC,01/12/2022,$81.5,"728,027",$85,$85.78,$81.38
BPMC,01/11/2022,$85.86,"581,221",$87.14,$87.66,$85
BPMC,01/10/2022,$87.22,"580,324",$90.12,$92.19,$85.32
BPMC,01/07/2022,$91.45,"577,123",$92.1,$93.81,$90
BPMC,01/06/2022,$93.24,"707,031",$93.4,$95.89,$91.29
BPMC,01/05/2022,$93.3,"1,862,986",$103.99,$103.99,$90.76
BPMC,01/04/2022,$107,"365,227",$109.65,$109.65,$105.99
BPMC,01/03/2022,$110.08,"251,078",$107.72,$110.23,$105.35
BPMC,12/31/2021,$107.11,"410,219",$109.85,$111.68,$106.11
BPMC,12/30/2021,$109.45,"284,009",$109.36,$111.32,$108.13
BPMC,12/29/2021,$109.36,"188,544",$108.35,$110.75,$107.75
BPMC,12/28/2021,$108.08,"202,695",$110.12,$111.18,$107.29
BPMC,12/27/2021,$110.34,"183,769",$110.74,$111.18,$107.47
BPMC,12/23/2021,$110.97,"150,519",$108.61,$111.78,$108.12
BPMC,12/22/2021,$108.64,"265,330",$106.33,$110.14,$104.3
BPMC,12/21/2021,$106.44,"435,277",$106.37,$107.8558,$105.44
BPMC,12/20/2021,$105.79,"383,750",$101.29,$106.86,$100.01
BPMC,12/17/2021,$102.75,"816,229",$98.69,$104.38,$98.4
BPMC,12/16/2021,$99.68,"472,249",$104.35,$105.37,$98.97
BPMC,12/15/2021,$104.21,"440,165",$98.52,$104.28,$98.02
BPMC,12/14/2021,$98.87,"391,923",$98.64,$102.055,$97.73
BPMC,12/13/2021,$99.62,"438,801",$96.78,$100.04,$95.71
BPMC,12/10/2021,$96.9,"490,475",$95.7,$98.995,$95.57
BPMC,12/09/2021,$95.64,"216,439",$97.9,$98.85,$95.31
BPMC,12/08/2021,$98.72,"365,466",$96.47,$98.79,$95.17
BPMC,12/07/2021,$96.72,"294,804",$96.31,$98.97,$95.52
BPMC,12/06/2021,$95.41,"412,777",$94.25,$95.94,$91.725
BPMC,12/03/2021,$94.25,"614,538",$98.86,$98.86,$93.04
BPMC,12/02/2021,$98.51,"361,646",$95.31,$99.4335,$95.025
BPMC,12/01/2021,$96.03,"412,503",$97.7,$100.98,$95.95
BPMC,11/30/2021,$96.2,"563,651",$97.57,$98.11,$94.28
BPMC,11/29/2021,$98.28,"572,770",$102.45,$102.68,$96.2
BPMC,11/26/2021,$100.85,"265,861",$102.74,$103.52,$99.36
BPMC,11/24/2021,$104.29,"206,355",$103.44,$104.42,$101.725
BPMC,11/23/2021,$103.88,"441,833",$107.14,$107.7371,$101.55
BPMC,11/22/2021,$107.79,"210,453",$109.32,$109.68,$106.98
BPMC,11/19/2021,$108.92,"189,563",$110.3,$111,$108.61
BPMC,11/18/2021,$110.39,"312,047",$111.66,$113.295,$110.11
BPMC,11/17/2021,$111.99,"291,949",$114.55,$114.87,$110.67
BPMC,11/16/2021,$115.36,"312,341",$114.28,$115.98,$113.22
BPMC,11/15/2021,$115.16,"234,262",$115.49,$115.49,$112.14
BPMC,11/12/2021,$114.35,"366,597",$115.98,$116.6,$113.215
