ticker,date,close,volume,open,high,low
BSGM,02/10/2022,$1.5,"137,705",$1.59,$1.62,$1.49
BSGM,02/09/2022,$1.6,"115,091",$1.58,$1.6358,$1.5649
BSGM,02/08/2022,$1.6,"83,288",$1.57,$1.6225,$1.54
BSGM,02/07/2022,$1.56,"140,825",$1.66,$1.69,$1.53
BSGM,02/04/2022,$1.64,"207,905",$1.66,$1.69,$1.57
BSGM,02/03/2022,$1.63,"111,578",$1.8,$1.8,$1.6
BSGM,02/02/2022,$1.76,"84,272",$1.91,$1.91,$1.73
BSGM,02/01/2022,$1.86,"81,298",$1.79,$1.86,$1.72
BSGM,01/31/2022,$1.78,"102,632",$1.62,$1.8,$1.61
BSGM,01/28/2022,$1.65,"130,259",$1.64,$1.7,$1.5297
BSGM,01/27/2022,$1.5,"205,806",$1.73,$1.73,$1.47
BSGM,01/26/2022,$1.71,"162,793",$1.77,$1.8899,$1.67
BSGM,01/25/2022,$1.77,"174,710",$1.8,$1.9,$1.75
BSGM,01/24/2022,$1.82,"296,248",$1.8,$1.85,$1.56
BSGM,01/21/2022,$1.8,"440,646",$2.04,$2.1,$1.73
BSGM,01/20/2022,$2.07,"111,955",$2.16,$2.192,$2.03
BSGM,01/19/2022,$2.13,"145,686",$2.05,$2.14,$2.0221
BSGM,01/18/2022,$2.03,"140,177",$2.06,$2.1,$2.015
BSGM,01/14/2022,$2.07,"72,633",$2.07,$2.14,$2.0311
BSGM,01/13/2022,$2.08,"107,354",$2.11,$2.19,$2.06
BSGM,01/12/2022,$2.12,"92,785",$2.14,$2.22,$2.11
BSGM,01/11/2022,$2.13,"130,466",$2.13,$2.185,$2.05
BSGM,01/10/2022,$2.11,"197,113",$2.2,$2.2,$2.05
BSGM,01/07/2022,$2.24,"122,400",$2.26,$2.3,$2.15
BSGM,01/06/2022,$2.21,"160,279",$2.26,$2.34,$2.13
BSGM,01/05/2022,$2.27,"184,330",$2.46,$2.46,$2.21
BSGM,01/04/2022,$2.44,"133,578",$2.39,$2.46,$2.34
BSGM,01/03/2022,$2.36,"105,998",$2.25,$2.38,$2.2
BSGM,12/31/2021,$2.23,"293,336",$2.33,$2.37,$2.2
BSGM,12/30/2021,$2.35,"206,086",$2.31,$2.42,$2.31
BSGM,12/29/2021,$2.34,"338,428",$2.48,$2.48,$2.23
BSGM,12/28/2021,$2.39,"144,731",$2.35,$2.46,$2.33
BSGM,12/27/2021,$2.37,"502,451",$2.65,$2.66,$2.33
BSGM,12/23/2021,$2.7,"686,825",$2.43,$2.7,$2.4
BSGM,12/22/2021,$2.31,"293,940",$2.37,$2.42,$2.29
BSGM,12/21/2021,$2.37,"524,984",$2.63,$2.63,$2.31
BSGM,12/20/2021,$2.63,"186,979",$2.7,$2.7,$2.5
BSGM,12/17/2021,$2.65,"334,036",$2.59,$2.67,$2.46
BSGM,12/16/2021,$2.53,"457,413",$2.5,$2.63,$2.42
BSGM,12/15/2021,$2.41,"278,085",$2.22,$2.44,$2.11
BSGM,12/14/2021,$2.18,"182,744",$2.33,$2.36,$2.1239
BSGM,12/13/2021,$2.27,"217,792",$2.33,$2.39,$2.26
BSGM,12/10/2021,$2.31,"440,905",$2.72,$2.72,$2.3
BSGM,12/09/2021,$2.65,"101,776",$2.77,$2.78,$2.64
BSGM,12/08/2021,$2.75,"88,672",$2.74,$2.82,$2.65
BSGM,12/07/2021,$2.68,"313,568",$2.53,$2.78,$2.53
BSGM,12/06/2021,$2.53,"355,109",$2.6,$2.6005,$2.455
BSGM,12/03/2021,$2.63,"203,417",$2.88,$2.88,$2.56
BSGM,12/02/2021,$2.82,"138,022",$2.61,$2.83,$2.59
BSGM,12/01/2021,$2.62,"231,913",$2.71,$2.736,$2.58
BSGM,11/30/2021,$2.72,"174,526",$2.74,$2.82,$2.63
BSGM,11/29/2021,$2.77,"260,619",$3.1,$3.1,$2.76
BSGM,11/26/2021,$3.08,"109,250",$3.04,$3.1099,$2.99
BSGM,11/24/2021,$3.08,"295,628",$2.94,$3.12,$2.9314
BSGM,11/23/2021,$2.92,"130,208",$3,$3,$2.9
BSGM,11/22/2021,$2.9,"416,875",$3.32,$3.4,$2.9
BSGM,11/19/2021,$3.34,"340,713",$3.5,$3.51,$3.25
BSGM,11/18/2021,$3.38,"590,060",$4,$4.1007,$3.34
BSGM,11/17/2021,$3.93,"809,115",$3.686,$3.99,$3.68
BSGM,11/16/2021,$3.7,"1,007,913",$3.3,$3.7,$3.3
BSGM,11/15/2021,$3.26,"149,515",$3.37,$3.45,$3.26
BSGM,11/12/2021,$3.43,"304,913",$3.4,$3.44,$3.2101
BSGM,11/11/2021,$3.34,"235,638",$3.4,$3.5,$3.29
BSGM,11/10/2021,$3.37,"165,703",$3.28,$3.4,$3.27
BSGM,11/09/2021,$3.265,"160,880",$3.43,$3.43,$3.25
BSGM,11/08/2021,$3.4,"613,960",$3.4,$3.5,$3.26
BSGM,11/05/2021,$3.4,"397,438",$3.25,$3.44,$3.25
BSGM,11/04/2021,$3.21,"534,574",$3.17,$3.25,$3
BSGM,11/03/2021,$3.11,"381,576",$3.1,$3.19,$2.9659
BSGM,11/02/2021,$3.11,"468,508",$3.22,$3.27,$2.93
BSGM,11/01/2021,$3.25,"1,068,734",$2.71,$3.65,$2.71
BSGM,10/29/2021,$2.7,"169,350",$2.6,$2.79,$2.6
BSGM,10/28/2021,$2.64,"99,234",$2.51,$2.64,$2.51
BSGM,10/27/2021,$2.52,"91,432",$2.51,$2.56,$2.3228
BSGM,10/26/2021,$2.5,"136,962",$2.45,$2.53,$2.45
BSGM,10/25/2021,$2.47,"73,420",$2.57,$2.57,$2.41
BSGM,10/22/2021,$2.55,"271,950",$2.46,$2.61,$2.4
BSGM,10/21/2021,$2.48,"395,571",$2.31,$2.5,$2.31
BSGM,10/20/2021,$2.32,"163,360",$2.42,$2.4487,$2.26
BSGM,10/19/2021,$2.39,"172,143",$2.5,$2.5,$2.3756
BSGM,10/18/2021,$2.53,"84,087",$2.58,$2.61,$2.47
BSGM,10/15/2021,$2.56,"152,666",$2.6,$2.7,$2.47
BSGM,10/14/2021,$2.62,"95,675",$2.56,$2.66,$2.51
BSGM,10/13/2021,$2.51,"105,585",$2.4,$2.55,$2.35
BSGM,10/12/2021,$2.42,"63,079",$2.48,$2.4907,$2.36
