ticker,date,close,volume,open,high,low
CGEM,02/10/2022,$14.14,"224,678",$13.76,$15.04,$13.76
CGEM,02/09/2022,$14.35,"189,459",$13.78,$14.5148,$13.59
CGEM,02/08/2022,$13.76,"124,787",$13.97,$14.2,$13.56
CGEM,02/07/2022,$14.06,"201,593",$13.16,$14.08,$12.96
CGEM,02/04/2022,$13.2,"156,169",$13.01,$13.49,$12.62
CGEM,02/03/2022,$12.8,"133,656",$12.99,$13.23,$12.74
CGEM,02/02/2022,$13.21,"131,505",$13.86,$13.86,$13.14
CGEM,02/01/2022,$13.97,"207,677",$13.48,$14.17,$12.8
CGEM,01/31/2022,$13.48,"187,963",$12.72,$13.5,$12.7
CGEM,01/28/2022,$12.84,"160,694",$12.3,$12.85,$12.105
CGEM,01/27/2022,$12.35,"232,103",$13.14,$13.415,$12.26
CGEM,01/26/2022,$12.89,"206,749",$13.73,$13.83,$12.72
CGEM,01/25/2022,$13.44,"171,757",$13.17,$13.775,$12.76
CGEM,01/24/2022,$13.58,"324,400",$12.02,$13.69,$11.87
CGEM,01/21/2022,$12.36,"195,845",$12.29,$12.785,$12.06
CGEM,01/20/2022,$12.52,"174,918",$13.05,$13.51,$12.39
CGEM,01/19/2022,$12.84,"133,311",$12.91,$13.365,$12.55
CGEM,01/18/2022,$12.82,"175,235",$13.34,$13.55,$12.79
CGEM,01/14/2022,$13.69,"216,233",$13.11,$13.79,$12.685
CGEM,01/13/2022,$13.34,"168,957",$13.75,$13.975,$13.24
CGEM,01/12/2022,$13.71,"192,579",$14.76,$14.76,$13.675
CGEM,01/11/2022,$14.63,"135,814",$14.67,$15.28,$14.29
CGEM,01/10/2022,$14.67,"172,308",$15.165,$15.165,$13.87
CGEM,01/07/2022,$14.69,"137,841",$15.65,$15.89,$14.41
CGEM,01/06/2022,$15.44,"198,311",$15.63,$16.05,$14.815
CGEM,01/05/2022,$15.63,"280,029",$16.56,$16.9766,$15.535
CGEM,01/04/2022,$16.75,"541,295",$17.03,$18.46,$16.24
CGEM,01/03/2022,$16.49,"181,828",$15.7,$16.88,$15.2801
CGEM,12/31/2021,$15.43,"1,493,878",$15.52,$16,$15.15
CGEM,12/30/2021,$15.7,"124,246",$15.57,$16.11,$15.57
CGEM,12/29/2021,$15.53,"146,597",$15.88,$15.88,$15.29
CGEM,12/28/2021,$15.87,"103,845",$16.31,$16.7,$15.8
CGEM,12/27/2021,$16.51,"95,025",$16.66,$16.85,$16.1924
CGEM,12/23/2021,$16.7,"199,411",$16.95,$17.13,$16.53
CGEM,12/22/2021,$16.76,"193,175",$16.47,$17.18,$16.1771
CGEM,12/21/2021,$16.53,"216,915",$16.19,$16.86,$16
CGEM,12/20/2021,$15.91,"303,404",$15.25,$15.99,$14.75
CGEM,12/17/2021,$15.66,"2,623,096",$15.43,$15.8,$14.41
CGEM,12/16/2021,$15.36,"1,914,210",$16.07,$16.6,$14.83
CGEM,12/15/2021,$15.93,"304,842",$15.54,$16.05,$14.52
CGEM,12/14/2021,$15.59,"212,585",$15.96,$15.98,$15.178
CGEM,12/13/2021,$16.13,"176,184",$16.84,$17.98,$15.79
CGEM,12/10/2021,$16.82,"165,933",$16.96,$17.16,$16.25
CGEM,12/09/2021,$16.76,"111,009",$17.27,$17.71,$16.71
CGEM,12/08/2021,$17.43,"108,126",$17.67,$17.67,$17.17
CGEM,12/07/2021,$17.46,"154,723",$17.955,$17.96,$16.85
CGEM,12/06/2021,$16.89,"175,214",$16.46,$17.2,$15.9
CGEM,12/03/2021,$16.21,"167,330",$17.27,$17.37,$15.97
CGEM,12/02/2021,$17.19,"149,177",$16.59,$17.25,$16.195
CGEM,12/01/2021,$16.56,"205,054",$18.48,$18.48,$16.45
CGEM,11/30/2021,$18,"243,068",$17.29,$18.13,$17.06
CGEM,11/29/2021,$17.58,"95,037",$18.4,$19.12,$17.525
CGEM,11/26/2021,$18.22,"57,622",$18.71,$19.05,$17.76
CGEM,11/24/2021,$19.15,"153,394",$18.68,$19.21,$18.5
CGEM,11/23/2021,$19,"152,621",$18.38,$19.05,$17.64
CGEM,11/22/2021,$18.51,"169,180",$19.5,$20.015,$18.48
CGEM,11/19/2021,$19.47,"547,469",$19.22,$19.69,$18.95
CGEM,11/18/2021,$19.27,"171,424",$19.74,$20.9,$18.875
CGEM,11/17/2021,$19.68,"121,925",$20.43,$20.8675,$19.61
CGEM,11/16/2021,$20.56,"134,682",$20.86,$21.45,$20.15
CGEM,11/15/2021,$20.96,"117,479",$21.42,$21.54,$20.8
CGEM,11/12/2021,$21.17,"104,678",$22.21,$22.315,$21.07
CGEM,11/11/2021,$22.14,"103,238",$22.55,$23.12,$22.03
CGEM,11/10/2021,$22.49,"120,861",$22.62,$23.21,$22.32
CGEM,11/09/2021,$22.5,"313,693",$23.92,$23.92,$21.95
CGEM,11/08/2021,$23.55,"93,533",$23.19,$23.82,$22.98
CGEM,11/05/2021,$23.15,"90,065",$22.81,$23.44,$22.45
CGEM,11/04/2021,$22.72,"74,376",$22.89,$23.41,$22.445
CGEM,11/03/2021,$22.76,"151,195",$22.33,$23.1,$22.31
CGEM,11/02/2021,$22.26,"77,912",$22.3,$22.605,$21.5
CGEM,11/01/2021,$22.19,"123,014",$22.27,$23.58,$22
CGEM,10/29/2021,$22.22,"76,970",$22.29,$22.76,$21.925
CGEM,10/28/2021,$22.53,"835,180",$22.24,$23.5,$21.745
CGEM,10/27/2021,$22.17,"218,903",$21.8,$22.35,$21.69
CGEM,10/26/2021,$21.74,"303,185",$22.04,$22.4,$21.04
CGEM,10/25/2021,$21.85,"127,590",$22.22,$22.57,$20.9
CGEM,10/22/2021,$22.21,"132,505",$23.38,$23.38,$22.13
CGEM,10/21/2021,$23.42,"536,159",$21.91,$23.94,$21.91
CGEM,10/20/2021,$21.89,"212,724",$21.39,$22,$21.3
CGEM,10/19/2021,$21.51,"178,054",$21.21,$21.75,$20.58
CGEM,10/18/2021,$21.12,"812,015",$23.42,$24.28,$20.35
CGEM,10/15/2021,$25,"601,165",$23.75,$25.05,$23.32
CGEM,10/14/2021,$23.61,"150,404",$23.22,$24.16,$23.22
CGEM,10/13/2021,$23.16,"229,535",$23.355,$23.58,$22.71
CGEM,10/12/2021,$22.99,"103,302",$23.44,$24,$22.795
CGEM,10/11/2021,$23.3,"132,259",$23.84,$24.39,$23.16
CGEM,10/08/2021,$23.82,"62,917",$24.33,$24.85,$23.51
CGEM,10/07/2021,$24.41,"146,354",$24.23,$25,$24.13
CGEM,10/06/2021,$24.08,"126,292",$23.09,$24.47,$23.09
CGEM,10/05/2021,$23.66,"98,883",$23.15,$23.76,$22
CGEM,10/04/2021,$22.94,"118,487",$24.54,$24.54,$22.7
CGEM,10/01/2021,$24.75,"213,117",$22.6,$24.92,$22.07
CGEM,09/30/2021,$22.57,"178,124",$22.84,$23.31,$21.97
CGEM,09/29/2021,$22.63,"75,237",$22.97,$23.39,$22.35
