ticker,date,close,volume,open,high,low
CMPS,02/10/2022,$15.37,"231,574",$15.22,$16.1,$15
CMPS,02/09/2022,$15.69,"376,840",$14.86,$16.07,$14.84
CMPS,02/08/2022,$14.7,"168,620",$15.03,$15.14,$14.42
CMPS,02/07/2022,$14.91,"260,576",$14.8,$15.36,$14.51
CMPS,02/04/2022,$14.85,"360,099",$14.66,$15.1,$14.2502
CMPS,02/03/2022,$14.74,"173,781",$14.79,$15.37,$14.64
CMPS,02/02/2022,$15.32,"219,449",$16.4181,$16.4435,$15.161
CMPS,02/01/2022,$16.47,"261,292",$16.17,$16.56,$15.55
CMPS,01/31/2022,$15.75,"299,475",$15.02,$16.03,$15
CMPS,01/28/2022,$14.78,"293,038",$14.01,$14.82,$13.6916
CMPS,01/27/2022,$14.12,"240,150",$15.19,$15.37,$14.1
CMPS,01/26/2022,$15.13,"510,417",$15.9,$16.4396,$15.05
CMPS,01/25/2022,$15.68,"456,494",$15.06,$16.16,$14.81
CMPS,01/24/2022,$15.51,"534,641",$15.47,$15.64,$14.0401
CMPS,01/21/2022,$15.77,"425,698",$16.1,$16.8,$15.51
CMPS,01/20/2022,$16.3,"219,190",$16.65,$17.6,$16.19
CMPS,01/19/2022,$16.7,"219,723",$17.34,$17.85,$16.6013
CMPS,01/18/2022,$17.33,"683,190",$17.54,$17.655,$16.75
CMPS,01/14/2022,$17.9,"435,549",$18.43,$18.43,$17
CMPS,01/13/2022,$17.82,"639,408",$19.1,$19.4,$17.76
CMPS,01/12/2022,$18.99,"407,628",$20.26,$20.4829,$18.9
CMPS,01/11/2022,$20.13,"244,773",$19.62,$20.945,$19.4
CMPS,01/10/2022,$19.62,"615,650",$18.91,$19.7,$18.24
CMPS,01/07/2022,$18.87,"655,842",$18.19,$19.31,$18.03
CMPS,01/06/2022,$18.19,"1,253,602",$19.94,$20.03,$18.02
CMPS,01/05/2022,$19.94,"577,724",$21.53,$21.99,$19.59
CMPS,01/04/2022,$21.68,"261,121",$23.11,$23.12,$21.389
CMPS,01/03/2022,$23.04,"209,197",$22.3,$23.22,$21.8
CMPS,12/31/2021,$22.1,"340,777",$22.3,$22.7799,$21.81
CMPS,12/30/2021,$22.38,"465,990",$21.89,$23.22,$21.72
CMPS,12/29/2021,$21.89,"519,513",$21.81,$22.46,$21.26
CMPS,12/28/2021,$21.81,"517,282",$22.32,$23.3,$21.7
CMPS,12/27/2021,$22.65,"465,198",$23.9,$23.9,$22.31
CMPS,12/23/2021,$23.78,"526,260",$23.17,$24.25,$22.66
CMPS,12/22/2021,$23,"524,758",$23.95,$24,$22.7
CMPS,12/21/2021,$23.94,"462,930",$23.72,$24.3999,$23.23
CMPS,12/20/2021,$23.88,"789,051",$23.01,$24.45,$22.52
CMPS,12/17/2021,$23.45,"1,205,229",$22.44,$23.595,$21.2
CMPS,12/16/2021,$22.5,"643,401",$24.09,$24.4,$22.35
CMPS,12/15/2021,$23.73,"693,644",$23.8,$23.97,$22.56
CMPS,12/14/2021,$23.76,"586,941",$24.5,$24.96,$23.12
CMPS,12/13/2021,$24.72,"658,626",$25.19,$26.54,$23.89
CMPS,12/10/2021,$25.34,"914,398",$26.75,$27,$24.7
CMPS,12/09/2021,$26.75,"521,684",$28,$28.74,$26.46
CMPS,12/08/2021,$28.12,"981,575",$28.37,$28.96,$26.76
CMPS,12/07/2021,$28.67,"1,063,480",$27.96,$28.98,$27.65
CMPS,12/06/2021,$27.4,"844,585",$29.5,$29.75,$27.17
CMPS,12/03/2021,$29.6,"677,601",$31.85,$32.1245,$28.56
CMPS,12/02/2021,$31.95,"529,625",$32.04,$32.5461,$30.48
CMPS,12/01/2021,$32,"619,142",$34.79,$34.79,$31.9
CMPS,11/30/2021,$33.2,"457,930",$32.81,$33.44,$31.371
CMPS,11/29/2021,$32.84,"1,303,369",$33.84,$34.32,$31.75
CMPS,11/26/2021,$32.75,"359,614",$31,$32.75,$30.55
CMPS,11/24/2021,$32.04,"693,230",$31,$32.26,$30.53
CMPS,11/23/2021,$30.94,"829,168",$30.5,$31.701,$29.995
CMPS,11/22/2021,$30.23,"858,811",$32,$32,$29.1
CMPS,11/19/2021,$31.07,"505,174",$31.67,$32.5299,$30.5849
CMPS,11/18/2021,$31.29,"918,690",$34.3,$34.3,$30.81
CMPS,11/17/2021,$34.08,"523,667",$35.02,$35.1,$33.51
CMPS,11/16/2021,$35.15,"511,137",$34.91,$35.98,$33.85
CMPS,11/15/2021,$34.91,"521,580",$35.93,$35.95,$34.28
CMPS,11/12/2021,$35.39,"604,648",$34.85,$35.7,$33.5701
CMPS,11/11/2021,$34.45,"888,940",$34.68,$35.64,$33.22
CMPS,11/10/2021,$33.5,"1,821,879",$35.99,$37.29,$33.01
CMPS,11/09/2021,$36,"10,243,320",$40.655,$42,$30.51
CMPS,11/08/2021,$43.06,"1,236,724",$49.2,$49.515,$42.56
CMPS,11/05/2021,$48.96,"868,848",$47.2468,$49.5,$45.6334
CMPS,11/04/2021,$46.66,"426,288",$45.59,$46.89,$44.54
CMPS,11/03/2021,$45.34,"502,306",$45.18,$45.75,$42.51
CMPS,11/02/2021,$44.86,"624,569",$43.87,$45.18,$42.67
CMPS,11/01/2021,$43.06,"821,165",$42.2,$44.24,$41.54
CMPS,10/29/2021,$42.2,"821,928",$39.55,$42.45,$39.55
CMPS,10/28/2021,$40.04,"470,820",$39.87,$40.5,$38.89
CMPS,10/27/2021,$39.52,"750,084",$38.48,$40.9,$38.4
CMPS,10/26/2021,$38.31,"463,734",$38.46,$39.74,$38
CMPS,10/25/2021,$38.31,"634,864",$39.3,$40.41,$37.68
CMPS,10/22/2021,$38.89,"688,377",$35.5,$39.42,$34.371
CMPS,10/21/2021,$35.31,"634,564",$34.25,$36.005,$34
CMPS,10/20/2021,$34.74,"794,260",$34.5,$35.25,$33.85
CMPS,10/19/2021,$33.78,"595,079",$32.27,$34.4,$32
CMPS,10/18/2021,$31.62,"203,869",$32.28,$32.45,$31.31
CMPS,10/15/2021,$32.22,"229,000",$31.97,$32.681,$31.7785
CMPS,10/14/2021,$32.3,"244,848",$31.63,$32.32,$31.53
CMPS,10/13/2021,$31.57,"228,937",$32.13,$32.35,$31.29
CMPS,10/12/2021,$32.21,"264,091",$31,$32.27,$30.5877
CMPS,10/11/2021,$31.09,"266,038",$30.78,$31.65,$30.29
CMPS,10/08/2021,$31.47,"316,048",$30,$31.51,$29.84
CMPS,10/07/2021,$30.1,"535,842",$29.2,$30.536,$29.08
CMPS,10/06/2021,$29.06,"286,134",$29.82,$30.18,$28.58
CMPS,10/05/2021,$29.91,"325,218",$30,$30.6,$29.7514
CMPS,10/04/2021,$30.05,"314,284",$30.62,$30.62,$29.62
CMPS,10/01/2021,$30.9,"311,103",$29.83,$31.06,$29.4005
CMPS,09/30/2021,$29.87,"380,209",$29.2,$30,$29.125
CMPS,09/29/2021,$29.03,"358,401",$30.9,$31.15,$28.92
CMPS,09/28/2021,$30.42,"371,988",$32,$32,$30.265
CMPS,09/27/2021,$32.37,"243,956",$32.12,$32.47,$31.32
CMPS,09/24/2021,$32.25,"161,220",$32.28,$33.1002,$31.9
CMPS,09/23/2021,$32.62,"239,660",$32.47,$32.9,$31.87
CMPS,09/22/2021,$32.28,"293,677",$31.71,$32.45,$31.26
CMPS,09/21/2021,$31.62,"205,835",$31.57,$32.11,$30.86
CMPS,09/20/2021,$31.37,"382,205",$32.6,$32.6,$30.94
CMPS,09/17/2021,$33.14,"307,516",$33,$33.61,$32.5
CMPS,09/16/2021,$33.36,"256,341",$32.64,$33.52,$32.2595
CMPS,09/15/2021,$32.55,"344,741",$31.88,$32.749,$31.7
CMPS,09/14/2021,$31.88,"253,237",$33.09,$33.41,$31.65
CMPS,09/13/2021,$33.02,"298,922",$34.3,$34.3,$32.82
CMPS,09/10/2021,$34.41,"334,154",$34.75,$35,$33.7525
CMPS,09/09/2021,$34.49,"538,554",$34.75,$35.5,$34.26
CMPS,09/08/2021,$33.47,"279,946",$34.3,$34.37,$33.1
CMPS,09/07/2021,$34.33,"282,081",$33.99,$34.72,$33.775
CMPS,09/03/2021,$33.24,"186,797",$33.1,$33.5,$32.6
CMPS,09/02/2021,$33.1,"195,953",$33.16,$33.64,$32.4
CMPS,09/01/2021,$33.26,"296,374",$33.68,$34.19,$33.05
CMPS,08/31/2021,$33.9,"371,251",$32.76,$34.06,$32.6232
CMPS,08/30/2021,$32.68,"289,589",$31.53,$33.38,$31.53
CMPS,08/27/2021,$31.83,"226,380",$31.42,$32.39,$31.022
CMPS,08/26/2021,$31.42,"228,292",$33.13,$33.32,$31.25
CMPS,08/25/2021,$33.06,"383,109",$32.74,$33.61,$32.1349
CMPS,08/24/2021,$33.03,"309,602",$32.2,$33.5,$31.97
CMPS,08/23/2021,$32.2,"316,861",$30.9,$32.5,$30.68
CMPS,08/20/2021,$30.66,"191,641",$30.14,$30.82,$29.71
CMPS,08/19/2021,$29.67,"218,794",$31,$31.14,$29.44
CMPS,08/18/2021,$31.23,"502,686",$30.9,$31.94,$30.56
CMPS,08/17/2021,$30.82,"317,739",$29.93,$30.865,$29.45
CMPS,08/16/2021,$30.01,"243,356",$30.29,$30.51,$29.7
CMPS,08/13/2021,$30.26,"242,563",$30.74,$31.05,$29.9822
CMPS,08/12/2021,$30.74,"347,503",$30.12,$31.09,$29.9538
CMPS,08/11/2021,$30.16,"899,149",$32.25,$32.75,$29.31
CMPS,08/10/2021,$32.65,"283,772",$33.57,$33.57,$32.3064
CMPS,08/09/2021,$33.18,"270,440",$34,$34.259,$33.1
CMPS,08/06/2021,$33.69,"336,885",$32.6,$33.7,$32.45
