ticker,date,close,volume,open,high,low
DAWN,02/10/2022,$14.23,"211,637",$15.38,$15.79,$14.12
DAWN,02/09/2022,$15.47,"134,211",$14.83,$15.72,$14.64
DAWN,02/08/2022,$14.63,"147,316",$14.06,$14.79,$14
DAWN,02/07/2022,$14.21,"97,316",$13.82,$14.735,$13.65
DAWN,02/04/2022,$13.74,"273,642",$14,$14.24,$13.52
DAWN,02/03/2022,$14.09,"61,775",$14,$14.38,$14
DAWN,02/02/2022,$14.08,"90,681",$14.98,$14.98,$14.02
DAWN,02/01/2022,$14.95,"99,369",$14.76,$15.06,$14.26
DAWN,01/31/2022,$14.75,"188,918",$14,$14.88,$14
DAWN,01/28/2022,$14.01,"919,053",$13.26,$14.03,$12.95
DAWN,01/27/2022,$13.25,"129,597",$14.03,$14.265,$12.99
DAWN,01/26/2022,$13.85,"153,451",$14.87,$16.36,$13.69
DAWN,01/25/2022,$14.75,"342,486",$14.39,$15.29,$13.67
DAWN,01/24/2022,$14.53,"375,119",$14.52,$14.715,$13.51
DAWN,01/21/2022,$14.63,"425,354",$15.03,$15.61,$14.28
DAWN,01/20/2022,$14.78,"250,070",$14.76,$15.36,$14.595
DAWN,01/19/2022,$14.71,"193,925",$14.4,$14.955,$14.07
DAWN,01/18/2022,$14.26,"184,402",$14.04,$14.53,$14.04
DAWN,01/14/2022,$14.09,"111,111",$14,$14.385,$13.45
DAWN,01/13/2022,$14.19,"726,289",$15.4,$15.73,$14.09
DAWN,01/12/2022,$15.36,"142,112",$15.01,$15.81,$14.94
DAWN,01/11/2022,$15.09,"167,274",$14.27,$15.365,$14.09
DAWN,01/10/2022,$14.48,"486,710",$15.91,$16.275,$13.94
DAWN,01/07/2022,$15.97,"252,049",$16.5,$16.79,$15.77
DAWN,01/06/2022,$16.46,"133,522",$16.34,$17.31,$16.01
DAWN,01/05/2022,$16.48,"100,799",$17.11,$17.7,$16.3
DAWN,01/04/2022,$16.98,"31,453",$17.52,$17.52,$16.87
DAWN,01/03/2022,$17.47,"126,692",$16.75,$17.58,$16.25
DAWN,12/31/2021,$16.85,"102,761",$16.72,$17.83,$16.56
DAWN,12/30/2021,$16.63,"203,300",$16.38,$17.15,$16.32
DAWN,12/29/2021,$16.35,"136,977",$16.27,$16.84,$15.76
DAWN,12/28/2021,$16.27,"207,085",$16,$16.31,$15.91
DAWN,12/27/2021,$15.97,"168,454",$15.9,$16.06,$15.56
DAWN,12/23/2021,$15.83,"69,909",$15.65,$15.89,$15.16
DAWN,12/22/2021,$15.65,"218,222",$16.74,$16.74,$15.54
DAWN,12/21/2021,$17.29,"647,684",$18,$18,$16.81
DAWN,12/20/2021,$17.96,"610,651",$17.51,$18.64,$16.8675
DAWN,12/17/2021,$17.85,"1,156,560",$17.23,$18.27,$16.47
DAWN,12/16/2021,$17.53,"837,187",$18.05,$18.845,$16.84
DAWN,12/15/2021,$18.25,"826,212",$17.67,$18.65,$16.615
DAWN,12/14/2021,$17.45,"392,232",$17.24,$17.88,$16.67
DAWN,12/13/2021,$17.45,"184,595",$17.24,$18.81,$16.8219
DAWN,12/10/2021,$17.39,"301,831",$16.81,$18.41,$16.1637
DAWN,12/09/2021,$16.75,"311,866",$17.45,$19.9,$16.45
DAWN,12/08/2021,$17.98,"333,221",$18.25,$18.73,$17.32
DAWN,12/07/2021,$18,"457,655",$18.36,$19.935,$17.955
DAWN,12/06/2021,$18,"313,926",$18.43,$18.665,$17.23
DAWN,12/03/2021,$18,"119,516",$19.42,$19.6438,$17.57
DAWN,12/02/2021,$19.33,"176,347",$16.48,$19.54,$16.25
DAWN,12/01/2021,$16.43,"116,639",$19.635,$19.635,$16.13
DAWN,11/30/2021,$18.37,"699,713",$17.81,$19.01,$16.4
DAWN,11/29/2021,$18.05,"298,616",$18.81,$20.02,$17.78
DAWN,11/26/2021,$18.3,"110,901",$17.59,$18.82,$17.59
DAWN,11/24/2021,$18.16,"78,818",$18.705,$18.8,$17.93
DAWN,11/23/2021,$19,"72,590",$19,$20.73,$18.5
DAWN,11/22/2021,$19.03,"30,505",$20.31,$21,$18.82
DAWN,11/19/2021,$20.11,"27,719",$19.92,$20.6,$19.1441
DAWN,11/18/2021,$20.11,"57,244",$20.51,$20.99,$19.98
DAWN,11/17/2021,$20.51,"22,713",$21.45,$21.95,$20.4
DAWN,11/16/2021,$21.38,"64,307",$21.24,$22.56,$20.87
DAWN,11/15/2021,$21.26,"77,992",$22.59,$22.67,$21.01
DAWN,11/12/2021,$22.19,"32,808",$22.672,$23.095,$22.19
DAWN,11/11/2021,$23.15,"60,485",$23.22,$23.83,$22.93
DAWN,11/10/2021,$23.14,"41,716",$24.36,$24.66,$22.68
DAWN,11/09/2021,$23.9,"49,912",$24.33,$24.72,$22.99
DAWN,11/08/2021,$24.83,"70,699",$26.3,$26.62,$23.89
