ticker,date,close,volume,open,high,low
DTIL,02/10/2022,$4.83,"671,346",$4.99,$5.1999,$4.73
DTIL,02/09/2022,$5,"639,344",$4.92,$5.07,$4.89
DTIL,02/08/2022,$4.86,"477,842",$4.9,$4.9,$4.67
DTIL,02/07/2022,$4.82,"537,848",$4.61,$4.91,$4.57
DTIL,02/04/2022,$4.53,"546,499",$4.35,$4.64,$4.33
DTIL,02/03/2022,$4.36,"360,378",$4.37,$4.57,$4.33
DTIL,02/02/2022,$4.56,"440,992",$4.9,$4.92,$4.53
DTIL,02/01/2022,$4.92,"488,247",$4.78,$5.02,$4.64
DTIL,01/31/2022,$4.77,"633,717",$4.34,$4.77,$4.34
DTIL,01/28/2022,$4.35,"585,668",$4.23,$4.35,$4.06
DTIL,01/27/2022,$4.25,"540,133",$4.6,$4.65,$4.22
DTIL,01/26/2022,$4.52,"604,713",$4.79,$4.91,$4.45
DTIL,01/25/2022,$4.68,"540,924",$4.6,$4.83,$4.53
DTIL,01/24/2022,$4.76,"1,070,175",$4.55,$4.78,$4.235
DTIL,01/21/2022,$4.59,"1,007,535",$4.88,$4.91,$4.52
DTIL,01/20/2022,$4.97,"598,240",$5.16,$5.39,$4.95
DTIL,01/19/2022,$5.1,"741,814",$5.41,$5.45,$5.0706
DTIL,01/18/2022,$5.24,"650,179",$5.85,$5.85,$5.22
DTIL,01/14/2022,$5.94,"909,456",$5.8,$5.98,$5.62
DTIL,01/13/2022,$5.82,"530,235",$6.201,$6.29,$5.77
DTIL,01/12/2022,$6.16,"418,874",$6.51,$6.59,$6.14
DTIL,01/11/2022,$6.49,"360,141",$6.41,$6.7,$6.28
DTIL,01/10/2022,$6.45,"443,005",$6.5,$6.51,$6.28
DTIL,01/07/2022,$6.56,"516,542",$6.55,$6.85,$6.42
DTIL,01/06/2022,$6.59,"601,158",$6.73,$6.77,$6.26
DTIL,01/05/2022,$6.56,"782,169",$7.19,$7.3,$6.53
DTIL,01/04/2022,$7.26,"450,370",$7.72,$7.85,$7.2
DTIL,01/03/2022,$7.76,"321,222",$7.45,$7.76,$7.34
DTIL,12/31/2021,$7.4,"458,264",$7.52,$7.75,$7.3
DTIL,12/30/2021,$7.585,"334,415",$7.73,$8.05,$7.54
DTIL,12/29/2021,$7.76,"430,575",$7.89,$8.07,$7.59
DTIL,12/28/2021,$7.91,"377,144",$7.95,$8.33,$7.88
DTIL,12/27/2021,$8.02,"404,422",$8.44,$8.62,$7.86
DTIL,12/23/2021,$8.47,"354,659",$8.1,$8.53,$8.07
DTIL,12/22/2021,$8.13,"362,084",$8.11,$8.27,$7.93
DTIL,12/21/2021,$8.11,"396,543",$8.32,$8.345,$7.98
DTIL,12/20/2021,$8.18,"336,370",$8.26,$8.36,$8.01
DTIL,12/17/2021,$8.46,"637,492",$8.1,$8.55,$7.9
DTIL,12/16/2021,$8.15,"351,439",$8.66,$8.7,$8.13
DTIL,12/15/2021,$8.58,"649,651",$8.21,$8.604,$7.91
DTIL,12/14/2021,$8.18,"508,024",$8.11,$8.37,$7.95
DTIL,12/13/2021,$8.23,"536,808",$8.67,$8.81,$8.02
DTIL,12/10/2021,$8.58,"247,652",$8.955,$9.105,$8.52
DTIL,12/09/2021,$8.89,"308,879",$8.731,$9.41,$8.731
DTIL,12/08/2021,$9.11,"354,925",$8.94,$9.29,$8.72
DTIL,12/07/2021,$8.87,"454,355",$8.44,$9.06,$8.44
DTIL,12/06/2021,$8.26,"400,569",$8.17,$8.33,$7.878
DTIL,12/03/2021,$8.19,"417,077",$8.76,$8.76,$8.1
DTIL,12/02/2021,$8.72,"443,871",$8.58,$8.76,$8.31
DTIL,12/01/2021,$8.62,"453,962",$9.25,$9.325,$8.6
DTIL,11/30/2021,$9.06,"553,168",$8.64,$9.19,$8.56
DTIL,11/29/2021,$8.71,"437,394",$9.08,$9.11,$8.67
DTIL,11/26/2021,$8.89,"459,244",$9.36,$9.49,$8.74
DTIL,11/24/2021,$9.53,"321,652",$9.46,$9.64,$9.225
DTIL,11/23/2021,$9.49,"627,315",$9.1,$9.55,$9.02
DTIL,11/22/2021,$9.18,"389,474",$9.329,$9.465,$8.93
DTIL,11/19/2021,$9.35,"553,983",$9.08,$9.6,$9.05
DTIL,11/18/2021,$9.13,"735,243",$9.85,$9.93,$9.01
DTIL,11/17/2021,$9.75,"362,744",$9.65,$9.83,$9.35
DTIL,11/16/2021,$9.7,"326,253",$9.47,$9.72,$9.22
DTIL,11/15/2021,$9.48,"331,244",$9.91,$9.91,$9.46
DTIL,11/12/2021,$9.85,"488,215",$10.27,$10.3,$9.5
DTIL,11/11/2021,$10.25,"466,570",$10.47,$10.88,$10.205
DTIL,11/10/2021,$10.23,"663,764",$9.69,$10.34,$9.5
DTIL,11/09/2021,$9.41,"490,624",$9.7,$9.77,$9.28
DTIL,11/08/2021,$9.66,"343,719",$9.8,$9.905,$9.54
DTIL,11/05/2021,$9.74,"464,986",$9.99,$10.02,$9.58
DTIL,11/04/2021,$9.86,"382,481",$10,$10.1283,$9.62
DTIL,11/03/2021,$9.98,"460,879",$9.88,$10.06,$9.7
DTIL,11/02/2021,$9.89,"288,811",$9.81,$9.9,$9.67
DTIL,11/01/2021,$9.76,"366,681",$9.56,$9.86,$9.4
DTIL,10/29/2021,$9.49,"296,310",$9.56,$9.69,$9.43
DTIL,10/28/2021,$9.55,"382,757",$9.49,$9.58,$9.25
DTIL,10/27/2021,$9.46,"225,060",$9.63,$9.85,$9.41
DTIL,10/26/2021,$9.7,"260,342",$9.8,$9.9,$9.59
DTIL,10/25/2021,$9.65,"295,423",$9.6,$9.82,$9.5
DTIL,10/22/2021,$9.65,"288,133",$9.59,$9.7,$9.22
DTIL,10/21/2021,$9.64,"256,359",$9.6,$9.7707,$9.56
DTIL,10/20/2021,$9.58,"299,623",$9.86,$9.89,$9.53
DTIL,10/19/2021,$9.93,"312,575",$9.84,$10.15,$9.78
DTIL,10/18/2021,$9.77,"432,657",$9.69,$10.03,$9.58
DTIL,10/15/2021,$9.79,"470,381",$10.27,$10.29,$9.7
DTIL,10/14/2021,$10,"423,093",$10.09,$10.3,$9.93
DTIL,10/13/2021,$9.96,"195,777",$10.24,$11.0186,$9.95
DTIL,10/12/2021,$10.14,"320,289",$10.19,$10.44,$10.08
DTIL,10/11/2021,$10.08,"261,461",$10.07,$10.34,$10.01
DTIL,10/08/2021,$10.19,"424,368",$11.15,$11.15,$10.01
DTIL,10/07/2021,$11.19,"479,048",$11.2,$11.41,$10.9
DTIL,10/06/2021,$11.01,"409,656",$10.93,$11.075,$10.53
DTIL,10/05/2021,$11.19,"556,598",$11.05,$11.3,$10.76
DTIL,10/04/2021,$10.95,"376,730",$11.61,$11.61,$10.915
DTIL,10/01/2021,$11.66,"342,966",$11.55,$11.73,$11.1572
DTIL,09/30/2021,$11.54,"383,290",$11.71,$11.82,$11.48
DTIL,09/29/2021,$11.59,"302,534",$11.9,$12.03,$11.54
DTIL,09/28/2021,$11.77,"346,202",$12.5,$12.5,$11.7
DTIL,09/27/2021,$12.58,"272,574",$12.66,$12.87,$12.35
DTIL,09/24/2021,$12.63,"348,712",$13.2,$13.2,$12.53
DTIL,09/23/2021,$13.46,"465,362",$12.97,$13.4887,$12.84
DTIL,09/22/2021,$12.76,"255,809",$12.58,$12.92,$12.4676
DTIL,09/21/2021,$12.49,"292,153",$12.42,$12.69,$12.2
DTIL,09/20/2021,$12.4,"374,352",$12.48,$12.81,$12.235
DTIL,09/17/2021,$12.86,"879,575",$12.71,$13.14,$12.42
DTIL,09/16/2021,$12.58,"241,033",$12.3,$12.6,$12.11
DTIL,09/15/2021,$12.44,"332,014",$12.13,$12.47,$12.06
DTIL,09/14/2021,$12.1,"335,366",$12.75,$12.755,$12.045
DTIL,09/13/2021,$12.7,"510,103",$12.76,$13.09,$12.32
DTIL,09/10/2021,$12.73,"505,832",$13.06,$13.25,$12.72
DTIL,09/09/2021,$12.87,"431,735",$12.73,$13.54,$12.64
DTIL,09/08/2021,$12.63,"425,576",$13.38,$13.405,$12.58
DTIL,09/07/2021,$13.31,"467,605",$13.47,$13.8,$13.14
DTIL,09/03/2021,$13.49,"465,819",$14.075,$14.0825,$13.4
DTIL,09/02/2021,$14.15,"884,957",$13.73,$14.3595,$13.5711
DTIL,09/01/2021,$13.69,"1,297,557",$12.65,$14.38,$12.56
DTIL,08/31/2021,$12.57,"584,574",$11.85,$12.66,$11.75
DTIL,08/30/2021,$11.76,"422,455",$11.68,$12.17,$11.64
DTIL,08/27/2021,$11.57,"584,339",$10.85,$11.85,$10.85
DTIL,08/26/2021,$10.87,"458,880",$10.46,$11.07,$10.46
DTIL,08/25/2021,$10.54,"293,168",$10.2,$10.6687,$10.06
DTIL,08/24/2021,$10.16,"309,164",$10.1,$10.27,$9.91
DTIL,08/23/2021,$10.08,"427,263",$9.55,$10.12,$9.41
DTIL,08/20/2021,$9.41,"328,274",$9.16,$9.6,$9.07
DTIL,08/19/2021,$9.18,"534,264",$9.505,$9.56,$9.14
DTIL,08/18/2021,$9.4,"409,836",$9.27,$9.88,$9.22
DTIL,08/17/2021,$9.38,"531,770",$9.4,$9.49,$8.99
DTIL,08/16/2021,$9.5,"659,927",$10,$10.2599,$9.445
DTIL,08/13/2021,$10.19,"697,158",$11.61,$11.61,$10.07
DTIL,08/12/2021,$11.75,"649,317",$10.83,$11.9,$10.78
DTIL,08/11/2021,$10.53,"260,406",$10.31,$10.64,$10.24
DTIL,08/10/2021,$10.31,"220,435",$10.43,$10.43,$10.065
DTIL,08/09/2021,$10.38,"205,455",$10.35,$10.51,$10.24
DTIL,08/06/2021,$10.36,"439,538",$10.56,$10.5799,$10.23
DTIL,08/05/2021,$10.55,"445,408",$9.9,$10.56,$9.8292
DTIL,08/04/2021,$9.98,"337,236",$9.75,$10.11,$9.72
DTIL,08/03/2021,$9.8,"380,979",$9.92,$9.92,$9.62
DTIL,08/02/2021,$9.93,"230,803",$9.9,$10.0417,$9.75
DTIL,07/30/2021,$9.86,"308,503",$9.85,$10.04,$9.6869
DTIL,07/29/2021,$9.94,"340,089",$10.17,$10.29,$9.92
DTIL,07/28/2021,$10.13,"433,819",$9.87,$10.17,$9.7
DTIL,07/27/2021,$9.85,"473,893",$10.02,$10.0805,$9.68
DTIL,07/26/2021,$10.09,"330,141",$10.27,$10.405,$10.01
DTIL,07/23/2021,$10.25,"290,328",$10.76,$10.76,$10.15
DTIL,07/22/2021,$10.52,"231,407",$10.7,$10.88,$10.48
DTIL,07/21/2021,$10.74,"235,656",$10.76,$10.88,$10.58
DTIL,07/20/2021,$10.77,"440,743",$10.74,$10.81,$10.4
DTIL,07/19/2021,$10.5,"302,041",$10.32,$10.645,$10.09
DTIL,07/16/2021,$10.56,"210,106",$10.8,$10.84,$10.48
DTIL,07/15/2021,$10.67,"280,766",$10.6,$10.89,$10.39
DTIL,07/14/2021,$10.65,"345,613",$10.92,$11.1,$10.63
DTIL,07/13/2021,$10.87,"292,030",$11.47,$11.505,$10.85
DTIL,07/12/2021,$11.46,"441,169",$11.37,$11.67,$11.15
DTIL,07/09/2021,$11.47,"241,598",$11.51,$11.53,$11.26
DTIL,07/08/2021,$11.43,"354,223",$11.08,$11.681,$11.0138
DTIL,07/07/2021,$11.53,"623,161",$11.62,$11.73,$11.21
DTIL,07/06/2021,$11.62,"1,194,476",$12.45,$12.5,$11.6
DTIL,07/02/2021,$12.36,"452,585",$12.76,$12.76,$12.31
DTIL,07/01/2021,$12.66,"554,342",$12.65,$12.87,$12.015
DTIL,06/30/2021,$12.52,"1,249,987",$12.01,$12.655,$11.26
DTIL,06/29/2021,$12.05,"857,944",$12.14,$12.6234,$12
DTIL,06/28/2021,$12.14,"1,616,549",$12.75,$12.78,$11.8801
DTIL,06/25/2021,$11.39,"788,537",$11.4,$11.47,$11.15
DTIL,06/24/2021,$11.28,"790,955",$10.9,$11.48,$10.9
