ticker,date,close,volume,open,high,low
DVAX,02/10/2022,$12.74,"1,946,441",$12.81,$13.56,$12.505
DVAX,02/09/2022,$13.08,"1,464,209",$12.78,$13.11,$12.73
DVAX,02/08/2022,$12.62,"1,244,298",$12.62,$12.6927,$12.111
DVAX,02/07/2022,$12.75,"1,056,061",$12.61,$12.95,$12.59
DVAX,02/04/2022,$12.62,"1,343,001",$12.37,$12.9,$12.3
DVAX,02/03/2022,$12.37,"1,728,059",$12.15,$12.615,$12.15
DVAX,02/02/2022,$12.41,"1,497,289",$12.59,$12.72,$12.22
DVAX,02/01/2022,$12.65,"1,581,844",$13.1,$13.13,$12.51
DVAX,01/31/2022,$12.97,"1,683,910",$12.65,$13.02,$12.44
DVAX,01/28/2022,$12.6,"1,583,293",$11.8,$12.62,$11.6189
DVAX,01/27/2022,$11.85,"1,712,919",$12.43,$12.64,$11.81
DVAX,01/26/2022,$12.35,"1,938,968",$12.79,$13.33,$12.21
DVAX,01/25/2022,$12.6,"2,014,463",$12.492,$12.77,$11.9
DVAX,01/24/2022,$12.6,"3,939,554",$12.502,$12.67,$11.115
DVAX,01/21/2022,$12.86,"2,381,003",$12.81,$13.55,$12.74
DVAX,01/20/2022,$13.15,"1,895,082",$12.9,$13.97,$12.76
DVAX,01/19/2022,$12.73,"1,577,438",$12.815,$13.27,$12.64
DVAX,01/18/2022,$12.73,"1,686,439",$13.4,$13.49,$12.72
DVAX,01/14/2022,$13.53,"1,509,889",$12.61,$13.57,$12.55
DVAX,01/13/2022,$13.06,"1,399,161",$13.63,$13.97,$13
DVAX,01/12/2022,$13.61,"1,705,393",$14.51,$14.66,$13.61
DVAX,01/11/2022,$14.19,"1,365,842",$14.48,$14.84,$14.03
DVAX,01/10/2022,$14.44,"2,543,956",$13.66,$14.48,$13.15
DVAX,01/07/2022,$13.52,"1,816,097",$13.12,$13.83,$13.06
DVAX,01/06/2022,$13.11,"3,051,299",$13.18,$14.12,$12.9
DVAX,01/05/2022,$12.61,"1,760,334",$13.4,$13.7133,$12.56
DVAX,01/04/2022,$13.4,"1,890,014",$13.97,$13.97,$12.94
DVAX,01/03/2022,$13.88,"1,427,335",$14.24,$14.2521,$13.435
DVAX,12/31/2021,$14.07,"1,157,013",$14.22,$14.3,$13.9
DVAX,12/30/2021,$14.22,"1,642,187",$14.91,$15.3,$14.12
DVAX,12/29/2021,$15,"1,635,515",$14.42,$15.05,$14.3
DVAX,12/28/2021,$14.2,"2,213,792",$14.23,$15.1299,$14.19
DVAX,12/27/2021,$14.39,"1,562,130",$14.24,$14.6,$13.95
DVAX,12/23/2021,$14.15,"1,321,315",$14.04,$14.27,$13.53
DVAX,12/22/2021,$14.04,"1,155,277",$13.86,$14.22,$13.65
DVAX,12/21/2021,$14.23,"1,697,909",$14.23,$14.34,$13.75
DVAX,12/20/2021,$14.14,"2,579,221",$15.19,$15.28,$14.025
DVAX,12/17/2021,$15.19,"4,363,340",$14.09,$15.25,$14.02
DVAX,12/16/2021,$14.16,"1,586,831",$14.31,$14.82,$13.96
DVAX,12/15/2021,$14.15,"1,485,995",$13.52,$14.24,$13.2
DVAX,12/14/2021,$13.38,"1,168,609",$13.07,$13.56,$12.97
DVAX,12/13/2021,$13.21,"1,241,516",$13.44,$13.97,$13.08
DVAX,12/10/2021,$13.33,"2,455,759",$13.65,$13.98,$13.17
DVAX,12/09/2021,$13.7,"1,263,256",$14.38,$14.5,$13.68
DVAX,12/08/2021,$14.35,"1,391,103",$14.42,$14.72,$14.18
DVAX,12/07/2021,$14.45,"2,158,013",$13.7,$14.72,$13.7
DVAX,12/06/2021,$13.39,"5,003,488",$13.02,$13.48,$12.6
DVAX,12/03/2021,$13.17,"4,392,000",$14.25,$14.25,$12.82
DVAX,12/02/2021,$14.7,"2,220,326",$15.08,$15.33,$14.4
DVAX,12/01/2021,$15.11,"1,580,921",$15.95,$16.41,$15.1
DVAX,11/30/2021,$16.15,"2,109,324",$15.94,$16.3399,$15.23
