ticker,date,close,volume,open,high,low
ELDN,02/10/2022,$4.24,"22,513",$4.19,$4.291,$4.1101
ELDN,02/09/2022,$4.21,"12,360",$4.14,$4.22,$4.03
ELDN,02/08/2022,$4.04,"27,720",$3.96,$4.12,$3.885
ELDN,02/07/2022,$3.96,"13,935",$3.85,$4.03,$3.85
ELDN,02/04/2022,$3.79,"17,603",$3.7,$3.79,$3.5793
ELDN,02/03/2022,$3.73,"26,983",$3.94,$3.94,$3.59
ELDN,02/02/2022,$3.91,"25,530",$4,$4,$3.87
ELDN,02/01/2022,$3.97,"71,554",$4.05,$4.07,$3.9299
ELDN,01/31/2022,$4.05,"55,123",$3.78,$4.15,$3.75
ELDN,01/28/2022,$3.8,"108,616",$3.6,$3.84,$3.57
ELDN,01/27/2022,$3.56,"50,432",$3.63,$3.7199,$3.5114
ELDN,01/26/2022,$3.56,"30,455",$3.8,$3.85,$3.56
ELDN,01/25/2022,$3.71,"32,330",$3.56,$3.81,$3.56
ELDN,01/24/2022,$3.58,"102,157",$3.69,$3.69,$3.36
ELDN,01/21/2022,$3.74,"90,761",$3.91,$3.974,$3.6651
ELDN,01/20/2022,$4,"1,743,203",$3.86,$4.3199,$3.8
ELDN,01/19/2022,$3.82,"179,296",$4.05,$4.06,$3.7
ELDN,01/18/2022,$4.09,"75,519",$4.18,$4.32,$4.0601
ELDN,01/14/2022,$4.43,"189,219",$4.86,$4.86,$4.3
ELDN,01/13/2022,$4.78,"409,007",$4.53,$5.1418,$4.24
ELDN,01/12/2022,$4.52,"57,493",$4.4401,$4.74,$4.4401
ELDN,01/11/2022,$4.5,"123,186",$4.01,$4.5,$4
ELDN,01/10/2022,$4,"69,303",$4.12,$4.16,$3.9377
ELDN,01/07/2022,$4.18,"28,288",$4.23,$4.4189,$4.05
ELDN,01/06/2022,$4.26,"113,489",$4.52,$4.662,$4.19
ELDN,01/05/2022,$4.515,"18,200",$4.89,$4.89,$4.49
ELDN,01/04/2022,$4.89,"73,636",$4.95,$4.95,$4.6801
ELDN,01/03/2022,$4.76,"64,403",$4.3787,$4.91,$4.3227
ELDN,12/31/2021,$4.41,"62,825",$4.31,$4.41,$4.18
ELDN,12/30/2021,$4.36,"77,720",$4.29,$4.4,$4
ELDN,12/29/2021,$4.25,"49,644",$4.42,$4.42,$4.09
ELDN,12/28/2021,$4.42,"40,383",$4.56,$4.565,$4.3
ELDN,12/27/2021,$4.5,"53,101",$4.68,$4.88,$4.5
ELDN,12/23/2021,$4.63,"57,010",$4.58,$4.73,$4.48
ELDN,12/22/2021,$4.47,"50,847",$4.48,$4.5484,$4.38
ELDN,12/21/2021,$4.48,"22,179",$4.553,$4.57,$4.48
ELDN,12/20/2021,$4.49,"101,905",$4.7396,$4.7396,$4.36
ELDN,12/17/2021,$4.74,"58,672",$4.5,$4.84,$4.38
ELDN,12/16/2021,$4.55,"51,530",$4.56,$4.73,$4.4728
ELDN,12/15/2021,$4.31,"144,574",$4.41,$4.5023,$3.8501
ELDN,12/14/2021,$4.46,"61,086",$4.65,$4.65,$4.2702
ELDN,12/13/2021,$4.7,"32,110",$4.69,$4.8613,$4.5148
