ticker,date,close,volume,open,high,low
ESLT,02/10/2022,$173.45,"16,722",$175.2,$177.3,$173.4
ESLT,02/09/2022,$175.85,"27,109",$175.81,$178.05,$175.4501
ESLT,02/08/2022,$173.52,"33,000",$169.5,$174.24,$169.5
ESLT,02/07/2022,$168.81,"19,879",$167.9,$169.4,$167.66
ESLT,02/04/2022,$166.78,"19,901",$167.12,$167.55,$165.16
ESLT,02/03/2022,$167.12,"23,418",$168.84,$168.84,$166.53
ESLT,02/02/2022,$168.09,"42,529",$166.47,$168.37,$166.28
ESLT,02/01/2022,$164.12,"38,867",$166.62,$166.62,$163.73
ESLT,01/31/2022,$165.76,"53,322",$162.68,$166.92,$162.68
ESLT,01/28/2022,$161.85,"50,707",$161.75,$162.49,$159
ESLT,01/27/2022,$161.64,"56,872",$166.18,$166.21,$161.38
ESLT,01/26/2022,$164.33,"864,679",$167.93,$168.02,$160.37
ESLT,01/25/2022,$163.71,"168,210",$166.64,$167.29,$160.585
ESLT,01/24/2022,$166.5,"90,047",$164.23,$167.512,$162.97
ESLT,01/21/2022,$167.59,"38,294",$168.88,$170.99,$167.58
ESLT,01/20/2022,$169.77,"74,724",$175.58,$175.58,$169.52
ESLT,01/19/2022,$176.96,"30,321",$179.67,$181,$176.96
ESLT,01/18/2022,$180.25,"58,050",$179.5,$182.85,$178.51
ESLT,01/14/2022,$178.16,"20,835",$174.58,$178.169,$174.58
ESLT,01/13/2022,$176.07,"19,379",$178.85,$179.5,$175.81
ESLT,01/12/2022,$176.57,"21,221",$175.08,$178.42,$175.08
ESLT,01/11/2022,$174.62,"17,761",$173.6,$175.4693,$172.41
ESLT,01/10/2022,$172.77,"34,981",$173.52,$173.9,$171.16
ESLT,01/07/2022,$176.89,"14,494",$176,$177.16,$175.8
ESLT,01/06/2022,$176.02,"21,260",$176.84,$177.3575,$175.05
ESLT,01/05/2022,$175.46,"26,410",$178.1,$178.56,$175.46
ESLT,01/04/2022,$178.63,"15,168",$179.28,$179.68,$177.78
ESLT,01/03/2022,$174.93,"18,902",$176.02,$177,$174
ESLT,12/31/2021,$174.13,"25,358",$174.14,$175.47,$174.09
ESLT,12/30/2021,$173.19,"29,813",$173,$173.89,$172.5301
ESLT,12/29/2021,$174.86,"89,308",$174.27,$175.42,$172.25
ESLT,12/28/2021,$174.34,"61,248",$172.68,$175.215,$172.225
ESLT,12/27/2021,$170.53,"74,992",$169.37,$172.4899,$169.37
ESLT,12/23/2021,$167.76,"28,926",$166.81,$168.81,$166.6
ESLT,12/22/2021,$167.38,"45,700",$166.73,$167.89,$166.07
ESLT,12/21/2021,$164.84,"40,019",$164.55,$165.77,$162.228
ESLT,12/20/2021,$167.51,"40,292",$169.16,$169.16,$166.02
ESLT,12/17/2021,$171.63,"81,736",$170.15,$171.77,$169.96
ESLT,12/16/2021,$172.09,"56,112",$175.04,$175.04,$171.83
ESLT,12/15/2021,$177.32,"57,599",$171.43,$177.71,$171.43
ESLT,12/14/2021,$172.33,"92,033",$166.2,$172.7,$165.71
ESLT,12/13/2021,$160.01,"62,388",$160,$161.44,$158.525
ESLT,12/10/2021,$159.44,"16,632",$159.06,$159.79,$158.57
ESLT,12/09/2021,$157.75,"25,410",$159.28,$159.95,$157.7
ESLT,12/08/2021,$158.55,"36,561",$158.91,$159.63,$156.62
ESLT,12/07/2021,$156.5,"35,611",$156.19,$157.81,$155.55
ESLT,12/06/2021,$152.64,"20,198",$149.86,$152.64,$149.86
ESLT,12/03/2021,$147.19,"18,279",$149.25,$149.25,$147
ESLT,12/02/2021,$148.55,"22,190",$147.05,$149.13,$147.05
ESLT,12/01/2021,$145.86,"24,474",$148.32,$148.32,$145.43
ESLT,11/30/2021,$146.53,"38,179",$147.17,$147.73,$144.72
ESLT,11/29/2021,$148.19,"29,045",$148,$149.49,$148
ESLT,11/26/2021,$146.78,"27,669",$148.95,$148.99,$146.065
ESLT,11/24/2021,$151.78,"38,680",$152.68,$152.68,$150.59
ESLT,11/23/2021,$152.32,"65,198",$152.3,$155.6,$151.27
ESLT,11/22/2021,$150.64,"46,133",$152.31,$153,$150.07
ESLT,11/19/2021,$152.04,"33,732",$152.75,$152.82,$151.52
ESLT,11/18/2021,$152.56,"32,186",$153.42,$154.02,$152.24
ESLT,11/17/2021,$153.09,"31,946",$153.53,$155.78,$152.47
ESLT,11/16/2021,$152.93,"28,562",$153.21,$153.81,$152.42
ESLT,11/15/2021,$152.19,"14,356",$153.08,$153.62,$152.19
ESLT,11/12/2021,$151.21,"7,033",$150.25,$151.7,$150.25
ESLT,11/11/2021,$150.4,"19,642",$150.7,$151.44,$150.24
ESLT,11/10/2021,$152.13,"21,233",$154.05,$154.05,$151.65
ESLT,11/09/2021,$155.12,"32,454",$156.85,$156.85,$154.87
ESLT,11/08/2021,$156.08,"15,790",$156.89,$157.42,$156.02
ESLT,11/05/2021,$157.14,"31,039",$155.94,$158.6,$155.94
ESLT,11/04/2021,$155.85,"22,361",$155.57,$156.595,$155.31
ESLT,11/03/2021,$156.94,"17,306",$153.94,$156.94,$153.69
ESLT,11/02/2021,$152.99,"44,333",$154.08,$154.54,$152.85
ESLT,11/01/2021,$157.21,"42,645",$155.83,$158.07,$154.45
ESLT,10/29/2021,$158.81,"31,134",$155.32,$158.93,$154.58
ESLT,10/28/2021,$155.11,"83,439",$157.5,$157.585,$154.8
ESLT,10/27/2021,$159.01,"583,231",$158.64,$162.77,$156.85
ESLT,10/26/2021,$157.25,"111,393",$151.59,$157.95,$151.59
ESLT,10/25/2021,$148.55,"24,932",$147.34,$149.3,$146.91
ESLT,10/22/2021,$146,"10,809",$146,$146.69,$145.6246
ESLT,10/21/2021,$145.6,"9,295",$145.43,$145.96,$144.99
ESLT,10/20/2021,$145.5,"13,990",$145.43,$145.81,$145.02
ESLT,10/19/2021,$147.57,"7,271",$146.08,$147.64,$146.08
ESLT,10/18/2021,$146.02,"12,068",$146.02,$146.63,$145.02
ESLT,10/15/2021,$148.24,"8,532",$147.926,$148.71,$147.67
ESLT,10/14/2021,$146.98,"7,055",$146.64,$147.595,$146.55
ESLT,10/13/2021,$146.25,"12,421",$146,$146.97,$144.79
ESLT,10/12/2021,$144.85,"8,604",$144.78,$145.78,$144.34
ESLT,10/11/2021,$142.96,"10,013",$143.325,$144.02,$142.84
ESLT,10/08/2021,$144.42,"2,111",$145.0052,$145.0052,$144.42
ESLT,10/07/2021,$145.32,"11,463",$145.42,$145.98,$144.38
ESLT,10/06/2021,$144.73,"8,783",$144.87,$145.41,$143.74
ESLT,10/05/2021,$144.93,"11,163",$144.51,$145.49,$143.31
ESLT,10/04/2021,$142.75,"19,541",$143.92,$144.72,$142.2
ESLT,10/01/2021,$146.03,"10,896",$145.79,$146.405,$144.4
ESLT,09/30/2021,$144.84,"15,299",$144.69,$145.72,$144.33
ESLT,09/29/2021,$144.55,"15,610",$146.26,$146.26,$144.55
ESLT,09/28/2021,$145.43,"12,454",$147.11,$147.11,$144.82
ESLT,09/27/2021,$147.03,"15,927",$147.75,$148.04,$146.87
ESLT,09/24/2021,$147.21,"10,010",$146.59,$148.03,$146.59
ESLT,09/23/2021,$146.72,"9,753",$147.09,$147.49,$146.65
ESLT,09/22/2021,$146.11,"10,662",$145.02,$146.66,$145.02
ESLT,09/21/2021,$144.88,"20,681",$145.95,$146.45,$144.39
ESLT,09/20/2021,$145.28,"19,685",$145.94,$145.94,$143.51
ESLT,09/17/2021,$146.67,"15,003",$146.85,$146.85,$145.62
ESLT,09/16/2021,$146.32,"14,751",$147.55,$147.55,$145.61
ESLT,09/15/2021,$147.24,"20,755",$148.12,$149.2401,$146.87
ESLT,09/14/2021,$147.34,"25,476",$149,$149.54,$147.32
ESLT,09/13/2021,$148.72,"36,017",$149.71,$149.87,$148
ESLT,09/10/2021,$146.53,"17,144",$146.67,$147.29,$146
ESLT,09/09/2021,$145.77,"27,007",$145.15,$147.545,$145.1
ESLT,09/08/2021,$143.68,"13,333",$143.36,$144.12,$143.35
ESLT,09/07/2021,$143.01,"15,183",$145.07,$145.7,$143.01
ESLT,09/03/2021,$144.93,"13,304",$145.9,$145.9,$144.39
ESLT,09/02/2021,$145.69,"28,741",$145.48,$145.76,$144.4
ESLT,09/01/2021,$145.22,"22,953",$146.44,$146.54,$145.09
ESLT,08/31/2021,$145.11,"28,767",$145.26,$146.9,$145.11
ESLT,08/30/2021,$146.7,"14,672",$145.75,$146.99,$145.5974
ESLT,08/27/2021,$145.8,"15,661",$144.44,$146.29,$144.44
ESLT,08/26/2021,$144.97,"32,959",$146.2,$146.42,$144.61
ESLT,08/25/2021,$145.38,"581,414",$145.96,$146.64,$145.0101
ESLT,08/24/2021,$145.83,"171,176",$145.89,$147.18,$144.09
ESLT,08/23/2021,$146.06,"42,467",$145.88,$147.215,$145.64
ESLT,08/20/2021,$145.25,"38,513",$142.96,$145.53,$142.26
ESLT,08/19/2021,$143.48,"49,447",$143.31,$145.98,$142.91
ESLT,08/18/2021,$142.19,"33,448",$144.17,$144.85,$141.96
ESLT,08/17/2021,$143.14,"36,969",$143.97,$144.43,$141.66
ESLT,08/16/2021,$144.38,"36,276",$144,$145.1,$143.67
ESLT,08/13/2021,$142.51,"24,735",$141.25,$142.51,$141.01
ESLT,08/12/2021,$141.13,"73,470",$142.62,$144.07,$140.43
ESLT,08/11/2021,$132.15,"11,062",$131.46,$132.15,$130.31
ESLT,08/10/2021,$130.98,"23,141",$131.39,$131.46,$130.54
ESLT,08/09/2021,$133.04,"14,235",$132.11,$133.04,$131.86
ESLT,08/06/2021,$133,"28,707",$133.9,$133.98,$132.44
ESLT,08/05/2021,$133.5,"16,564",$131.91,$133.5,$131.73
ESLT,08/04/2021,$131.31,"19,700",$131.99,$133.49,$131.31
ESLT,08/03/2021,$132.17,"14,957",$132.325,$132.99,$131.53
ESLT,08/02/2021,$131.87,"22,196",$132.58,$132.58,$131.2762
ESLT,07/30/2021,$132.63,"29,088",$133.15,$134.5,$132.61
ESLT,07/29/2021,$134.33,"44,359",$132.08,$134.33,$131.65
ESLT,07/28/2021,$132.97,"636,134",$133.6,$134.62,$131.02
ESLT,07/27/2021,$132.71,"221,775",$126.13,$134.7,$125.85
ESLT,07/26/2021,$126.94,"56,152",$126.02,$127.21,$126.02
ESLT,07/23/2021,$126.06,"31,209",$125.69,$126.71,$125.69
ESLT,07/22/2021,$125.05,"22,973",$125.7,$126.25,$125.04
ESLT,07/21/2021,$126.26,"21,566",$125.46,$126.76,$124.99
ESLT,07/20/2021,$124.89,"24,123",$123.32,$125.2,$123.31
ESLT,07/19/2021,$123.97,"38,420",$124.86,$124.86,$122.85
ESLT,07/16/2021,$127.64,"49,428",$128,$128.24,$126.85
ESLT,07/15/2021,$127.78,"12,653",$127.18,$127.94,$126.38
ESLT,07/14/2021,$127.85,"11,587",$128.52,$128.95,$127.3
ESLT,07/13/2021,$127.58,"42,318",$126.68,$127.64,$126.43
ESLT,07/12/2021,$127.2,"20,824",$128,$128.04,$126.41
ESLT,07/09/2021,$128.89,"13,059",$129.09,$129.09,$128.43
ESLT,07/08/2021,$127.6,"11,127",$127.58,$128.384,$127.41
ESLT,07/07/2021,$129.7,"34,262",$128.53,$129.72,$128.2
ESLT,07/06/2021,$127.87,"23,036",$128.24,$128.72,$126.51
ESLT,07/02/2021,$128.6,"11,698",$129.11,$129.11,$128.01
ESLT,07/01/2021,$128.66,"19,174",$129.62,$129.62,$128.12
ESLT,06/30/2021,$129.75,"19,195",$129.03,$130.12,$129.03
ESLT,06/29/2021,$128.95,"80,538",$129.97,$130.53,$128.5
ESLT,06/28/2021,$131.55,"31,992",$132.14,$132.51,$131.035
ESLT,06/25/2021,$134.14,"14,915",$134.97,$134.97,$134.01
ESLT,06/24/2021,$134.27,"11,405",$133.77,$134.51,$133.57
ESLT,06/23/2021,$133.58,"38,411",$133.4,$135.08,$133.21
ESLT,06/22/2021,$131.3,"37,068",$132,$132,$130.66
ESLT,06/21/2021,$132.93,"16,253",$131.89,$133.76,$131.65
ESLT,06/18/2021,$130.76,"130,250",$133.56,$133.56,$130.76
ESLT,06/17/2021,$136.44,"150,010",$133.98,$136.44,$130.41
ESLT,06/16/2021,$134.76,"78,597",$134.52,$136.48,$133.0301
ESLT,06/15/2021,$133.97,"94,498",$130.99,$134.72,$130.82
ESLT,06/14/2021,$131.62,"63,184",$130.57,$131.96,$130.31
ESLT,06/11/2021,$132.6,"18,289",$132.63,$132.63,$130.7
ESLT,06/10/2021,$132.35,"25,953",$130.85,$132.35,$130.4486
ESLT,06/09/2021,$130.92,"10,130",$130.05,$131.1113,$130.05
ESLT,06/08/2021,$130.2,"20,060",$130.5,$130.77,$129.88
ESLT,06/07/2021,$130.5,"7,940",$130.08,$130.5,$129.6
ESLT,06/04/2021,$130.32,"14,263",$130.43,$130.5,$129.58
ESLT,06/03/2021,$130.03,"28,748",$129.58,$130.23,$128.87
ESLT,06/02/2021,$129.59,"11,834",$130.22,$130.39,$129.56
ESLT,06/01/2021,$130.19,"23,709",$130.94,$131.18,$129.78
ESLT,05/28/2021,$132.4,"18,547",$132.51,$132.98,$132.12
ESLT,05/27/2021,$131.99,"13,516",$131.94,$132.52,$131.56
ESLT,05/26/2021,$131.19,"22,839",$131.06,$131.36,$130.08
ESLT,05/25/2021,$131.13,"27,672",$132.73,$133.12,$131.13
ESLT,05/24/2021,$135.5,"17,098",$134.68,$135.65,$134.1
ESLT,05/21/2021,$137.32,"10,201",$137.52,$138.45,$136.29
ESLT,05/20/2021,$137.21,"12,925",$136.43,$137.34,$136.425
ESLT,05/19/2021,$135.5,"18,110",$134.99,$135.5533,$133.37
ESLT,05/18/2021,$134.99,"14,253",$135.28,$135.8,$133.955
ESLT,05/17/2021,$134.62,"12,783",$135.3,$135.48,$134.1
ESLT,05/14/2021,$135.4,"9,568",$133.38,$135.63,$133.38
ESLT,05/13/2021,$133.27,"16,876",$132.92,$134.06,$132.34
ESLT,05/12/2021,$130.61,"26,050",$130.12,$132.06,$129.715
ESLT,05/11/2021,$129.83,"35,907",$130.58,$130.8,$129.0734
ESLT,05/10/2021,$133.6,"29,547",$134.08,$135.41,$133.37
ESLT,05/07/2021,$137.86,"12,687",$136.98,$137.86,$136.44
ESLT,05/06/2021,$136.27,"19,908",$135.73,$136.4,$135.13
ESLT,05/05/2021,$133.79,"14,518",$133.38,$134.3272,$133.2
ESLT,05/04/2021,$133.09,"18,314",$134.41,$134.68,$132.685
ESLT,05/03/2021,$136.22,"8,891",$136.52,$136.8,$135.74
ESLT,04/30/2021,$137.06,"12,790",$137.67,$137.99,$136.51
ESLT,04/29/2021,$137.41,"16,182",$137.74,$138.5,$137.09
ESLT,04/28/2021,$137.55,"10,188",$137.94,$138.145,$137.29
ESLT,04/27/2021,$139.62,"8,371",$140.22,$140.22,$139.62
ESLT,04/26/2021,$140.22,"11,061",$141.71,$141.71,$140.1
ESLT,04/23/2021,$140.6,"9,819",$141.6732,$141.6732,$139.66
ESLT,04/22/2021,$140.01,"19,520",$140.26,$140.9,$139.01
ESLT,04/21/2021,$141.95,"16,608",$141.29,$142.29,$140.92
ESLT,04/20/2021,$141.55,"20,300",$142.31,$142.43,$140.7
ESLT,04/19/2021,$142.78,"14,427",$143.3,$143.3,$142
ESLT,04/16/2021,$142.99,"25,159",$143.62,$143.62,$142.06
ESLT,04/15/2021,$142.93,"14,177",$143.36,$143.36,$141.73
ESLT,04/14/2021,$142.2,"14,762",$143.06,$143.57,$142.19
ESLT,04/13/2021,$141.94,"15,070",$142.32,$142.5,$141.53
ESLT,04/12/2021,$143.63,"15,263",$142.93,$143.63,$142.84
ESLT,04/09/2021,$144.62,"11,933",$145.02,$145.02,$144.05
ESLT,04/08/2021,$145.4,"20,223",$145.06,$145.43,$144.44
ESLT,04/07/2021,$144.52,"24,320",$143.56,$144.78,$143.39
ESLT,04/06/2021,$143.39,"26,465",$142.83,$144.0707,$142.37
ESLT,04/05/2021,$143.46,"37,283",$142.8,$143.9,$141.8186
ESLT,04/01/2021,$144,"31,849",$145,$145.86,$143.3362
ESLT,03/31/2021,$143,"37,971",$142.4,$144.86,$141.93
ESLT,03/30/2021,$141.4,"46,317",$139.21,$143.0808,$139.21
