ticker,date,close,volume,open,high,low
EXAS,02/10/2022,$81.49,"2,140,777",$80.64,$84.31,$79.53
EXAS,02/09/2022,$82.54,"1,563,200",$80,$83.48,$79.8
EXAS,02/08/2022,$78.75,"1,609,833",$76.97,$79.08,$76.04
EXAS,02/07/2022,$78.09,"1,851,767",$77.77,$81.867,$76.05
EXAS,02/04/2022,$77.72,"1,739,199",$74.01,$78.81,$72.83
EXAS,02/03/2022,$75.09,"1,851,469",$74.2,$76.66,$73.1
EXAS,02/02/2022,$75.84,"1,883,665",$77.53,$78.48,$73.64
EXAS,02/01/2022,$77.4,"1,981,328",$77.19,$78.44,$73.21
EXAS,01/31/2022,$76.36,"2,616,332",$70.18,$76.47,$70.02
EXAS,01/28/2022,$70.18,"2,592,310",$69.102,$70.71,$66.8
EXAS,01/27/2022,$68.91,"2,137,883",$71.9,$71.9,$68.4
EXAS,01/26/2022,$68.89,"3,420,042",$70.61,$73.86,$68.09
EXAS,01/25/2022,$69.18,"2,994,912",$72.88,$73.64,$68.34
EXAS,01/24/2022,$74.66,"3,844,581",$72.55,$74.92,$67.06
EXAS,01/21/2022,$74.03,"3,030,189",$75.08,$78.24,$74
EXAS,01/20/2022,$76.03,"3,098,047",$76.9,$80.36,$75.57
EXAS,01/19/2022,$76.13,"3,738,832",$78.8,$80.9194,$75.86
EXAS,01/18/2022,$77.42,"3,160,147",$76.97,$84.46,$76.42
EXAS,01/14/2022,$78.43,"2,240,627",$74.88,$78.64,$74.66
EXAS,01/13/2022,$75.4,"2,015,512",$75.57,$77.5,$74.02
EXAS,01/12/2022,$75.82,"2,055,788",$80.43,$82.6,$75.66
EXAS,01/11/2022,$79.38,"2,434,164",$74.2,$79.625,$73.92
EXAS,01/10/2022,$74.42,"3,370,169",$76.39,$76.8599,$69.75
EXAS,01/07/2022,$75.66,"2,350,739",$74.35,$80.33,$74.3
EXAS,01/06/2022,$74.6,"2,068,698",$75.03,$77.2,$70.53
EXAS,01/05/2022,$75.05,"3,069,908",$79.15,$81.3499,$74.31
EXAS,01/04/2022,$80.01,"2,067,625",$81,$81.28,$75.78
EXAS,01/03/2022,$81.52,"2,250,996",$77.83,$82.67,$77.438
EXAS,12/31/2021,$77.83,"1,761,698",$78.09,$79.86,$77.545
EXAS,12/30/2021,$77.89,"1,969,987",$72.35,$79.1499,$72.2
EXAS,12/29/2021,$72.5,"1,268,632",$73.49,$73.56,$71.81
EXAS,12/28/2021,$73.46,"1,370,784",$74.8,$77.3,$73.39
EXAS,12/27/2021,$74.54,"1,729,243",$78.12,$78.12,$73.98
EXAS,12/23/2021,$78.12,"1,131,971",$80,$80.89,$77.98
EXAS,12/22/2021,$80.15,"1,189,611",$82.12,$84.25,$79.52
EXAS,12/21/2021,$82.4,"1,570,244",$79.7,$82.56,$79
EXAS,12/20/2021,$79.27,"1,413,948",$79.27,$81.655,$76.94
EXAS,12/17/2021,$80.27,"3,534,751",$75.21,$81.6,$75.03
EXAS,12/16/2021,$76.5,"1,807,344",$80.445,$81.23,$76.12
EXAS,12/15/2021,$79.66,"1,915,308",$75.95,$80.06,$75.11
