ticker,date,close,volume,open,high,low
FACT,02/10/2022,$9.72,"24,613",$9.7,$9.72,$9.69
FACT,02/09/2022,$9.7,500,$9.7,$9.7,$9.7
FACT,02/08/2022,$9.7,103,$9.7,$9.7,$9.7
FACT,02/07/2022,$9.71,"18,926",$9.71,$9.71,$9.7
FACT,02/04/2022,$9.71,"3,935",$9.71,$9.71,$9.71
FACT,02/03/2022,$9.72,N/A,$9.72,$9.72,$9.72
FACT,02/02/2022,$9.72,"2,729",$9.72,$9.72,$9.72
FACT,02/01/2022,$9.71,"41,091",$9.71,$9.71,$9.71
FACT,01/31/2022,$9.7318,119,$9.7318,$9.7318,$9.7318
FACT,01/28/2022,$9.7,329,$9.7,$9.7,$9.7
FACT,01/27/2022,$9.7,209,$9.7,$9.7,$9.7
FACT,01/26/2022,$9.7351,"60,733",$9.73,$9.7351,$9.7
FACT,01/25/2022,$9.71,"4,819",$9.72,$9.72,$9.705
FACT,01/24/2022,$9.72,"50,109",$9.72,$9.74,$9.7
FACT,01/21/2022,$9.705,"92,517",$9.7,$9.71,$9.7
FACT,01/20/2022,$9.71,"115,013",$9.7,$9.715,$9.7
FACT,01/19/2022,$9.7,N/A,$9.7,$9.7,$9.7
FACT,01/18/2022,$9.7,"1,208",$9.705,$9.705,$9.7
FACT,01/14/2022,$9.7069,"1,023",$9.7069,$9.7069,$9.7069
FACT,01/13/2022,$9.73,"15,944",$9.71,$9.73,$9.71
FACT,01/12/2022,$9.7,N/A,$9.7,$9.7,$9.7
FACT,01/11/2022,$9.7,"10,120",$9.72,$9.72,$9.7
FACT,01/10/2022,$9.71,"32,570",$9.7,$9.71,$9.69
FACT,01/07/2022,$9.7,"11,510",$9.7,$9.7002,$9.7
FACT,01/06/2022,$9.69,"127,339",$9.7,$9.705,$9.69
FACT,01/05/2022,$9.7,"56,180",$9.69,$9.7,$9.69
FACT,01/04/2022,$9.69,"23,712",$9.71,$9.71,$9.69
FACT,01/03/2022,$9.68,954,$9.68,$9.69,$9.68
FACT,12/31/2021,$9.68,"20,237",$9.68,$9.68,$9.68
FACT,12/30/2021,$9.69,"21,834",$9.68,$9.69,$9.68
FACT,12/29/2021,$9.7,"20,724",$9.71,$9.73,$9.7
FACT,12/28/2021,$9.7023,100,$9.7023,$9.7023,$9.7023
FACT,12/27/2021,$9.68,230,$9.68,$9.68,$9.68
FACT,12/23/2021,$9.69,"56,213",$9.69,$9.71,$9.69
FACT,12/22/2021,$9.695,"4,574",$9.6925,$9.695,$9.6925
FACT,12/21/2021,$9.6854,215,$9.6854,$9.6854,$9.6854
FACT,12/20/2021,$9.69,"1,349",$9.69,$9.69,$9.69
FACT,12/17/2021,$9.69,"5,516",$9.69,$9.7,$9.69
FACT,12/16/2021,$9.68,"2,395",$9.7,$9.7,$9.68
FACT,12/15/2021,$9.695,450,$9.69,$9.695,$9.69
FACT,12/14/2021,$9.7,"316,911",$9.69,$9.71,$9.69
FACT,12/13/2021,$9.708,"39,015",$9.7,$9.708,$9.7
FACT,12/10/2021,$9.73,N/A,$9.73,$9.73,$9.73
FACT,12/09/2021,$9.73,"3,427",$9.73,$9.73,$9.73
FACT,12/08/2021,$9.72,N/A,$9.72,$9.72,$9.72
FACT,12/07/2021,$9.72,"10,934",$9.75,$9.75,$9.7105
FACT,12/06/2021,$9.73,"181,560",$9.7,$9.75,$9.7
FACT,12/03/2021,$9.73,"83,746",$9.73,$9.73,$9.71
FACT,12/02/2021,$9.77,"5,080",$9.8,$9.8,$9.73
FACT,12/01/2021,$9.77,"703,590",$9.73,$9.77,$9.73
FACT,11/30/2021,$9.75,"20,578",$9.72,$9.75,$9.72
FACT,11/29/2021,$9.73,"45,941",$9.75,$9.76,$9.73
FACT,11/26/2021,$9.73,"5,030",$9.73,$9.735,$9.73
FACT,11/24/2021,$9.75,"88,921",$9.75,$9.75,$9.7301
FACT,11/23/2021,$9.74,"2,636",$9.75,$9.75,$9.74
FACT,11/22/2021,$9.75,"19,546",$9.75,$9.75,$9.75
FACT,11/19/2021,$9.8,"11,530",$9.84,$9.85,$9.75
FACT,11/18/2021,$9.84,"1,008",$9.8,$9.84,$9.8
FACT,11/17/2021,$9.85,"1,915",$9.85,$9.86,$9.8
FACT,11/16/2021,$9.85,"20,828",$9.748,$9.85,$9.7475
FACT,11/15/2021,$9.72,115,$9.72,$9.72,$9.72
FACT,11/12/2021,$9.74,"9,191",$9.73,$9.74,$9.73
FACT,11/11/2021,$9.74,320,$9.74,$9.74,$9.74
FACT,11/10/2021,$9.75,305,$9.75,$9.75,$9.75
FACT,11/09/2021,$9.75,277,$9.75,$9.75,$9.75
FACT,11/08/2021,$9.75,623,$9.79,$9.79,$9.74
FACT,11/05/2021,$9.73,322,$9.73,$9.73,$9.73
FACT,11/04/2021,$9.74,"6,537",$9.7201,$9.78,$9.7201
FACT,11/03/2021,$9.745,"1,719",$9.75,$9.75,$9.72
FACT,11/02/2021,$9.76,N/A,$9.76,$9.76,$9.76
FACT,11/01/2021,$9.76,"1,347",$9.72,$9.76,$9.72
FACT,10/29/2021,$9.74,"151,271",$9.73,$9.74,$9.73
FACT,10/28/2021,$9.755,357,$9.725,$9.755,$9.725
FACT,10/27/2021,$9.73,990,$9.715,$9.73,$9.7
FACT,10/26/2021,$9.73,"4,133",$9.75,$9.75,$9.72
FACT,10/25/2021,$9.73,"5,405",$9.74,$9.74,$9.72
FACT,10/22/2021,$9.71,"4,237",$9.7,$9.72,$9.7
FACT,10/21/2021,$9.71,"1,752",$9.71,$9.72,$9.69
FACT,10/20/2021,$9.72,"13,175",$9.71,$9.73,$9.7
FACT,10/19/2021,$9.71,"2,416",$9.73,$9.74,$9.71
FACT,10/18/2021,$9.71,"26,595",$9.73,$9.75,$9.71
FACT,10/15/2021,$9.75,"24,413",$9.76,$9.76,$9.71
FACT,10/14/2021,$9.75,109,$9.75,$9.75,$9.75
FACT,10/13/2021,$9.75,N/A,$9.75,$9.75,$9.75
FACT,10/12/2021,$9.75,"23,583",$9.71,$9.75,$9.7
FACT,10/11/2021,$9.74,246,$9.74,$9.74,$9.74
FACT,10/08/2021,$9.77,"3,908",$9.77,$9.78,$9.74
FACT,10/07/2021,$9.78,"643,677",$9.79,$9.79,$9.76
FACT,10/06/2021,$9.79,"130,751",$9.74,$9.8,$9.74
FACT,10/05/2021,$9.69,N/A,$9.69,$9.69,$9.69
FACT,10/04/2021,$9.69,"6,507",$9.8,$9.8,$9.69
FACT,10/01/2021,$9.77,"102,900",$9.75,$9.78,$9.73
FACT,09/30/2021,$9.75,N/A,$9.75,$9.75,$9.75
FACT,09/29/2021,$9.75,"2,435",$9.73,$9.75,$9.73
FACT,09/28/2021,$9.7,"100,199",$9.65,$9.7,$9.65
FACT,09/27/2021,$9.73,"11,486",$9.7,$9.73,$9.7
FACT,09/24/2021,$9.7,"1,274",$9.7,$9.7,$9.6996
FACT,09/23/2021,$9.7,"1,146",$9.69,$9.7,$9.69
FACT,09/22/2021,$9.715,604,$9.7,$9.715,$9.7
FACT,09/21/2021,$9.75,"19,820",$9.7,$9.75,$9.7
FACT,09/20/2021,$9.7,"1,767",$9.64,$9.7,$9.64
FACT,09/17/2021,$9.7,206,$9.7,$9.7,$9.7
FACT,09/16/2021,$9.72,"250,557",$9.6,$9.72,$9.6
FACT,09/15/2021,$9.71,"9,630",$9.64,$9.71,$9.64
FACT,09/14/2021,$9.7,"12,839",$9.69,$9.75,$9.69
FACT,09/13/2021,$9.75,N/A,$9.75,$9.75,$9.75
FACT,09/10/2021,$9.75,"24,559",$9.67,$9.75,$9.66
FACT,09/09/2021,$9.71,N/A,$9.71,$9.71,$9.71
FACT,09/08/2021,$9.71,"1,512",$9.66,$9.71,$9.66
FACT,09/07/2021,$9.67,"2,791",$9.66,$9.7,$9.66
FACT,09/03/2021,$9.67,107,$9.67,$9.67,$9.67
FACT,09/02/2021,$9.7,"4,228",$9.7,$9.7,$9.7
FACT,09/01/2021,$9.71,"23,732",$9.71,$9.71,$9.71
FACT,08/31/2021,$9.72,984,$9.67,$9.72,$9.67
FACT,08/30/2021,$9.72,"10,388",$9.799,$9.799,$9.67
FACT,08/27/2021,$9.75,N/A,$9.75,$9.75,$9.75
FACT,08/26/2021,$9.75,N/A,$9.75,$9.75,$9.75
FACT,08/25/2021,$9.75,323,$9.8,$9.8,$9.75
FACT,08/24/2021,$9.78,"1,065",$9.75,$9.7965,$9.7
FACT,08/23/2021,$9.7,"1,212",$9.72,$9.72,$9.6965
FACT,08/20/2021,$9.66,N/A,$9.66,$9.66,$9.66
FACT,08/19/2021,$9.66,188,$9.66,$9.66,$9.66
FACT,08/18/2021,$9.65,132,$9.65,$9.65,$9.65
FACT,08/17/2021,$9.69,"2,011",$9.65,$9.7,$9.65
FACT,08/16/2021,$9.65,210,$9.65,$9.65,$9.65
FACT,08/13/2021,$9.725,N/A,$9.725,$9.725,$9.725
FACT,08/12/2021,$9.725,453,$9.7568,$9.7568,$9.725
FACT,08/11/2021,$9.74,348,$9.7099,$9.74,$9.7099
FACT,08/10/2021,$9.7,"253,181",$9.68,$9.72,$9.65
FACT,08/09/2021,$9.71,400,$9.71,$9.71,$9.71
FACT,08/06/2021,$9.7,"4,007",$9.81,$9.81,$9.6962
FACT,08/05/2021,$9.63,100,$9.63,$9.63,$9.63
FACT,08/04/2021,$9.68,"1,575",$9.68,$9.68,$9.68
FACT,08/03/2021,$9.7,300,$9.7,$9.7,$9.7
FACT,08/02/2021,$9.7,N/A,$9.7,$9.7,$9.7
FACT,07/30/2021,$9.7,"5,783",$9.75,$9.75,$9.7
FACT,07/29/2021,$9.8,"45,401",$9.67,$9.8,$9.66
FACT,07/28/2021,$9.64,"30,696",$9.63,$9.6401,$9.625
FACT,07/27/2021,$9.64,"44,835",$9.62,$9.64,$9.62
