ticker,date,close,volume,open,high,low
FEMY,02/10/2022,$3.47,"796,206",$3.06,$3.58,$3.06
FEMY,02/09/2022,$3.16,"142,076",$3.13,$3.3,$3.02
FEMY,02/08/2022,$3.06,"121,363",$2.87,$3.38,$2.87
FEMY,02/07/2022,$2.94,"51,524",$3.12,$3.12,$2.89
FEMY,02/04/2022,$3.29,"78,348",$3.145,$3.29,$2.9638
FEMY,02/03/2022,$2.99,"68,906",$2.91,$3.09,$2.91
FEMY,02/02/2022,$3,"20,798",$2.955,$3,$2.72
FEMY,02/01/2022,$2.97,"25,660",$3.02,$3.1899,$2.91
FEMY,01/31/2022,$2.99,"145,168",$2.91,$3.21,$2.7801
FEMY,01/28/2022,$2.93,"87,364",$2.94,$3.31,$2.8
FEMY,01/27/2022,$2.79,"80,740",$3.12,$3.12,$2.78
FEMY,01/26/2022,$3,"185,625",$3.01,$3.35,$3
FEMY,01/25/2022,$3.03,"32,807",$2.94,$3.3466,$2.8529
FEMY,01/24/2022,$2.9,"62,131",$2.79,$2.95,$2.61
FEMY,01/21/2022,$2.81,"53,537",$3.18,$3.18,$2.81
FEMY,01/20/2022,$3.23,"19,758",$3.3,$3.4,$3.12
FEMY,01/19/2022,$3.24,"121,527",$3.2,$3.435,$3.05
FEMY,01/18/2022,$3.13,"22,934",$3.06,$3.24,$3.01
FEMY,01/14/2022,$3.16,"47,241",$3.29,$3.29,$3.02
FEMY,01/13/2022,$3.18,"79,562",$3.4,$3.4,$3.08
FEMY,01/12/2022,$3.35,"159,715",$3.27,$3.48,$3.225
FEMY,01/11/2022,$3.21,"154,442",$3.14,$3.44,$3.0001
FEMY,01/10/2022,$3.185,"65,064",$3.26,$3.38,$2.865
FEMY,01/07/2022,$3.26,"346,740",$3.24,$3.399,$2.69
FEMY,01/06/2022,$3.13,"63,312",$3.6,$3.6,$3.0901
FEMY,01/05/2022,$3.49,"84,424",$3.85,$3.93,$3.41
FEMY,01/04/2022,$3.88,"143,407",$3.93,$4.05,$3.6501
FEMY,01/03/2022,$3.99,"35,432",$3.89,$4.04,$3.7701
FEMY,12/31/2021,$3.9,"80,103",$3.67,$3.97,$3.5537
FEMY,12/30/2021,$3.62,"191,559",$3.44,$3.84,$3.44
FEMY,12/29/2021,$3.49,"427,538",$3.63,$3.63,$3.05
FEMY,12/28/2021,$3.52,"540,647",$3.96,$4.15,$3.32
FEMY,12/27/2021,$3.92,"678,190",$4.528,$4.5472,$3.7584
FEMY,12/23/2021,$4.58,"124,014",$4.42,$4.77,$4.25
FEMY,12/22/2021,$4.39,"107,477",$4.01,$4.5299,$4.01
FEMY,12/21/2021,$4.12,"131,497",$4.1,$4.6,$3.99
FEMY,12/20/2021,$4.17,"104,319",$4,$4.17,$3.7
FEMY,12/17/2021,$4.12,"39,919",$4.07,$4.19,$3.85
FEMY,12/16/2021,$4.07,"148,935",$4.06,$4.3399,$3.96
FEMY,12/15/2021,$4.04,"212,963",$4.21,$4.46,$3.91
FEMY,12/14/2021,$4.28,"61,966",$4.25,$4.4299,$4.08
FEMY,12/13/2021,$4.29,"27,560",$4.42,$4.4605,$4.2299
FEMY,12/10/2021,$4.46,"84,247",$4.29,$4.55,$4.25
FEMY,12/09/2021,$4.45,"327,000",$4.6,$4.64,$4.03
FEMY,12/08/2021,$4.66,"1,240,623",$4.575,$5.64,$4.3999
FEMY,12/07/2021,$4.53,"42,362",$4.47,$5,$4.37
FEMY,12/06/2021,$4.48,"23,105",$4.41,$4.85,$4.3638
FEMY,12/03/2021,$4.54,"12,561",$4.9,$4.9,$4.4
FEMY,12/02/2021,$4.87,"23,609",$4.63,$4.92,$4.365
FEMY,12/01/2021,$4.68,"103,175",$5.33,$5.33,$4.36
FEMY,11/30/2021,$5.38,"26,247",$5.36,$5.42,$5.0225
FEMY,11/29/2021,$5.41,"184,003",$4.72,$5.42,$4.39
FEMY,11/26/2021,$4.54,"91,249",$4.44,$4.88,$4.3
FEMY,11/24/2021,$4.99,"2,352,799",$4.03,$5.94,$3.98
FEMY,11/23/2021,$4.06,"97,806",$4.84,$4.84,$3.77
FEMY,11/22/2021,$4.88,"62,799",$5.12,$5.4899,$4.31
FEMY,11/19/2021,$5.01,"44,334",$5.04,$5.26,$5.0001
