ticker,date,close,volume,open,high,low
GALT,02/10/2022,$2.07,"43,633",$2.15,$2.16,$2.06
GALT,02/09/2022,$2.12,"43,162",$2.09,$2.1564,$2.09
GALT,02/08/2022,$2.08,"34,682",$2.13,$2.17,$2.08
GALT,02/07/2022,$2.15,"36,186",$2.14,$2.2,$2.0802
GALT,02/04/2022,$2.14,"79,942",$2.07,$2.2,$2.0502
GALT,02/03/2022,$2.06,"41,499",$2.11,$2.15,$2
GALT,02/02/2022,$2.17,"158,022",$2.08,$2.195,$2.08
GALT,02/01/2022,$2.12,"179,784",$1.96,$2.19,$1.94
GALT,01/31/2022,$1.93,"142,051",$1.84,$2,$1.82
GALT,01/28/2022,$1.83,"118,432",$1.8,$1.8693,$1.8
GALT,01/27/2022,$1.82,"169,306",$1.85,$1.88,$1.75
GALT,01/26/2022,$1.87,"114,848",$1.98,$1.98,$1.85
GALT,01/25/2022,$1.91,"108,276",$1.94,$1.99,$1.8101
GALT,01/24/2022,$1.98,"373,524",$1.95,$2,$1.71
GALT,01/21/2022,$1.92,"205,056",$2.01,$2.0277,$1.92
GALT,01/20/2022,$2.03,"78,942",$2.03,$2.13,$1.97
GALT,01/19/2022,$2.01,"115,403",$1.93,$2.02,$1.91
GALT,01/18/2022,$1.93,"213,125",$2.02,$2.1,$1.92
GALT,01/14/2022,$2.02,"99,388",$2.04,$2.0799,$1.97
GALT,01/13/2022,$2.03,"87,705",$2.1,$2.14,$2.01
GALT,01/12/2022,$2.12,"34,950",$2.13,$2.14,$2.07
GALT,01/11/2022,$2.135,"70,753",$2.15,$2.19,$2.1
GALT,01/10/2022,$2.12,"177,627",$2.07,$2.15,$2.0004
GALT,01/07/2022,$2.11,"101,929",$2.08,$2.19,$2.03
GALT,01/06/2022,$2.05,"265,515",$2.11,$2.16,$1.97
GALT,01/05/2022,$2.12,"93,477",$2.29,$2.29,$2.1
GALT,01/04/2022,$2.25,"86,151",$2.29,$2.345,$2.2
GALT,01/03/2022,$2.31,"178,240",$2.12,$2.36,$2.1
GALT,12/31/2021,$2.07,"290,166",$2.07,$2.23,$2.07
GALT,12/30/2021,$2.11,"356,845",$2.19,$2.2101,$2.02
GALT,12/29/2021,$2.17,"202,436",$2.2,$2.24,$2.12
GALT,12/28/2021,$2.2,"238,417",$2.19,$2.36,$2.12
GALT,12/27/2021,$2.2,"377,831",$2.32,$2.47,$2.2
GALT,12/23/2021,$2.37,"99,383",$2.3,$2.4,$2.27
GALT,12/22/2021,$2.29,"112,471",$2.35,$2.41,$2.26
GALT,12/21/2021,$2.3,"81,036",$2.31,$2.33,$2.25
GALT,12/20/2021,$2.32,"95,187",$2.32,$2.45,$2.2509
GALT,12/17/2021,$2.38,"138,788",$2.26,$2.44,$2.2201
GALT,12/16/2021,$2.3,"165,976",$2.38,$2.42,$2.23
GALT,12/15/2021,$2.25,"183,555",$2.2,$2.33,$2.07
GALT,12/14/2021,$2.16,"203,658",$2.24,$2.28,$2.1566
GALT,12/13/2021,$2.22,"186,651",$2.25,$2.31,$2.15
GALT,12/10/2021,$2.24,"118,697",$2.36,$2.415,$2.21
GALT,12/09/2021,$2.32,"83,974",$2.44,$2.5,$2.32
GALT,12/08/2021,$2.46,"121,206",$2.38,$2.54,$2.32
GALT,12/07/2021,$2.4,"117,870",$2.37,$2.44,$2.35
GALT,12/06/2021,$2.36,"217,993",$2.29,$2.42,$2.18
GALT,12/03/2021,$2.28,"173,765",$2.46,$2.46,$2.27
GALT,12/02/2021,$2.45,"115,736",$2.42,$2.49,$2.35
GALT,12/01/2021,$2.42,"155,210",$2.64,$2.6699,$2.42
GALT,11/30/2021,$2.63,"207,034",$2.5,$2.68,$2.41
GALT,11/29/2021,$2.49,"183,924",$2.59,$2.65,$2.45
GALT,11/26/2021,$2.57,"98,576",$2.64,$2.68,$2.54
GALT,11/24/2021,$2.71,"120,023",$2.61,$2.75,$2.51
GALT,11/23/2021,$2.58,"185,290",$2.55,$2.61,$2.48
GALT,11/22/2021,$2.55,"290,362",$2.69,$2.74,$2.54
GALT,11/19/2021,$2.69,"119,546",$2.7,$2.78,$2.68
GALT,11/18/2021,$2.7,"210,025",$2.82,$2.88,$2.64
GALT,11/17/2021,$2.83,"116,860",$2.79,$2.86,$2.77
GALT,11/16/2021,$2.83,"181,414",$2.82,$2.89,$2.78
GALT,11/15/2021,$2.86,"270,769",$3.01,$3.0384,$2.76
GALT,11/12/2021,$3.01,"190,845",$2.95,$3.11,$2.85
GALT,11/11/2021,$2.88,"236,149",$2.93,$3.0301,$2.85
GALT,11/10/2021,$2.95,"210,975",$3.14,$3.19,$2.95
GALT,11/09/2021,$3.17,"136,688",$3.12,$3.28,$3.09
GALT,11/08/2021,$3.16,"172,938",$3.17,$3.24,$3.11
GALT,11/05/2021,$3.2,"94,618",$3.22,$3.34,$3.2
GALT,11/04/2021,$3.22,"133,220",$3.26,$3.339,$3.16
GALT,11/03/2021,$3.27,"63,318",$3.29,$3.35,$3.2
GALT,11/02/2021,$3.3,"166,740",$3.27,$3.37,$3.23
GALT,11/01/2021,$3.27,"130,893",$3.15,$3.29,$3.13
GALT,10/29/2021,$3.17,"95,032",$3.15,$3.29,$3.13
GALT,10/28/2021,$3.19,"117,415",$3.17,$3.23,$3.15
GALT,10/27/2021,$3.19,"96,334",$3.25,$3.28,$3.19
