ticker,date,close,volume,open,high,low
GNPX,02/10/2022,$2.28,"552,096",$2.28,$2.4299,$2.265
GNPX,02/09/2022,$2.31,"637,296",$2.26,$2.3784,$2.235
GNPX,02/08/2022,$2.26,"277,080",$2.21,$2.295,$2.18
GNPX,02/07/2022,$2.26,"540,689",$2.22,$2.32,$2.16
GNPX,02/04/2022,$2.2,"901,193",$2.02,$2.23,$1.9701
GNPX,02/03/2022,$2.02,"306,955",$2,$2.02,$1.92
GNPX,02/02/2022,$2,"359,633",$2.07,$2.07,$1.97
GNPX,02/01/2022,$2.05,"829,729",$2.03,$2.09,$1.94
GNPX,01/31/2022,$1.99,"866,035",$1.83,$1.995,$1.76
GNPX,01/28/2022,$1.83,"1,675,133",$1.79,$1.85,$1.665
GNPX,01/27/2022,$1.85,"6,626,355",$1.95,$2.35,$1.76
GNPX,01/26/2022,$1.94,"1,073,125",$2.03,$2.0406,$1.855
GNPX,01/25/2022,$1.95,"923,552",$1.82,$2.005,$1.8
GNPX,01/24/2022,$1.89,"1,548,308",$1.749,$1.9499,$1.7217
GNPX,01/21/2022,$1.82,"2,152,020",$1.953,$2.09,$1.81
GNPX,01/20/2022,$2.02,"1,957,619",$2.05,$2.2,$1.99
GNPX,01/19/2022,$2.08,"1,274,711",$2.11,$2.17,$2.0601
GNPX,01/18/2022,$2.13,"1,785,386",$2.21,$2.27,$2.02
GNPX,01/14/2022,$2.26,"1,590,217",$2.157,$2.31,$2.13
GNPX,01/13/2022,$2.28,"3,576,148",$2.66,$2.67,$2.21
GNPX,01/12/2022,$2.64,"6,544,316",$2.3,$2.66,$2.29
GNPX,01/11/2022,$2.35,"3,613,327",$2.35,$2.45,$2.26
GNPX,01/10/2022,$2.36,"5,853,434",$2.17,$2.46,$2.07
GNPX,01/07/2022,$2.22,"8,499,537",$2.1581,$2.33,$2.1101
GNPX,01/06/2022,$2.21,"15,520,030",$2.29,$2.58,$2.09
GNPX,01/05/2022,$2.27,"12,753,680",$2.71,$2.748,$2.11
GNPX,01/04/2022,$2.79,"47,945,390",$3.12,$3.14,$2.51
GNPX,01/03/2022,$3.5,"248,553,300",$1.51,$3.62,$1.51
GNPX,12/31/2021,$1.31,"655,218",$1.28,$1.35,$1.255
GNPX,12/30/2021,$1.3,"831,517",$1.251,$1.31,$1.17
GNPX,12/29/2021,$1.21,"476,703",$1.29,$1.32,$1.21
GNPX,12/28/2021,$1.3,"461,496",$1.32,$1.385,$1.28
GNPX,12/27/2021,$1.35,"566,319",$1.45,$1.49,$1.33
GNPX,12/23/2021,$1.44,"370,136",$1.4,$1.475,$1.4
GNPX,12/22/2021,$1.42,"396,279",$1.28,$1.44,$1.28
GNPX,12/21/2021,$1.3,"455,690",$1.38,$1.4175,$1.26
