ticker,date,close,volume,open,high,low
HRTX,02/10/2022,$8.97,"1,716,711",$9.21,$9.45,$8.85
HRTX,02/09/2022,$9.36,"1,976,148",$8.88,$9.395,$8.88
HRTX,02/08/2022,$8.86,"1,391,027",$8.82,$8.94,$8.61
HRTX,02/07/2022,$8.89,"1,536,995",$8.45,$8.97,$8.45
HRTX,02/04/2022,$8.54,"1,999,767",$8.01,$8.66,$7.9
HRTX,02/03/2022,$8.01,"1,733,185",$8.1,$8.27,$7.93
HRTX,02/02/2022,$8.19,"1,824,759",$8.72,$8.7425,$8.155
HRTX,02/01/2022,$8.79,"1,560,217",$8.68,$9.02,$8.36
HRTX,01/31/2022,$8.71,"2,332,757",$8.142,$8.82,$8.09
HRTX,01/28/2022,$8.15,"2,386,878",$8.05,$8.29,$7.79
HRTX,01/27/2022,$8.11,"2,090,514",$8.82,$8.9,$8.085
HRTX,01/26/2022,$8.7,"2,223,891",$9.04,$9.31,$8.63
HRTX,01/25/2022,$8.89,"3,030,112",$8.43,$9.045,$8.36
HRTX,01/24/2022,$8.53,"2,939,297",$8.15,$8.585,$7.85
HRTX,01/21/2022,$8.38,"2,309,133",$8.45,$8.83,$8.265
HRTX,01/20/2022,$8.53,"1,804,050",$8.54,$9.08,$8.5
HRTX,01/19/2022,$8.38,"1,969,465",$8.18,$8.55,$8.05
HRTX,01/18/2022,$8.14,"2,211,593",$8.48,$8.67,$8.11
HRTX,01/14/2022,$8.7,"2,217,328",$8.25,$8.75,$8.09
HRTX,01/13/2022,$8.3,"1,339,250",$8.55,$8.66,$8.25
HRTX,01/12/2022,$8.5,"1,822,706",$8.87,$8.95,$8.49
HRTX,01/11/2022,$8.84,"1,354,217",$8.6,$9.01,$8.53
HRTX,01/10/2022,$8.56,"1,709,838",$8.81,$8.81,$8.24
HRTX,01/07/2022,$8.7,"1,202,457",$9.06,$9.06,$8.625
HRTX,01/06/2022,$8.85,"2,144,603",$8.95,$9.37,$8.58
HRTX,01/05/2022,$8.93,"1,570,276",$9.81,$9.82,$8.9
HRTX,01/04/2022,$9.78,"1,701,854",$9.94,$10.4,$9.525
