ticker,date,close,volume,open,high,low
HUGE,02/10/2022,$0.8753,"160,925",$0.9,$0.9,$0.86
HUGE,02/09/2022,$0.8601,"114,027",$0.86,$0.879,$0.84
HUGE,02/08/2022,$0.8423,"134,774",$0.8567,$0.87,$0.824
HUGE,02/07/2022,$0.867,"160,439",$0.811,$0.87,$0.8
HUGE,02/04/2022,$0.831,"120,141",$0.82,$0.8789,$0.81
HUGE,02/03/2022,$0.827,"104,923",$0.8539,$0.86,$0.81
HUGE,02/02/2022,$0.8539,"87,986",$0.88,$0.9,$0.8462
HUGE,02/01/2022,$0.8603,"118,852",$0.88,$0.9,$0.84
HUGE,01/31/2022,$0.88,"90,282",$0.8814,$0.8847,$0.85
HUGE,01/28/2022,$0.84,"162,722",$0.875,$0.9098,$0.81
HUGE,01/27/2022,$0.8749,"49,017",$0.9258,$0.9258,$0.87
HUGE,01/26/2022,$0.9,"75,268",$0.94,$0.94,$0.8809
HUGE,01/25/2022,$0.899,"187,051",$0.8971,$0.899,$0.845
HUGE,01/24/2022,$0.8966,"240,796",$0.9,$0.91,$0.8251
HUGE,01/21/2022,$0.93,"171,773",$0.99,$1.0177,$0.93
HUGE,01/20/2022,$1.02,"84,561",$1.03,$1.03,$1.01
HUGE,01/19/2022,$1.03,"58,189",$1.05,$1.05,$1.02
HUGE,01/18/2022,$1.04,"104,219",$1,$1.05,$0.98
HUGE,01/14/2022,$1.03,"160,338",$1.07,$1.07,$1
HUGE,01/13/2022,$1.05,"87,356",$1.02,$1.08,$1.02
HUGE,01/12/2022,$1.04,"131,374",$1.04,$1.09,$1.04
HUGE,01/11/2022,$1.044,"62,584",$1.01,$1.06,$1
HUGE,01/10/2022,$1.02,"87,916",$1.04,$1.04,$1.01
HUGE,01/07/2022,$1.04,"54,338",$1.03,$1.0473,$1.01
HUGE,01/06/2022,$1.02,"97,911",$1.05,$1.07,$1.01
HUGE,01/05/2022,$1.05,"216,228",$1.11,$1.11,$1.04
HUGE,01/04/2022,$1.1,"100,784",$1.1,$1.1,$1.055
HUGE,01/03/2022,$1.07,"116,775",$1.07,$1.09,$1.03
HUGE,12/31/2021,$1.02,"191,109",$1.06,$1.09,$1.02
HUGE,12/30/2021,$1.04,"497,282",$1.05,$1.1,$1.03
