ticker,date,close,volume,open,high,low
ICCM,02/10/2022,$3.01,"53,991",$3.09,$3.14,$2.99
ICCM,02/09/2022,$2.97,"55,734",$3,$3.02,$2.93
ICCM,02/08/2022,$3.07,"131,424",$3.26,$3.26,$3
ICCM,02/07/2022,$3.31,"436,677",$3.17,$3.31,$3.16
ICCM,02/04/2022,$2.785,"23,767",$2.77,$2.8,$2.72
ICCM,02/03/2022,$2.86,"76,373",$2.8,$2.86,$2.7372
ICCM,02/02/2022,$2.8,"164,525",$2.88,$2.88,$2.7503
ICCM,02/01/2022,$2.59,"119,952",$2.57,$2.59,$2.52
ICCM,01/31/2022,$2.34,"124,583",$2.25,$2.35,$2.19
ICCM,01/28/2022,$2.11,"57,978",$2.03,$2.35,$2
ICCM,01/27/2022,$2.1,"81,380",$2.11,$2.15,$2
ICCM,01/26/2022,$2.08,"155,401",$2.11,$2.125,$2
ICCM,01/25/2022,$2.01,"126,300",$2.07,$2.18,$2.01
ICCM,01/24/2022,$2.17,"256,239",$2.25,$2.26,$2.08
ICCM,01/21/2022,$2.42,"50,512",$2.35,$2.42,$2.2835
ICCM,01/20/2022,$2.36,"368,444",$2.52,$2.56,$2.301
ICCM,01/19/2022,$2.23,"115,462",$2.36,$2.4,$2.2
ICCM,01/18/2022,$2.49,"158,591",$2.59,$2.67,$2.45
ICCM,01/14/2022,$2.74,"25,491",$2.74,$2.74,$2.6046
ICCM,01/13/2022,$2.72,"35,256",$2.83,$2.83,$2.671
ICCM,01/12/2022,$2.83,"45,648",$2.8,$2.85,$2.715
ICCM,01/11/2022,$2.76,"35,598",$2.72,$2.78,$2.72
ICCM,01/10/2022,$2.65,"104,404",$2.82,$2.82,$2.6
ICCM,01/07/2022,$2.99,"20,875",$2.96,$3.02,$2.8287
ICCM,01/06/2022,$2.96,"31,922",$2.96,$3,$2.85
ICCM,01/05/2022,$3,"90,296",$3.14,$3.15,$2.97
ICCM,01/04/2022,$3.08,"117,813",$3.21,$3.24,$3.04
ICCM,01/03/2022,$3.1,"204,937",$3.16,$3.21,$3.0327
ICCM,12/31/2021,$3.05,"108,643",$3.01,$3.05,$2.9274
ICCM,12/30/2021,$3.01,"154,902",$3.08,$3.08,$2.82
ICCM,12/29/2021,$2.98,"208,948",$3.2,$3.2,$2.95
ICCM,12/28/2021,$3.3,"592,106",$3.34,$3.43,$3.15
ICCM,12/27/2021,$3.29,"7,157,871",$3.6,$3.9,$3.03
ICCM,12/23/2021,$2.84,"122,482",$2.88,$2.89,$2.76
ICCM,12/22/2021,$2.84,"80,262",$2.8,$2.93,$2.68
ICCM,12/21/2021,$2.85,"149,119",$2.75,$2.95,$2.75
ICCM,12/20/2021,$2.73,"99,877",$2.96,$2.97,$2.7
ICCM,12/17/2021,$3.05,"48,910",$3.18,$3.18,$3
ICCM,12/16/2021,$3.18,"71,457",$3.57,$3.57,$3.07
ICCM,12/15/2021,$3.3,"105,529",$3.5,$3.5,$3.2
ICCM,12/14/2021,$3.49,"244,521",$3.61,$3.62,$3.35
ICCM,12/13/2021,$3.28,"196,311",$3.62,$3.62,$3.215
ICCM,12/10/2021,$3.69,"317,561",$3.45,$3.73,$3.45
ICCM,12/09/2021,$3.45,"837,164",$3.68,$3.77,$3.331
ICCM,12/08/2021,$4.28,"59,597",$4.5,$4.5,$4.09
ICCM,12/07/2021,$4.6,"53,244",$4.37,$4.6299,$4.37
ICCM,12/06/2021,$4.07,"63,007",$4.4174,$4.4174,$4.065
ICCM,12/03/2021,$4.6,"55,696",$4.83,$4.85,$4.45
ICCM,12/02/2021,$4.83,"68,436",$4.95,$4.9844,$4.61
ICCM,12/01/2021,$4.89,"273,399",$4.52,$4.95,$4.52
ICCM,11/30/2021,$4.34,"37,502",$4.6,$4.6,$4.26
ICCM,11/29/2021,$4.7,"54,543",$5.02,$5.0583,$4.58
ICCM,11/26/2021,$5.21,"16,675",$5.49,$5.49,$5.01
ICCM,11/24/2021,$5.39,"23,923",$5.4018,$5.4025,$5.21
ICCM,11/23/2021,$5.49,"27,127",$5.49,$5.55,$5.2801
ICCM,11/22/2021,$5.83,"50,711",$6.14,$6.31,$5.65
ICCM,11/19/2021,$6.22,"37,988",$6.64,$6.64,$6.08
ICCM,11/18/2021,$6.22,"59,822",$6.25,$6.3,$6.0204
ICCM,11/17/2021,$5.96,"54,359",$5.86,$5.96,$5.6223
ICCM,11/16/2021,$5.69,"55,269",$6,$6.04,$5.55
ICCM,11/15/2021,$6,"36,412",$6.15,$6.35,$6
ICCM,11/12/2021,$6.48,"17,008",$6.42,$6.48,$6.3
ICCM,11/11/2021,$6.34,"37,331",$6.5,$6.61,$6.04
ICCM,11/10/2021,$6.86,"27,409",$6.8,$6.86,$6.54
ICCM,11/09/2021,$7.07,"22,307",$6.97,$7.07,$6.42
ICCM,11/08/2021,$6.74,"50,975",$7.05,$7.05,$6.57
ICCM,11/05/2021,$7.54,"18,935",$7.49,$7.54,$7.25
ICCM,11/04/2021,$7.49,"31,237",$7.68,$7.68,$7.42
ICCM,11/03/2021,$7.72,"26,027",$7.66,$7.75,$7.45
ICCM,11/02/2021,$7.77,"64,020",$8.04,$8.23,$7.6203
ICCM,11/01/2021,$7.88,"104,885",$7.82,$7.98,$7.68
ICCM,10/29/2021,$7.28,"6,187",$7.34,$7.39,$7.11
ICCM,10/28/2021,$7.25,"34,498",$7.49,$7.49,$7.1106
ICCM,10/27/2021,$7.37,"59,310",$7.89,$7.89,$7.35
ICCM,10/26/2021,$8.1,"153,758",$8.1,$8.1,$7.835
ICCM,10/25/2021,$7.49,"216,480",$7.39,$7.54,$7.25
ICCM,10/22/2021,$6.48,"25,234",$6.7,$6.7,$6.25
ICCM,10/21/2021,$6.37,"66,916",$6.6,$6.64,$6.35
ICCM,10/20/2021,$6.385,"277,976",$6.5,$6.74,$6.3
ICCM,10/19/2021,$6.04,"134,396",$5.88,$6.2,$5.75
ICCM,10/18/2021,$5.88,"30,546",$5.87,$5.99,$5.68
ICCM,10/15/2021,$5.63,"15,843",$5.58,$5.93,$5.515
ICCM,10/14/2021,$5.96,"48,690",$6.11,$6.18,$5.58
ICCM,10/13/2021,$6.31,"27,242",$6.94,$6.94,$6.31
ICCM,10/12/2021,$6.95,"9,649",$7.14,$7.2399,$6.9001
ICCM,10/11/2021,$6.75,"24,096",$7.4,$7.45,$6.71
ICCM,10/08/2021,$7.45,"12,925",$7.45,$7.47,$7.04
ICCM,10/07/2021,$7.35,"9,834",$7.26,$7.62,$7.22
ICCM,10/06/2021,$7.1914,"24,855",$7.39,$7.62,$7.1
ICCM,10/05/2021,$7.45,"64,396",$7.8134,$8.3089,$6.81
ICCM,10/04/2021,$7.51,"48,544",$8.14,$8.2521,$7.45
ICCM,10/01/2021,$8.695,"29,325",$8.8,$8.9,$8.35
ICCM,09/30/2021,$8.7999,"32,087",$9.12,$9.39,$8.59
ICCM,09/29/2021,$9.2,"59,371",$9.24,$9.505,$9.01
ICCM,09/28/2021,$9.46,"10,593",$9.74,$9.74,$9.43
ICCM,09/27/2021,$9.57,"10,466",$9.8,$9.91,$9.57
ICCM,09/24/2021,$9.8475,"15,339",$9.59,$9.94,$9.59
ICCM,09/23/2021,$10.05,"34,167",$9.74,$10.3,$9.48
ICCM,09/22/2021,$9.42,"14,079",$9,$9.54,$9
ICCM,09/21/2021,$9,"6,987",$8.89,$9.25,$8.61
ICCM,09/20/2021,$8.61,"20,173",$9.55,$9.55,$8.5201
ICCM,09/17/2021,$9.25,"24,457",$9.77,$9.77,$8.9
ICCM,09/16/2021,$9.726,"8,388",$8.98,$10,$8.81
ICCM,09/15/2021,$9.01,"13,793",$9.01,$9.2475,$9
ICCM,09/14/2021,$9.2,"39,113",$9.5,$9.64,$9.12
ICCM,09/13/2021,$9.45,"54,070",$10.38,$10.38,$9
ICCM,09/10/2021,$10.28,"15,643",$10.51,$10.54,$10.01
ICCM,09/09/2021,$10.57,"34,188",$10.26,$10.9612,$10
ICCM,09/08/2021,$10.26,"27,183",$11.19,$11.19,$10.26
ICCM,09/07/2021,$11.33,"86,852",$10,$11.54,$10
ICCM,09/03/2021,$10.07,"11,872",$10.059,$10.2,$10.01
ICCM,09/02/2021,$10.16,"15,098",$10.53,$10.53,$10.03
ICCM,09/01/2021,$10.43,"31,086",$10.71,$10.71,$10.02
ICCM,08/31/2021,$10.66,"19,602",$10.6,$11.07,$10.5
ICCM,08/30/2021,$10.67,"49,216",$11.12,$11.12,$10.61
ICCM,08/27/2021,$11.05,"63,442",$11.35,$11.5,$10.97
ICCM,08/26/2021,$10.9,"148,202",$11.88,$12.4,$10.8
ICCM,08/25/2021,$10.8,"7,418",$8.78,$11.11,$8.78
ICCM,08/24/2021,$8.7801,207,$8.7801,$8.7801,$8.7801
ICCM,08/23/2021,$9,"3,508",$10.685,$10.685,$9
ICCM,08/20/2021,$9.35,"1,350",$9.05,$9.35,$9.05
ICCM,08/19/2021,$9,"16,238",$9.6,$9.6,$7.81
ICCM,08/18/2021,$9.7201,"4,758",$5.77,$10.01,$5.77
ICCM,08/17/2021,$10.01,"11,656",$10,$10.5,$10
ICCM,08/16/2021,$10.9,"1,981",$11,$11,$6.49
ICCM,08/13/2021,$10.8,391,$10.8,$10.8,$10.8
ICCM,08/12/2021,$10.8,"1,065",$11.11,$11.11,$10.8
ICCM,08/11/2021,$10.75,"2,516",$9.85,$10.75,$9.65
ICCM,08/10/2021,$11,"4,954",$11,$11.11,$10.76
ICCM,08/09/2021,$10.76,"2,927",$1.5,$11,$1.5
ICCM,08/06/2021,$10.32,25,$10.32,$10.32,$10.32
ICCM,08/05/2021,$10.32,"6,517",$10.48,$10.54,$10
ICCM,08/04/2021,$10.64,"3,850",$10.4,$10.64,$10.08
ICCM,08/03/2021,$10.72,406,$10.32,$10.8,$10.08
ICCM,08/02/2021,$10.4,"3,282",$11.36,$11.36,$10.16
ICCM,07/30/2021,$10.32,389,$10.76,$10.76,$10.24
ICCM,07/29/2021,$1.28,"110,728",$1.39,$1.39,$1.28
ICCM,07/28/2021,$1.39,"4,640",$1.31,$1.39,$1.31
ICCM,07/27/2021,$1.35,"1,100",$1.3499,$1.35,$1.3499
