ticker,date,close,volume,open,high,low
INCY,02/10/2022,$66.9,"3,147,758",$67.28,$67.99,$66.41
INCY,02/09/2022,$68.28,"3,234,307",$66.84,$69.89,$66.6075
INCY,02/08/2022,$70.07,"3,279,856",$70.63,$72.73,$67.9
INCY,02/07/2022,$73.35,"1,465,126",$72.7,$73.89,$72.65
INCY,02/04/2022,$72.69,"1,322,119",$73.02,$73.26,$72.27
INCY,02/03/2022,$73.05,"1,582,956",$73.96,$74.22,$72.84
INCY,02/02/2022,$74.39,"1,746,304",$74.92,$75.42,$73.09
INCY,02/01/2022,$75.19,"1,555,066",$74.1,$75.76,$73.935
INCY,01/31/2022,$74.33,"1,754,866",$73.65,$74.72,$73.5
INCY,01/28/2022,$74.23,"1,621,365",$71.45,$74.26,$70.735
INCY,01/27/2022,$71.59,"1,921,080",$73.6,$74.3,$71.465
INCY,01/26/2022,$73.52,"3,195,032",$73.21,$75.1,$73.11
INCY,01/25/2022,$74.15,"1,716,687",$74.79,$75.04,$72.67
INCY,01/24/2022,$75.34,"3,265,503",$73.83,$75.43,$73.08
INCY,01/21/2022,$74.79,"1,820,524",$74.99,$76.5,$74.675
INCY,01/20/2022,$74.76,"1,336,317",$75.27,$76.05,$74.66
INCY,01/19/2022,$74.78,"1,551,184",$75.06,$76.185,$74.06
INCY,01/18/2022,$75.01,"3,063,943",$75.71,$76.3,$74.47
INCY,01/14/2022,$74.88,"1,580,839",$73.48,$74.94,$72.83
INCY,01/13/2022,$73.65,"1,319,180",$72.94,$74.23,$72.79
INCY,01/12/2022,$73.62,"1,638,813",$73.98,$74.53,$72.84
INCY,01/11/2022,$74.44,"1,317,443",$74.46,$75.39,$73.85
INCY,01/10/2022,$74.66,"2,084,909",$73,$74.9,$72.84
INCY,01/07/2022,$73.19,"2,531,656",$72.69,$74.45,$72.69
INCY,01/06/2022,$72.63,"1,997,764",$70.81,$72.69,$70.44
INCY,01/05/2022,$70.45,"1,597,273",$71.72,$72.815,$70.37
