ticker,date,close,volume,open,high,low
INNV,02/10/2022,$4.56,"1,293,769",$4.56,$5.1,$4.41
INNV,02/09/2022,$5.49,"356,775",$5.2,$5.57,$5.064
INNV,02/08/2022,$5.14,"196,069",$5.02,$5.17,$4.985
INNV,02/07/2022,$5.01,"500,122",$4.88,$5.17,$4.795
INNV,02/04/2022,$4.85,"453,308",$4.91,$4.985,$4.6418
INNV,02/03/2022,$4.92,"314,024",$5,$5.15,$4.84
INNV,02/02/2022,$5.1,"307,800",$5.19,$5.29,$5.09
INNV,02/01/2022,$5.18,"589,426",$5.27,$5.63,$5.03
INNV,01/31/2022,$5.22,"378,460",$4.86,$5.24,$4.86
INNV,01/28/2022,$4.87,"288,711",$4.8,$4.94,$4.701
INNV,01/27/2022,$4.8,"409,599",$4.86,$5.02,$4.745
INNV,01/26/2022,$4.9,"391,126",$4.81,$5.02,$4.76
INNV,01/25/2022,$4.75,"347,137",$4.67,$4.8,$4.49
INNV,01/24/2022,$4.71,"640,574",$4.39,$4.75,$4.321
INNV,01/21/2022,$4.52,"547,487",$4.58,$4.855,$4.485
INNV,01/20/2022,$4.7,"453,449",$4.53,$4.88,$4.5298
INNV,01/19/2022,$4.6,"554,624",$4.51,$4.715,$4.3487
INNV,01/18/2022,$4.5,"381,042",$4.52,$4.61,$4.44
INNV,01/14/2022,$4.6,"614,332",$4.91,$4.91,$4.57
INNV,01/13/2022,$4.85,"274,873",$4.79,$4.97,$4.7201
INNV,01/12/2022,$4.77,"256,052",$4.82,$4.89,$4.64
INNV,01/11/2022,$4.75,"497,467",$4.48,$4.79,$4.4453
INNV,01/10/2022,$4.49,"1,363,160",$4.25,$4.51,$4.075
INNV,01/07/2022,$4.25,"862,806",$4.69,$4.78,$4.22
INNV,01/06/2022,$4.67,"396,768",$4.96,$5,$4.63
INNV,01/05/2022,$4.87,"688,985",$5.35,$5.4276,$4.86
INNV,01/04/2022,$5.37,"820,941",$4.8611,$5.51,$4.8611
INNV,01/03/2022,$5.01,"710,267",$4.8,$5.09,$4.7
INNV,12/31/2021,$5,"577,042",$4.91,$5.08,$4.79
INNV,12/30/2021,$4.94,"622,421",$4.86,$4.99,$4.75
INNV,12/29/2021,$4.93,"1,264,878",$4.39,$4.96,$4.35
INNV,12/28/2021,$4.62,"3,647,957",$4.61,$4.74,$3.97
INNV,12/27/2021,$4.71,"4,542,886",$5.32,$5.32,$4.47
INNV,12/23/2021,$5.31,"14,188,280",$5.4,$5.98,$3.46
