ticker,date,close,volume,open,high,low
INSP,02/10/2022,$234.81,"285,111",$229.53,$240.51,$225
INSP,02/09/2022,$238.38,"619,659",$240,$246.25,$230.4
INSP,02/08/2022,$233.71,"416,891",$224.56,$236.89,$224.56
INSP,02/07/2022,$226.21,"376,165",$222.38,$232.785,$222.38
INSP,02/04/2022,$223,"310,425",$211.38,$226.43,$209.88
INSP,02/03/2022,$213.12,"222,705",$214.72,$219.425,$212.13
INSP,02/02/2022,$219.5,"245,593",$221.96,$223.88,$216.025
INSP,02/01/2022,$222.69,"306,852",$222.52,$227.12,$218.34
INSP,01/31/2022,$221.29,"316,156",$208.95,$223.97,$207.935
INSP,01/28/2022,$208,"292,157",$196.58,$208.78,$189.24
INSP,01/27/2022,$195.16,"251,672",$201.5,$204.53,$193.91
INSP,01/26/2022,$198.03,"387,660",$198.93,$206.94,$194.6
INSP,01/25/2022,$193.94,"423,985",$204.33,$207.27,$191.16
INSP,01/24/2022,$210.52,"384,400",$202.18,$211.48,$191.9978
INSP,01/21/2022,$206.68,"220,227",$210.59,$212.515,$204.03
INSP,01/20/2022,$212.18,"175,165",$219.62,$226.67,$211.31
INSP,01/19/2022,$216.54,"192,798",$220.95,$225.06,$212.95
INSP,01/18/2022,$220.93,"385,554",$233.94,$236.43,$220.92
INSP,01/14/2022,$237.54,"424,151",$233.95,$240.23,$229.13
INSP,01/13/2022,$235.55,"270,307",$235.38,$238.725,$227.985
INSP,01/12/2022,$234.27,"233,454",$235.38,$244.07,$232.415
INSP,01/11/2022,$232.65,"215,721",$222.98,$232.79,$220.93
INSP,01/10/2022,$227.56,"276,281",$225,$228.14,$212.52
INSP,01/07/2022,$228.72,"238,134",$237.01,$239.5043,$225.335
INSP,01/06/2022,$237.72,"305,520",$234.42,$250.512,$234.305
INSP,01/05/2022,$237.12,"543,468",$242,$255.955,$232.63
INSP,01/04/2022,$232.65,"176,964",$240,$240,$228.66
INSP,01/03/2022,$237.97,"152,375",$230.6,$238.495,$224
INSP,12/31/2021,$230.06,"163,230",$229.54,$235.595,$228.43
INSP,12/30/2021,$230.24,"115,933",$228.12,$234.98,$227.32
INSP,12/29/2021,$227.92,"88,897",$228.54,$230.53,$221.87
INSP,12/28/2021,$229.31,"189,857",$235.02,$235.02,$224.5
INSP,12/27/2021,$235.36,"121,039",$240,$240,$234.05
INSP,12/23/2021,$239.18,"189,116",$236.2,$240,$234.01
INSP,12/22/2021,$235.37,"382,036",$220.9,$235.47,$218.65
INSP,12/21/2021,$220.13,"255,999",$212.04,$220.39,$208.7
INSP,12/20/2021,$207.99,"282,526",$207.86,$212.445,$198.005
INSP,12/17/2021,$213.68,"428,796",$209.68,$214.925,$201.9674
INSP,12/16/2021,$208.14,"157,066",$218.43,$219.63,$206.145
INSP,12/15/2021,$216.4,"256,618",$213.31,$217.33,$202.96
INSP,12/14/2021,$213.37,"286,550",$217.87,$221.94,$210.67
INSP,12/13/2021,$221.08,"192,056",$221,$223.99,$216.14
INSP,12/10/2021,$220.01,"246,108",$220.28,$225.39,$217.21
INSP,12/09/2021,$219.49,"202,644",$231.09,$233.6094,$218.88
INSP,12/08/2021,$232.41,"251,200",$226,$235.2544,$217.06
INSP,12/07/2021,$224.3,"387,654",$214.95,$225.35,$211.2
INSP,12/06/2021,$212.51,"371,606",$207.94,$214.95,$203.95
INSP,12/03/2021,$207.57,"258,191",$224.75,$224.75,$205.75
INSP,12/02/2021,$222.98,"393,681",$226.4,$232.6,$219.535
INSP,12/01/2021,$225.17,"295,303",$227.25,$233.18,$221.36
