ticker,date,close,volume,open,high,low
ISPC,02/10/2022,$4.82,"295,737",$5.05,$5.2085,$4.77
ISPC,02/09/2022,$5.22,"789,273",$4.87,$5.47,$4.87
ISPC,02/08/2022,$4.99,"194,374",$4.94,$5.15,$4.82
ISPC,02/07/2022,$5.03,"307,140",$5.04,$5.15,$4.87
ISPC,02/04/2022,$5.08,"429,208",$4.9697,$5.1399,$4.79
ISPC,02/03/2022,$4.94,"417,997",$4.36,$4.95,$4.3
ISPC,02/02/2022,$4.53,"247,200",$4.86,$4.88,$4.46
ISPC,02/01/2022,$4.85,"455,992",$4.83,$5,$4.6632
ISPC,01/31/2022,$4.89,"467,877",$4.45,$4.97,$4.41
ISPC,01/28/2022,$4.55,"298,836",$4.2,$4.65,$4.1
ISPC,01/27/2022,$4.28,"488,062",$4.66,$4.72,$4.22
ISPC,01/26/2022,$4.71,"632,804",$5.22,$5.24,$4.61
ISPC,01/25/2022,$5,"823,805",$4.68,$5.04,$4.48
ISPC,01/24/2022,$4.92,"860,551",$4.401,$4.93,$4.235
ISPC,01/21/2022,$4.72,"1,125,447",$5.16,$5.3999,$4.7
ISPC,01/20/2022,$5.33,"593,213",$5.33,$5.74,$5.3
ISPC,01/19/2022,$5.39,"673,118",$5.61,$5.7699,$5.3
ISPC,01/18/2022,$5.67,"776,996",$5.85,$6.1599,$5.6
ISPC,01/14/2022,$6.25,"2,040,049",$6.5,$6.57,$5.9
ISPC,01/13/2022,$6.95,"11,263,190",$7.7,$7.76,$6.85
ISPC,01/12/2022,$6.83,"925,609",$7.05,$7.5,$6.81
ISPC,01/11/2022,$7.09,"1,193,382",$7.14,$7.869,$7.05
ISPC,01/10/2022,$7.33,"1,754,928",$6.92,$7.5899,$6.4
ISPC,01/07/2022,$6.95,"822,009",$7.26,$7.4682,$6.92
ISPC,01/06/2022,$7.49,"1,439,102",$7.31,$7.59,$6.58
ISPC,01/05/2022,$7.74,"1,665,428",$8.42,$8.46,$7.62
ISPC,01/04/2022,$8.5,"10,354,860",$9.68,$9.8,$8.38
ISPC,01/03/2022,$8.06,"919,023",$7.94,$8.38,$7.7901
ISPC,12/31/2021,$7.81,"1,495,518",$8.6,$8.81,$7.78
ISPC,12/30/2021,$8.69,"11,581,770",$9.2,$12.3492,$8.58
ISPC,12/29/2021,$9.15,"1,420,808",$9.83,$9.97,$9.12
ISPC,12/28/2021,$10.12,"1,702,992",$10.7,$11.11,$9.8
ISPC,12/27/2021,$10.65,"1,214,735",$11.444,$11.57,$10.11
ISPC,12/23/2021,$11.61,"1,129,167",$12.41,$13.4352,$11.45
ISPC,12/22/2021,$12.35,"3,258,938",$12.69,$14.67,$11.74
ISPC,12/21/2021,$14.29,"11,500,470",$10.22,$16,$10.22
ISPC,12/20/2021,$10.25,"606,861",$11.43,$11.7199,$10.17
ISPC,12/17/2021,$11.42,"1,029,165",$10.55,$11.93,$10.3
ISPC,12/16/2021,$10.97,"940,017",$11.16,$11.3176,$10.3
ISPC,12/15/2021,$10.87,"1,275,088",$12.23,$12.232,$9.8
ISPC,12/14/2021,$12.54,"689,167",$13.14,$13.6899,$12.25
ISPC,12/13/2021,$13.15,"696,613",$13.11,$14.5,$12.63
ISPC,12/10/2021,$13.69,"783,038",$14.4,$15.0855,$13.2301
ISPC,12/09/2021,$14.92,"4,421,660",$15.63,$18.2,$14.35
ISPC,12/08/2021,$14.15,"3,621,793",$12,$14.5,$11.72
ISPC,12/07/2021,$12.23,"1,196,098",$11.99,$12.8,$11.84
ISPC,12/06/2021,$12.27,"3,634,613",$12.816,$13.8,$10.71
ISPC,12/03/2021,$13.24,"9,597,052",$14.24,$16.96,$12.25
ISPC,12/02/2021,$12.81,"3,205,993",$14.89,$16.35,$12.15
ISPC,12/01/2021,$14.59,"6,322,164",$17.02,$20.88,$14.02
ISPC,11/30/2021,$18.47,"16,258,610",$22.83,$24.97,$15.8
ISPC,11/29/2021,$20.42,"56,424,680",$14.19,$28.9799,$12.97
ISPC,11/26/2021,$17.51,"70,781,000",$18.31,$24.6699,$16.42
