ticker,date,close,volume,open,high,low
LBPS,05/12/2022,$3.11,"17,637",$3.04,$3.19,$3.01
LBPS,05/11/2022,$3.16,"48,789",$3.25,$3.37,$3.015
LBPS,05/10/2022,$3.15,"46,930",$3.44,$3.4999,$3.12
LBPS,05/09/2022,$3.4,"14,295",$3.56,$3.56,$3.2995
LBPS,05/06/2022,$3.58,"17,286",$3.53,$3.7,$3.4863
LBPS,05/05/2022,$3.63,"16,950",$3.74,$3.74,$3.52
LBPS,05/04/2022,$3.74,"26,003",$3.84,$3.88,$3.5601
LBPS,05/03/2022,$3.91,"12,452",$3.97,$4.0051,$3.7632
LBPS,05/02/2022,$3.76,"22,609",$3.795,$3.9647,$3.62
LBPS,04/29/2022,$3.85,"13,971",$3.8,$3.87,$3.69
LBPS,04/28/2022,$3.53,"13,423",$3.71,$3.71,$3.5
LBPS,04/27/2022,$3.76,"27,237",$3.94,$4,$3.7569
LBPS,04/26/2022,$3.9481,"11,387",$3.99,$3.99,$3.9301
LBPS,04/25/2022,$4.01,"17,029",$4.23,$4.23,$3.9
LBPS,04/22/2022,$4.16,"13,695",$4.42,$4.4645,$4.16
LBPS,04/21/2022,$4.5,"11,958",$4.76,$4.7976,$4.5
LBPS,04/20/2022,$4.7,"61,129",$5.05,$5.146,$4.65
LBPS,04/19/2022,$4.96,"218,966",$5.11,$5.245,$4.89
LBPS,04/18/2022,$4.63,"29,470",$4.74,$4.8999,$4.62
LBPS,04/14/2022,$4.89,"96,160",$4.68,$5.0783,$4.68
LBPS,04/13/2022,$4.36,"84,952",$4.2,$4.43,$4.1639
LBPS,04/12/2022,$3.97,"30,677",$4.06,$4.08,$3.9
LBPS,04/11/2022,$4.01,"56,047",$4,$4.07,$3.8
LBPS,04/08/2022,$3.73,"29,153",$3.84,$3.85,$3.67
LBPS,04/07/2022,$3.86,"102,349",$3.81,$3.97,$3.7
LBPS,04/06/2022,$3.71,"135,688",$3.86,$3.96,$3.6534
LBPS,04/05/2022,$3.96,"73,797",$4.14,$4.18,$3.9001
LBPS,04/04/2022,$4.22,"27,242",$4.2,$4.2998,$4.15
LBPS,04/01/2022,$4.21,"185,215",$4.16,$4.38,$4.06
LBPS,03/31/2022,$4.83,"156,402",$5.06,$5.17,$4.72
LBPS,03/30/2022,$5.19,"167,468",$5.2,$5.32,$5.07
LBPS,03/29/2022,$5.26,"265,916",$5,$5.26,$4.92
LBPS,03/28/2022,$4.64,"199,476",$5.15,$5.18,$4.63
LBPS,03/25/2022,$4.9101,"309,744",$5.38,$5.5,$4.79
LBPS,03/24/2022,$5.42,"758,467",$5.8,$5.82,$5.2501
LBPS,03/23/2022,$6,"21,846,070",$6.765,$8.8,$5.48
LBPS,03/22/2022,$4.669,"12,720",$4.58,$4.75,$4.5758
LBPS,03/21/2022,$4.3365,"17,444",$4.31,$4.39,$4.0499
LBPS,03/18/2022,$4.66,"17,249",$4.248,$4.66,$3.94
LBPS,03/17/2022,$4.32,"11,798",$4.25,$4.4,$4.19
LBPS,03/16/2022,$4.4414,"20,016",$4.63,$4.7,$4.19
LBPS,03/15/2022,$4.36,"26,992",$4.03,$4.36,$3.89
LBPS,03/14/2022,$4.52,"103,862",$4.7,$4.79,$4.01
LBPS,03/11/2022,$3.99,"205,497",$3.39,$4,$3.2462
LBPS,03/10/2022,$2.899,"3,673",$2.93,$2.9802,$2.899
LBPS,03/09/2022,$2.99,"5,711",$2.98,$3.005,$2.85
LBPS,03/08/2022,$3.02,"6,759",$2.92,$3.02,$2.74
LBPS,03/07/2022,$3.005,"6,650",$2.98,$3.09,$2.8508
LBPS,03/04/2022,$3.09,"18,181",$3.0094,$3.19,$2.81
LBPS,03/03/2022,$3.0474,602,$3.24,$3.24,$3.0474
LBPS,03/02/2022,$3.3,"8,880",$3.46,$3.4799,$3.1239
LBPS,03/01/2022,$3.37,"1,927",$3.42,$3.42,$3.295
LBPS,02/28/2022,$3.36,"21,876",$3.5,$3.56,$3.36
LBPS,02/25/2022,$3.265,"6,579",$3.19,$3.36,$3.071
LBPS,02/24/2022,$3.0205,"14,375",$3.01,$3.23,$2.89
LBPS,02/23/2022,$3.2175,"1,401",$3.42,$3.42,$3.2175
LBPS,02/22/2022,$3.28,"22,739",$3.92,$3.92,$3.2
LBPS,02/18/2022,$3.64,"2,303",$3.581,$3.6891,$3.581
LBPS,02/17/2022,$3.7,"2,632",$3.79,$3.79,$3.7
LBPS,02/16/2022,$3.83,"8,007",$3.83,$3.85,$3.7
LBPS,02/15/2022,$3.5396,"17,678",$3.47,$3.68,$3.47
LBPS,02/14/2022,$3.4351,"11,094",$3.49,$3.62,$3.41
LBPS,02/11/2022,$3.72,728,$3.72,$3.72,$3.6648
LBPS,02/10/2022,$3.7,"3,615",$3.72,$3.82,$3.7
LBPS,02/09/2022,$3.82,"8,232",$3.74,$3.875,$3.74
LBPS,02/08/2022,$3.855,"13,137",$3.85,$4.08,$3.6639
LBPS,02/07/2022,$4.06,"3,001",$4.0632,$4.0632,$3.99
LBPS,02/04/2022,$3.89,"20,086",$3.985,$3.99,$3.85
LBPS,02/03/2022,$4.05,"7,879",$4.06,$4.18,$3.9332
LBPS,02/02/2022,$4.3,"19,793",$4.14,$4.36,$4.0586
LBPS,02/01/2022,$4.015,"8,574",$4.09,$4.14,$3.9728
LBPS,01/31/2022,$3.98,"25,292",$4.06,$4.14,$3.89
LBPS,01/28/2022,$4.05,"6,757",$4.04,$4.13,$4.03
LBPS,01/27/2022,$4.03,"12,176",$4.09,$4.21,$3.8001
LBPS,01/26/2022,$4.2891,"4,413",$4.08,$4.2891,$4.04
LBPS,01/25/2022,$4,"15,377",$3.96,$4.04,$3.782
LBPS,01/24/2022,$3.99,"25,224",$4.02,$4.02,$3.55
LBPS,01/21/2022,$4.469,"14,972",$4.54,$4.55,$4.449
LBPS,01/20/2022,$4.56,"10,859",$4.38,$4.56,$4.33
LBPS,01/19/2022,$4.35,"5,791",$4.272,$4.38,$4.25
LBPS,01/18/2022,$4.36,"3,526",$4.32,$4.38,$4.26
LBPS,01/14/2022,$4.4903,"6,550",$4.547,$4.61,$4.319
LBPS,01/13/2022,$4.79,"1,639",$4.76,$4.86,$4.76
LBPS,01/12/2022,$4.8,"6,341",$5.11,$5.14,$4.8
LBPS,01/11/2022,$4.75,"15,239",$4.681,$4.83,$4.63
LBPS,01/10/2022,$4.8,"7,896",$5,$5,$4.56
LBPS,01/07/2022,$5.07,"9,428",$5.08,$5.13,$5.01
LBPS,01/06/2022,$5.315,"16,168",$5.5,$5.72,$5.24
LBPS,01/05/2022,$5.53,"7,967",$5.62,$5.63,$5.31
LBPS,01/04/2022,$5.71,"29,136",$5.78,$5.8292,$5.4
LBPS,01/03/2022,$5.58,"5,059",$5.62,$5.62,$5.48
LBPS,12/31/2021,$5.45,"11,054",$5.62,$5.66,$5.32
LBPS,12/30/2021,$5.3,"24,325",$5.5,$5.66,$5.3
LBPS,12/29/2021,$5.44,"33,932",$5.44,$5.67,$5.37
LBPS,12/28/2021,$5.4,"14,101",$5.25,$5.52,$5.16
LBPS,12/27/2021,$5.23,"33,047",$5.73,$5.81,$5.17
LBPS,12/23/2021,$5.751,"10,809",$5.79,$5.84,$5.59
LBPS,12/22/2021,$5.6,"22,980",$5.58,$5.71,$5.3965
LBPS,12/21/2021,$5.47,"17,449",$5.48,$5.56,$5.2
LBPS,12/20/2021,$5.15,"7,119",$5.21,$5.3432,$5.15
LBPS,12/17/2021,$5.49,"19,408",$5.2416,$5.49,$5.2416
LBPS,12/16/2021,$5.39,"3,211",$5.41,$5.41,$5.32
LBPS,12/15/2021,$5.52,"20,287",$5.53,$5.5381,$5.19
LBPS,12/14/2021,$5.41,"32,222",$5.92,$5.9539,$5.41
LBPS,12/13/2021,$6,"18,674",$6.17,$6.2401,$5.962
LBPS,12/10/2021,$6.4,"3,326",$6.3,$6.567,$6.2
LBPS,12/09/2021,$6.71,"23,356",$6.65,$7.0399,$6.44
LBPS,12/08/2021,$7.0115,"9,282",$6.9446,$7.115,$6.78
LBPS,12/07/2021,$6.4475,"3,977",$6.76,$6.76,$6.3602
LBPS,12/06/2021,$6.37,"3,744",$6.61,$6.61,$6.236
LBPS,12/03/2021,$6.595,"26,980",$6.8,$6.8,$6.25
LBPS,12/02/2021,$6.98,"93,309",$6.68,$7.04,$6.5703
LBPS,12/01/2021,$6.04,"44,795",$6.23,$6.23,$6.02
LBPS,11/30/2021,$6.02,"12,838",$6.14,$6.14,$5.95
LBPS,11/29/2021,$6.23,"25,556",$6.4,$6.5,$6.23
LBPS,11/26/2021,$6.45,"11,247",$6.5,$6.53,$6.18
LBPS,11/24/2021,$6.84,"41,393",$6.58,$7.03,$6.5
LBPS,11/23/2021,$6.66,"21,640",$6.86,$7.08,$6.66
LBPS,11/22/2021,$6.76,"70,464",$7.04,$7.04,$6.625
LBPS,11/19/2021,$7.26,"42,835",$7.51,$7.62,$7.26
LBPS,11/18/2021,$8.01,"7,934",$8.21,$8.25,$8
LBPS,11/17/2021,$8.44,"4,356",$8.4,$8.6,$7.73
LBPS,11/16/2021,$8.68,"2,250",$8.64,$8.68,$8.4987
LBPS,11/15/2021,$8.87,"4,322",$8.3763,$8.87,$8.3763
LBPS,11/12/2021,$8.51,"8,523",$8.5,$8.75,$8.44
LBPS,11/11/2021,$8.5,"8,826",$8.39,$8.5,$8.01
LBPS,11/10/2021,$8.43,"5,809",$8.53,$8.57,$8.01
LBPS,11/09/2021,$8.67,"10,478",$8.92,$8.92,$8.45
LBPS,11/08/2021,$8.56,"60,501",$9.45,$9.65,$7.79
LBPS,11/05/2021,$8.5,"184,979",$7.48,$9.7299,$7.48
