ticker,date,close,volume,open,high,low
LNSR,02/10/2022,$5.938,"11,039",$5.86,$6.0999,$5.86
LNSR,02/09/2022,$6.04,"1,562",$6.1,$6.1,$5.97
LNSR,02/08/2022,$6.0799,"29,492",$6,$6.1,$5.87
LNSR,02/07/2022,$6.04,"1,693",$6.0409,$6.0409,$6.011
LNSR,02/04/2022,$5.89,"1,805",$5.975,$5.975,$5.89
LNSR,02/03/2022,$5.9,"1,545",$5.86,$6.0979,$5.86
LNSR,02/02/2022,$6.02,"3,505",$5.932,$6.02,$5.9
LNSR,02/01/2022,$6.045,"2,795",$5.9,$6.1,$5.88
LNSR,01/31/2022,$5.975,"6,467",$5.92,$6.03,$5.915
LNSR,01/28/2022,$6.02,"2,755",$6.1825,$6.29,$6.0027
LNSR,01/27/2022,$6.02,"12,594",$5.87,$6.07,$5.5015
LNSR,01/26/2022,$5.87,"2,282",$5.9,$6.09,$5.86
LNSR,01/25/2022,$5.85,"3,613",$6.0899,$6.0899,$5.85
LNSR,01/24/2022,$6.02,"11,937",$5.98,$6.04,$5.66
LNSR,01/21/2022,$6.06,"3,279",$6,$6.22,$5.9
LNSR,01/20/2022,$5.9303,"4,847",$5.815,$5.9735,$5.57
LNSR,01/19/2022,$5.99,"8,960",$5.93,$5.99,$5.8
LNSR,01/18/2022,$5.97,"48,490",$5.9,$6.5,$5.9
LNSR,01/14/2022,$6.01,"10,425",$5.95,$6.15,$5.91
LNSR,01/13/2022,$6.13,"4,606",$6.03,$6.26,$6
LNSR,01/12/2022,$6.07,"2,224",$6.18,$6.31,$6.07
LNSR,01/11/2022,$6.04,"4,324",$5.9224,$6.04,$5.9224
LNSR,01/10/2022,$5.93,"8,384",$5.95,$5.95,$5.91
LNSR,01/07/2022,$6.03,"2,957",$6.05,$6.14,$5.95
LNSR,01/06/2022,$5.95,"6,791",$5.96,$6.2086,$5.91
LNSR,01/05/2022,$6,"9,177",$6.103,$6.22,$5.9
LNSR,01/04/2022,$6.13,977,$6.33,$6.33,$6.13
LNSR,01/03/2022,$6.1,"3,748",$6.17,$6.19,$6.01
LNSR,12/31/2021,$5.99,"16,335",$6.09,$6.21,$5.94
LNSR,12/30/2021,$6.07,"9,447",$5.92,$6.15,$5.8909
LNSR,12/29/2021,$5.99,"9,745",$5.95,$6.08,$5.9
LNSR,12/28/2021,$5.95,"9,716",$5.91,$6,$5.895
LNSR,12/27/2021,$6,"13,388",$5.98,$6.0946,$5.91
LNSR,12/23/2021,$6,"9,457",$5.9,$6.0283,$5.9
LNSR,12/22/2021,$5.9,"8,717",$6.06,$6.12,$5.9
LNSR,12/21/2021,$6.01,"59,441",$6.185,$6.28,$5.82
LNSR,12/20/2021,$6.02,"15,777",$6.08,$6.29,$6.0001
LNSR,12/17/2021,$6.1,"21,958",$6.04,$6.1197,$5.91
LNSR,12/16/2021,$6.08,"5,046",$6.185,$6.33,$6.04
LNSR,12/15/2021,$5.98,"11,135",$6,$6.2712,$5.98
LNSR,12/14/2021,$6.01,"32,488",$6.06,$6.22,$6.01
LNSR,12/13/2021,$6.27,"18,386",$6.87,$6.87,$6.26
LNSR,12/10/2021,$6.79,"7,460",$6.77,$6.94,$6.56
LNSR,12/09/2021,$6.6,"16,091",$7.07,$7.07,$6.59
LNSR,12/08/2021,$6.92,"4,702",$7.083,$7.096,$6.899
LNSR,12/07/2021,$6.95,"10,591",$6.98,$7.1,$6.8339
LNSR,12/06/2021,$7.08,"9,943",$6.94,$7.09,$6.9
LNSR,12/03/2021,$7,"11,249",$6.9,$7,$6.83
LNSR,12/02/2021,$6.8,"17,329",$6.5,$6.8,$6.5
LNSR,12/01/2021,$6.71,"8,102",$6.72,$6.89,$6.71
LNSR,11/30/2021,$6.82,"7,433",$6.9341,$6.9341,$6.8181
LNSR,11/29/2021,$6.92,"2,396",$7.097,$7.097,$6.92
LNSR,11/26/2021,$7.015,898,$7.015,$7.015,$7.015
LNSR,11/24/2021,$7.12,"6,207",$7.03,$7.27,$6.94
LNSR,11/23/2021,$7.03,"4,948",$7.19,$7.19,$7
LNSR,11/22/2021,$7.25,"29,103",$7.25,$7.27,$7
LNSR,11/19/2021,$7.1,"9,982",$7.22,$7.22,$7.05
LNSR,11/18/2021,$7.11,"3,971",$7.22,$7.3299,$7.11
LNSR,11/17/2021,$7.31,"7,262",$7.29,$7.38,$7.1384
LNSR,11/16/2021,$7.25,"4,550",$7.2,$7.32,$7.12
LNSR,11/15/2021,$7.265,"3,484",$7.18,$7.37,$7.18
LNSR,11/12/2021,$7.34,"8,190",$7.44,$7.44,$7.21
LNSR,11/11/2021,$7.295,"5,720",$7.36,$7.4,$7.228
LNSR,11/10/2021,$7.35,"3,424",$7.28,$7.35,$7.25
