ticker,date,close,volume,open,high,low
MDXH,02/10/2022,$8.1,"2,891",$8.05,$8.155,$8
MDXH,02/09/2022,$8,"15,299",$8.2,$8.22,$7.3
MDXH,02/08/2022,$7.855,"10,916",$8.19,$8.435,$7.51
MDXH,02/07/2022,$8.5,"7,408",$8.54,$8.54,$8.28
MDXH,02/04/2022,$8.325,"3,626",$8.66,$8.66,$8.251
MDXH,02/03/2022,$8.25,"2,983",$8.47,$8.5,$8.25
MDXH,02/02/2022,$8.375,"9,158",$8.48,$8.775,$8.35
MDXH,02/01/2022,$8.4,"11,439",$9,$9.14,$8.26
MDXH,01/31/2022,$8.46,"6,187",$8.93,$8.93,$8.26
MDXH,01/28/2022,$8.91,"1,204",$8.73,$9.005,$8.73
MDXH,01/27/2022,$8.651,"1,768",$9.15,$9.16,$8.65
MDXH,01/26/2022,$9.4,"2,124",$9.34,$9.4,$9.0428
MDXH,01/25/2022,$9.25,"2,202",$9.24,$9.25,$9.24
MDXH,01/24/2022,$8.951,"2,311",$9.15,$9.15,$8.91
MDXH,01/21/2022,$9.4,"1,195",$9.5,$9.5,$9.4
MDXH,01/20/2022,$9.501,"1,302",$9.5001,$9.645,$9.5001
MDXH,01/19/2022,$9.55,"2,624",$9.6,$9.6,$9.5
MDXH,01/18/2022,$9.7006,"4,244",$9.86,$9.86,$9.61
MDXH,01/14/2022,$9.83,963,$9.905,$9.905,$9.83
MDXH,01/13/2022,$9.61,"2,104",$10.23,$10.23,$9.61
MDXH,01/12/2022,$10.27,"4,457",$9.75,$10.3,$9.72
MDXH,01/11/2022,$9.5,"1,015",$10.09,$10.09,$9.45
MDXH,01/10/2022,$9.53,"5,900",$10,$10,$9.475
MDXH,01/07/2022,$9.73,"6,287",$9.8082,$9.92,$9.4871
MDXH,01/06/2022,$9.81,"1,522",$9.94,$9.95,$9.63
MDXH,01/05/2022,$9.71,"2,631",$9.77,$9.85,$9.71
MDXH,01/04/2022,$9.6,"2,927",$9.98,$10,$9.6
MDXH,01/03/2022,$9.72,"3,341",$9.52,$10.11,$9.52
MDXH,12/31/2021,$9.52,"2,217",$9.52,$9.86,$9.52
MDXH,12/30/2021,$9.55,"5,087",$10.28,$10.28,$9.451
MDXH,12/29/2021,$9.88,"9,527",$9.61,$9.88,$9.4091
MDXH,12/28/2021,$9.43,"21,846",$9,$9.9399,$9
MDXH,12/27/2021,$8.945,"4,597",$9.12,$9.275,$8.7096
MDXH,12/23/2021,$9.04,"10,386",$9.14,$9.3999,$9.04
MDXH,12/22/2021,$9.14,"6,562",$9.2,$9.3991,$9.101
MDXH,12/21/2021,$9.47,"4,859",$9.01,$9.79,$9.001
MDXH,12/20/2021,$9,"7,870",$9.39,$9.99,$9
MDXH,12/17/2021,$9.26,"5,186",$10,$10,$9.03
MDXH,12/16/2021,$9.1,"40,361",$8.85,$9.7276,$8.66
MDXH,12/15/2021,$8.78,"4,839",$8.65,$9,$8.65
MDXH,12/14/2021,$8.8,"6,844",$8.87,$9.15,$8.63
MDXH,12/13/2021,$8.6,"23,027",$8.69,$9.19,$8.6
MDXH,12/10/2021,$8.45,"21,932",$8.9,$9.075,$8.33
MDXH,12/09/2021,$8.9,"13,425",$8.391,$9.35,$8.3
MDXH,12/08/2021,$9.05,"11,321",$9.515,$9.515,$8.8
MDXH,12/07/2021,$9.13,"62,433",$9.6,$9.72,$9
MDXH,12/06/2021,$9,"92,699",$9.28,$9.38,$8.81
MDXH,12/03/2021,$9.16,"110,009",$9.27,$9.8,$9
MDXH,12/02/2021,$9.19,"101,158",$9.8,$9.84,$9.19
MDXH,12/01/2021,$9.34,"141,828",$9.13,$9.63,$9.1277
MDXH,11/30/2021,$9.08,"90,714",$10.2,$10.2,$8.89
MDXH,11/29/2021,$9.23,"126,912",$10,$10.2356,$9.23
MDXH,11/26/2021,$9.0361,"14,158",$9.85,$9.9,$8.79
MDXH,11/24/2021,$9.15,"28,861",$10.01,$10.01,$9.15
MDXH,11/23/2021,$10.1,"6,002",$10.21,$10.21,$9.8277
MDXH,11/22/2021,$10.4,"6,125",$9.7,$10.6224,$9.46
MDXH,11/19/2021,$10.05,"7,948",$10.32,$10.3562,$9.97
MDXH,11/18/2021,$10.375,"75,240",$10.64,$10.725,$10.25
MDXH,11/17/2021,$11,"125,131",$10.92,$11.19,$10.51
MDXH,11/16/2021,$11.26,"12,767",$11.86,$11.86,$11.065
MDXH,11/15/2021,$11.15,"25,049",$11,$11.39,$11
MDXH,11/12/2021,$11.02,"15,193",$11.088,$11.25,$10.95
MDXH,11/11/2021,$11.01,"56,751",$11.165,$11.4,$10.93
MDXH,11/10/2021,$11.26,"2,338",$11.39,$11.39,$11.05
MDXH,11/09/2021,$11.23,"50,821",$11.75,$11.75,$11.0756
MDXH,11/08/2021,$11.86,"41,779",$12,$12,$11.81
MDXH,11/05/2021,$12,"93,970",$12.03,$12.2737,$11.995
MDXH,11/04/2021,$12,"869,816",$12.15,$13.17,$11.91
