ticker,date,close,volume,open,high,low
MMSI,02/10/2022,$57.99,"231,804",$58.16,$59.25,$57.66
MMSI,02/09/2022,$59.26,"331,642",$59.12,$59.59,$58.14
MMSI,02/08/2022,$58.6,"366,559",$55.44,$58.825,$54.85
MMSI,02/07/2022,$55.35,"208,578",$54.78,$56.165,$54.69
MMSI,02/04/2022,$55.01,"121,559",$54.2,$55.43,$53.81
MMSI,02/03/2022,$54.46,"147,869",$55.42,$56.02,$54.19
MMSI,02/02/2022,$55.72,"260,286",$55.69,$56.455,$54.74
MMSI,02/01/2022,$55.82,"184,222",$55.64,$56.145,$54.27
MMSI,01/31/2022,$55.45,"261,509",$53.6,$55.74,$53.26
MMSI,01/28/2022,$53.91,"207,319",$52.86,$53.93,$51.66
MMSI,01/27/2022,$52.65,"282,166",$54.35,$55.955,$52.33
MMSI,01/26/2022,$54.34,"213,574",$55.87,$56.01,$53.52
MMSI,01/25/2022,$55.19,"223,867",$56.58,$57.3511,$54.98
MMSI,01/24/2022,$57.49,"357,376",$54.95,$57.65,$54.33
MMSI,01/21/2022,$55.7,"298,804",$54.82,$56.29,$54.37
MMSI,01/20/2022,$55.17,"135,902",$55.92,$57.48,$55.13
MMSI,01/19/2022,$55.72,"317,576",$56.06,$56.71,$55.565
MMSI,01/18/2022,$55.71,"224,911",$57.14,$57.54,$55.54
MMSI,01/14/2022,$57.81,"158,157",$57.6,$58.38,$57.02
MMSI,01/13/2022,$58.44,"148,623",$59.4,$59.56,$58.07
MMSI,01/12/2022,$59.25,"182,377",$59.23,$59.81,$58.71
MMSI,01/11/2022,$59.08,"206,619",$59.07,$59.8,$57.92
MMSI,01/10/2022,$58.89,"156,219",$58.82,$59.255,$57.92
MMSI,01/07/2022,$59.08,"227,525",$60.16,$60.56,$58.99
MMSI,01/06/2022,$60.56,"191,888",$60.86,$61.69,$60.25
MMSI,01/05/2022,$61.19,"212,647",$63.15,$63.54,$61.19
MMSI,01/04/2022,$63.35,"214,277",$63.89,$64.41,$62.84
MMSI,01/03/2022,$63.82,"334,757",$62.31,$63.875,$61.695
MMSI,12/31/2021,$62.3,"189,796",$64.25,$64.56,$62.26
MMSI,12/30/2021,$63.99,"737,119",$64.41,$65.57,$63.97
MMSI,12/29/2021,$64.08,"898,276",$64.41,$65.68,$63.63
MMSI,12/28/2021,$64.25,"377,109",$64,$65.18,$63.46
MMSI,12/27/2021,$64,"176,090",$64.39,$64.97,$63.7324
MMSI,12/23/2021,$63.73,"129,578",$63.64,$63.96,$62.62
MMSI,12/22/2021,$62.95,"201,887",$61.12,$63.035,$61.04
MMSI,12/21/2021,$60.91,"367,276",$60.31,$61.3,$59.53
MMSI,12/20/2021,$59.58,"376,121",$60.85,$62.46,$58.12
MMSI,12/17/2021,$61.55,"1,690,917",$60.12,$62.29,$60.05
MMSI,12/16/2021,$60.65,"211,569",$62.57,$63.06,$60.38
MMSI,12/15/2021,$62.09,"428,603",$61.4,$62.18,$60.72
MMSI,12/14/2021,$61.4,"205,671",$63,$63.585,$61.3
MMSI,12/13/2021,$63.3,"393,491",$63.06,$63.9,$62.8
MMSI,12/10/2021,$63.36,"210,229",$64.82,$65.16,$63.27
MMSI,12/09/2021,$64.29,"197,881",$65.75,$66.755,$64.16
MMSI,12/08/2021,$66.23,"260,913",$66.68,$67.2,$65.155
MMSI,12/07/2021,$66.57,"210,078",$66.02,$67.86,$65.71
MMSI,12/06/2021,$65.55,"293,916",$64.05,$65.875,$62.18
MMSI,12/03/2021,$63.32,"411,053",$62.98,$63.91,$61.44
MMSI,12/02/2021,$62.77,"454,433",$61.97,$63.44,$61.62
MMSI,12/01/2021,$61.6,"273,730",$63.34,$64.2,$61.58
MMSI,11/30/2021,$62.86,"311,871",$64.19,$64.895,$62.02
MMSI,11/29/2021,$64.51,"216,197",$66.2,$66.83,$64.38
MMSI,11/26/2021,$66.11,"239,861",$67.55,$68.81,$65.98
MMSI,11/24/2021,$68.5,"106,435",$68.21,$68.59,$67.84
MMSI,11/23/2021,$68.47,"285,977",$68.36,$68.86,$67.85
MMSI,11/22/2021,$68.6,"234,704",$69.62,$69.62,$68.53
MMSI,11/19/2021,$69.27,"209,132",$67.96,$69.39,$67.91
MMSI,11/18/2021,$68.11,"271,051",$68.02,$69.02,$67.61
MMSI,11/17/2021,$67.77,"181,086",$69.02,$69.23,$67.69
MMSI,11/16/2021,$69.12,"242,495",$67.87,$69.29,$67.87
MMSI,11/15/2021,$68,"208,250",$68.02,$68.24,$67.32
MMSI,11/12/2021,$67.83,"172,207",$68.37,$68.8,$67.62
MMSI,11/11/2021,$67.95,"110,720",$68.15,$68.52,$67.035
MMSI,11/10/2021,$67.92,"119,109",$67.16,$68.7975,$67.05
MMSI,11/09/2021,$67.92,"155,537",$69.38,$70.08,$67.82
MMSI,11/08/2021,$69.69,"235,578",$69.46,$70.09,$67.1
MMSI,11/05/2021,$69.46,"310,550",$68.05,$70.25,$68.05
MMSI,11/04/2021,$68.2,"284,588",$67.27,$68.31,$67
MMSI,11/03/2021,$67.44,"278,779",$64.9,$67.52,$64.9
MMSI,11/02/2021,$65,"388,405",$65.18,$65.68,$64.21
MMSI,11/01/2021,$65.05,"562,143",$67.37,$67.69,$65
MMSI,10/29/2021,$67.26,"477,954",$67.21,$68.42,$66.35
MMSI,10/28/2021,$67.7,"296,411",$68.4,$68.96,$67.48
MMSI,10/27/2021,$68.48,"225,494",$68.87,$69.41,$67.87
MMSI,10/26/2021,$69.06,"406,931",$68.5,$69.76,$68.14
MMSI,10/25/2021,$68.21,"448,427",$72.17,$72.64,$68.075
MMSI,10/22/2021,$72.3,"188,192",$71.04,$72.42,$70.23
MMSI,10/21/2021,$70.79,"191,858",$70.11,$71.03,$70.015
MMSI,10/20/2021,$70.29,"235,030",$69.83,$70.64,$69.105
MMSI,10/19/2021,$69.86,"237,748",$69.79,$71.06,$69.77
MMSI,10/18/2021,$69.21,"414,166",$69.13,$70.48,$68.355
MMSI,10/15/2021,$69.59,"393,347",$71.94,$72.515,$69.42
MMSI,10/14/2021,$71.09,"1,134,822",$73.04,$73.24,$70.96
MMSI,10/13/2021,$72.33,"123,918",$72.11,$72.59,$71.53
MMSI,10/12/2021,$72.05,"206,335",$71.89,$72.5,$71.635
MMSI,10/11/2021,$71.73,"208,296",$72.35,$72.8,$71.2
MMSI,10/08/2021,$72.52,"108,722",$72.72,$73.1108,$71.7667
MMSI,10/07/2021,$72.61,"235,850",$72.32,$73.44,$72.26
MMSI,10/06/2021,$72.02,"158,150",$71.63,$72.32,$70.89
MMSI,10/05/2021,$72.03,"228,841",$70.65,$72.21,$70.44
MMSI,10/04/2021,$70.5,"308,064",$72.52,$72.79,$70.355
MMSI,10/01/2021,$72.52,"252,543",$71.95,$73.13,$70.82
MMSI,09/30/2021,$71.8,"267,046",$72.34,$73.29,$71.71
MMSI,09/29/2021,$72.11,"143,510",$71.92,$73.1101,$71.57
MMSI,09/28/2021,$71.83,"178,863",$72.17,$72.855,$71.01
MMSI,09/27/2021,$72.63,"139,174",$72.31,$72.97,$71.26
MMSI,09/24/2021,$72.26,"188,106",$72.81,$73.3345,$72.23
MMSI,09/23/2021,$73.13,"202,079",$72.17,$73.81,$72.17
MMSI,09/22/2021,$72.13,"171,628",$70.91,$72.48,$69.55
MMSI,09/21/2021,$70.85,"344,949",$72.14,$73.31,$70.76
MMSI,09/20/2021,$71.57,"252,177",$70.47,$71.71,$69.8
MMSI,09/17/2021,$71.65,"525,149",$72.65,$72.65,$71.085
MMSI,09/16/2021,$72.03,"167,058",$72.65,$72.8,$71.96
MMSI,09/15/2021,$72.39,"317,584",$71.65,$72.51,$71.31
MMSI,09/14/2021,$71.55,"209,701",$72,$72.5,$70.625
MMSI,09/13/2021,$71.61,"149,713",$72.06,$72.29,$70.2727
MMSI,09/10/2021,$71.7,"213,942",$72.3,$72.49,$71.28
MMSI,09/09/2021,$71.89,"199,806",$72.16,$72.79,$71.68
MMSI,09/08/2021,$72.23,"198,882",$70.86,$72.51,$69.95
MMSI,09/07/2021,$71.55,"233,377",$72.76,$72.76,$69.31
MMSI,09/03/2021,$72.99,"148,796",$72.84,$73.6,$72.6
MMSI,09/02/2021,$73.23,"183,680",$72.65,$73.85,$72.65
MMSI,09/01/2021,$72.12,"179,808",$71.78,$72.51,$71.08
MMSI,08/31/2021,$71.77,"186,620",$71.34,$71.99,$71.1
MMSI,08/30/2021,$71.51,"171,831",$71.98,$72.38,$71.38
MMSI,08/27/2021,$71.67,"319,007",$69.06,$71.71,$68.43
MMSI,08/26/2021,$68.68,"181,523",$69.34,$69.8,$68.68
MMSI,08/25/2021,$69.45,"156,905",$70.32,$70.62,$68.93
MMSI,08/24/2021,$70.64,"165,863",$70.03,$70.9,$69.96
MMSI,08/23/2021,$70.18,"219,959",$69.35,$70.61,$69.1397
MMSI,08/20/2021,$69.22,"250,195",$68.38,$70.2425,$68.25
MMSI,08/19/2021,$68.33,"273,968",$66.9,$69.06,$66.13
MMSI,08/18/2021,$67.04,"169,725",$67.04,$67.85,$65.66
MMSI,08/17/2021,$66.81,"202,866",$66.17,$67,$65.595
MMSI,08/16/2021,$66.55,"196,107",$65.59,$66.64,$65.16
MMSI,08/13/2021,$66,"198,657",$66.2,$66.77,$65.62
MMSI,08/12/2021,$66.27,"165,892",$65.77,$67.58,$65.5175
MMSI,08/11/2021,$65.85,"165,847",$66.51,$66.885,$64.84
MMSI,08/10/2021,$66.11,"219,737",$66.86,$67.14,$65.28
MMSI,08/09/2021,$66.55,"131,539",$67.02,$67.93,$66.45
MMSI,08/06/2021,$67.68,"228,412",$67.54,$67.82,$64.7
MMSI,08/05/2021,$66.99,"221,638",$66.06,$67.1,$65.72
MMSI,08/04/2021,$66,"260,335",$67.06,$67.86,$65.95
MMSI,08/03/2021,$67.68,"594,619",$68.25,$68.7403,$66.86
MMSI,08/02/2021,$67.87,"352,116",$70.545,$70.545,$67.45
MMSI,07/30/2021,$70.09,"506,484",$65.63,$70.9,$63.92
MMSI,07/29/2021,$64.92,"314,409",$65.1,$66.78,$64.82
MMSI,07/28/2021,$65.11,"225,345",$64.66,$65.96,$64.46
MMSI,07/27/2021,$64.53,"249,929",$63.92,$64.53,$63.36
MMSI,07/26/2021,$63.96,"137,962",$64.57,$64.68,$63.64
MMSI,07/23/2021,$64.23,"196,726",$64.11,$64.99,$64.11
MMSI,07/22/2021,$64,"206,458",$63.19,$64.19,$62.71
MMSI,07/21/2021,$63.29,"330,746",$61.12,$63.38,$60.74
MMSI,07/20/2021,$60.72,"291,423",$59.9,$61.67,$59.74
MMSI,07/19/2021,$59.6,"239,257",$59.2,$60.45,$58.865
MMSI,07/16/2021,$59.95,"166,933",$60.32,$60.77,$59.8829
MMSI,07/15/2021,$59.97,"239,068",$60.33,$61.385,$59.57
MMSI,07/14/2021,$60.75,"206,708",$63.05,$63.05,$60.685
MMSI,07/13/2021,$62.67,"181,051",$63.53,$63.97,$62.42
MMSI,07/12/2021,$63.58,"134,302",$63.24,$63.82,$62.75
MMSI,07/09/2021,$63.4,"183,609",$64.02,$64.41,$63.225
MMSI,07/08/2021,$63.68,"151,773",$62.685,$63.83,$62.01
MMSI,07/07/2021,$63.55,"195,644",$63.74,$64.24,$62.55
MMSI,07/06/2021,$63.68,"195,493",$64.23,$64.23,$62.52
MMSI,07/02/2021,$64.02,"209,080",$64.57,$64.8,$63.39
MMSI,07/01/2021,$64.55,"208,400",$64.67,$65.18,$64.06
MMSI,06/30/2021,$64.66,"342,314",$64.509,$65.13,$63.745
MMSI,06/29/2021,$64.52,"164,141",$64.41,$64.8899,$63.89
MMSI,06/28/2021,$64.25,"293,034",$64.38,$64.95,$63.51
MMSI,06/25/2021,$64.45,"1,509,838",$63.62,$64.9,$62.67
MMSI,06/24/2021,$63.36,"306,545",$62.76,$63.59,$62.36
MMSI,06/23/2021,$62.42,"350,358",$62.07,$63.09,$62.025
MMSI,06/22/2021,$62.25,"323,702",$62.37,$62.45,$61.07
MMSI,06/21/2021,$61.58,"386,783",$60.48,$62.15,$59.6201
MMSI,06/18/2021,$60.24,"301,016",$60.93,$61.58,$60.07
MMSI,06/17/2021,$61.77,"165,782",$61.65,$62.755,$61.64
MMSI,06/16/2021,$61.7,"105,793",$62.07,$62.35,$61.29
MMSI,06/15/2021,$61.99,"180,651",$61.6,$62.01,$61.21
MMSI,06/14/2021,$61.53,"142,961",$61.9,$62.0994,$61.33
MMSI,06/11/2021,$62,"111,303",$61.47,$62.11,$61.21
MMSI,06/10/2021,$61.39,"113,842",$60.79,$61.71,$60.75
MMSI,06/09/2021,$60.75,"114,810",$60.91,$61.25,$60.51
MMSI,06/08/2021,$60.58,"145,420",$60.46,$60.875,$59.49
MMSI,06/07/2021,$60.06,"184,459",$60.31,$61.27,$60.01
MMSI,06/04/2021,$60.39,"143,367",$60.1,$61.225,$59.4835
MMSI,06/03/2021,$59.78,"204,696",$59.82,$60.05,$58.55
MMSI,06/02/2021,$59.64,"391,128",$61.87,$61.87,$59.22
MMSI,06/01/2021,$61.67,"347,111",$60.51,$62.14,$59.86
MMSI,05/28/2021,$60.34,"241,372",$61.32,$61.84,$60.27
MMSI,05/27/2021,$60.83,"192,365",$61.75,$61.84,$60.58
MMSI,05/26/2021,$61.46,"248,290",$63.04,$63.04,$61.28
MMSI,05/25/2021,$63.19,"289,546",$63.28,$63.89,$62.65
MMSI,05/24/2021,$63.2,"250,313",$61.85,$63.43,$61.85
MMSI,05/21/2021,$62.03,"407,157",$61.64,$62.22,$60.7101
MMSI,05/20/2021,$61.02,"108,367",$60.54,$61.43,$60.47
MMSI,05/19/2021,$60.77,"139,374",$60.65,$60.99,$59.62
MMSI,05/18/2021,$60.52,"232,706",$59.5,$61.45,$59.45
MMSI,05/17/2021,$59.38,"394,856",$59.7,$60.055,$58.29
MMSI,05/14/2021,$59.69,"509,293",$60.27,$61.09,$59.43
MMSI,05/13/2021,$59.68,"365,049",$59.34,$60.8499,$59.06
MMSI,05/12/2021,$59.1,"214,979",$61.43,$61.585,$59.01
MMSI,05/11/2021,$61.79,"171,354",$61.51,$63.47,$61
MMSI,05/10/2021,$62.99,"234,312",$64.41,$64.9,$62.51
MMSI,05/07/2021,$64.63,"128,249",$64.76,$65.46,$64.05
MMSI,05/06/2021,$64.86,"221,450",$63.84,$64.96,$63.18
MMSI,05/05/2021,$63.64,"175,554",$65.03,$65.03,$63.53
MMSI,05/04/2021,$64.62,"296,470",$64.19,$64.66,$63.27
MMSI,05/03/2021,$64.32,"279,568",$63.72,$64.43,$63.26
MMSI,04/30/2021,$63.6,"373,334",$62.69,$64.96,$61.5604
MMSI,04/29/2021,$63.31,"238,552",$64.02,$65.16,$62.79
MMSI,04/28/2021,$63.74,"221,534",$63.39,$64.06,$61.62
MMSI,04/27/2021,$63.39,"155,726",$63.92,$64.24,$62.25
MMSI,04/26/2021,$63.55,"237,895",$64.24,$64.49,$63.19
MMSI,04/23/2021,$64.02,"228,020",$62.77,$64.16,$62.77
MMSI,04/22/2021,$62.17,"259,230",$62.61,$63.51,$61.93
MMSI,04/21/2021,$63.15,"240,781",$61.29,$63.25,$60.93
MMSI,04/20/2021,$60.95,"237,626",$61.01,$61.65,$60.25
MMSI,04/19/2021,$60.96,"163,794",$61.3,$61.38,$60.26
MMSI,04/16/2021,$61.78,"173,186",$61.94,$61.94,$60.85
MMSI,04/15/2021,$61.36,"222,115",$61.97,$62.3172,$60.911
MMSI,04/14/2021,$61.4,"184,933",$60.93,$62,$60.93
MMSI,04/13/2021,$60.95,"234,260",$61,$61.665,$60.22
MMSI,04/12/2021,$60.69,"199,410",$61.8,$61.8,$60.55
MMSI,04/09/2021,$61.5,"214,557",$60.58,$61.74,$60.34
MMSI,04/08/2021,$60.56,"176,902",$60.56,$60.89,$59.95
MMSI,04/07/2021,$60.07,"253,872",$60.42,$60.59,$59.79
MMSI,04/06/2021,$60.49,"183,933",$60.15,$60.86,$59.92
MMSI,04/05/2021,$59.96,"260,819",$60.36,$60.6966,$59.11
MMSI,04/01/2021,$59.78,"275,692",$59.94,$60.31,$58.85
MMSI,03/31/2021,$59.88,"828,513",$60,$61.74,$58.58
MMSI,03/30/2021,$59.56,"433,283",$58.13,$59.62,$57.93
MMSI,03/29/2021,$57.18,"330,634",$56.3,$57.85,$55.34
MMSI,03/26/2021,$56.92,"279,804",$55.24,$57.17,$55.1
MMSI,03/25/2021,$55.24,"344,721",$54.55,$55.8113,$53.79
MMSI,03/24/2021,$54.81,"352,865",$56.5,$57.66,$54.73
MMSI,03/23/2021,$56,"302,029",$57.1,$57.82,$55.87
MMSI,03/22/2021,$57.19,"194,444",$56.48,$57.87,$56.255
MMSI,03/19/2021,$56.25,"750,682",$56.08,$57.44,$54.75
MMSI,03/18/2021,$57.09,"398,454",$59.77,$60.615,$56.8
MMSI,03/17/2021,$60.34,"296,078",$59.97,$60.85,$58.81
MMSI,03/16/2021,$60.66,"254,201",$59.39,$60.79,$59.14
MMSI,03/15/2021,$60.15,"252,515",$59.22,$60.25,$58.17
MMSI,03/12/2021,$59.595,"358,544",$59.53,$60,$57.7
MMSI,03/11/2021,$59.7,"261,083",$59.56,$60.39,$58.38
MMSI,03/10/2021,$59.14,"241,663",$59.12,$59.71,$58.47
MMSI,03/09/2021,$58.35,"320,361",$57.02,$58.73,$54.9281
MMSI,03/08/2021,$56.21,"236,777",$55.28,$56.5022,$53.5401
MMSI,03/05/2021,$55.04,"241,128",$53.12,$55.26,$52.43
MMSI,03/04/2021,$52.56,"285,051",$54.65,$55.28,$52.54
MMSI,03/03/2021,$54.81,"364,089",$55.15,$55.41,$54.18
MMSI,03/02/2021,$55.26,"318,351",$55.23,$55.55,$53.83
MMSI,03/01/2021,$55.62,"243,710",$56.37,$56.67,$55.45
MMSI,02/26/2021,$55.72,"409,205",$55.34,$56.1,$54.29
MMSI,02/25/2021,$54.85,"331,792",$57.26,$58.265,$53.99
