ticker,date,close,volume,open,high,low
MTCR,02/10/2022,$0.467,"2,404,616",$0.4853,$0.5188,$0.465
MTCR,02/09/2022,$0.4999,"1,988,646",$0.5093,$0.528,$0.4801
MTCR,02/08/2022,$0.5055,"713,137",$0.501,$0.52,$0.5
MTCR,02/07/2022,$0.5159,"955,584",$0.49,$0.5199,$0.49
MTCR,02/04/2022,$0.503,"1,314,126",$0.4867,$0.5233,$0.4795
MTCR,02/03/2022,$0.4766,"1,673,844",$0.51,$0.525,$0.466
MTCR,02/02/2022,$0.5192,"2,333,764",$0.578,$0.58,$0.5091
MTCR,02/01/2022,$0.5748,"6,027,228",$0.56,$0.61,$0.536
MTCR,01/31/2022,$0.5503,"3,210,953",$0.5168,$0.57,$0.5031
MTCR,01/28/2022,$0.5184,"861,182",$0.4953,$0.5347,$0.4816
MTCR,01/27/2022,$0.5074,"2,487,703",$0.48,$0.525,$0.4623
MTCR,01/26/2022,$0.4803,"1,341,712",$0.51,$0.5293,$0.4708
MTCR,01/25/2022,$0.4987,"903,331",$0.4706,$0.5099,$0.4706
MTCR,01/24/2022,$0.5103,"2,710,810",$0.47,$0.5174,$0.4352
MTCR,01/21/2022,$0.4919,"2,689,819",$0.541,$0.5488,$0.461
MTCR,01/20/2022,$0.5563,"7,529,560",$0.52,$0.6565,$0.52
MTCR,01/19/2022,$0.5233,"2,701,371",$0.54,$0.559,$0.51
MTCR,01/18/2022,$0.5394,"1,440,879",$0.556,$0.583,$0.5331
MTCR,01/14/2022,$0.5628,"908,085",$0.54,$0.5741,$0.5201
MTCR,01/13/2022,$0.5376,"1,418,963",$0.5624,$0.5688,$0.5276
MTCR,01/12/2022,$0.5506,"1,360,540",$0.5601,$0.58,$0.5459
MTCR,01/11/2022,$0.57,"1,673,989",$0.5232,$0.58,$0.5232
MTCR,01/10/2022,$0.5356,"3,515,904",$0.59,$0.59,$0.5111
MTCR,01/07/2022,$0.5901,"1,067,735",$0.5861,$0.62,$0.5689
MTCR,01/06/2022,$0.593,"1,381,765",$0.6175,$0.632,$0.58
MTCR,01/05/2022,$0.6211,"1,349,503",$0.6711,$0.6799,$0.621
MTCR,01/04/2022,$0.6859,"2,935,255",$0.71,$0.71,$0.64
MTCR,01/03/2022,$0.7,"1,849,690",$0.6774,$0.71,$0.6521
MTCR,12/31/2021,$0.6742,"5,543,856",$0.6344,$0.745,$0.6344
MTCR,12/30/2021,$0.6403,"3,576,998",$0.62,$0.6797,$0.62
MTCR,12/29/2021,$0.635,"5,635,368",$0.63,$0.675,$0.6051
MTCR,12/28/2021,$0.6459,"4,624,359",$0.6551,$0.663,$0.604
MTCR,12/27/2021,$0.663,"20,218,060",$0.8361,$0.8397,$0.6341
MTCR,12/23/2021,$0.8307,"8,214,984",$0.9103,$0.9152,$0.82
MTCR,12/22/2021,$0.9116,"5,876,516",$0.9744,$1.01,$0.9056
MTCR,12/21/2021,$1.01,"6,725,679",$1.01,$1.06,$0.93
MTCR,12/20/2021,$1.04,"33,722,540",$1.36,$1.36,$0.929
MTCR,12/17/2021,$1.36,"12,997,400",$1.61,$1.73,$1.25
MTCR,12/16/2021,$1.65,"10,618,290",$1.43,$1.725,$1.41
MTCR,12/15/2021,$1.46,"9,403,557",$1.23,$1.5,$1.19
MTCR,12/14/2021,$1.23,"2,122,539",$1.33,$1.4,$1.21
MTCR,12/13/2021,$1.35,"435,279",$1.38,$1.428,$1.32
MTCR,12/10/2021,$1.4,"1,902,894",$1.3,$1.43,$1.3
MTCR,12/09/2021,$1.29,"940,195",$1.34,$1.38,$1.285
MTCR,12/08/2021,$1.37,"1,200,317",$1.36,$1.41,$1.35
MTCR,12/07/2021,$1.37,"977,930",$1.35,$1.39,$1.34
MTCR,12/06/2021,$1.35,"1,976,407",$1.23,$1.44,$1.22
MTCR,12/03/2021,$1.26,"914,184",$1.29,$1.325,$1.25
MTCR,12/02/2021,$1.29,"898,677",$1.17,$1.31,$1.17
MTCR,12/01/2021,$1.17,"656,369",$1.32,$1.34,$1.14
MTCR,11/30/2021,$1.32,"1,322,098",$1.27,$1.36,$1.26
MTCR,11/29/2021,$1.28,"1,962,499",$1.31,$1.35,$1.25
MTCR,11/26/2021,$1.31,"389,928",$1.29,$1.37,$1.29
MTCR,11/24/2021,$1.35,"1,346,248",$1.4,$1.42,$1.3
MTCR,11/23/2021,$1.355,"3,069,323",$1.2,$1.45,$1.16
MTCR,11/22/2021,$1.19,"898,331",$1.27,$1.28,$1.16
MTCR,11/19/2021,$1.27,"3,642,827",$1.21,$1.47,$1.19
MTCR,11/18/2021,$1.24,"6,969,497",$1.16,$1.38,$1.11
MTCR,11/17/2021,$1.14,"928,250",$1.19,$1.22,$1.12
MTCR,11/16/2021,$1.21,"649,787",$1.23,$1.24,$1.18
MTCR,11/15/2021,$1.26,"674,498",$1.27,$1.3,$1.21
MTCR,11/12/2021,$1.25,"591,344",$1.27,$1.27,$1.23
MTCR,11/11/2021,$1.25,"1,707,270",$1.2,$1.25,$1.1609
MTCR,11/10/2021,$1.24,"953,522",$1.27,$1.27,$1.24
MTCR,11/09/2021,$1.28,"984,141",$1.31,$1.31,$1.24
MTCR,11/08/2021,$1.32,"708,435",$1.31,$1.3377,$1.29
MTCR,11/05/2021,$1.31,"1,843,635",$1.31,$1.33,$1.26
MTCR,11/04/2021,$1.34,"1,569,446",$1.3877,$1.4,$1.3201
MTCR,11/03/2021,$1.38,"1,232,314",$1.379,$1.4,$1.37
MTCR,11/02/2021,$1.36,"6,082,094",$1.42,$1.4836,$1.33
MTCR,11/01/2021,$1.42,"1,336,054",$1.43,$1.46,$1.41
MTCR,10/29/2021,$1.42,"3,256,007",$1.46,$1.49,$1.41
MTCR,10/28/2021,$1.51,"11,807,000",$1.46,$1.66,$1.43
MTCR,10/27/2021,$1.43,"3,790,290",$1.45,$1.48,$1.41
MTCR,10/26/2021,$1.47,"2,461,359",$1.47,$1.5,$1.38
MTCR,10/25/2021,$1.44,"5,654,767",$1.57,$1.6,$1.41
MTCR,10/22/2021,$1.63,"11,460,230",$1.75,$1.84,$1.61
MTCR,10/21/2021,$3.83,"3,429,153",$3.75,$3.8699,$3.7
MTCR,10/20/2021,$3.71,"183,843",$3.54,$3.8,$3.53
MTCR,10/19/2021,$3.54,"132,535",$3.47,$3.565,$3.4002
MTCR,10/18/2021,$3.48,"155,059",$3.5,$3.58,$3.4085
MTCR,10/15/2021,$3.49,"137,528",$3.55,$3.59,$3.46
MTCR,10/14/2021,$3.54,"212,033",$3.56,$3.63,$3.5
MTCR,10/13/2021,$3.56,"330,580",$3.61,$3.66,$3.47
MTCR,10/12/2021,$3.59,"208,620",$3.48,$3.6298,$3.45
MTCR,10/11/2021,$3.52,"187,279",$3.63,$3.67,$3.43
MTCR,10/08/2021,$3.6,"118,207",$3.62,$3.7,$3.59
MTCR,10/07/2021,$3.63,"156,628",$3.6,$3.64,$3.52
