ticker,date,close,volume,open,high,low
MYMD,02/10/2022,$4.3,"105,712",$4.33,$4.69,$4.09
MYMD,02/09/2022,$4.39,"103,688",$4.16,$4.4,$4.06
MYMD,02/08/2022,$4.07,"147,977",$4.3,$4.35,$4
MYMD,02/07/2022,$4.29,"66,383",$4.43,$4.5,$4.19
MYMD,02/04/2022,$4.36,"60,758",$4.08,$4.36,$4.055
MYMD,02/03/2022,$4.07,"57,147",$4.24,$4.4977,$4.05
MYMD,02/02/2022,$4.3,"59,884",$4.61,$4.6999,$4.3
MYMD,02/01/2022,$4.61,"112,393",$4.5,$4.61,$4.31
MYMD,01/31/2022,$4.38,"97,004",$4.03,$4.38,$4.03
MYMD,01/28/2022,$3.96,"106,924",$4.13,$4.325,$3.86
MYMD,01/27/2022,$4.07,"196,385",$4.32,$4.39,$3.95
MYMD,01/26/2022,$3.98,"54,453",$4.17,$4.23,$3.95
MYMD,01/25/2022,$4.01,"67,065",$4.01,$4.16,$3.93
MYMD,01/24/2022,$4.15,"83,183",$3.86,$4.17,$3.79
MYMD,01/21/2022,$4.01,"141,067",$4.02,$4.1834,$3.9
MYMD,01/20/2022,$4.07,"109,847",$4.22,$4.4725,$4.07
MYMD,01/19/2022,$4.39,"54,896",$4.5,$4.55,$4.37
MYMD,01/18/2022,$4.48,"118,553",$4.9,$5.1,$4.43
MYMD,01/14/2022,$4.86,"96,628",$4.59,$4.98,$4.59
MYMD,01/13/2022,$4.72,"134,933",$5,$5.05,$4.57
MYMD,01/12/2022,$5.03,"65,410",$5.25,$5.2918,$5
MYMD,01/11/2022,$5.17,"90,945",$4.99,$5.26,$4.9
MYMD,01/10/2022,$5.05,"72,651",$5,$5.1,$4.85
MYMD,01/07/2022,$5.11,"30,245",$5.22,$5.298,$5.05
MYMD,01/06/2022,$5.2,"54,259",$5.33,$5.5,$5.2
MYMD,01/05/2022,$5.4,"92,132",$5.7,$5.8,$5.4
MYMD,01/04/2022,$5.7,"71,250",$6.01,$6.05,$5.5308
MYMD,01/03/2022,$6.05,"41,339",$6.12,$6.2,$5.83
MYMD,12/31/2021,$6.06,"440,166",$5.42,$6.35,$5.42
MYMD,12/30/2021,$5.46,"153,715",$5.46,$5.93,$5.37
MYMD,12/29/2021,$5.49,"198,498",$5.6,$5.79,$5.25
MYMD,12/28/2021,$5.48,"145,703",$5.86,$5.99,$5.45
MYMD,12/27/2021,$5.7,"262,114",$6.57,$6.79,$5.5001
MYMD,12/23/2021,$6.76,"38,210",$6.52,$6.7929,$6.45
MYMD,12/22/2021,$6.6,"43,273",$6.4,$6.72,$6.4
MYMD,12/21/2021,$6.43,"86,142",$6.4,$6.74,$6.01
MYMD,12/20/2021,$6.34,"40,409",$6.33,$6.6384,$6.2501
MYMD,12/17/2021,$6.45,"64,170",$6.42,$6.86,$6.3185
MYMD,12/16/2021,$6.41,"77,471",$6.57,$6.98,$6.28
MYMD,12/15/2021,$6.54,"75,314",$6.34,$6.67,$6.25
MYMD,12/14/2021,$6.38,"64,572",$6.8,$6.95,$6.33
MYMD,12/13/2021,$6.8,"61,694",$6.98,$7,$6.54
MYMD,12/10/2021,$7.07,"71,242",$6.89,$7.225,$6.89
MYMD,12/09/2021,$6.86,"51,430",$6.99,$7.19,$6.7925
MYMD,12/08/2021,$7.03,"72,793",$7.01,$7.45,$6.9753
MYMD,12/07/2021,$6.96,"100,022",$6.41,$7.21,$6.41
MYMD,12/06/2021,$6.36,"118,028",$6.64,$6.74,$6.26
MYMD,12/03/2021,$6.73,"83,878",$7.13,$7.45,$6.63
MYMD,12/02/2021,$7.02,"122,116",$7.46,$7.725,$6.95
MYMD,12/01/2021,$7.55,"136,567",$7.69,$8.16,$7.54
MYMD,11/30/2021,$7.66,"126,130",$7.49,$7.88,$7.33
MYMD,11/29/2021,$7.59,"207,187",$7.73,$8.0681,$7.43
MYMD,11/26/2021,$7.64,"194,394",$7.1,$7.7,$7.07
MYMD,11/24/2021,$7.1,"460,954",$6,$7.2099,$5.86
MYMD,11/23/2021,$6.06,"233,528",$5.94,$6.3,$5.72
MYMD,11/22/2021,$5.95,"263,188",$6.34,$6.37,$5.91
MYMD,11/19/2021,$6.4,"191,098",$6.34,$6.55,$6.34
MYMD,11/18/2021,$6.47,"389,548",$7.02,$7.206,$6.21
MYMD,11/17/2021,$7.17,"284,447",$7.86,$8.0004,$7.17
MYMD,11/16/2021,$7.96,"483,930",$9.12,$9.2483,$7.26
MYMD,11/15/2021,$9.02,"325,577",$9.02,$9.18,$8.64
MYMD,11/12/2021,$9.05,"295,247",$8.5,$9.18,$8.38
MYMD,11/11/2021,$8.53,"111,224",$8.52,$8.77,$8.4282
MYMD,11/10/2021,$8.54,"164,297",$8.76,$9.03,$8.3284
MYMD,11/09/2021,$8.94,"106,260",$8.87,$9.105,$8.66
MYMD,11/08/2021,$8.91,"129,643",$8.62,$9.03,$8.5
MYMD,11/05/2021,$8.63,"297,645",$9.37,$9.45,$8.33
MYMD,11/04/2021,$9.405,"102,406",$9.6,$9.61,$9.25
MYMD,11/03/2021,$9.5,"109,999",$9.6,$9.65,$9.42
MYMD,11/02/2021,$9.59,"139,751",$9.82,$9.95,$9.35
MYMD,11/01/2021,$9.69,"201,571",$9.68,$9.9329,$9.66
MYMD,10/29/2021,$9.58,"353,364",$9.25,$9.65,$9.15
MYMD,10/28/2021,$8.76,"87,171",$8.85,$8.86,$8.5
MYMD,10/27/2021,$8.86,"119,943",$8.6,$9.15,$8.5609
MYMD,10/26/2021,$8.6,"79,927",$8.88,$8.9298,$8.5
MYMD,10/25/2021,$8.93,"112,082",$8.77,$9.0899,$8.695
MYMD,10/22/2021,$8.75,"150,959",$9,$9.14,$8.7
MYMD,10/21/2021,$8.99,"147,747",$8.53,$9.15,$8.5
MYMD,10/20/2021,$8.52,"194,187",$9.03,$9.15,$8.43
MYMD,10/19/2021,$8.94,"485,835",$8.71,$9.14,$8.45
MYMD,10/18/2021,$8.39,"264,704",$8.05,$8.5,$7.95
MYMD,10/15/2021,$7.89,"194,207",$8.23,$8.41,$7.75
MYMD,10/14/2021,$8.09,"633,047",$7.65,$8.75,$7.65
MYMD,10/13/2021,$7.79,"82,043",$7.9663,$7.9663,$7.43
MYMD,10/12/2021,$7.71,"150,921",$7.45,$7.81,$7.42
MYMD,10/11/2021,$7.39,"140,311",$7.01,$7.5,$7.01
MYMD,10/08/2021,$6.95,"45,633",$7.22,$7.25,$6.9
MYMD,10/07/2021,$7.18,"71,169",$7.17,$7.31,$7.15
MYMD,10/06/2021,$7.12,"23,111",$7.11,$7.25,$7.05
MYMD,10/05/2021,$7.25,"130,520",$7.07,$7.39,$6.84
MYMD,10/04/2021,$7.07,"73,182",$7.23,$7.4,$7.06
MYMD,10/01/2021,$7.18,"90,574",$7.17,$7.355,$7.01
MYMD,09/30/2021,$7.2,"332,138",$7.3,$7.44,$7.1
MYMD,09/29/2021,$7.22,"233,145",$7.22,$7.96,$7.2
MYMD,09/28/2021,$7.12,"202,743",$8,$8,$7.11
MYMD,09/27/2021,$7.94,"249,889",$7.75,$8.06,$7.75
MYMD,09/24/2021,$7.72,"215,204",$7.74,$8.2,$7.55
MYMD,09/23/2021,$7.64,"102,092",$7.48,$7.7,$7.18
MYMD,09/22/2021,$7.48,"718,832",$7.67,$8.35,$6.69
MYMD,09/21/2021,$7.64,"107,577",$7.47,$7.66,$7.35
MYMD,09/20/2021,$7.39,"180,813",$7.29,$7.8,$7.26
MYMD,09/17/2021,$7.49,"486,607",$6.79,$7.54,$6.7267
MYMD,09/16/2021,$6.79,"176,171",$6.79,$6.9474,$6.6
MYMD,09/15/2021,$6.79,"114,323",$6.77,$7.05,$6.55
MYMD,09/14/2021,$6.71,"119,469",$7.01,$7.15,$6.7
MYMD,09/13/2021,$7.02,"211,217",$7.86,$7.86,$7
MYMD,09/10/2021,$7.74,"331,751",$7.37,$7.75,$7.3
MYMD,09/09/2021,$7.2,"820,593",$6.95,$7.45,$6.78
MYMD,09/08/2021,$6.95,"113,300",$6.67,$7.07,$6.55
MYMD,09/07/2021,$6.72,"65,312",$6.85,$6.86,$6.565
MYMD,09/03/2021,$6.75,"105,116",$6.57,$6.81,$6.4588
MYMD,09/02/2021,$6.58,"74,473",$6.5,$6.59,$6.33
MYMD,09/01/2021,$6.56,"107,540",$6.5,$6.56,$6.3101
MYMD,08/31/2021,$6.5,"155,471",$6.3,$6.5,$6.21
MYMD,08/30/2021,$6.28,"234,513",$5.93,$6.3,$5.87
MYMD,08/27/2021,$5.95,"181,360",$5.66,$6,$5.59
MYMD,08/26/2021,$5.62,"79,448",$5.64,$5.75,$5.48
MYMD,08/25/2021,$5.61,"100,836",$5.7,$5.86,$5.5696
MYMD,08/24/2021,$5.7,"329,534",$5.6,$5.95,$5.43
MYMD,08/23/2021,$5.65,"175,530",$5.49,$5.7,$5.25
MYMD,08/20/2021,$5.38,"75,701",$5.22,$5.5,$5.14
MYMD,08/19/2021,$5.24,"110,749",$5.4,$5.49,$5
MYMD,08/18/2021,$5.41,"100,515",$5.19,$5.48,$5.1
MYMD,08/17/2021,$5.22,"82,236",$5.36,$5.39,$5.07
MYMD,08/16/2021,$5.39,"244,286",$5.75,$5.75,$5.21
MYMD,08/13/2021,$5.6,"706,605",$5.21,$5.7,$5.052
MYMD,08/12/2021,$5.21,"78,892",$5.2,$5.26,$5.04
MYMD,08/11/2021,$5.2,"238,305",$5.4,$5.46,$4.91
MYMD,08/10/2021,$5.46,"1,594,244",$4.73,$5.59,$4.6901
MYMD,08/09/2021,$4.8,"57,116",$4.55,$4.88,$4.49
MYMD,08/06/2021,$4.64,"223,497",$5.22,$5.22,$4.455
MYMD,08/05/2021,$5.13,"4,138,844",$4.6,$5.7999,$4.208
MYMD,08/04/2021,$4.73,"90,638",$5.11,$5.45,$4.63
MYMD,08/03/2021,$4.78,"55,275",$4.68,$4.97,$4.65
MYMD,08/02/2021,$4.73,"51,824",$4.98,$5.01,$4.66
MYMD,07/30/2021,$4.95,"17,863",$4.95,$5.05,$4.84
MYMD,07/29/2021,$4.92,"52,540",$4.97,$5.09,$4.85
MYMD,07/28/2021,$4.94,"88,978",$4.97,$5.15,$4.55
MYMD,07/27/2021,$4.96,"58,358",$4.76,$5.09,$4.6
MYMD,07/26/2021,$4.79,"72,029",$4.75,$5.14,$4.75
MYMD,07/23/2021,$4.83,"103,400",$5.24,$5.43,$4.78
MYMD,07/22/2021,$5.25,"24,951",$5.34,$5.455,$5.15
MYMD,07/21/2021,$5.32,"79,376",$5.36,$5.65,$5.12
MYMD,07/20/2021,$5.34,"92,785",$5.5,$5.74,$5.34
MYMD,07/19/2021,$5.5,"54,974",$5.34,$5.66,$5.18
MYMD,07/16/2021,$5.52,"46,914",$5.48,$5.69,$5.34
MYMD,07/15/2021,$5.52,"26,280",$5.42,$5.53,$5.35
MYMD,07/14/2021,$5.47,"17,692",$5.6,$5.65,$5.43
MYMD,07/13/2021,$5.59,"28,987",$5.44,$5.606,$5.33
MYMD,07/12/2021,$5.46,"19,418",$5.54,$5.64,$5.38
MYMD,07/09/2021,$5.6,"62,802",$5.68,$5.8199,$5.5201
MYMD,07/08/2021,$5.62,"77,943",$5.28,$5.86,$5.27
MYMD,07/07/2021,$5.39,"110,737",$6.2,$6.3,$5.31
MYMD,07/06/2021,$6.16,"34,458",$6.15,$6.3,$6.1
MYMD,07/02/2021,$6.3,"145,295",$6.45,$6.55,$6.11
MYMD,07/01/2021,$6.45,"363,700",$6.3,$6.54,$6
MYMD,06/30/2021,$6.3,"188,346",$6.06,$6.46,$5.94
MYMD,06/29/2021,$6.15,"66,556",$6.08,$6.15,$5.9401
MYMD,06/28/2021,$6.1,"75,549",$6.03,$6.1365,$5.9401
MYMD,06/25/2021,$6.11,"324,427",$5.89,$6.13,$5.43
MYMD,06/24/2021,$5.91,"126,164",$5.41,$5.99,$5.39
MYMD,06/23/2021,$5.5,"55,320",$5.53,$5.63,$5.29
MYMD,06/22/2021,$5.61,"383,758",$5.7,$5.8,$5.27
MYMD,06/21/2021,$5.76,"373,372",$5.78,$5.9,$5.4
MYMD,06/18/2021,$5.75,"1,090,362",$5.68,$5.85,$5.61
MYMD,06/17/2021,$5.84,"498,871",$5.65,$5.94,$5.5
MYMD,06/16/2021,$5.73,"615,336",$5.18,$5.8,$5.11
MYMD,06/15/2021,$5.33,"338,278",$4.93,$5.39,$4.88
MYMD,06/14/2021,$4.95,"407,773",$4.65,$5.08,$4.5927
MYMD,06/11/2021,$4.58,"64,312",$4.45,$4.59,$4.38
MYMD,06/10/2021,$4.44,"117,816",$4.53,$4.665,$4.31
MYMD,06/09/2021,$4.5,"94,593",$4.64,$4.73,$4.44
MYMD,06/08/2021,$4.56,"49,677",$4.52,$4.62,$4.52
MYMD,06/07/2021,$4.5,"224,829",$4.36,$4.809,$4.36
MYMD,06/04/2021,$4.36,"178,734",$4.14,$4.56,$4.1301
MYMD,06/03/2021,$4.19,"56,228",$4.18,$4.24,$4.07
MYMD,06/02/2021,$4.19,"87,902",$4.18,$4.26,$4
MYMD,06/01/2021,$4.26,"166,843",$4.44,$4.45,$3.85
MYMD,05/28/2021,$4.37,"75,935",$4.51,$4.5624,$4.25
MYMD,05/27/2021,$4.49,"66,007",$4.49,$4.59,$4.27
MYMD,05/26/2021,$4.51,"93,266",$4.38,$4.69,$4.2
MYMD,05/25/2021,$4.5,"54,436",$4.55,$4.56,$4.23
MYMD,05/24/2021,$4.56,"101,723",$4.31,$4.56,$4.21
