ticker,date,close,volume,open,high,low
NBRV,02/10/2022,$0.5146,"379,834",$0.49,$0.53,$0.49
NBRV,02/09/2022,$0.525,"325,661",$0.48,$0.535,$0.48
NBRV,02/08/2022,$0.4967,"287,844",$0.495,$0.52,$0.49
NBRV,02/07/2022,$0.5191,"257,966",$0.48,$0.54,$0.4613
NBRV,02/04/2022,$0.4798,"328,749",$0.4625,$0.4829,$0.45
NBRV,02/03/2022,$0.4479,"376,270",$0.4802,$0.4802,$0.4404
NBRV,02/02/2022,$0.4739,"319,576",$0.48,$0.52,$0.47
NBRV,02/01/2022,$0.511,"603,296",$0.5,$0.54,$0.475
NBRV,01/31/2022,$0.483,"826,300",$0.48,$0.546,$0.45
NBRV,01/28/2022,$0.4503,"454,012",$0.465,$0.49,$0.4304
NBRV,01/27/2022,$0.4428,"432,855",$0.49,$0.5,$0.4303
NBRV,01/26/2022,$0.4899,"282,031",$0.4987,$0.4999,$0.47
NBRV,01/25/2022,$0.49,"280,501",$0.4561,$0.5226,$0.45
NBRV,01/24/2022,$0.4504,"1,349,718",$0.46,$0.4649,$0.4111
NBRV,01/21/2022,$0.4649,"522,600",$0.51,$0.5197,$0.45
NBRV,01/20/2022,$0.5,"333,585",$0.5113,$0.5391,$0.4802
NBRV,01/19/2022,$0.501,"771,771",$0.52,$0.52,$0.48
NBRV,01/18/2022,$0.5095,"611,018",$0.53,$0.55,$0.5032
NBRV,01/14/2022,$0.535,"556,560",$0.53,$0.5675,$0.52
NBRV,01/13/2022,$0.529,"557,560",$0.5675,$0.5749,$0.529
NBRV,01/12/2022,$0.564,"640,400",$0.58,$0.585,$0.5505
NBRV,01/11/2022,$0.5652,"363,283",$0.588,$0.598,$0.564
NBRV,01/10/2022,$0.585,"452,459",$0.579,$0.627,$0.551
NBRV,01/07/2022,$0.5833,"372,556",$0.59,$0.6398,$0.5701
NBRV,01/06/2022,$0.5825,"1,227,078",$0.6,$0.6131,$0.55
NBRV,01/05/2022,$0.5914,"556,355",$0.65,$0.65,$0.575
NBRV,01/04/2022,$0.6325,"627,012",$0.6648,$0.7106,$0.6325
NBRV,01/03/2022,$0.68,"873,507",$0.6,$0.7,$0.59
NBRV,12/31/2021,$0.5989,"1,272,925",$0.5801,$0.6174,$0.58
NBRV,12/30/2021,$0.65,"2,500,750",$0.56,$0.65,$0.5567
NBRV,12/29/2021,$0.5384,"1,568,532",$0.56,$0.5683,$0.519
NBRV,12/28/2021,$0.5645,"1,174,768",$0.5607,$0.585,$0.56
NBRV,12/27/2021,$0.572,"1,219,303",$0.605,$0.61,$0.57
NBRV,12/23/2021,$0.61,"1,611,799",$0.6232,$0.6487,$0.6019
NBRV,12/22/2021,$0.6459,"663,456",$0.6655,$0.6759,$0.62
NBRV,12/21/2021,$0.668,"811,442",$0.6634,$0.69,$0.6579
NBRV,12/20/2021,$0.658,"676,310",$0.65,$0.6851,$0.641
NBRV,12/17/2021,$0.665,"784,284",$0.6131,$0.69,$0.6102
NBRV,12/16/2021,$0.626,"371,400",$0.62,$0.639,$0.6001
NBRV,12/15/2021,$0.6201,"1,089,743",$0.63,$0.63,$0.56
NBRV,12/14/2021,$0.624,"627,416",$0.66,$0.6665,$0.623
NBRV,12/13/2021,$0.666,"592,467",$0.679,$0.69,$0.66
NBRV,12/10/2021,$0.677,"762,957",$0.7,$0.715,$0.6698
NBRV,12/09/2021,$0.6993,"700,234",$0.69,$0.726,$0.6861
NBRV,12/08/2021,$0.7103,"865,781",$0.7197,$0.73,$0.65
NBRV,12/07/2021,$0.7199,"676,803",$0.71,$0.7461,$0.6901
NBRV,12/06/2021,$0.7175,"494,802",$0.7,$0.72,$0.6812
NBRV,12/03/2021,$0.7075,"763,791",$0.74,$0.75,$0.6901
NBRV,12/02/2021,$0.738,"482,529",$0.72,$0.74,$0.7021
NBRV,12/01/2021,$0.71,"851,598",$0.78,$0.814,$0.7012
NBRV,11/30/2021,$0.7789,"1,612,354",$0.83,$0.8432,$0.77
NBRV,11/29/2021,$0.8456,"861,791",$0.85,$0.8742,$0.8168
NBRV,11/26/2021,$0.834,"449,761",$0.82,$0.838,$0.82
NBRV,11/24/2021,$0.8497,"998,528",$0.85,$0.86,$0.81
NBRV,11/23/2021,$0.8499,"707,314",$0.89,$0.89,$0.83
NBRV,11/22/2021,$0.87,"872,371",$0.91,$0.958,$0.86
NBRV,11/19/2021,$0.91,"1,272,249",$0.96,$0.9989,$0.903
NBRV,11/18/2021,$0.9848,"1,062,093",$1.03,$1.04,$0.952
NBRV,11/17/2021,$1.02,"726,172",$1.03,$1.03,$1
NBRV,11/16/2021,$1.03,"577,744",$1.04,$1.05,$1.02
NBRV,11/15/2021,$1.05,"697,016",$1.03,$1.075,$1.02
NBRV,11/12/2021,$1.03,"1,900,663",$1.1,$1.12,$1.03
NBRV,11/11/2021,$1.12,"1,123,992",$1.15,$1.1593,$1.1
NBRV,11/10/2021,$1.16,"1,896,435",$1.21,$1.2299,$1.1
NBRV,11/09/2021,$1.34,"1,536,752",$1.27,$1.35,$1.23
NBRV,11/08/2021,$1.3,"913,526",$1.37,$1.37,$1.27
NBRV,11/05/2021,$1.33,"2,042,109",$1.331,$1.4,$1.3
NBRV,11/04/2021,$1.31,"2,044,249",$1.21,$1.32,$1.18
NBRV,11/03/2021,$1.215,"464,994",$1.22,$1.225,$1.19
NBRV,11/02/2021,$1.22,"294,716",$1.16,$1.22,$1.16
NBRV,11/01/2021,$1.21,"478,156",$1.14,$1.22,$1.14
NBRV,10/29/2021,$1.15,"336,442",$1.13,$1.16,$1.13
NBRV,10/28/2021,$1.16,"369,390",$1.1,$1.16,$1.095
NBRV,10/27/2021,$1.11,"272,734",$1.13,$1.16,$1.09
NBRV,10/26/2021,$1.14,"394,938",$1.12,$1.15,$1.08
NBRV,10/25/2021,$1.12,"592,675",$1.082,$1.14,$1.07
NBRV,10/22/2021,$1.09,"569,978",$1.12,$1.12,$1.06
NBRV,10/21/2021,$1.125,"482,113",$1.16,$1.1889,$1.11
NBRV,10/20/2021,$1.17,"246,978",$1.2,$1.2,$1.16
NBRV,10/19/2021,$1.2,"286,193",$1.2,$1.23,$1.19
NBRV,10/18/2021,$1.21,"551,234",$1.2,$1.24,$1.17
NBRV,10/15/2021,$1.18,"522,976",$1.16,$1.2,$1.155
NBRV,10/14/2021,$1.16,"240,369",$1.16,$1.1701,$1.14
NBRV,10/13/2021,$1.17,"251,188",$1.16,$1.18,$1.15
NBRV,10/12/2021,$1.16,"329,152",$1.1,$1.16,$1.1
NBRV,10/11/2021,$1.11,"237,648",$1.09,$1.115,$1.09
NBRV,10/08/2021,$1.11,"253,557",$1.13,$1.14,$1.09
NBRV,10/07/2021,$1.12,"550,199",$1.07,$1.14,$1.07
NBRV,10/06/2021,$1.08,"291,549",$1.06,$1.09,$1.06
NBRV,10/05/2021,$1.09,"926,205",$1.12,$1.14,$1.06
NBRV,10/04/2021,$1.12,"386,750",$1.17,$1.1753,$1.12
NBRV,10/01/2021,$1.19,"443,243",$1.2,$1.2,$1.15
NBRV,09/30/2021,$1.19,"170,230",$1.19,$1.2,$1.1701
NBRV,09/29/2021,$1.19,"592,367",$1.21,$1.21,$1.17
NBRV,09/28/2021,$1.19,"647,704",$1.25,$1.258,$1.18
NBRV,09/27/2021,$1.26,"2,563,093",$1.16,$1.26,$1.12
NBRV,09/24/2021,$1.18,"492,224",$1.21,$1.21,$1.16
NBRV,09/23/2021,$1.21,"803,878",$1.18,$1.23,$1.18
NBRV,09/22/2021,$1.18,"791,330",$1.12,$1.19,$1.12
NBRV,09/21/2021,$1.13,"305,469",$1.14,$1.15,$1.115
NBRV,09/20/2021,$1.12,"662,244",$1.1252,$1.14,$1.1001
NBRV,09/17/2021,$1.15,"952,918",$1.14,$1.18,$1.12
NBRV,09/16/2021,$1.15,"1,586,877",$1.1,$1.16,$1.08
NBRV,09/15/2021,$1.06,"500,609",$1.08,$1.085,$1.05
NBRV,09/14/2021,$1.09,"483,783",$1.13,$1.13,$1.06
NBRV,09/13/2021,$1.11,"525,383",$1.1,$1.14,$1.09
NBRV,09/10/2021,$1.12,"1,035,022",$1.12,$1.12,$1.07
NBRV,09/09/2021,$1.12,"1,215,792",$1.15,$1.16,$1.11
NBRV,09/08/2021,$1.12,"2,605,227",$1.13,$1.16,$1.09
NBRV,09/07/2021,$1.08,"606,065",$1.1,$1.12,$1.08
NBRV,09/03/2021,$1.11,"519,847",$1.15,$1.15,$1.1
NBRV,09/02/2021,$1.14,"1,127,149",$1.08,$1.14,$1.075
NBRV,09/01/2021,$1.08,"686,392",$1.05,$1.08,$1.05
NBRV,08/31/2021,$1.06,"690,060",$1.08,$1.09,$1.05
NBRV,08/30/2021,$1.07,"692,371",$1.06,$1.08,$1.05
NBRV,08/27/2021,$1.06,"256,767",$1.03,$1.06,$1.03
NBRV,08/26/2021,$1.03,"628,575",$1.05,$1.08,$1.03
NBRV,08/25/2021,$1.05,"508,192",$1.06,$1.07,$1.04
NBRV,08/24/2021,$1.06,"487,191",$1.05,$1.08,$1.05
NBRV,08/23/2021,$1.06,"513,345",$1.02,$1.06,$1.02
NBRV,08/20/2021,$1.03,"268,049",$1.02,$1.04,$1.005
NBRV,08/19/2021,$1.01,"509,509",$1,$1.03,$1
NBRV,08/18/2021,$1.02,"703,654",$1.03,$1.05,$1.005
NBRV,08/17/2021,$1.02,"870,094",$1.02,$1.04,$1
NBRV,08/16/2021,$1.02,"986,755",$1.02,$1.06,$1
NBRV,08/13/2021,$1.04,"2,928,549",$1.08,$1.0801,$1.02
NBRV,08/12/2021,$1.08,"729,848",$1.12,$1.12,$1.07
NBRV,08/11/2021,$1.12,"847,398",$1.16,$1.16,$1.09
NBRV,08/10/2021,$1.15,"1,789,526",$1.12,$1.16,$1.06
NBRV,08/09/2021,$1.13,"1,129,915",$1.152,$1.16,$1.11
NBRV,08/06/2021,$1.17,"4,519,042",$1.26,$1.2703,$1.16
NBRV,08/05/2021,$1.16,"1,621,367",$1.2,$1.23,$1.16
NBRV,08/04/2021,$1.21,"1,179,749",$1.23,$1.24,$1.19
NBRV,08/03/2021,$1.22,"1,427,339",$1.18,$1.22,$1.12
NBRV,08/02/2021,$1.1587,"1,048,095",$1.1,$1.18,$1.1
NBRV,07/30/2021,$1.1,"537,885",$1.12,$1.12,$1.09
NBRV,07/29/2021,$1.11,"1,306,056",$1.092,$1.15,$1.08
NBRV,07/28/2021,$1.08,"959,821",$1.06,$1.09,$1.06
NBRV,07/27/2021,$1.08,"953,597",$1.12,$1.12,$1.07
NBRV,07/26/2021,$1.11,"951,159",$1.13,$1.14,$1.1
NBRV,07/23/2021,$1.13,"813,896",$1.14,$1.16,$1.1
NBRV,07/22/2021,$1.14,"641,209",$1.19,$1.19,$1.12
NBRV,07/21/2021,$1.18,"1,530,643",$1.1,$1.23,$1.1
NBRV,07/20/2021,$1.1,"415,132",$1.09,$1.11,$1.09
NBRV,07/19/2021,$1.1,"1,380,994",$1.09,$1.11,$1.04
NBRV,07/16/2021,$1.12,"795,867",$1.12,$1.15,$1.1
NBRV,07/15/2021,$1.14,"1,107,314",$1.14,$1.14,$1.1
NBRV,07/14/2021,$1.13,"1,570,627",$1.19,$1.19,$1.12
NBRV,07/13/2021,$1.18,"755,820",$1.19,$1.2,$1.16
NBRV,07/12/2021,$1.2,"576,456",$1.2,$1.21,$1.17
NBRV,07/09/2021,$1.2,"1,020,655",$1.18,$1.2,$1.14
NBRV,07/08/2021,$1.19,"1,543,613",$1.14,$1.22,$1.1201
NBRV,07/07/2021,$1.21,"1,460,523",$1.28,$1.28,$1.2
NBRV,07/06/2021,$1.27,"641,008",$1.27,$1.28,$1.25
NBRV,07/02/2021,$1.29,"839,596",$1.3,$1.32,$1.27
NBRV,07/01/2021,$1.3,"1,123,187",$1.33,$1.35,$1.3
NBRV,06/30/2021,$1.35,"893,945",$1.33,$1.36,$1.32
NBRV,06/29/2021,$1.36,"1,241,102",$1.38,$1.405,$1.33
NBRV,06/28/2021,$1.38,"538,217",$1.41,$1.41,$1.38
NBRV,06/25/2021,$1.41,"1,290,354",$1.38,$1.41,$1.36
NBRV,06/24/2021,$1.38,"1,394,967",$1.35,$1.38,$1.33
NBRV,06/23/2021,$1.34,"890,619",$1.34,$1.35,$1.32
NBRV,06/22/2021,$1.35,"1,412,586",$1.3,$1.35,$1.3
NBRV,06/21/2021,$1.29,"2,926,627",$1.34,$1.34,$1.26
NBRV,06/18/2021,$1.34,"3,513,525",$1.36,$1.37,$1.33
NBRV,06/17/2021,$1.4,"1,277,069",$1.372,$1.42,$1.3701
NBRV,06/16/2021,$1.39,"1,453,468",$1.38,$1.41,$1.36
NBRV,06/15/2021,$1.4,"1,680,725",$1.43,$1.44,$1.37
NBRV,06/14/2021,$1.44,"1,352,981",$1.43,$1.46,$1.41
NBRV,06/11/2021,$1.44,"1,928,631",$1.45,$1.48,$1.42
NBRV,06/10/2021,$1.46,"2,175,047",$1.45,$1.5,$1.44
NBRV,06/09/2021,$1.45,"3,235,873",$1.43,$1.47,$1.411
NBRV,06/08/2021,$1.43,"2,818,668",$1.42,$1.43,$1.37
NBRV,06/07/2021,$1.41,"3,347,754",$1.35,$1.42,$1.34
NBRV,06/04/2021,$1.34,"3,658,196",$1.38,$1.39,$1.33
NBRV,06/03/2021,$1.37,"3,863,462",$1.37,$1.41,$1.36
NBRV,06/02/2021,$1.39,"3,249,799",$1.39,$1.4,$1.36
NBRV,06/01/2021,$1.39,"4,323,683",$1.38,$1.41,$1.35
NBRV,05/28/2021,$1.38,"6,725,785",$1.4,$1.44,$1.37
NBRV,05/27/2021,$1.4,"17,510,910",$1.44,$1.48,$1.37
NBRV,05/26/2021,$1.51,"140,489,100",$2.14,$2.32,$1.49
NBRV,05/25/2021,$1.48,"3,555,554",$1.48,$1.51,$1.47
NBRV,05/24/2021,$1.49,"143,471",$1.51,$1.51,$1.45
NBRV,05/21/2021,$1.49,"227,927",$1.51,$1.57,$1.48
NBRV,05/20/2021,$1.51,"460,163",$1.47,$1.575,$1.4533
NBRV,05/19/2021,$1.47,"188,759",$1.45,$1.5015,$1.44
NBRV,05/18/2021,$1.47,"449,590",$1.45,$1.54,$1.44
NBRV,05/17/2021,$1.43,"234,963",$1.4,$1.45,$1.37
NBRV,05/14/2021,$1.43,"314,989",$1.4,$1.4312,$1.3827
NBRV,05/13/2021,$1.35,"530,106",$1.41,$1.4365,$1.34
NBRV,05/12/2021,$1.37,"446,499",$1.37,$1.4418,$1.36
NBRV,05/11/2021,$1.42,"578,116",$1.33,$1.42,$1.31
NBRV,05/10/2021,$1.42,"893,989",$1.45,$1.5,$1.4
NBRV,05/07/2021,$1.47,"981,694",$1.5,$1.58,$1.44
NBRV,05/06/2021,$1.49,"829,036",$1.6,$1.63,$1.48
NBRV,05/05/2021,$1.6,"536,930",$1.68,$1.71,$1.59
NBRV,05/04/2021,$1.69,"334,461",$1.7,$1.71,$1.64
NBRV,05/03/2021,$1.73,"845,846",$1.74,$1.7799,$1.65
NBRV,04/30/2021,$1.78,"1,083,818",$1.75,$1.86,$1.68
NBRV,04/29/2021,$1.67,"342,037",$1.73,$1.73,$1.64
NBRV,04/28/2021,$1.72,"514,610",$1.65,$1.76,$1.63
NBRV,04/27/2021,$1.66,"408,528",$1.69,$1.71,$1.635
NBRV,04/26/2021,$1.67,"995,554",$1.59,$1.74,$1.58
NBRV,04/23/2021,$1.56,"605,153",$1.47,$1.57,$1.46
NBRV,04/22/2021,$1.47,"979,895",$1.53,$1.595,$1.46
NBRV,04/21/2021,$1.55,"749,827",$1.45,$1.57,$1.43
NBRV,04/20/2021,$1.47,"719,539",$1.49,$1.56,$1.42
NBRV,04/19/2021,$1.45,"942,712",$1.47,$1.498,$1.413
NBRV,04/16/2021,$1.5,"1,262,869",$1.55,$1.64,$1.465
NBRV,04/15/2021,$1.57,"2,844,668",$1.52,$1.64,$1.43
NBRV,04/14/2021,$1.48,"900,976",$1.42,$1.55,$1.4
NBRV,04/13/2021,$1.45,"1,514,986",$1.58,$1.58,$1.42
NBRV,04/12/2021,$1.56,"1,099,500",$1.64,$1.64,$1.56
NBRV,04/09/2021,$1.66,"501,769",$1.65,$1.6617,$1.6208
NBRV,04/08/2021,$1.65,"858,951",$1.7,$1.7401,$1.625
NBRV,04/07/2021,$1.68,"723,725",$1.73,$1.76,$1.64
NBRV,04/06/2021,$1.73,"895,157",$1.7,$1.78,$1.66
NBRV,04/05/2021,$1.72,"1,477,137",$1.862,$1.89,$1.69
NBRV,04/01/2021,$1.75,"1,159,325",$1.69,$1.805,$1.67
NBRV,03/31/2021,$1.66,"901,708",$1.63,$1.73,$1.63
NBRV,03/30/2021,$1.63,"1,082,672",$1.68,$1.687,$1.59
NBRV,03/29/2021,$1.65,"896,016",$1.75,$1.77,$1.65
NBRV,03/26/2021,$1.78,"1,024,136",$1.77,$1.83,$1.72
NBRV,03/25/2021,$1.81,"1,461,333",$1.62,$1.83,$1.6
NBRV,03/24/2021,$1.65,"1,961,699",$1.82,$1.85,$1.63
NBRV,03/23/2021,$1.82,"2,340,306",$1.954,$1.96,$1.76
NBRV,03/22/2021,$1.98,"1,550,474",$2.05,$2.11,$1.94
NBRV,03/19/2021,$2.05,"2,183,981",$1.983,$2.14,$1.94
NBRV,03/18/2021,$1.98,"3,749,157",$2.01,$2.19,$1.95
NBRV,03/17/2021,$2.05,"13,844,150",$2.036,$2.33,$2.01
NBRV,03/16/2021,$1.92,"4,392,419",$2.08,$2.11,$1.91
NBRV,03/15/2021,$2.1,"6,533,930",$1.79,$2.15,$1.76
NBRV,03/12/2021,$1.76,"3,658,616",$1.733,$1.78,$1.66
NBRV,03/11/2021,$1.83,"4,299,204",$1.78,$1.84,$1.69
