ticker,date,close,volume,open,high,low
NGM,02/10/2022,$16.38,"188,900",$16.48,$17.2,$16.13
NGM,02/09/2022,$16.89,"307,643",$16.23,$17.195,$15.0122
NGM,02/08/2022,$16.41,"171,062",$16.15,$16.57,$15.91
NGM,02/07/2022,$16.42,"208,399",$15.49,$16.5,$15.49
NGM,02/04/2022,$15.62,"170,936",$15.21,$15.8,$14.89
NGM,02/03/2022,$15.05,"152,679",$15.18,$15.41,$15.01
NGM,02/02/2022,$15.41,"180,701",$16.08,$16.1,$15.37
NGM,02/01/2022,$16.19,"284,495",$15.8,$16.23,$15.36
NGM,01/31/2022,$15.81,"252,426",$15.19,$15.88,$15.19
NGM,01/28/2022,$15.3,"326,463",$15.11,$15.4212,$14.75
NGM,01/27/2022,$15.4,"596,656",$15.02,$15.89,$14.86
NGM,01/26/2022,$14.5,"208,736",$14.95,$15.475,$14.415
NGM,01/25/2022,$14.79,"800,372",$14.62,$14.995,$14.22
NGM,01/24/2022,$14.78,"585,377",$14.53,$14.81,$14.0126
NGM,01/21/2022,$14.55,"178,770",$14.65,$15.34,$14.5
NGM,01/20/2022,$14.83,"283,010",$15.525,$15.525,$14.67
NGM,01/19/2022,$14.98,"287,521",$15.38,$15.54,$14.93
NGM,01/18/2022,$15.28,"207,515",$15.84,$16.18,$15.28
NGM,01/14/2022,$15.96,"331,505",$16.04,$16.04,$15.54
NGM,01/13/2022,$15.86,"274,983",$16.33,$16.33,$15.83
NGM,01/12/2022,$16.24,"350,721",$16.88,$16.94,$16.18
NGM,01/11/2022,$16.83,"141,452",$16.78,$17.02,$16.55
NGM,01/10/2022,$16.75,"287,126",$16.77,$16.77,$16.42
NGM,01/07/2022,$16.99,"188,095",$17.03,$17.52,$16.9678
NGM,01/06/2022,$16.94,"211,911",$17.06,$17.06,$16.42
NGM,01/05/2022,$16.98,"285,298",$17.92,$18.375,$16.82
NGM,01/04/2022,$18.04,"577,946",$18.6,$19.14,$17.8
NGM,01/03/2022,$18.6,"353,718",$17.67,$18.61,$17.36
NGM,12/31/2021,$17.71,"164,404",$17.69,$18.39,$17.415
NGM,12/30/2021,$17.56,"388,936",$17.3,$18.29,$17.2
NGM,12/29/2021,$17.39,"249,861",$17.88,$18.03,$17.17
NGM,12/28/2021,$18,"273,433",$18.12,$18.3,$17.73
NGM,12/27/2021,$18.18,"177,679",$18.4,$18.46,$17.85
NGM,12/23/2021,$18.42,"140,468",$18.23,$18.5,$18.02
NGM,12/22/2021,$18.22,"272,881",$18.87,$18.87,$17.77
