ticker,date,close,volume,open,high,low
NOVN,02/10/2022,$4.19,"179,584",$4,$4.35,$3.96
NOVN,02/09/2022,$4.08,"119,471",$4,$4.11,$3.93
NOVN,02/08/2022,$3.9,"121,396",$4,$4.07,$3.85
NOVN,02/07/2022,$3.99,"130,310",$4.02,$4.0643,$3.83
NOVN,02/04/2022,$4.02,"91,080",$3.74,$4.08,$3.7
NOVN,02/03/2022,$3.75,"134,213",$3.85,$3.87,$3.7
NOVN,02/02/2022,$3.86,"294,697",$4.32,$4.32,$3.84
NOVN,02/01/2022,$4.29,"533,137",$3.78,$4.3632,$3.65
NOVN,01/31/2022,$3.67,"301,061",$3.18,$3.9,$3.18
NOVN,01/28/2022,$3.17,"109,303",$3.02,$3.23,$2.91
NOVN,01/27/2022,$3.02,"124,939",$3.14,$3.24,$2.96
NOVN,01/26/2022,$3.15,"91,670",$3.2,$3.33,$3.085
NOVN,01/25/2022,$3.16,"231,794",$2.86,$3.2606,$2.85
NOVN,01/24/2022,$2.95,"388,423",$3.03,$3.03,$2.71
NOVN,01/21/2022,$3.11,"275,435",$3.22,$3.2661,$2.995
NOVN,01/20/2022,$3.28,"198,424",$3.47,$3.5,$3.27
NOVN,01/19/2022,$3.41,"256,519",$3.54,$3.54,$3.36
NOVN,01/18/2022,$3.54,"176,424",$3.705,$3.77,$3.52
NOVN,01/14/2022,$3.79,"207,199",$3.72,$3.9499,$3.6
NOVN,01/13/2022,$3.75,"142,258",$3.84,$3.8999,$3.73
NOVN,01/12/2022,$3.825,"303,087",$4.11,$4.11,$3.8
NOVN,01/11/2022,$4.08,"171,625",$3.94,$4.15,$3.9
NOVN,01/10/2022,$3.96,"216,691",$3.98,$4,$3.7529
NOVN,01/07/2022,$3.99,"81,322",$4.01,$4.1,$3.9
NOVN,01/06/2022,$4.01,"128,191",$4.01,$4.095,$3.91
NOVN,01/05/2022,$4,"116,876",$4.2,$4.2599,$4
NOVN,01/04/2022,$4.23,"131,339",$4.41,$4.41,$4.13
NOVN,01/03/2022,$4.41,"100,136",$4.205,$4.46,$4.18
NOVN,12/31/2021,$4.17,"249,263",$4.08,$4.44,$4.08
NOVN,12/30/2021,$4.06,"273,753",$4.08,$4.28,$4.05
NOVN,12/29/2021,$4.15,"429,601",$4.03,$4.38,$3.91
NOVN,12/28/2021,$4.03,"256,677",$4.05,$4.22,$4.0201
NOVN,12/27/2021,$4.16,"221,295",$4.35,$4.44,$4.16
NOVN,12/23/2021,$4.35,"256,729",$4.32,$4.38,$4.21
NOVN,12/22/2021,$4.26,"310,011",$4.31,$4.4,$4.21
NOVN,12/21/2021,$4.31,"259,013",$4.37,$4.48,$4.3
NOVN,12/20/2021,$4.32,"256,721",$4.33,$4.3609,$4.2021
NOVN,12/17/2021,$4.38,"257,310",$4.34,$4.63,$4.28
NOVN,12/16/2021,$4.35,"125,208",$4.52,$4.54,$4.324
NOVN,12/15/2021,$4.5,"189,389",$4.44,$4.58,$4.24
NOVN,12/14/2021,$4.42,"139,443",$4.53,$4.66,$4.4
NOVN,12/13/2021,$4.57,"181,092",$4.55,$4.65,$4.4
NOVN,12/10/2021,$4.65,"102,522",$4.8,$4.89,$4.64
NOVN,12/09/2021,$4.79,"94,237",$4.99,$5.05,$4.77
NOVN,12/08/2021,$4.98,"185,108",$4.9,$5.08,$4.78
NOVN,12/07/2021,$4.89,"159,892",$4.74,$4.9978,$4.72
NOVN,12/06/2021,$4.64,"256,238",$4.57,$4.73,$4.34
NOVN,12/03/2021,$4.64,"234,296",$4.96,$4.96,$4.6
NOVN,12/02/2021,$4.97,"236,461",$4.83,$5,$4.71
NOVN,12/01/2021,$4.78,"295,750",$5.15,$5.15,$4.7633
NOVN,11/30/2021,$5.04,"261,506",$5.01,$5.11,$4.83
NOVN,11/29/2021,$5.08,"399,809",$5.17,$5.22,$4.94
NOVN,11/26/2021,$5.14,"111,133",$5.1,$5.18,$5.01
NOVN,11/24/2021,$5.26,"185,254",$5.1,$5.315,$4.9701
NOVN,11/23/2021,$5.12,"400,562",$5.19,$5.31,$4.9
NOVN,11/22/2021,$5.29,"347,831",$5.52,$5.52,$5.13
NOVN,11/19/2021,$5.52,"277,606",$5.46,$5.63,$5.3733
NOVN,11/18/2021,$5.51,"500,728",$5.98,$6,$5.45
NOVN,11/17/2021,$5.89,"423,687",$6.01,$6.08,$5.8601
NOVN,11/16/2021,$6.1,"622,466",$6.37,$6.37,$6.01
NOVN,11/15/2021,$6.41,"243,848",$6.75,$6.75,$6.403
NOVN,11/12/2021,$6.7,"195,883",$6.55,$6.75,$6.525
NOVN,11/11/2021,$6.56,"306,692",$6.65,$6.74,$6.42
NOVN,11/10/2021,$6.6,"565,035",$7.06,$7.22,$6.525
NOVN,11/09/2021,$7.09,"722,358",$6.96,$7.25,$6.6902
NOVN,11/08/2021,$6.95,"244,734",$7.03,$7.2127,$6.91
NOVN,11/05/2021,$7.01,"182,387",$7.27,$7.29,$6.91
NOVN,11/04/2021,$7.22,"282,763",$7.03,$7.4,$6.95
NOVN,11/03/2021,$6.96,"344,497",$6.9,$7.1,$6.68
NOVN,11/02/2021,$6.99,"313,976",$7,$7.07,$6.75
NOVN,11/01/2021,$6.97,"165,544",$6.75,$7.05,$6.7
NOVN,10/29/2021,$6.67,"323,323",$6.795,$7.0799,$6.63
NOVN,10/28/2021,$6.7,"257,156",$6.65,$6.97,$6.58
NOVN,10/27/2021,$6.65,"239,709",$6.91,$6.91,$6.64
NOVN,10/26/2021,$6.89,"277,706",$7.09,$7.1,$6.88
NOVN,10/25/2021,$7.13,"434,034",$7.2,$7.2941,$6.9
NOVN,10/22/2021,$7.26,"222,219",$7.3,$7.3,$7.065
NOVN,10/21/2021,$7.38,"162,545",$7.6,$7.6837,$7.38
NOVN,10/20/2021,$7.67,"145,991",$7.71,$7.7899,$7.57
NOVN,10/19/2021,$7.58,"127,964",$7.47,$7.6,$7.37
NOVN,10/18/2021,$7.42,"111,013",$7.49,$7.565,$7.41
NOVN,10/15/2021,$7.54,"91,150",$7.69,$7.69,$7.46
NOVN,10/14/2021,$7.61,"106,866",$7.75,$7.87,$7.59
NOVN,10/13/2021,$7.75,"96,346",$7.56,$7.75,$7.45
NOVN,10/12/2021,$7.51,"132,602",$7.56,$7.6895,$7.44
NOVN,10/11/2021,$7.52,"130,059",$7.4,$7.605,$7.24
NOVN,10/08/2021,$7.47,"223,391",$7.62,$7.6492,$7.35
NOVN,10/07/2021,$7.67,"151,759",$7.5,$7.7429,$7.39
NOVN,10/06/2021,$7.54,"225,202",$7.58,$7.6925,$7.5
NOVN,10/05/2021,$7.73,"161,976",$7.75,$7.87,$7.6
NOVN,10/04/2021,$7.75,"246,645",$8.07,$8.1043,$7.7
NOVN,10/01/2021,$8.15,"145,775",$8.15,$8.1969,$7.98
NOVN,09/30/2021,$8.14,"182,763",$7.98,$8.24,$7.92
NOVN,09/29/2021,$7.97,"310,669",$8.16,$8.17,$7.9
NOVN,09/28/2021,$8.06,"332,837",$8.32,$8.32,$8.02
NOVN,09/27/2021,$8.4,"274,223",$8.12,$8.6129,$8.0354
NOVN,09/24/2021,$8.14,"1,206,998",$8.38,$8.94,$8.1
NOVN,09/23/2021,$8.46,"137,424",$8.38,$8.58,$8.38
NOVN,09/22/2021,$8.4,"198,309",$8.38,$8.5,$8.15
