ticker,date,close,volume,open,high,low
NRBO,02/10/2022,$0.932,"54,112",$0.933,$0.95,$0.912
NRBO,02/09/2022,$0.958,"97,191",$0.9093,$0.958,$0.9
NRBO,02/08/2022,$0.9049,"95,134",$0.96,$0.96,$0.8801
NRBO,02/07/2022,$0.9544,"63,248",$0.9796,$0.9796,$0.94
NRBO,02/04/2022,$0.9673,"104,715",$0.99,$0.991,$0.9319
NRBO,02/03/2022,$0.9843,"96,168",$1.05,$1.06,$0.96
NRBO,02/02/2022,$1.07,"63,836",$1.13,$1.1684,$1.06
NRBO,02/01/2022,$1.13,"112,601",$1.02,$1.17,$1.0127
NRBO,01/31/2022,$1.04,"125,162",$1,$1.07,$1
NRBO,01/28/2022,$1.01,"380,352",$1,$1.02,$0.8094
NRBO,01/27/2022,$1.02,"112,956",$1.05,$1.072,$1
NRBO,01/26/2022,$1.03,"112,769",$1.07,$1.09,$1.02
NRBO,01/25/2022,$1.04,"427,664",$1.1,$1.1,$1.02
NRBO,01/24/2022,$1.17,"2,289,831",$1.23,$1.23,$1.08
NRBO,01/21/2022,$1.12,"105,244",$1.19,$1.22,$1.12
NRBO,01/20/2022,$1.2,"96,147",$1.21,$1.27,$1.19
NRBO,01/19/2022,$1.22,"122,105",$1.27,$1.27,$1.2
NRBO,01/18/2022,$1.24,"95,808",$1.29,$1.32,$1.24
NRBO,01/14/2022,$1.31,"164,690",$1.32,$1.32,$1.232
NRBO,01/13/2022,$1.31,"162,201",$1.34,$1.34,$1.26
NRBO,01/12/2022,$1.315,"243,695",$1.4075,$1.4075,$1.3
NRBO,01/11/2022,$1.37,"129,950",$1.36,$1.4,$1.32
NRBO,01/10/2022,$1.38,"231,173",$1.4,$1.42,$1.36
NRBO,01/07/2022,$1.49,"534,111",$1.37,$1.62,$1.36
NRBO,01/06/2022,$1.43,"556,800",$1.38,$1.46,$1.35
NRBO,01/05/2022,$1.44,"1,683,154",$1.34,$1.45,$1.2819
NRBO,01/04/2022,$1.54,"24,880,930",$1.569,$1.78,$1.36
NRBO,01/03/2022,$1.338,"68,716",$1.21,$1.34,$1.21
NRBO,12/31/2021,$1.22,"89,047",$1.258,$1.258,$1.21
NRBO,12/30/2021,$1.24,"141,535",$1.23,$1.3,$1.2139
NRBO,12/29/2021,$1.23,"184,137",$1.29,$1.3699,$1.2
NRBO,12/28/2021,$1.3,"311,368",$1.48,$1.5066,$1.28
NRBO,12/27/2021,$1.49,"58,822",$1.52,$1.52,$1.48
NRBO,12/23/2021,$1.515,"39,955",$1.5,$1.54,$1.4701
NRBO,12/22/2021,$1.52,"95,978",$1.53,$1.55,$1.4989
NRBO,12/21/2021,$1.55,"83,905",$1.55,$1.578,$1.4765
NRBO,12/20/2021,$1.5,"135,027",$1.42,$1.52,$1.42
NRBO,12/17/2021,$1.42,"439,076",$1.36,$1.58,$1.3301
NRBO,12/16/2021,$1.38,"175,813",$1.39,$1.45,$1.3283
NRBO,12/15/2021,$1.4,"171,342",$1.42,$1.44,$1.31
NRBO,12/14/2021,$1.4,"41,425",$1.38,$1.44,$1.37
NRBO,12/13/2021,$1.4,"50,495",$1.39,$1.43,$1.37
NRBO,12/10/2021,$1.39,"54,740",$1.45,$1.45,$1.37
NRBO,12/09/2021,$1.44,"59,488",$1.5,$1.58,$1.44
NRBO,12/08/2021,$1.5,"68,705",$1.56,$1.56,$1.45
NRBO,12/07/2021,$1.45,"98,500",$1.38,$1.52,$1.36
NRBO,12/06/2021,$1.39,"104,846",$1.41,$1.41,$1.31
NRBO,12/03/2021,$1.38,"133,881",$1.49,$1.492,$1.37
NRBO,12/02/2021,$1.49,"204,113",$1.51,$1.55,$1.44
NRBO,12/01/2021,$1.52,"182,522",$1.63,$1.6473,$1.52
NRBO,11/30/2021,$1.61,"227,129",$1.693,$1.74,$1.54
NRBO,11/29/2021,$1.66,"305,548",$1.79,$1.84,$1.63
NRBO,11/26/2021,$1.78,"983,061",$1.61,$1.82,$1.5707
NRBO,11/24/2021,$1.61,"37,396",$1.54,$1.61,$1.51
NRBO,11/23/2021,$1.54,"72,989",$1.59,$1.59,$1.52
NRBO,11/22/2021,$1.57,"103,221",$1.62,$1.63,$1.53
NRBO,11/19/2021,$1.59,"121,828",$1.57,$1.62,$1.55
NRBO,11/18/2021,$1.6,"157,452",$1.68,$1.7085,$1.58
NRBO,11/17/2021,$1.69,"104,675",$1.76,$1.78,$1.69
NRBO,11/16/2021,$1.76,"175,692",$1.78,$1.79,$1.75
NRBO,11/15/2021,$1.83,"110,847",$1.81,$1.84,$1.79
NRBO,11/12/2021,$1.81,"51,910",$1.81,$1.85,$1.8
NRBO,11/11/2021,$1.8,"147,618",$1.77,$1.84,$1.76
NRBO,11/10/2021,$1.78,"261,680",$1.88,$1.88,$1.73
NRBO,11/09/2021,$1.88,"140,447",$1.91,$1.92,$1.83
NRBO,11/08/2021,$1.93,"386,508",$1.99,$2.005,$1.92
NRBO,11/05/2021,$1.9999,"171,385",$2.06,$2.06,$1.9439
NRBO,11/04/2021,$2.02,"403,584",$2.04,$2.08,$2
NRBO,11/03/2021,$2.035,"826,789",$1.94,$2.07,$1.86
NRBO,11/02/2021,$1.96,"544,437",$1.89,$2.02,$1.8501
NRBO,11/01/2021,$1.89,"469,502",$1.8,$1.89,$1.78
NRBO,10/29/2021,$1.77,"224,863",$1.8,$1.81,$1.75
NRBO,10/28/2021,$1.79,"232,905",$1.8,$1.8,$1.77
NRBO,10/27/2021,$1.8,"420,219",$1.86,$1.87,$1.78
NRBO,10/26/2021,$1.86,"316,586",$1.87,$1.92,$1.83
NRBO,10/25/2021,$1.87,"375,437",$1.85,$1.89,$1.83
NRBO,10/22/2021,$1.85,"338,249",$1.87,$1.88,$1.82
NRBO,10/21/2021,$1.89,"271,020",$1.91,$1.94,$1.88
NRBO,10/20/2021,$1.91,"401,388",$1.94,$1.98,$1.9
NRBO,10/19/2021,$1.92,"413,699",$1.88,$1.94,$1.88
NRBO,10/18/2021,$1.92,"676,415",$1.89,$1.98,$1.86
NRBO,10/15/2021,$1.9,"670,385",$1.95,$1.96,$1.89
NRBO,10/14/2021,$1.94,"1,939,557",$1.9,$2.03,$1.83
NRBO,10/13/2021,$1.96,"14,803,250",$2,$2.1999,$1.94
NRBO,10/12/2021,$1.84,"700,419",$1.88,$1.9,$1.82
NRBO,10/11/2021,$1.86,"482,552",$1.89,$1.96,$1.84
NRBO,10/08/2021,$1.94,"473,864",$2,$2.04,$1.91
NRBO,10/07/2021,$2.01,"523,913",$2.12,$2.19,$1.98
NRBO,10/06/2021,$2.1,"489,323",$2.48,$2.48,$2.08
NRBO,10/05/2021,$2.2,"498,119",$2.37,$2.39,$2.18
NRBO,10/04/2021,$2.37,"503,254",$2.57,$2.58,$2.3
NRBO,10/01/2021,$2.5,"1,709,894",$3.1,$3.1,$2.45
NRBO,09/30/2021,$3.72,"93,713",$3.76,$3.95,$3.655
NRBO,09/29/2021,$3.69,"65,237",$3.73,$3.8,$3.63
NRBO,09/28/2021,$3.67,"499,353",$3.84,$3.915,$3.61
NRBO,09/27/2021,$3.78,"62,475",$3.8,$3.81,$3.69
NRBO,09/24/2021,$3.82,"20,429",$3.87,$3.955,$3.81
NRBO,09/23/2021,$3.9,"93,502",$4.1,$4.114,$3.83
NRBO,09/22/2021,$4.06,"25,481",$3.98,$4.1,$3.94
NRBO,09/21/2021,$3.98,"34,298",$3.94,$4.05,$3.9
NRBO,09/20/2021,$3.92,"70,426",$4.13,$4.13,$3.86
NRBO,09/17/2021,$4.25,"52,502",$3.96,$4.2894,$3.9271
NRBO,09/16/2021,$4.01,"72,570",$3.81,$4.01,$3.62
NRBO,09/15/2021,$3.86,"58,303",$3.9,$4.1,$3.765
NRBO,09/14/2021,$3.88,"60,381",$3.95,$4.0412,$3.852
NRBO,09/13/2021,$3.93,"74,889",$4.13,$4.13,$3.885
NRBO,09/10/2021,$4.17,"51,261",$4.18,$4.18,$4.07
NRBO,09/09/2021,$4.07,"58,700",$4.16,$4.23,$4.07
NRBO,09/08/2021,$4.21,"86,897",$4.22,$4.3,$4.1
NRBO,09/07/2021,$4.28,"111,793",$4.19,$4.3,$4.02
NRBO,09/03/2021,$4.18,"299,973",$4.6,$4.74,$4.07
NRBO,09/02/2021,$4.52,"855,661",$4.37,$4.95,$4.35
NRBO,09/01/2021,$4.17,"182,282",$4.18,$4.29,$4.13
NRBO,08/31/2021,$4.14,"123,569",$3.95,$4.14,$3.88
NRBO,08/30/2021,$3.93,"90,044",$4,$4.06,$3.835
NRBO,08/27/2021,$3.95,"120,602",$3.84,$3.98,$3.76
NRBO,08/26/2021,$3.8,"77,869",$3.78,$3.86,$3.72
NRBO,08/25/2021,$3.75,"109,630",$3.6,$3.75,$3.5
NRBO,08/24/2021,$3.54,"74,716",$3.6,$3.61,$3.46
NRBO,08/23/2021,$3.55,"84,536",$3.39,$3.56,$3.361
NRBO,08/20/2021,$3.31,"78,859",$3.24,$3.4,$3.17
NRBO,08/19/2021,$3.23,"101,940",$3.54,$3.55,$3.23
NRBO,08/18/2021,$3.55,"86,821",$3.62,$3.66,$3.52
NRBO,08/17/2021,$3.63,"131,306",$3.62,$3.7,$3.48
NRBO,08/16/2021,$3.58,"72,656",$3.51,$3.68,$3.45
NRBO,08/13/2021,$3.54,"186,238",$3.594,$3.62,$3.41
NRBO,08/12/2021,$3.62,"101,530",$3.59,$3.74,$3.55
NRBO,08/11/2021,$3.67,"932,011",$3.92,$4.2,$3.52
NRBO,08/10/2021,$3.85,"763,395",$3.7585,$4.32,$3.6001
NRBO,08/09/2021,$3.79,"250,461",$3.6191,$3.8999,$3.6191
NRBO,08/06/2021,$3.7,"283,197",$3.7,$3.79,$3.5
NRBO,08/05/2021,$3.69,"205,564",$3.58,$3.75,$3.57
NRBO,08/04/2021,$3.62,"669,056",$3.35,$3.75,$3.335
NRBO,08/03/2021,$3.41,"639,078",$3.52,$3.6499,$3.25
NRBO,08/02/2021,$3.52,"821,959",$3.5,$3.65,$3.25
NRBO,07/30/2021,$3.29,"572,680",$3.15,$3.29,$2.97
NRBO,07/29/2021,$3.09,"419,177",$3.08,$3.2199,$3.06
NRBO,07/28/2021,$3.12,"191,378",$2.92,$3.15,$2.91
NRBO,07/27/2021,$2.97,"229,234",$2.95,$3.07,$2.83
NRBO,07/26/2021,$2.97,"259,873",$3.13,$3.15,$2.95
NRBO,07/23/2021,$3.07,"910,960",$3.38,$3.38,$2.9101
NRBO,07/22/2021,$3.24,"1,211,698",$3.25,$3.54,$3.165
NRBO,07/21/2021,$3.38,"6,011,665",$3.35,$3.48,$3.15
NRBO,07/20/2021,$3.97,"125,784,300",$4.08,$5.63,$3.78
NRBO,07/19/2021,$2.82,"4,492,320",$2.73,$2.9,$2.7
NRBO,07/16/2021,$2.73,"60,088",$2.76,$2.8333,$2.7
NRBO,07/15/2021,$2.74,"120,075",$2.88,$2.88,$2.705
