ticker,date,close,volume,open,high,low
OLMA,02/10/2022,$5.2,"437,873",$5.38,$5.68,$5.13
OLMA,02/09/2022,$5.59,"534,439",$5.28,$5.64,$5.1906
OLMA,02/08/2022,$5.26,"384,606",$5.88,$5.88,$5.23
OLMA,02/07/2022,$5.71,"416,120",$5.85,$6.06,$5.69
OLMA,02/04/2022,$5.88,"766,663",$5.87,$6.17,$5.6001
OLMA,02/03/2022,$5.88,"621,733",$6.23,$6.41,$5.81
OLMA,02/02/2022,$6.41,"520,405",$7.06,$7.41,$6.26
OLMA,02/01/2022,$7.02,"1,149,597",$6.6,$7.1,$6.4
OLMA,01/31/2022,$6.43,"432,185",$5.95,$6.46,$5.9
OLMA,01/28/2022,$5.88,"422,283",$5.77,$5.88,$5.4
OLMA,01/27/2022,$5.74,"385,223",$5.84,$6.06,$5.59
OLMA,01/26/2022,$5.92,"669,057",$6.16,$6.2999,$5.76
OLMA,01/25/2022,$6.15,"308,495",$6.36,$6.42,$5.755
OLMA,01/24/2022,$6.31,"347,462",$5.75,$6.39,$5.63
OLMA,01/21/2022,$5.95,"263,261",$6.17,$6.41,$5.945
OLMA,01/20/2022,$6.2,"234,377",$6.37,$6.72,$6.17
OLMA,01/19/2022,$6.35,"387,042",$6.58,$6.92,$6.3
OLMA,01/18/2022,$6.56,"423,233",$6.62,$6.71,$6.41
OLMA,01/14/2022,$6.69,"297,604",$6.42,$6.71,$6.27
OLMA,01/13/2022,$6.56,"272,182",$6.98,$7,$6.46
OLMA,01/12/2022,$6.86,"288,235",$7.24,$7.38,$6.83
OLMA,01/11/2022,$7.33,"494,194",$7.25,$7.76,$7.05
OLMA,01/10/2022,$7.16,"820,348",$7.22,$7.32,$6.6
OLMA,01/07/2022,$7.3,"429,589",$7.65,$7.71,$7.22
OLMA,01/06/2022,$7.61,"917,552",$8.16,$8.2864,$7.29
OLMA,01/05/2022,$8.11,"761,579",$9.1,$9.125,$7.995
OLMA,01/04/2022,$8.88,"391,990",$9.42,$9.45,$8.55
