ticker,date,close,volume,open,high,low
ONCR,02/10/2022,$2.74,"190,347",$2.84,$2.89,$2.72
ONCR,02/09/2022,$2.93,"243,192",$2.94,$3.01,$2.76
ONCR,02/08/2022,$2.91,"93,668",$3.05,$3.1,$2.87
ONCR,02/07/2022,$3.07,"73,047",$2.94,$3.2,$2.86
ONCR,02/04/2022,$2.93,"152,755",$2.99,$3.16,$2.9
ONCR,02/03/2022,$3.01,"63,288",$3.21,$3.26,$2.99
ONCR,02/02/2022,$3.2,"71,773",$3.56,$3.56,$3.19
ONCR,02/01/2022,$3.52,"84,185",$3.51,$3.68,$3.445
ONCR,01/31/2022,$3.47,"114,742",$3.17,$3.61,$3.17
ONCR,01/28/2022,$3.19,"99,531",$3.05,$3.36,$2.9001
ONCR,01/27/2022,$3.05,"79,494",$3.12,$3.33,$3.04
ONCR,01/26/2022,$3.21,"132,895",$3.55,$3.55,$3.16
ONCR,01/25/2022,$3.48,"87,195",$3.62,$3.65,$3.35
ONCR,01/24/2022,$3.63,"93,570",$3.28,$3.66,$3.15
ONCR,01/21/2022,$3.34,"144,674",$3.74,$3.74,$3.32
ONCR,01/20/2022,$3.61,"115,475",$3.84,$3.89,$3.57
ONCR,01/19/2022,$3.81,"71,652",$3.98,$4.09,$3.79
ONCR,01/18/2022,$3.96,"98,409",$4.25,$4.305,$3.945
ONCR,01/14/2022,$4.23,"72,841",$4.36,$4.36,$4.01
ONCR,01/13/2022,$4.25,"47,016",$4.48,$4.48,$4.22
ONCR,01/12/2022,$4.48,"96,752",$4.39,$4.68,$4.35
ONCR,01/11/2022,$4.38,"284,276",$4.65,$4.65,$4.205
ONCR,01/10/2022,$4.7,"72,155",$4.53,$4.76,$4.24
ONCR,01/07/2022,$4.54,"74,928",$4.82,$4.82,$4.4075
ONCR,01/06/2022,$4.76,"157,050",$4.86,$4.965,$4.54
ONCR,01/05/2022,$4.87,"105,722",$5.35,$5.365,$4.85
ONCR,01/04/2022,$5.32,"71,272",$5.64,$5.64,$5.18
ONCR,01/03/2022,$5.62,"59,579",$5.29,$5.7,$5.2
ONCR,12/31/2021,$5.27,"165,743",$5.48,$5.76,$5.22
ONCR,12/30/2021,$5.49,"104,144",$5.1,$5.62,$5.1
ONCR,12/29/2021,$5.09,"95,852",$5.23,$5.26,$5.025
ONCR,12/28/2021,$5.2,"116,273",$5.13,$5.35,$5.045
ONCR,12/27/2021,$5.15,"110,256",$5.38,$5.38,$5.08
ONCR,12/23/2021,$5.4,"64,948",$5.36,$5.62,$5.34
ONCR,12/22/2021,$5.4,"76,024",$5.35,$5.54,$5.1246
ONCR,12/21/2021,$5.34,"112,585",$5.45,$5.55,$5.1931
ONCR,12/20/2021,$5.45,"126,390",$5.26,$5.54,$5.115
ONCR,12/17/2021,$5.35,"460,309",$5.15,$5.455,$5.08
ONCR,12/16/2021,$5.18,"195,842",$5.18,$5.43,$5
ONCR,12/15/2021,$5.19,"208,278",$4.97,$5.2,$4.8
ONCR,12/14/2021,$5.03,"233,546",$5.42,$5.55,$4.91
ONCR,12/13/2021,$5.46,"109,741",$5.41,$5.6012,$5.3
ONCR,12/10/2021,$5.45,"102,425",$5.32,$5.55,$5.21
ONCR,12/09/2021,$5.29,"225,412",$5.81,$5.95,$5.28
ONCR,12/08/2021,$5.84,"229,261",$5.95,$6.08,$5.7
ONCR,12/07/2021,$5.91,"173,720",$5.83,$6.08,$5.79
ONCR,12/06/2021,$5.8,"210,019",$5.67,$5.88,$5.47
ONCR,12/03/2021,$5.65,"161,980",$5.8,$5.8,$5.37
ONCR,12/02/2021,$5.81,"127,890",$5.59,$5.8503,$5.455
ONCR,12/01/2021,$5.67,"222,450",$5.7,$5.86,$5.46
ONCR,11/30/2021,$5.54,"121,971",$5.47,$5.62,$5.3
ONCR,11/29/2021,$5.5,"119,629",$5.69,$5.69,$5.3155
ONCR,11/26/2021,$5.57,"73,846",$5.7,$5.82,$5.38
ONCR,11/24/2021,$5.85,"105,762",$5.59,$5.94,$5.5223
ONCR,11/23/2021,$5.66,"282,747",$5.75,$5.75,$5.51
ONCR,11/22/2021,$5.7,"286,678",$5.78,$5.79,$5.4
ONCR,11/19/2021,$5.83,"299,555",$5.85,$5.98,$5.6
ONCR,11/18/2021,$5.9,"378,385",$5.9,$5.94,$5.65
ONCR,11/17/2021,$5.63,"658,619",$5.78,$5.8687,$5.29
ONCR,11/16/2021,$5.84,"516,908",$5.69,$5.9799,$5.6
ONCR,11/15/2021,$5.78,"893,867",$6.13,$6.13,$5.55
ONCR,11/12/2021,$6.04,"4,296,314",$7.17,$7.29,$5.81
ONCR,11/11/2021,$11.1,"238,178",$10.85,$11.58,$10.63
ONCR,11/10/2021,$10.82,"94,117",$11.17,$11.28,$10.45
ONCR,11/09/2021,$11.15,"153,216",$11.72,$11.72,$10.54
ONCR,11/08/2021,$11.63,"72,574",$11.53,$11.8099,$11.53
ONCR,11/05/2021,$11.53,"70,546",$11.48,$11.7,$11.18
ONCR,11/04/2021,$11.43,"67,603",$11.25,$11.61,$11.2
ONCR,11/03/2021,$11.2,"82,685",$10.81,$11.34,$10.61
ONCR,11/02/2021,$10.83,"66,126",$11.22,$11.22,$10.37
ONCR,11/01/2021,$11.23,"148,806",$10.83,$11.45,$10.83
ONCR,10/29/2021,$10.66,"48,972",$10.96,$11.19,$10.59
ONCR,10/28/2021,$11.02,"70,695",$10.76,$11.24,$10.62
ONCR,10/27/2021,$10.73,"81,758",$10.57,$10.98,$10.45
ONCR,10/26/2021,$10.73,"71,582",$10.46,$10.885,$10.181
ONCR,10/25/2021,$10.35,"48,016",$10.27,$10.42,$9.7726
ONCR,10/22/2021,$10.13,"85,737",$10.4,$10.52,$9.66
ONCR,10/21/2021,$10.53,"135,887",$9.78,$10.77,$9.78
ONCR,10/20/2021,$9.83,"186,039",$10.73,$11.16,$9.72
ONCR,10/19/2021,$10.72,"171,006",$9.635,$10.93,$9.33
ONCR,10/18/2021,$9.51,"91,153",$9.45,$9.76,$9.17
ONCR,10/15/2021,$9.59,"92,619",$9.71,$10.01,$9.15
ONCR,10/14/2021,$9.61,"118,457",$10.05,$10.25,$9.51
ONCR,10/13/2021,$10.19,"163,559",$9.13,$10.35,$8.975
ONCR,10/12/2021,$9.05,"102,016",$8.75,$9.2,$8.75
ONCR,10/11/2021,$8.8,"52,975",$8.9,$9.025,$8.79
ONCR,10/08/2021,$8.86,"43,328",$9,$9.15,$8.75
ONCR,10/07/2021,$9.08,"97,101",$9,$9.315,$8.89
ONCR,10/06/2021,$8.93,"89,601",$9.3,$9.3,$8.83
ONCR,10/05/2021,$9.44,"97,697",$9.25,$9.44,$9.095
ONCR,10/04/2021,$9.22,"32,973",$9.38,$9.45,$9.17
ONCR,10/01/2021,$9.35,"50,054",$9.33,$9.48,$9.07
ONCR,09/30/2021,$9.34,"48,607",$9.43,$9.58,$9.17
ONCR,09/29/2021,$9.44,"62,160",$9.31,$9.55,$9.16
ONCR,09/28/2021,$9.29,"45,506",$9.39,$9.594,$9.05
ONCR,09/27/2021,$9.43,"93,614",$9.5,$9.85,$9.255
ONCR,09/24/2021,$9.47,"52,900",$9.5,$9.76,$9.35
ONCR,09/23/2021,$9.57,"104,071",$9.63,$9.85,$9.36
ONCR,09/22/2021,$9.54,"58,700",$9.59,$9.8499,$9.43
ONCR,09/21/2021,$9.48,"57,334",$9.38,$9.79,$9.01
ONCR,09/20/2021,$9.39,"98,812",$9.49,$9.75,$9.105
ONCR,09/17/2021,$9.64,"322,155",$10,$10.22,$9.6
ONCR,09/16/2021,$10,"40,491",$10,$10.08,$9.84
ONCR,09/15/2021,$9.97,"45,087",$10,$10.13,$9.93
ONCR,09/14/2021,$10.13,"42,158",$10.22,$10.285,$10.03
ONCR,09/13/2021,$10.15,"60,364",$10.14,$10.295,$10.09
ONCR,09/10/2021,$10.17,"59,660",$10.1,$10.24,$10.06
ONCR,09/09/2021,$10.07,"82,853",$10.05,$10.34,$10.05
ONCR,09/08/2021,$10.04,"98,966",$10.11,$10.63,$9.99
ONCR,09/07/2021,$10.23,"98,751",$10.33,$10.5,$10.12
ONCR,09/03/2021,$10.27,"87,893",$9.96,$10.6888,$9.96
ONCR,09/02/2021,$10.03,"80,450",$10.18,$10.32,$9.93
ONCR,09/01/2021,$10.16,"51,793",$10.4,$10.4,$9.92
ONCR,08/31/2021,$10.33,"73,403",$9.8,$10.47,$9.8
ONCR,08/30/2021,$9.8,"319,115",$10.58,$10.845,$9.64
ONCR,08/27/2021,$10.63,"81,711",$10.4,$10.99,$10.4
ONCR,08/26/2021,$10.43,"116,825",$10.51,$10.9999,$10.31
ONCR,08/25/2021,$10.6,"54,032",$10.25,$10.86,$10.25
ONCR,08/24/2021,$10.36,"61,586",$10.52,$10.7599,$9.89
ONCR,08/23/2021,$10.54,"93,147",$9.97,$10.64,$9.97
ONCR,08/20/2021,$9.93,"44,958",$9.8,$10.1,$9.66
ONCR,08/19/2021,$9.84,"102,752",$9.91,$10.1,$9.5804
ONCR,08/18/2021,$9.96,"150,972",$10.82,$10.82,$9.89
ONCR,08/17/2021,$10.94,"49,193",$10.7,$11.02,$10.43
ONCR,08/16/2021,$10.84,"71,982",$10.89,$11.1412,$10.6
ONCR,08/13/2021,$10.7,"131,133",$13.21,$13.27,$10.6001
ONCR,08/12/2021,$13.32,"43,346",$13.2,$13.41,$12.83
ONCR,08/11/2021,$13.14,"41,236",$13.36,$13.45,$12.71
ONCR,08/10/2021,$13.4,"26,119",$13.76,$13.76,$13.23
ONCR,08/09/2021,$13.68,"31,261",$13.37,$14.12,$13.35
ONCR,08/06/2021,$13.28,"45,764",$12.64,$13.28,$12.5266
ONCR,08/05/2021,$12.64,"34,726",$11.95,$12.71,$11.9
ONCR,08/04/2021,$12.02,"326,139",$12.23,$12.77,$12.02
ONCR,08/03/2021,$12.43,"41,867",$12.65,$12.9,$12.3
ONCR,08/02/2021,$12.68,"39,524",$12.88,$12.97,$12.59
