ticker,date,close,volume,open,high,low
ORGS,02/10/2022,$3.2,"7,580",$3.11,$3.2,$3.0701
ORGS,02/09/2022,$3.19,"21,744",$3.21,$3.2806,$3.07
ORGS,02/08/2022,$3.16,"8,421",$3.13,$3.16,$3.01
ORGS,02/07/2022,$3.09,"19,837",$3.35,$3.35,$3.09
ORGS,02/04/2022,$3.34,"20,885",$3.35,$3.35,$3.17
ORGS,02/03/2022,$3.29,"25,872",$3.38,$3.38,$3
ORGS,02/02/2022,$3.38,"55,680",$3.22,$3.43,$3.1276
ORGS,02/01/2022,$3.21,"78,990",$3.18,$3.27,$3.0405
ORGS,01/31/2022,$3.13,"65,790",$2.92,$3.18,$2.92
ORGS,01/28/2022,$2.96,"142,997",$2.86,$3.19,$2.86
ORGS,01/27/2022,$2.89,"81,666",$2.63,$2.94,$2.6
ORGS,01/26/2022,$2.57,"28,472",$2.5,$2.68,$2.48
ORGS,01/25/2022,$2.5,"32,159",$2.4899,$2.53,$2.4001
ORGS,01/24/2022,$2.54,"40,050",$2.64,$2.64,$2.32
ORGS,01/21/2022,$2.7,"70,616",$2.57,$2.75,$2.4
ORGS,01/20/2022,$2.57,"18,259",$2.52,$2.712,$2.52
ORGS,01/19/2022,$2.54,"61,806",$2.51,$2.7199,$2.46
ORGS,01/18/2022,$2.46,"54,255",$2.26,$2.53,$2.2556
ORGS,01/14/2022,$2.31,"122,105",$2.3,$2.35,$2.12
ORGS,01/13/2022,$2.31,"100,129",$2.41,$2.47,$2.26
ORGS,01/12/2022,$2.45,"60,830",$2.56,$2.6198,$2.41
ORGS,01/11/2022,$2.54,"39,770",$2.5,$2.64,$2.48
ORGS,01/10/2022,$2.5,"215,039",$2.62,$2.785,$2.34
ORGS,01/07/2022,$2.59,"58,292",$2.65,$2.979,$2.55
ORGS,01/06/2022,$2.64,"85,192",$2.59,$2.8299,$2.59
ORGS,01/05/2022,$2.6,"60,478",$2.88,$2.88,$2.6
ORGS,01/04/2022,$2.9,"30,922",$3.1,$3.16,$2.87
ORGS,01/03/2022,$3.03,"45,782",$2.93,$3.05,$2.88
ORGS,12/31/2021,$2.88,"98,555",$2.8,$2.93,$2.7701
ORGS,12/30/2021,$2.75,"204,349",$2.56,$2.81,$2.56
ORGS,12/29/2021,$2.61,"183,955",$2.72,$2.77,$2.59
ORGS,12/28/2021,$2.77,"221,133",$2.88,$2.94,$2.69
ORGS,12/27/2021,$2.88,"54,901",$3.04,$3.12,$2.85
ORGS,12/23/2021,$3.02,"23,646",$3,$3.05,$2.9701
ORGS,12/22/2021,$3.01,"75,100",$3.09,$3.12,$2.97
ORGS,12/21/2021,$3.03,"83,266",$3,$3.05,$2.97
ORGS,12/20/2021,$3,"55,211",$3.23,$3.23,$2.93
ORGS,12/17/2021,$3.19,"72,966",$2.85,$3.19,$2.85
ORGS,12/16/2021,$2.89,"71,633",$3.02,$3.02,$2.83
ORGS,12/15/2021,$2.96,"95,471",$2.92,$2.98,$2.8
ORGS,12/14/2021,$2.91,"81,557",$2.98,$3.0475,$2.9
ORGS,12/13/2021,$3.03,"176,807",$3.4,$3.43,$2.935
ORGS,12/10/2021,$3.4,"75,195",$3.33,$3.44,$3.3
ORGS,12/09/2021,$3.33,"48,649",$3.4,$3.47,$3.24
ORGS,12/08/2021,$3.37,"88,833",$3.37,$3.38,$3.205
ORGS,12/07/2021,$3.32,"49,653",$3.14,$3.41,$3.0682
ORGS,12/06/2021,$3.15,"134,620",$2.96,$3.18,$2.88
ORGS,12/03/2021,$2.89,"65,430",$3.11,$3.11,$2.88
ORGS,12/02/2021,$3.11,"59,352",$3.15,$3.15,$3.015
ORGS,12/01/2021,$3.11,"59,882",$3.11,$3.26,$3.09
ORGS,11/30/2021,$3.1,"286,465",$3.49,$3.525,$2.97
ORGS,11/29/2021,$3.45,"133,339",$3.68,$3.79,$3.43
ORGS,11/26/2021,$3.43,"103,526",$3.48,$3.6153,$3.42
ORGS,11/24/2021,$3.48,"40,410",$3.46,$3.5267,$3.46
ORGS,11/23/2021,$3.46,"66,298",$3.41,$3.52,$3.41
ORGS,11/22/2021,$3.4,"93,655",$3.62,$3.71,$3.4
ORGS,11/19/2021,$3.55,"75,828",$3.51,$3.7599,$3.51
ORGS,11/18/2021,$3.54,"83,652",$3.76,$3.98,$3.51
ORGS,11/17/2021,$3.76,"74,955",$3.83,$3.88,$3.72
ORGS,11/16/2021,$3.87,"73,857",$4.09,$4.1,$3.8
ORGS,11/15/2021,$4.06,"89,223",$4.21,$4.23,$4.05
ORGS,11/12/2021,$4.23,"85,195",$4.12,$4.28,$4.08
ORGS,11/11/2021,$4.05,"54,933",$4.22,$4.22,$4.03
ORGS,11/10/2021,$4.18,"73,144",$4.08,$4.2699,$4.08
ORGS,11/09/2021,$4.08,"166,222",$4.34,$4.4016,$4.08
ORGS,11/08/2021,$4.38,"137,187",$4.49,$4.56,$4.3207
ORGS,11/05/2021,$4.47,"151,033",$4.62,$4.7373,$4.47
ORGS,11/04/2021,$4.62,"317,031",$5.03,$5.2,$4.56
ORGS,11/03/2021,$4.79,"34,431",$4.78,$5,$4.75
ORGS,11/02/2021,$4.78,"32,017",$4.58,$4.79,$4.58
ORGS,11/01/2021,$4.61,"97,196",$4.5,$4.81,$4.48
ORGS,10/29/2021,$4.81,"8,572",$4.85,$4.8999,$4.81
ORGS,10/28/2021,$4.85,"16,801",$4.76,$4.88,$4.76
ORGS,10/27/2021,$4.76,"41,712",$4.7,$4.9,$4.7
ORGS,10/26/2021,$4.7,"15,522",$4.58,$4.7,$4.58
ORGS,10/25/2021,$4.56,"102,463",$4.67,$4.68,$4.52
ORGS,10/22/2021,$4.67,"11,701",$4.74,$4.74,$4.5708
ORGS,10/21/2021,$4.73,"102,218",$4.75,$4.81,$4.51
ORGS,10/20/2021,$4.81,"95,166",$4.78,$4.9489,$4.73
ORGS,10/19/2021,$4.83,"14,373",$4.78,$4.89,$4.78
ORGS,10/18/2021,$4.77,"11,248",$4.77,$4.85,$4.71
ORGS,10/15/2021,$4.76,"32,434",$4.86,$4.86,$4.76
ORGS,10/14/2021,$4.85,"17,970",$4.825,$4.89,$4.8212
ORGS,10/13/2021,$4.81,"28,030",$4.8,$4.9,$4.79
ORGS,10/12/2021,$4.85,"27,084",$4.87,$4.9,$4.81
ORGS,10/11/2021,$4.9,"25,325",$4.82,$4.9,$4.77
ORGS,10/08/2021,$4.85,"36,805",$4.88,$4.88,$4.7601
ORGS,10/07/2021,$4.86,"26,918",$4.79,$4.93,$4.79
ORGS,10/06/2021,$4.79,"30,774",$4.7,$4.97,$4.7
ORGS,10/05/2021,$4.77,"20,690",$4.72,$4.77,$4.71
ORGS,10/04/2021,$4.7,"59,907",$4.88,$4.88,$4.7
ORGS,10/01/2021,$4.9,"28,977",$5,$5,$4.76
ORGS,09/30/2021,$4.95,"15,669",$4.73,$4.95,$4.73
