ticker,date,close,volume,open,high,low
PLRX,02/10/2022,$11.5,"132,514",$10.93,$11.9,$10.86
PLRX,02/09/2022,$11.15,"105,688",$10.97,$11.4,$10.9
PLRX,02/08/2022,$10.82,"49,167",$10.92,$11.06,$10.6
PLRX,02/07/2022,$10.99,"196,641",$10.5,$11.08,$10.42
PLRX,02/04/2022,$10.55,"161,098",$10.9,$10.9,$10.23
PLRX,02/03/2022,$10.87,"77,163",$11.22,$11.26,$10.71
PLRX,02/02/2022,$11.44,"86,193",$12.13,$12.13,$11.2
PLRX,02/01/2022,$12.18,"119,254",$11.77,$12.36,$11.68
PLRX,01/31/2022,$11.73,"123,672",$11.5,$12,$11.2
PLRX,01/28/2022,$11.51,"143,757",$11.5,$11.62,$10.9
PLRX,01/27/2022,$11.48,"120,342",$11.88,$12.06,$11.325
PLRX,01/26/2022,$11.86,"167,858",$11.66,$12.21,$11.58
PLRX,01/25/2022,$11.5,"94,763",$11.22,$11.69,$11
PLRX,01/24/2022,$11.39,"121,085",$10.55,$11.5,$10.34
PLRX,01/21/2022,$10.73,"120,937",$10.99,$11.24,$10.66
PLRX,01/20/2022,$11.2,"49,881",$11.73,$12.08,$11.19
PLRX,01/19/2022,$11.53,"93,448",$11.77,$12.19,$11.47
PLRX,01/18/2022,$11.71,"110,474",$12.5,$12.5,$11.53
PLRX,01/14/2022,$12.68,"165,435",$12.88,$12.9,$12.17
PLRX,01/13/2022,$12.9,"439,825",$12.63,$13.24,$12.2
PLRX,01/12/2022,$12.56,"164,693",$13.16,$13.38,$12.5
PLRX,01/11/2022,$13.1,"128,548",$11.71,$13.19,$11.71
PLRX,01/10/2022,$11.79,"215,897",$13.08,$13.21,$11.275
PLRX,01/07/2022,$13.16,"52,233",$13.01,$13.59,$13.005
PLRX,01/06/2022,$13.11,"69,077",$13.11,$13.5,$12.71
PLRX,01/05/2022,$13.02,"81,322",$13.53,$13.97,$12.845
PLRX,01/04/2022,$13.55,"95,137",$14.1,$14.175,$13.21
PLRX,01/03/2022,$14.1,"68,294",$13.58,$14.105,$13.23
PLRX,12/31/2021,$13.5,"67,893",$13.88,$13.98,$13.42
PLRX,12/30/2021,$13.74,"77,438",$13.43,$14.25,$13.355
PLRX,12/29/2021,$13.48,"92,059",$13.7,$13.965,$13.25
PLRX,12/28/2021,$13.8,"68,991",$14.19,$14.3,$13.75
PLRX,12/27/2021,$14.27,"76,023",$15.3,$15.3,$14.19
PLRX,12/23/2021,$15.36,"160,049",$15.29,$15.76,$15.26
PLRX,12/22/2021,$15.33,"153,804",$15.2,$15.5,$15.02
PLRX,12/21/2021,$15.29,"191,329",$15.81,$16.13,$15.06
PLRX,12/20/2021,$15.59,"300,175",$15.16,$15.825,$14.3301
PLRX,12/17/2021,$15.46,"285,351",$14.78,$15.59,$14.71
PLRX,12/16/2021,$14.89,"152,371",$15.4,$15.575,$14.86
PLRX,12/15/2021,$15.2,"193,888",$15.19,$15.38,$14.5127
PLRX,12/14/2021,$15.17,"182,516",$15.79,$15.95,$15.14
PLRX,12/13/2021,$15.53,"186,298",$14.98,$15.825,$14.78
PLRX,12/10/2021,$15.11,"788,428",$14.7,$15.75,$14.7
PLRX,12/09/2021,$14.22,"276,872",$14.95,$15.61,$14.16
PLRX,12/08/2021,$15.14,"399,226",$13.77,$15.28,$13.74
PLRX,12/07/2021,$13.8,"321,620",$13.28,$13.8,$13
PLRX,12/06/2021,$12.96,"186,050",$12.28,$12.99,$11.91
PLRX,12/03/2021,$12.27,"134,585",$13.29,$13.57,$12.15
PLRX,12/02/2021,$13.2,"119,091",$13.29,$13.4,$12.61
PLRX,12/01/2021,$13.3,"106,993",$14.48,$14.72,$13.3
PLRX,11/30/2021,$14.18,"202,704",$14,$14.32,$13.23
PLRX,11/29/2021,$14.07,"177,208",$14.85,$14.99,$13.87
PLRX,11/26/2021,$14.49,"109,867",$14.57,$15.05,$14.2301
PLRX,11/24/2021,$15.02,"418,869",$14.62,$15.26,$13.94
PLRX,11/23/2021,$14.31,"318,931",$14.74,$14.74,$13.81
PLRX,11/22/2021,$14.82,"119,606",$15.355,$15.53,$14.54
PLRX,11/19/2021,$15,"117,159",$15.54,$15.54,$14.82
PLRX,11/18/2021,$15.7,"77,155",$16.34,$16.52,$15.6
