ticker,date,close,volume,open,high,low
PLX,02/10/2022,$0.98,"265,287",$0.99,$1.02,$0.97
PLX,02/09/2022,$1.02,"712,332",$1.1,$1.1001,$1
PLX,02/08/2022,$1.12,"412,222",$1.14,$1.14,$1.03
PLX,02/07/2022,$1.09,"530,819",$1.04,$1.12,$1.04
PLX,02/04/2022,$1.03,"976,658",$0.89,$1.12,$0.86
PLX,02/03/2022,$0.8856,"192,233",$0.8639,$0.9165,$0.84
PLX,02/02/2022,$0.862,"244,410",$0.907,$0.91,$0.86
PLX,02/01/2022,$0.88,"196,220",$0.8553,$0.88,$0.85
PLX,01/31/2022,$0.8421,"339,934",$0.8016,$0.89,$0.8016
PLX,01/28/2022,$0.8108,"204,009",$0.805,$0.84,$0.8
PLX,01/27/2022,$0.81,"170,474",$0.8114,$0.83,$0.81
PLX,01/26/2022,$0.8221,"129,259",$0.8337,$0.85,$0.82
PLX,01/25/2022,$0.8284,"217,871",$0.8181,$0.85,$0.7951
PLX,01/24/2022,$0.8403,"707,277",$0.8001,$0.8451,$0.7822
PLX,01/21/2022,$0.8147,"370,485",$0.82,$0.8267,$0.8029
PLX,01/20/2022,$0.8333,"392,556",$0.8404,$0.85,$0.815
PLX,01/19/2022,$0.84,"146,907",$0.8381,$0.85,$0.82
PLX,01/18/2022,$0.8144,"282,955",$0.85,$0.8651,$0.8144
PLX,01/14/2022,$0.8598,"590,353",$0.87,$0.9,$0.81
PLX,01/13/2022,$0.885,"106,961",$0.8989,$0.9,$0.87
PLX,01/12/2022,$0.9096,"235,353",$0.871,$0.92,$0.85
PLX,01/11/2022,$0.8728,"205,979",$0.8538,$0.9005,$0.8473
PLX,01/10/2022,$0.85,"613,742",$0.8986,$0.8986,$0.84
PLX,01/07/2022,$0.86,"349,348",$0.87,$0.8985,$0.8434
PLX,01/06/2022,$0.8716,"318,559",$0.93,$0.9301,$0.85
PLX,01/05/2022,$0.9306,"403,757",$0.95,$0.9705,$0.92
PLX,01/04/2022,$0.95,"380,666",$0.9076,$0.98,$0.9076
PLX,01/03/2022,$0.91,"539,397",$0.84,$0.9179,$0.84
PLX,12/31/2021,$0.8317,"773,838",$0.85,$0.88,$0.821
PLX,12/30/2021,$0.8549,"497,626",$0.81,$0.88,$0.81
PLX,12/29/2021,$0.8201,"1,127,208",$0.845,$0.8681,$0.8
PLX,12/28/2021,$0.8706,"1,142,172",$0.919,$0.9502,$0.8519
PLX,12/27/2021,$0.933,"494,073",$0.92,$0.9665,$0.9109
PLX,12/23/2021,$0.95,"790,824",$0.907,$0.9799,$0.87
PLX,12/22/2021,$0.9025,"644,615",$0.8588,$0.907,$0.8501
PLX,12/21/2021,$0.875,"906,075",$0.84,$0.907,$0.8399
PLX,12/20/2021,$0.8616,"378,649",$0.8385,$0.8891,$0.83
PLX,12/17/2021,$0.8738,"235,268",$0.88,$0.93,$0.85
