ticker,date,close,volume,open,high,low
PRFX,02/10/2022,$1.1506,"18,475",$1.12,$1.19,$1.11
PRFX,02/09/2022,$1.16,"69,687",$1.1,$1.19,$1.1
PRFX,02/08/2022,$1.11,"20,695",$1.09,$1.14,$1.09
PRFX,02/07/2022,$1.13,"227,301",$1.11,$1.16,$1.06
PRFX,02/04/2022,$1.0705,"24,864",$1.105,$1.13,$1.04
PRFX,02/03/2022,$1.08,"23,819",$1.06,$1.12,$1.02
PRFX,02/02/2022,$1.115,"70,672",$1.16,$1.186,$1.1
PRFX,02/01/2022,$1.185,"46,549",$1.11,$1.19,$1.08
PRFX,01/31/2022,$1.1001,"116,318",$1.18,$1.18,$1.03
PRFX,01/28/2022,$1.1,"332,337",$1.06,$1.2,$1.02
PRFX,01/27/2022,$1.09,"53,710",$1.2198,$1.2198,$1.04
PRFX,01/26/2022,$1.1,"38,150",$1.17,$1.23,$1.1
PRFX,01/25/2022,$1.18,"68,520",$1.14,$1.25,$1.13
PRFX,01/24/2022,$1.135,"112,395",$1.17,$1.25,$1.05
PRFX,01/21/2022,$1.17,"149,810",$1.24,$1.27,$1.13
PRFX,01/20/2022,$1.23,"112,726",$1.26,$1.31,$1.23
PRFX,01/19/2022,$1.28,"160,468",$1.37,$1.41,$1.21
PRFX,01/18/2022,$1.35,"658,649",$1.34,$1.55,$1.3
PRFX,01/14/2022,$1.39,"23,426",$1.3734,$1.43,$1.3718
PRFX,01/13/2022,$1.41,"68,421",$1.35,$1.47,$1.35
PRFX,01/12/2022,$1.38,"83,958",$1.34,$1.42,$1.34
PRFX,01/11/2022,$1.38,"97,459",$1.355,$1.4092,$1.3225
PRFX,01/10/2022,$1.36,"455,443",$1.31,$1.47,$1.2728
PRFX,01/07/2022,$1.33,"78,324",$1.36,$1.4269,$1.26
PRFX,01/06/2022,$1.39,"132,270",$1.41,$1.47,$1.35
PRFX,01/05/2022,$1.42,"165,559",$1.61,$1.65,$1.41
PRFX,01/04/2022,$1.56,"385,278",$1.43,$1.585,$1.27
PRFX,01/03/2022,$1.44,"787,046",$1.33,$1.73,$1.33
PRFX,12/31/2021,$1.33,"598,558",$1.3,$1.47,$1.26
PRFX,12/30/2021,$1.32,"152,534",$1.25,$1.37,$1.25
PRFX,12/29/2021,$1.26,"169,177",$1.27,$1.3,$1.16
PRFX,12/28/2021,$1.3,"106,469",$1.36,$1.37,$1.3
PRFX,12/27/2021,$1.37,"311,188",$1.6,$1.6698,$1.25
PRFX,12/23/2021,$1.59,"256,203",$1.61,$1.66,$1.53
PRFX,12/22/2021,$1.57,"156,620",$1.5,$1.65,$1.5
PRFX,12/21/2021,$1.54,"105,709",$1.435,$1.55,$1.41
PRFX,12/20/2021,$1.395,"104,349",$1.47,$1.4726,$1.37
PRFX,12/17/2021,$1.48,"127,327",$1.47,$1.55,$1.37
PRFX,12/16/2021,$1.42,"165,275",$1.5,$1.55,$1.42
PRFX,12/15/2021,$1.56,"43,722",$1.62,$1.67,$1.5
PRFX,12/14/2021,$1.59,"82,545",$1.63,$1.76,$1.58
PRFX,12/13/2021,$1.68,"79,969",$1.68,$1.79,$1.61
PRFX,12/10/2021,$1.65,"64,075",$1.65,$1.77,$1.62
PRFX,12/09/2021,$1.63,"40,256",$1.72,$1.76,$1.62
PRFX,12/08/2021,$1.77,"158,339",$1.7,$1.77,$1.57
PRFX,12/07/2021,$1.71,"514,103",$1.51,$1.7916,$1.51
PRFX,12/06/2021,$1.54,"193,237",$1.64,$1.68,$1.51
PRFX,12/03/2021,$1.66,"123,821",$1.7,$1.72,$1.58
PRFX,12/02/2021,$1.69,"250,995",$1.72,$1.74,$1.58
PRFX,12/01/2021,$1.73,"201,939",$1.74,$1.7999,$1.71
PRFX,11/30/2021,$1.79,"289,377",$1.94,$1.94,$1.72
PRFX,11/29/2021,$1.92,"148,031",$1.92,$1.97,$1.85
PRFX,11/26/2021,$1.95,"225,211",$1.8,$1.96,$1.79
PRFX,11/24/2021,$1.95,"646,052",$1.8,$2.08,$1.75
PRFX,11/23/2021,$1.91,"1,385,757",$2.11,$2.18,$1.83
PRFX,11/22/2021,$2.3,"17,394,540",$2.62,$2.82,$2.11
PRFX,11/19/2021,$2.29,"1,440,355",$2,$2.76,$2
PRFX,11/18/2021,$2.01,"502,578",$2.05,$2.2099,$1.8118
PRFX,11/17/2021,$2.03,"366,966",$2.31,$2.31,$2.01
PRFX,11/16/2021,$2.3,"209,585",$2.49,$2.49,$2.2301
PRFX,11/15/2021,$2.54,"503,296",$2.499,$2.56,$2.4
PRFX,11/12/2021,$2.48,"24,984",$2.47,$2.48,$2.39
PRFX,11/11/2021,$2.43,"46,056",$2.475,$2.475,$2.3643
PRFX,11/10/2021,$2.4,"71,186",$2.52,$2.53,$2.4
PRFX,11/09/2021,$2.56,"37,904",$2.65,$2.65,$2.48
PRFX,11/08/2021,$2.64,"578,778",$2.39,$2.65,$2.27
PRFX,11/05/2021,$2.37,"222,581",$2.5799,$2.5799,$2.33
PRFX,11/04/2021,$2.59,"385,418",$2.485,$2.75,$2.4361
PRFX,11/03/2021,$2.48,"245,770",$2.51,$2.6525,$2.47
PRFX,11/02/2021,$2.53,"26,840",$2.49,$2.53,$2.4261
PRFX,11/01/2021,$2.4602,"112,886",$2.3893,$2.54,$2.3604
PRFX,10/29/2021,$2.35,"21,986",$2.36,$2.38,$2.35
PRFX,10/28/2021,$2.36,"41,431",$2.45,$2.45,$2.35
PRFX,10/27/2021,$2.48,"75,930",$2.41,$2.49,$2.325
PRFX,10/26/2021,$2.38,"32,194",$2.41,$2.43,$2.38
PRFX,10/25/2021,$2.43,"163,390",$2.5,$2.58,$2.36
PRFX,10/22/2021,$2.45,"270,220",$2.5,$2.5,$2.35
PRFX,10/21/2021,$2.5,"102,101",$2.62,$2.67,$2.48
PRFX,10/20/2021,$2.66,"35,984",$2.57,$2.67,$2.566
PRFX,10/19/2021,$2.59,"84,684",$2.63,$2.6399,$2.52
PRFX,10/18/2021,$2.62,"54,951",$2.65,$2.68,$2.5801
PRFX,10/15/2021,$2.65,"68,549",$2.74,$2.75,$2.63
PRFX,10/14/2021,$2.7,"115,233",$2.64,$2.755,$2.6
PRFX,10/13/2021,$2.63,"62,976",$2.6,$2.65,$2.57
PRFX,10/12/2021,$2.64,"43,658",$2.585,$2.65,$2.58
PRFX,10/11/2021,$2.57,"93,219",$2.59,$2.75,$2.555
PRFX,10/08/2021,$2.58,"59,343",$2.63,$2.7012,$2.58
PRFX,10/07/2021,$2.61,"79,025",$2.76,$2.79,$2.61
PRFX,10/06/2021,$2.72,"59,706",$2.76,$2.77,$2.69
PRFX,10/05/2021,$2.73,"58,575",$2.77,$2.8458,$2.72
PRFX,10/04/2021,$2.78,"137,820",$2.91,$2.91,$2.75
PRFX,10/01/2021,$2.83,"100,685",$2.75,$2.9,$2.72
PRFX,09/30/2021,$2.77,"593,307",$3,$3,$2.5
PRFX,09/29/2021,$2.96,"148,974",$2.96,$3.005,$2.84
PRFX,09/28/2021,$2.97,"51,519",$3.11,$3.15,$2.96
PRFX,09/27/2021,$3.1,"65,573",$3.07,$3.15,$3.03
PRFX,09/24/2021,$3.05,"72,682",$2.97,$3.09,$2.9311
PRFX,09/23/2021,$2.92,"184,266",$3.03,$3.22,$2.9
PRFX,09/22/2021,$3.05,"169,885",$3.2,$3.3,$3.0086
PRFX,09/21/2021,$3.21,"223,536",$3.02,$3.3184,$2.975
PRFX,09/20/2021,$3,"131,133",$3.11,$3.13,$2.95
PRFX,09/17/2021,$3.18,"227,246",$3,$3.2,$2.92
PRFX,09/16/2021,$3,"376,251",$2.87,$3.2373,$2.81
PRFX,09/15/2021,$2.875,"299,902",$2.77,$2.95,$2.72
PRFX,09/14/2021,$2.73,"102,746",$2.82,$2.88,$2.73
PRFX,09/13/2021,$2.81,"155,617",$2.77,$2.89,$2.68
PRFX,09/10/2021,$2.79,"108,681",$2.77,$2.85,$2.72
PRFX,09/09/2021,$2.75,"234,314",$2.74,$2.77,$2.66
PRFX,09/08/2021,$2.75,"165,707",$2.79,$2.83,$2.71
PRFX,09/07/2021,$2.85,"352,821",$2.88,$2.98,$2.77
PRFX,09/03/2021,$2.92,"136,808",$3.03,$3.08,$2.91
PRFX,09/02/2021,$3.03,"259,960",$2.97,$3.15,$2.95
PRFX,09/01/2021,$3.01,"322,449",$2.95,$3.1292,$2.95
PRFX,08/31/2021,$2.95,"216,837",$2.88,$2.95,$2.83
PRFX,08/30/2021,$2.89,"710,875",$2.93,$3,$2.71
PRFX,08/27/2021,$2.92,"2,972,569",$3.45,$3.47,$2.8
PRFX,08/26/2021,$2.83,"1,436,827",$2.68,$3.08,$2.66
PRFX,08/25/2021,$2.66,"316,755",$2.69,$2.76,$2.61
PRFX,08/24/2021,$2.69,"417,013",$2.64,$2.78,$2.54
PRFX,08/23/2021,$2.61,"131,876",$2.58,$2.64,$2.58
PRFX,08/20/2021,$2.58,"198,301",$2.55,$2.68,$2.54
PRFX,08/19/2021,$2.58,"270,609",$2.75,$2.83,$2.57
PRFX,08/18/2021,$2.85,"1,161,312",$2.7,$2.95,$2.69
PRFX,08/17/2021,$2.68,"1,609,803",$2.5,$2.8561,$2.41
PRFX,08/16/2021,$2.56,"398,689",$2.65,$2.7,$2.5
PRFX,08/13/2021,$2.7113,"429,859",$2.63,$2.83,$2.62
PRFX,08/12/2021,$2.665,"202,112",$2.73,$2.74,$2.6301
PRFX,08/11/2021,$2.75,"742,091",$2.73,$3.05,$2.61
PRFX,08/10/2021,$2.68,"212,384",$2.71,$2.75,$2.66
PRFX,08/09/2021,$2.77,"379,974",$2.81,$2.83,$2.71
PRFX,08/06/2021,$2.81,"264,506",$2.7,$2.88,$2.66
PRFX,08/05/2021,$2.76,"304,823",$2.7,$2.81,$2.64
PRFX,08/04/2021,$2.74,"367,078",$2.75,$2.78,$2.68
PRFX,08/03/2021,$2.77,"1,404,632",$2.86,$3.11,$2.73
PRFX,08/02/2021,$2.83,"734,072",$2.965,$3.05,$2.81
PRFX,07/30/2021,$2.88,"1,739,052",$3.21,$3.4,$2.84
PRFX,07/29/2021,$3.46,"12,262,570",$2.92,$4.09,$2.77
PRFX,07/28/2021,$2.88,"662,531",$3.03,$3.06,$2.8501
PRFX,07/27/2021,$3.07,"1,171,051",$3.3,$3.39,$2.86
PRFX,07/26/2021,$3.33,"3,096,741",$3.58,$4.1,$3.32
PRFX,07/23/2021,$4,"18,238,290",$3.65,$5.24,$3.14
PRFX,07/22/2021,$4.08,"36,543,400",$4.76,$7.84,$3.54
PRFX,07/21/2021,$3.14,"8,598,180",$4.01,$4.64,$2.72
PRFX,07/20/2021,$3.15,"2,729,425",$2.69,$3.7855,$2.69
