ticker,date,close,volume,open,high,low
PRTC,02/10/2022,$37,670,$36,$37,$36
PRTC,02/09/2022,$35.11,122,$35.11,$35.11,$35.11
PRTC,02/08/2022,$36,N/A,$36,$36,$36
PRTC,02/07/2022,$36,"2,174",$36.62,$36.62,$35.99
PRTC,02/04/2022,$35,925,$36.71,$36.85,$34.5
PRTC,02/03/2022,$36,432,$36,$36,$36
PRTC,02/02/2022,$36.36,"1,290",$37,$37.02,$36.36
PRTC,02/01/2022,$37,"2,089",$38.42,$38.42,$36
PRTC,01/31/2022,$37.01,314,$37.01,$37.01,$37.01
PRTC,01/28/2022,$37.5,535,$39,$39,$37.5
PRTC,01/27/2022,$37.85,"9,940",$36.86,$38.7,$33.95
PRTC,01/26/2022,$36,"1,012",$35.35,$36,$35
PRTC,01/25/2022,$35.475,777,$35.5,$35.5,$35.475
PRTC,01/24/2022,$35.69,"1,705",$35.26,$36.8,$35.05
PRTC,01/21/2022,$37.32,"1,194",$40,$40.5,$37.32
PRTC,01/20/2022,$39.01,"1,705",$40.18,$40.18,$38.0001
PRTC,01/19/2022,$38.15,N/A,$38.15,$38.15,$38.15
PRTC,01/18/2022,$38.15,N/A,$38.15,$38.15,$38.15
PRTC,01/14/2022,$38.15,N/A,$38.15,$38.15,$38.15
PRTC,01/13/2022,$38.15,408,$38.15,$38.15,$38.15
PRTC,01/12/2022,$39.7075,494,$39.7075,$39.7075,$39.7075
PRTC,01/11/2022,$39.821,610,$39.821,$39.821,$39.821
PRTC,01/10/2022,$40.03,N/A,$40.03,$40.03,$40.03
PRTC,01/07/2022,$40.03,"2,548",$40.55,$41.58,$40.03
PRTC,01/06/2022,$42,"1,820",$41,$42,$39.5
PRTC,01/05/2022,$39.95,676,$39.5,$39.95,$39.5
PRTC,01/04/2022,$39.63,"3,685",$38,$40,$37.5
PRTC,01/03/2022,$37,"12,815",$37,$37.475,$36
PRTC,12/31/2021,$37,"7,475",$36.56,$37,$35.375
PRTC,12/30/2021,$36.98,"44,313",$37.03,$41.4,$36.9
PRTC,12/29/2021,$37,"31,250",$38,$38.2,$36.23
PRTC,12/28/2021,$37,"5,861",$39,$39.05,$36.12
PRTC,12/27/2021,$37.9,"1,426",$38.4,$38.4,$36.73
PRTC,12/23/2021,$36.99,"1,619",$36.735,$37.095,$36.735
PRTC,12/22/2021,$36.55,"1,711",$38.27,$38.27,$36.55
PRTC,12/21/2021,$37.61,697,$37.61,$37.61,$37.61
PRTC,12/20/2021,$40,564,$40,$40,$40
PRTC,12/17/2021,$41.16,"3,621",$39,$44.74,$38.62
PRTC,12/16/2021,$37.7,331,$37.7,$37.7,$37.7
PRTC,12/15/2021,$36,407,$36,$36,$36
PRTC,12/14/2021,$35.62,"1,135",$35.62,$35.62,$35.62
PRTC,12/13/2021,$36.36,242,$36.36,$36.36,$36.36
PRTC,12/10/2021,$36,535,$36,$36,$36
PRTC,12/09/2021,$35,506,$37.72,$37.72,$35
PRTC,12/08/2021,$39.7,313,$39.7,$39.7,$39.7
PRTC,12/07/2021,$39.79,"1,175",$38,$40.1575,$38
PRTC,12/06/2021,$35.12,"1,156",$35.8,$35.8,$35.12
PRTC,12/03/2021,$37,997,$38.07,$38.07,$35
PRTC,12/02/2021,$37.365,"3,561",$43.05,$43.05,$37.285
PRTC,12/01/2021,$43.57,N/A,$43.57,$43.57,$43.57
PRTC,11/30/2021,$43.57,N/A,$43.57,$43.57,$43.57
PRTC,11/29/2021,$43.57,339,$43.57,$43.57,$43.57
PRTC,11/26/2021,$44.07,721,$43.5,$44.07,$43.5
PRTC,11/24/2021,$43.5,491,$44.5,$44.5,$43.5
PRTC,11/23/2021,$42.98,470,$42.98,$42.98,$42.98
PRTC,11/22/2021,$44,933,$44.72,$44.72,$44
PRTC,11/19/2021,$44,463,$44.46,$44.46,$44
PRTC,11/18/2021,$44.75,"4,430",$45.75,$46,$44.75
PRTC,11/17/2021,$45.3,"3,285",$44,$45.49,$44
PRTC,11/16/2021,$45.3,"4,528",$45.5,$45.8,$45.3
PRTC,11/15/2021,$44,569,$43.975,$44,$43.975
PRTC,11/12/2021,$46.1,836,$45.88,$46.1,$45.88
PRTC,11/11/2021,$46.99,"3,223",$45,$48,$45
PRTC,11/10/2021,$44,"3,307",$48,$48,$44
PRTC,11/09/2021,$49.48,"1,271",$51,$51,$48.22
PRTC,11/08/2021,$51.64,"6,037",$48.6,$52.5,$48.6
PRTC,11/05/2021,$49.49,"2,022",$48.82,$49.54,$48
PRTC,11/04/2021,$50.11,"1,096",$49.19,$50.11,$47.5
PRTC,11/03/2021,$50,717,$49.05,$50,$49
PRTC,11/02/2021,$48.5,"2,504",$48.73,$49.38,$48.5
PRTC,11/01/2021,$48.7,356,$48.99,$48.99,$48.7
PRTC,10/29/2021,$48.67,"1,023",$48.725,$48.725,$48.6406
PRTC,10/28/2021,$48,107,$48,$48,$48
PRTC,10/27/2021,$47.8,733,$48.69,$48.69,$47.8
PRTC,10/26/2021,$47.85,"1,490",$48.445,$48.58,$47.85
PRTC,10/25/2021,$48.3,194,$48.3,$48.3,$48.3
PRTC,10/22/2021,$47.6,"8,472",$48.76,$49.48,$47.5
PRTC,10/21/2021,$51,441,$50.44,$51,$50.44
PRTC,10/20/2021,$50.09,608,$50.04,$50.81,$50.04
