ticker,date,close,volume,open,high,low
PTGX,02/10/2022,$27.45,"841,832",$28.16,$28.52,$26.91
PTGX,02/09/2022,$28.41,"695,754",$28.26,$29.245,$27.87
PTGX,02/08/2022,$27.92,"503,870",$28.2,$28.37,$27.1
PTGX,02/07/2022,$28,"447,080",$28.2,$29.1,$27.75
PTGX,02/04/2022,$28.24,"598,122",$29.05,$29.45,$28.07
PTGX,02/03/2022,$28.95,"346,062",$29,$29.62,$28.29
PTGX,02/02/2022,$29.41,"622,377",$30.3,$30.42,$29.31
PTGX,02/01/2022,$30.25,"368,911",$29.89,$30.4,$28.48
PTGX,01/31/2022,$29.29,"538,018",$28.27,$29.75,$28.27
PTGX,01/28/2022,$28.15,"704,860",$26.49,$28.15,$25.96
PTGX,01/27/2022,$26.38,"603,870",$29.18,$29.65,$26.27
PTGX,01/26/2022,$28.42,"634,977",$29.28,$30.34,$28
PTGX,01/25/2022,$28.8,"884,675",$28.45,$29.92,$27.35
PTGX,01/24/2022,$28.97,"1,510,844",$28.32,$29.17,$27.17
PTGX,01/21/2022,$29.33,"1,086,257",$31.43,$32.16,$29.04
PTGX,01/20/2022,$31.81,"673,064",$34.87,$35.59,$31.63
PTGX,01/19/2022,$34.27,"689,327",$34.36,$36.16,$34.11
PTGX,01/18/2022,$34.59,"854,758",$34.76,$35.49,$34.36
PTGX,01/14/2022,$35.96,"1,008,535",$30.95,$36.12,$30.95
PTGX,01/13/2022,$34.75,"535,212",$35.57,$36.32,$34.435
PTGX,01/12/2022,$35.39,"404,835",$35.04,$35.96,$34.69
PTGX,01/11/2022,$34.82,"369,324",$33.35,$35.65,$32.98
PTGX,01/10/2022,$34.53,"739,615",$34.52,$35,$33.83
PTGX,01/07/2022,$34.86,"620,847",$34.18,$36.24,$34.18
PTGX,01/06/2022,$34.54,"538,226",$34.62,$36.08,$33.86
PTGX,01/05/2022,$34.6,"587,327",$35.92,$37.045,$34.51
PTGX,01/04/2022,$36.08,"946,420",$35.5,$36.85,$34.68
PTGX,01/03/2022,$35.32,"717,582",$34.19,$35.41,$33.95
PTGX,12/31/2021,$34.2,"532,729",$34.17,$34.6,$33.89
PTGX,12/30/2021,$34.25,"549,431",$34.38,$35.1625,$34
PTGX,12/29/2021,$34.38,"386,988",$34.06,$34.59,$33.745
PTGX,12/28/2021,$34.01,"435,320",$33.98,$34.904,$33.695
PTGX,12/27/2021,$34.19,"397,395",$33.56,$34.305,$33.56
PTGX,12/23/2021,$34.25,"601,596",$32.9,$34.47,$31.97
PTGX,12/22/2021,$32.63,"282,159",$32.07,$32.84,$31.22
PTGX,12/21/2021,$32.24,"374,574",$31.78,$32.46,$31.46
PTGX,12/20/2021,$31.68,"586,932",$29.94,$31.86,$28.78
PTGX,12/17/2021,$30.36,"1,799,046",$28.85,$30.77,$28.2
PTGX,12/16/2021,$28.94,"805,270",$30.74,$31.22,$28.605
PTGX,12/15/2021,$30.54,"673,777",$29.8,$30.71,$29.37
PTGX,12/14/2021,$29.75,"732,281",$31.16,$31.475,$28.77
PTGX,12/13/2021,$31.94,"1,114,558",$31.86,$33.765,$31.35
PTGX,12/10/2021,$31.81,"307,177",$32.73,$33.06,$31.68
PTGX,12/09/2021,$32.38,"326,405",$34.19,$34.4,$32.35
PTGX,12/08/2021,$34.04,"468,858",$33.65,$34.45,$33.1
PTGX,12/07/2021,$33.82,"387,690",$33.47,$34.52,$32.51
PTGX,12/06/2021,$32.81,"282,325",$32.35,$33.23,$31.0627
PTGX,12/03/2021,$32.27,"476,807",$32.68,$33.17,$31.79
PTGX,12/02/2021,$32.69,"556,269",$30.81,$32.91,$30.75
PTGX,12/01/2021,$30.93,"738,163",$33.99,$34.12,$30.86
PTGX,11/30/2021,$33.62,"414,495",$32.26,$33.77,$31.0601
PTGX,11/29/2021,$32.57,"398,261",$33.83,$34.28,$32.55
PTGX,11/26/2021,$33.26,"271,454",$33.29,$34.91,$32.35
PTGX,11/24/2021,$34.71,"288,801",$34.55,$35.37,$33.69
PTGX,11/23/2021,$34.69,"419,613",$34.2,$34.84,$33.07
PTGX,11/22/2021,$34.15,"360,671",$35.33,$35.78,$33.93
PTGX,11/19/2021,$35.03,"707,303",$36.42,$36.835,$34.92
PTGX,11/18/2021,$36.41,"652,942",$37,$37.92,$35.97
PTGX,11/17/2021,$36.42,"339,798",$36.58,$37.26,$35.91
PTGX,11/16/2021,$36.71,"760,170",$35.8,$37.27,$34.89
PTGX,11/15/2021,$35.74,"436,090",$37.27,$38.11,$35.51
PTGX,11/12/2021,$37.1,"533,715",$36.41,$37.3,$35.87
PTGX,11/11/2021,$36.25,"397,919",$35.77,$36.7,$35.445
PTGX,11/10/2021,$36.1,"973,266",$35.27,$36.35,$34.515
PTGX,11/09/2021,$35.51,"554,524",$34.39,$35.8,$33.215
PTGX,11/08/2021,$34.64,"1,086,355",$33.79,$34.99,$33.79
PTGX,11/05/2021,$33.74,"526,745",$33.94,$34.74,$32.77
PTGX,11/04/2021,$33.86,"783,244",$32.85,$34.3,$32.56
PTGX,11/03/2021,$32.93,"614,552",$32.22,$33.02,$31.84
PTGX,11/02/2021,$32.25,"662,433",$32.73,$33,$31.63
PTGX,11/01/2021,$32.96,"556,734",$31.6,$33.1602,$31.325
PTGX,10/29/2021,$31.16,"505,648",$32.42,$32.42,$30.84
PTGX,10/28/2021,$32.37,"662,631",$32,$33.12,$31.52
PTGX,10/27/2021,$31.86,"472,499",$32.25,$33.01,$31.78
PTGX,10/26/2021,$32.42,"370,707",$32.01,$32.78,$31.45
PTGX,10/25/2021,$31.95,"515,008",$30.85,$32.075,$30.01
PTGX,10/22/2021,$30.96,"528,706",$30.93,$31.45,$30.02
PTGX,10/21/2021,$31.05,"815,999",$30.06,$31.145,$29.2242
PTGX,10/20/2021,$29.99,"803,694",$29.44,$30.29,$28.56
PTGX,10/19/2021,$29.69,"494,465",$30.04,$30.37,$29.52
PTGX,10/18/2021,$30.12,"1,000,360",$30.93,$31.05,$29.81
PTGX,10/15/2021,$30.97,"887,407",$31.74,$31.74,$30.22
PTGX,10/14/2021,$31.19,"1,354,039",$32.14,$33.2,$31.14
PTGX,10/13/2021,$31.8,"1,262,238",$31.53,$32.7,$31.1
PTGX,10/12/2021,$31.72,"4,749,597",$35.36,$35.52,$30.8301
PTGX,10/11/2021,$35.36,"45,683,600",$34.075,$37.1,$32.1
PTGX,10/08/2021,$18.24,"383,573",$18.12,$18.75,$18.01
PTGX,10/07/2021,$18.11,"381,624",$17.96,$18.46,$17.7104
PTGX,10/06/2021,$17.63,"577,286",$17.87,$18.17,$17.5
PTGX,10/05/2021,$17.99,"638,053",$17.87,$18.12,$17.52
PTGX,10/04/2021,$17.75,"801,955",$17.86,$18.75,$17.52
PTGX,10/01/2021,$17.95,"571,071",$17.72,$18.15,$17.2601
PTGX,09/30/2021,$17.72,"972,613",$17.57,$18.0999,$17.57
PTGX,09/29/2021,$17.57,"1,045,483",$18.3,$18.4387,$16.93
PTGX,09/28/2021,$18.23,"1,331,644",$18.701,$18.99,$18.02
PTGX,09/27/2021,$19.16,"1,892,267",$18.67,$19.41,$18
PTGX,09/24/2021,$18.81,"2,157,645",$17.62,$18.93,$17.47
PTGX,09/23/2021,$18,"2,955,581",$15.34,$18.03,$15.34
PTGX,09/22/2021,$15.47,"2,934,807",$15.87,$16.27,$14.75
PTGX,09/21/2021,$15.31,"8,137,833",$13.3,$15.53,$13.3
PTGX,09/20/2021,$12.95,"13,324,800",$16.77,$16.8,$12.8
PTGX,09/17/2021,$17.53,"12,498,980",$20.4357,$20.4357,$15.51
PTGX,09/16/2021,$46.13,"163,794",$46.34,$46.54,$45.69
PTGX,09/15/2021,$46.47,"293,539",$44.98,$47.28,$44.455
PTGX,09/14/2021,$45.06,"309,121",$45.39,$46.11,$45
PTGX,09/13/2021,$45.39,"293,274",$45.11,$45.7,$43.76
PTGX,09/10/2021,$45.08,"365,962",$45.93,$46.37,$44.73
PTGX,09/09/2021,$45.82,"320,083",$46.2,$46.96,$45.58
PTGX,09/08/2021,$46.37,"342,689",$48.48,$48.48,$46.06
PTGX,09/07/2021,$48.63,"342,659",$49,$50.54,$48.51
PTGX,09/03/2021,$48.88,"214,778",$49.45,$49.7496,$48.82
PTGX,09/02/2021,$49.62,"265,754",$49.69,$49.9,$48.96
PTGX,09/01/2021,$49.69,"297,754",$48.4,$49.74,$47.947
PTGX,08/31/2021,$48.5,"318,490",$46.95,$48.8,$46.26
PTGX,08/30/2021,$46.76,"232,427",$47.75,$48.465,$46.6
PTGX,08/27/2021,$47.87,"311,866",$47,$48.32,$45.77
PTGX,08/26/2021,$47.15,"247,577",$49.05,$49.85,$47.07
PTGX,08/25/2021,$49.07,"155,018",$49.73,$50,$48.49
PTGX,08/24/2021,$49.67,"216,464",$49.5,$49.9,$48.3843
PTGX,08/23/2021,$49.59,"400,225",$49.6,$50.2,$48.66
PTGX,08/20/2021,$49.22,"315,859",$48.02,$49.82,$48.02
PTGX,08/19/2021,$48.23,"219,062",$46.24,$48.88,$45.91
PTGX,08/18/2021,$46.66,"279,022",$48.02,$48.52,$46.53
PTGX,08/17/2021,$48.28,"182,605",$47.27,$48.5,$46.01
PTGX,08/16/2021,$47.85,"148,400",$47.43,$48.87,$46.75
PTGX,08/13/2021,$47.69,"223,066",$48.49,$49.5,$47.62
PTGX,08/12/2021,$48.61,"250,896",$47.81,$49.29,$47.11
PTGX,08/11/2021,$48,"306,781",$48.85,$49.27,$46.54
PTGX,08/10/2021,$49.6,"498,195",$49.08,$50.49,$47.88
PTGX,08/09/2021,$49.07,"290,348",$47.59,$49.145,$46.84
PTGX,08/06/2021,$48.11,"478,672",$48.92,$49.25,$47.27
PTGX,08/05/2021,$48.19,"440,799",$48.79,$48.85,$46.55
PTGX,08/04/2021,$48.98,"451,703",$49.1,$49.95,$48.49
PTGX,08/03/2021,$49.26,"389,364",$49.2,$49.75,$47.8772
PTGX,08/02/2021,$49.08,"245,726",$49.67,$49.86,$48.4
PTGX,07/30/2021,$49.43,"516,980",$47.38,$49.5,$47.38
PTGX,07/29/2021,$47.12,"362,597",$47.61,$49.0025,$46.66
PTGX,07/28/2021,$46.99,"462,829",$45.78,$47.025,$44.4896
PTGX,07/27/2021,$45.51,"498,704",$46.6,$47,$44.94
PTGX,07/26/2021,$46.8,"399,297",$46.89,$47.77,$45.37
PTGX,07/23/2021,$47.02,"336,157",$47.04,$47.885,$45.55
PTGX,07/22/2021,$46.82,"466,865",$47.81,$48.17,$46.78
PTGX,07/21/2021,$47.96,"506,694",$48.7,$48.7,$46.85
PTGX,07/20/2021,$48.4,"423,868",$47.02,$48.56,$46.3832
PTGX,07/19/2021,$46.72,"317,887",$44.91,$47.27,$44.55
PTGX,07/16/2021,$45.82,"251,397",$44.415,$46.12,$44.21
PTGX,07/15/2021,$44.26,"226,605",$44.52,$45,$43.2708
PTGX,07/14/2021,$44.87,"451,940",$46.52,$46.52,$44.565
PTGX,07/13/2021,$46.12,"218,164",$46,$46.6,$45.44
PTGX,07/12/2021,$46.32,"173,558",$46.44,$47.5542,$46.075
PTGX,07/09/2021,$46.19,"293,275",$45.62,$46.4,$45.32
PTGX,07/08/2021,$45.42,"313,435",$44,$45.94,$43.19
PTGX,07/07/2021,$45.17,"352,270",$45.02,$46.14,$44.4
PTGX,07/06/2021,$45.12,"233,335",$46.1,$46.16,$44.25
