ticker,date,close,volume,open,high,low
RSLS,02/10/2022,$1.26,"190,796",$1.2,$1.29,$1.2
RSLS,02/09/2022,$1.19,"97,675",$1.18,$1.275,$1.18
RSLS,02/08/2022,$1.19,"134,765",$1.13,$1.22,$1.13
RSLS,02/07/2022,$1.15,"243,904",$1.2,$1.22,$1.14
RSLS,02/04/2022,$1.19,"74,291",$1.18,$1.2076,$1.13
RSLS,02/03/2022,$1.17,"121,682",$1.15,$1.21,$1.11
RSLS,02/02/2022,$1.2,"173,167",$1.28,$1.28,$1.19
RSLS,02/01/2022,$1.28,"159,393",$1.22,$1.32,$1.22
RSLS,01/31/2022,$1.27,"146,327",$1.17,$1.28,$1.1622
RSLS,01/28/2022,$1.2,"125,102",$1.2,$1.2378,$1.1501
RSLS,01/27/2022,$1.18,"174,813",$1.27,$1.3,$1.18
RSLS,01/26/2022,$1.27,"300,587",$1.28,$1.35,$1.26
RSLS,01/25/2022,$1.26,"128,062",$1.25,$1.3,$1.22
RSLS,01/24/2022,$1.27,"289,080",$1.3,$1.35,$1.16
RSLS,01/21/2022,$1.35,"173,761",$1.48,$1.48,$1.35
RSLS,01/20/2022,$1.48,"100,747",$1.51,$1.55,$1.47
RSLS,01/19/2022,$1.51,"90,065",$1.54,$1.54,$1.48
RSLS,01/18/2022,$1.55,"214,858",$1.53,$1.58,$1.5
RSLS,01/14/2022,$1.58,"208,558",$1.46,$1.58,$1.43
RSLS,01/13/2022,$1.51,"122,830",$1.53,$1.5393,$1.47
RSLS,01/12/2022,$1.51,"216,689",$1.62,$1.62,$1.49
RSLS,01/11/2022,$1.61,"230,709",$1.49,$1.625,$1.46
RSLS,01/10/2022,$1.49,"263,469",$1.53,$1.53,$1.44
RSLS,01/07/2022,$1.54,"230,520",$1.57,$1.63,$1.53
RSLS,01/06/2022,$1.59,"273,326",$1.71,$1.72,$1.59
RSLS,01/05/2022,$1.72,"149,254",$1.76,$1.7987,$1.69
RSLS,01/04/2022,$1.79,"149,344",$1.82,$1.825,$1.75
RSLS,01/03/2022,$1.86,"319,548",$1.66,$1.86,$1.622
RSLS,12/31/2021,$1.64,"426,378",$1.69,$1.69,$1.62
RSLS,12/30/2021,$1.69,"519,760",$1.66,$1.7676,$1.62
RSLS,12/29/2021,$1.65,"322,611",$1.72,$1.73,$1.62
