ticker,date,close,volume,open,high,low
RXST,02/10/2022,$14.03,"131,560",$12.97,$14.099,$12.97
RXST,02/09/2022,$13.16,"103,204",$12.76,$13.75,$12.39
RXST,02/08/2022,$12.82,"155,096",$11.43,$13,$11.43
RXST,02/07/2022,$11.36,"105,797",$10.71,$11.79,$10.58
RXST,02/04/2022,$10.77,"397,962",$10.67,$11.41,$10.15
RXST,02/03/2022,$10.76,"72,015",$11.57,$11.78,$10.71
RXST,02/02/2022,$11.69,"85,211",$11.1,$11.985,$10.5696
RXST,02/01/2022,$11.07,"86,759",$10.42,$11.15,$10.25
RXST,01/31/2022,$10.29,"78,827",$9.92,$10.7243,$9.81
RXST,01/28/2022,$9.97,"159,778",$9.73,$10.21,$9.2
RXST,01/27/2022,$9.73,"57,217",$10.83,$10.83,$9.72
RXST,01/26/2022,$10.87,"86,506",$11.36,$11.83,$10.76
RXST,01/25/2022,$11.29,"93,684",$11.09,$11.52,$9.78
RXST,01/24/2022,$11.33,"106,653",$10.92,$11.46,$10.02
RXST,01/21/2022,$11.03,"50,292",$11.8,$11.8,$10.8001
RXST,01/20/2022,$11.87,"73,564",$11.77,$12.25,$11.66
RXST,01/19/2022,$11.76,"159,301",$11.24,$12,$11.19
RXST,01/18/2022,$10.95,"83,033",$10.94,$11.19,$10.79
RXST,01/14/2022,$11.12,"70,887",$11.02,$11.5284,$10.8
RXST,01/13/2022,$11.02,"47,290",$11.22,$11.3401,$10.93
RXST,01/12/2022,$11.18,"80,577",$11.8,$11.8,$10.885
RXST,01/11/2022,$11.62,"156,627",$11.5,$11.96,$11
RXST,01/10/2022,$11.5,"480,869",$10,$12.65,$9.89
RXST,01/07/2022,$8.97,"29,085",$9.3185,$9.4904,$8.8
RXST,01/06/2022,$9.28,"48,182",$9.66,$9.68,$9.18
RXST,01/05/2022,$9.62,"65,219",$10.11,$10.14,$9.6
RXST,01/04/2022,$10.06,"57,203",$11.48,$11.48,$10
RXST,01/03/2022,$11.33,"54,177",$11.21,$12.38,$10.6347
RXST,12/31/2021,$11.25,"46,555",$10.56,$11.39,$10.56
RXST,12/30/2021,$10.57,"107,852",$10.63,$10.73,$10.23
RXST,12/29/2021,$10.53,"65,749",$10.32,$10.64,$10.07
RXST,12/28/2021,$10.33,"60,146",$10.54,$10.81,$10.2183
RXST,12/27/2021,$10.51,"39,749",$10.81,$10.9,$10.1709
RXST,12/23/2021,$10.63,"44,430",$9.95,$10.82,$9.52
RXST,12/22/2021,$10.03,"56,885",$10,$10.31,$9.83
RXST,12/21/2021,$9.96,"49,750",$9.55,$10.12,$9.52
RXST,12/20/2021,$9.52,"71,872",$10.2,$10.2146,$9.18
RXST,12/17/2021,$10.26,"103,916",$9.72,$10.64,$9.3827
RXST,12/16/2021,$9.76,"61,364",$10.47,$10.47,$9.7201
RXST,12/15/2021,$10.11,"140,940",$11.3,$11.5,$10
RXST,12/14/2021,$11.23,"111,779",$11.85,$11.89,$11
RXST,12/13/2021,$12.03,"131,417",$11.51,$12.64,$10.465
RXST,12/10/2021,$11.69,"38,750",$12.25,$12.44,$11.67
RXST,12/09/2021,$12.25,"34,375",$12.2,$12.4987,$11.91
RXST,12/08/2021,$12.36,"87,989",$11.6,$12.41,$11.53
RXST,12/07/2021,$11.71,"75,015",$11.21,$11.97,$10.84
RXST,12/06/2021,$11.01,"110,286",$11.32,$11.99,$10.8
RXST,12/03/2021,$11.17,"61,458",$11.46,$11.877,$11.01
RXST,12/02/2021,$11.36,"81,521",$11.21,$11.76,$10.86
RXST,12/01/2021,$11.13,"90,560",$11,$11.854,$10.5
RXST,11/30/2021,$10.85,"73,892",$11.23,$11.33,$10.22
RXST,11/29/2021,$11.29,"97,156",$12.27,$12.42,$11.29
RXST,11/26/2021,$12.37,"62,348",$13.46,$13.46,$12.3
RXST,11/24/2021,$13.36,"53,544",$13.4,$13.98,$12.5701
RXST,11/23/2021,$13.49,"53,558",$13.73,$13.91,$12.8
RXST,11/22/2021,$13.63,"95,836",$13.47,$14.19,$13.265
RXST,11/19/2021,$13.52,"94,550",$13.06,$13.6726,$13.02
RXST,11/18/2021,$12.8,"83,539",$12.6,$12.99,$12.3
RXST,11/17/2021,$12.63,"80,854",$12.35,$12.81,$12.26
RXST,11/16/2021,$12.42,"164,247",$12.06,$12.54,$11.86
RXST,11/15/2021,$12.08,"38,596",$12.29,$12.34,$11.825
RXST,11/12/2021,$12.29,"59,268",$12.7,$12.8714,$11.935
RXST,11/11/2021,$12.63,"83,870",$12.14,$12.76,$11.6
RXST,11/10/2021,$12.1,"169,556",$12.28,$12.95,$11.6
RXST,11/09/2021,$12.18,"41,577",$12.85,$12.85,$11.984
RXST,11/08/2021,$12.85,"35,712",$13.5,$13.5,$12.61
RXST,11/05/2021,$13.23,"83,535",$13.05,$13.33,$12.925
RXST,11/04/2021,$12.86,"48,156",$13.01,$13.01,$12.345
RXST,11/03/2021,$12.94,"125,689",$12.51,$12.98,$12.09
RXST,11/02/2021,$12.7,"76,326",$11.79,$13.03,$11.64
RXST,11/01/2021,$11.74,"129,441",$12.15,$12.4341,$11.585
RXST,10/29/2021,$11.98,"54,008",$12.11,$12.19,$11.8601
RXST,10/28/2021,$12.11,"37,721",$12.09,$12.325,$11.79
RXST,10/27/2021,$11.99,"51,658",$12.07,$12.31,$11.81
RXST,10/26/2021,$12,"44,678",$11.73,$12.52,$11.73
RXST,10/25/2021,$11.55,"26,908",$11.73,$11.88,$11.21
RXST,10/22/2021,$11.73,"18,698",$12.23,$12.34,$11.51
RXST,10/21/2021,$12.06,"36,335",$11.95,$12.19,$11.5
RXST,10/20/2021,$11.78,"26,324",$12.03,$12.07,$11.71
RXST,10/19/2021,$11.81,"60,973",$12.76,$13.54,$11.5
RXST,10/18/2021,$12.53,"60,519",$13.41,$13.715,$12.42
RXST,10/15/2021,$13.56,"46,768",$13.84,$13.84,$12.86
RXST,10/14/2021,$13.65,"23,349",$13.81,$13.89,$13.4
RXST,10/13/2021,$13.71,"36,671",$13.04,$13.865,$12.76
RXST,10/12/2021,$12.84,"19,887",$12.44,$12.92,$12.44
RXST,10/11/2021,$12.59,"36,234",$12.78,$13.22,$12.3548
RXST,10/08/2021,$12.62,"26,480",$13.22,$13.3,$12.55
RXST,10/07/2021,$13.2,"41,158",$13.65,$14.0418,$13.01
RXST,10/06/2021,$13.63,"122,295",$13.57,$13.84,$13.05
RXST,10/05/2021,$13.81,"37,952",$13.78,$13.895,$13.36
RXST,10/04/2021,$13.66,"79,815",$13.02,$13.885,$12.995
RXST,10/01/2021,$13.04,"48,245",$12.62,$13.16,$12.32
RXST,09/30/2021,$12.67,"74,623",$12.49,$12.96,$12.03
RXST,09/29/2021,$12.4,"104,030",$13.57,$13.57,$12.28
RXST,09/28/2021,$13.51,"29,508",$13.33,$13.59,$13.05
RXST,09/27/2021,$13.56,"43,259",$13.11,$13.63,$13.11
RXST,09/24/2021,$13.07,"56,067",$13.17,$13.6524,$13.0626
RXST,09/23/2021,$13.43,"33,054",$12.86,$13.47,$12.4365
RXST,09/22/2021,$12.84,"30,234",$12.59,$13.17,$12.31
RXST,09/21/2021,$12.5,"126,171",$12.61,$13.08,$12.05
RXST,09/20/2021,$12.51,"173,073",$13.08,$13.31,$12.05
RXST,09/17/2021,$13.26,"860,159",$12.98,$14.3,$12.925
RXST,09/16/2021,$13,"170,407",$13,$13,$12.5
RXST,09/15/2021,$13,"168,376",$12.92,$13.26,$12.53
RXST,09/14/2021,$13.05,"117,912",$13.69,$13.92,$12.72
RXST,09/13/2021,$13.7,"133,103",$13.73,$14.24,$13.1
RXST,09/10/2021,$13.42,"215,416",$16.5,$16.5,$13.05
RXST,09/09/2021,$15.99,"102,797",$15.95,$16.5,$15.95
RXST,09/08/2021,$16,"75,672",$15.85,$16.3,$15.85
RXST,09/07/2021,$15.84,"170,350",$15.91,$16.49,$15.53
RXST,09/03/2021,$16.03,"96,416",$15.53,$16.07,$14.7
RXST,09/02/2021,$15.29,"65,939",$15.98,$15.98,$14.9
RXST,09/01/2021,$15.77,"62,908",$15.13,$15.95,$14.802
RXST,08/31/2021,$15.38,"100,648",$15.7,$15.8,$14.81
RXST,08/30/2021,$15.46,"165,072",$15.71,$16.14,$14.2
RXST,08/27/2021,$15.69,"358,501",$13.58,$16.39,$13.14
RXST,08/26/2021,$13.73,"192,520",$12.98,$14.25,$12.9
RXST,08/25/2021,$12.53,"238,597",$14.49,$14.945,$12.5
RXST,08/24/2021,$14.49,"318,324",$12.62,$14.9488,$12.2
RXST,08/23/2021,$12,"85,198",$11.89,$12.01,$11.6
RXST,08/20/2021,$12.02,"49,608",$12.38,$12.46,$11.75
RXST,08/19/2021,$11.94,"77,954",$12.25,$12.33,$11.19
RXST,08/18/2021,$12.33,"167,904",$11.99,$12.98,$11.71
RXST,08/17/2021,$11.85,"165,716",$12.95,$12.95,$11.68
RXST,08/16/2021,$12.87,"52,794",$12.77,$13.1699,$12.34
RXST,08/13/2021,$12.33,"139,283",$13.08,$13.245,$12.02
RXST,08/12/2021,$12.54,"132,824",$13.75,$14.05,$12.52
RXST,08/11/2021,$13.72,"140,826",$12.32,$14.46,$12.32
RXST,08/10/2021,$12.31,"137,067",$12.95,$12.95,$12.01
RXST,08/09/2021,$12.83,"119,862",$13.32,$13.32,$12.5
RXST,08/06/2021,$13.37,"208,449",$13.85,$13.94,$12.24
RXST,08/05/2021,$13.41,"244,566",$14.13,$15.29,$13.1844
RXST,08/04/2021,$14.3,"649,096",$16.78,$17.49,$13.92
RXST,08/03/2021,$16.35,"114,716",$17.01,$17.68,$16.33
RXST,08/02/2021,$17.32,"557,717",$17,$18.47,$16.23
RXST,07/30/2021,$16,"2,573,222",$17.5,$19.6699,$15.51
